,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,SACRAMENTO_ACTION,BROOKLYN_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,,S. Labissière misses 2-pt jump shot from 19 ft,0,0
1,1,11:40.0,Defensive rebound by A. Crabbe,,0,0
2,1,11:27.0,Personal foul by B. Bogdanović (drawn by D. Russell),,0,0
3,1,11:12.0,J. Allen makes 2-pt layup from 2 ft (assist by A. Crabbe),,2,0
4,1,10:53.0,,Personal foul by S. Dinwiddie (drawn by D. Fox),2,0
5,1,10:45.0,,Shooting foul by A. Crabbe (drawn by W. Cauley-Stein),2,0
6,1,10:45.0,,W. Cauley-Stein makes free throw 1 of 2,2,1
7,1,10:45.0,,W. Cauley-Stein makes free throw 2 of 2,2,2
8,1,10:34.0,D. Russell misses 2-pt jump shot from 15 ft,,2,2
9,1,10:31.0,,Defensive rebound by W. Cauley-Stein,2,2
10,1,10:22.0,,D. Fox makes 2-pt jump shot from 14 ft,2,4
11,1,10:16.0,S. Dinwiddie makes 2-pt jump shot from 22 ft (assist by D. Russell),,4,4
12,1,9:51.0,,D. Fox misses 3-pt jump shot from 25 ft,4,4
13,1,9:47.0,Defensive rebound by J. Allen,,4,4
14,1,9:41.0,D. Carroll misses 2-pt layup from 13 ft (block by D. Fox),,4,4
15,1,9:37.0,Offensive rebound by D. Carroll,,4,4
16,1,9:35.0,A. Crabbe makes 3-pt jump shot from 26 ft (assist by D. Carroll),,7,4
17,1,9:24.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,7,4
18,1,9:22.0,Defensive rebound by J. Allen,,7,4
19,1,9:15.0,D. Carroll misses 3-pt jump shot from 24 ft,,7,4
20,1,9:11.0,,Defensive rebound by J. Jackson,7,4
21,1,8:55.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,7,4
22,1,8:51.0,Defensive rebound by S. Dinwiddie,,7,4
23,1,8:41.0,A. Crabbe makes 3-pt jump shot from 25 ft (assist by D. Russell),,10,4
24,1,8:22.0,,S. Labissière makes 2-pt hook shot from 10 ft,10,6
25,1,8:08.0,A. Crabbe misses 3-pt jump shot from 26 ft,,10,6
26,1,8:05.0,,Defensive rebound by Team,10,6
27,1,7:53.0,,W. Cauley-Stein makes 2-pt jump shot from 18 ft (assist by S. Labissière),10,8
28,1,7:35.0,Turnover by D. Russell (bad pass; steal by B. Bogdanović),,10,8
29,1,7:17.0,,W. Cauley-Stein misses 2-pt layup from 3 ft,10,8
30,1,7:14.0,,Offensive rebound by W. Cauley-Stein,10,8
31,1,7:13.0,,W. Cauley-Stein makes 2-pt dunk from 3 ft,10,10
32,1,6:59.0,D. Russell misses 2-pt layup from 1 ft,,10,10
33,1,6:56.0,,Defensive rebound by W. Cauley-Stein,10,10
34,1,6:50.0,,W. Cauley-Stein makes 2-pt jump shot from 17 ft (assist by B. Bogdanović),10,12
35,1,6:35.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,10,12
36,1,6:31.0,,Defensive rebound by B. Bogdanović,10,12
37,1,6:22.0,,B. Bogdanović makes 2-pt jump shot from 6 ft,10,14
38,1,6:21.0,Brooklyn full timeout,,10,14
39,1,6:21.0,,B. Hield enters the game for J. Jackson,10,14
40,1,6:11.0,J. Allen makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),,12,14
41,1,5:51.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,12,14
42,1,5:47.0,Defensive rebound by D. Carroll,,12,14
43,1,5:45.0,J. Allen makes 2-pt dunk at rim (assist by D. Carroll),,14,14
44,1,5:30.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),14,16
45,1,5:13.0,D. Russell misses 3-pt jump shot from 27 ft,,14,16
46,1,5:09.0,Offensive rebound by J. Allen,,14,16
47,1,5:09.0,J. Allen makes 2-pt dunk at rim,,16,16
48,1,4:59.0,,Turnover by D. Fox (bad pass),16,16
49,1,4:59.0,,F. Mason enters the game for D. Fox,16,16
50,1,4:59.0,J. Harris enters the game for D. Russell,,16,16
51,1,4:59.0,D. Cunningham enters the game for J. Allen,,16,16
52,1,4:42.0,A. Crabbe makes 3-pt jump shot from 25 ft (assist by J. Harris),,19,16
53,1,4:29.0,,B. Hield misses 2-pt jump shot from 18 ft,19,16
54,1,4:22.0,Defensive rebound by A. Crabbe,,19,16
55,1,4:19.0,D. Carroll makes 2-pt layup from 7 ft,,21,16
56,1,4:19.0,Shooting foul by S. Labissière (drawn by D. Carroll),,21,16
57,1,4:19.0,C. LeVert enters the game for A. Crabbe,,21,16
58,1,4:19.0,D. Carroll makes free throw 1 of 1,,22,16
59,1,4:05.0,,S. Labissière misses 2-pt hook shot from 10 ft,22,16
60,1,3:58.0,Defensive rebound by D. Carroll,,22,16
61,1,3:50.0,D. Cunningham misses 3-pt jump shot from 22 ft,,22,16
62,1,3:46.0,,Defensive rebound by B. Hield,22,16
63,1,3:37.0,,W. Cauley-Stein makes 2-pt jump shot from 18 ft (assist by B. Bogdanović),22,18
64,1,3:11.0,Turnover by S. Dinwiddie (lost ball; steal by F. Mason),,22,18
65,1,3:06.0,,F. Mason misses 2-pt layup from 2 ft,22,18
66,1,3:03.0,Defensive rebound by S. Dinwiddie,,22,18
67,1,2:58.0,C. LeVert makes 2-pt jump shot from 10 ft,,24,18
68,1,2:58.0,Shooting foul by B. Hield (drawn by C. LeVert),,24,18
69,1,2:58.0,,Sacramento full timeout,24,18
70,1,2:58.0,,G. Temple enters the game for S. Labissière,24,18
71,1,2:58.0,,K. Koufos enters the game for B. Bogdanović,24,18
72,1,2:58.0,D. Russell enters the game for S. Dinwiddie,,24,18
73,1,2:58.0,R. Hollis-Jefferson enters the game for D. Carroll,,24,18
74,1,2:58.0,C. LeVert misses free throw 1 of 1,,24,18
75,1,2:56.0,,Defensive rebound by W. Cauley-Stein,24,18
76,1,2:42.0,,B. Hield makes 2-pt jump shot from 17 ft,24,20
77,1,2:19.0,D. Russell misses 3-pt jump shot from 22 ft,,24,20
78,1,2:16.0,Offensive rebound by C. LeVert,,24,20
79,1,2:01.0,D. Cunningham makes 2-pt layup from 1 ft (assist by D. Russell),,26,20
80,1,1:45.0,,F. Mason misses 3-pt jump shot from 25 ft,26,20
81,1,1:45.0,Defensive rebound by D. Cunningham,,26,20
82,1,1:36.0,R. Hollis-Jefferson misses 2-pt jump shot from 8 ft,,26,20
83,1,1:33.0,Offensive rebound by D. Cunningham,,26,20
84,1,1:26.0,Turnover by C. LeVert (bad pass),,26,20
85,1,1:15.0,,Turnover by W. Cauley-Stein (bad pass),26,20
86,1,1:15.0,,J. Jackson enters the game for W. Cauley-Stein,26,20
87,1,0:56.0,J. Harris makes 3-pt jump shot from 26 ft (assist by C. LeVert),,29,20
88,1,0:40.0,,J. Jackson makes 2-pt jump shot from 19 ft (assist by K. Koufos),29,22
89,1,0:31.0,Turnover by D. Russell (lost ball; steal by K. Koufos),,29,22
90,1,0:31.0,,Personal foul by D. Russell (drawn by F. Mason),29,22
91,1,0:31.0,S. Dinwiddie enters the game for D. Russell,,29,22
92,1,0:22.0,,G. Temple misses 3-pt jump shot from 25 ft,29,22
93,1,0:18.0,,Offensive rebound by K. Koufos,29,22
94,1,0:18.0,,Turnover by K. Koufos (step out of bounds),29,22
95,1,0:03.0,C. LeVert misses 2-pt layup from 4 ft,,29,22
96,1,0:03.0,,Defensive rebound by K. Koufos,29,22
97,1,0:00.0,,Turnover by K. Koufos (lost ball; steal by C. LeVert),29,22
98,1,0:00.0,C. LeVert makes 2-pt dunk at rim,,31,22
99,2,11:44.0,C. LeVert misses 3-pt jump shot from 24 ft,,31,22
100,2,11:42.0,Offensive rebound by J. Harris,,31,22
101,2,11:31.0,R. Hollis-Jefferson misses 2-pt jump shot from 17 ft,,31,22
102,2,11:28.0,,Defensive rebound by K. Koufos,31,22
103,2,11:15.0,,F. Mason makes 3-pt jump shot from 26 ft,31,25
104,2,11:02.0,Personal foul by F. Mason (drawn by D. Russell),,31,25
105,2,10:55.0,Turnover by R. Hollis-Jefferson (lost ball; steal by B. Hield),,31,25
106,2,10:55.0,,B. Hield makes 2-pt layup from 1 ft,31,27
107,2,10:55.0,,Shooting foul by C. LeVert (drawn by B. Hield),31,27
108,2,10:55.0,,B. Hield makes free throw 1 of 1,31,28
109,2,10:44.0,J. Harris misses 3-pt jump shot from 25 ft,,31,28
110,2,10:42.0,,Defensive rebound by K. Koufos,31,28
111,2,10:26.0,,F. Mason misses 2-pt jump shot from 10 ft,31,28
112,2,10:24.0,Defensive rebound by R. Hollis-Jefferson,,31,28
113,2,10:19.0,J. Harris makes 3-pt jump shot from 24 ft (assist by D. Russell),,34,28
114,2,9:58.0,,Turnover by K. Koufos (lost ball; steal by D. Cunningham),34,28
115,2,9:51.0,D. Russell misses 3-pt jump shot from 24 ft,,34,28
116,2,9:47.0,,Defensive rebound by K. Koufos,34,28
117,2,9:41.0,,F. Mason misses 2-pt jump shot from 19 ft (block by D. Russell),34,28
118,2,9:37.0,,Offensive rebound by F. Mason,34,28
119,2,9:31.0,,Turnover by J. Jackson (lost ball; steal by D. Cunningham),34,28
120,2,9:26.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by D. Russell),,36,28
121,2,9:26.0,,Sacramento full timeout,36,28
122,2,9:26.0,,D. Fox enters the game for F. Mason,36,28
123,2,9:17.0,,D. Fox misses 2-pt jump shot from 17 ft,36,28
124,2,9:13.0,Defensive rebound by J. Harris,,36,28
125,2,9:06.0,D. Russell misses 2-pt layup from 2 ft,,36,28
126,2,9:03.0,,Defensive rebound by G. Temple,36,28
127,2,8:57.0,,Personal foul by D. Cunningham (drawn by D. Fox),36,28
128,2,8:57.0,Violation by J. Harris (kicked ball),,36,28
129,2,8:52.0,,B. Hield misses 2-pt jump shot from 19 ft,36,28
