,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,BOSTON_ACTION,MEMPHIS_SCORE,BOSTON_SCORE
0,1,11:41.0,,K. Irving misses 2-pt jump shot from 12 ft,0,0
1,1,11:39.0,Defensive rebound by M. Gasol,,0,0
2,1,11:20.0,M. Gasol makes 2-pt jump shot from 13 ft (assist by J. Martin),,2,0
3,1,11:06.0,,J. Brown misses 2-pt jump shot from 20 ft,2,0
4,1,11:04.0,Defensive rebound by J. Green,,2,0
5,1,10:53.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by J. Martin),,5,0
6,1,10:35.0,,Shooting foul by J. Martin (drawn by J. Brown),5,0
7,1,10:35.0,,J. Brown misses free throw 1 of 2,5,0
8,1,10:35.0,,Offensive rebound by Team,5,0
9,1,10:35.0,,J. Brown makes free throw 2 of 2,5,1
10,1,10:19.0,D. Brooks misses 2-pt layup from 2 ft,,5,1
11,1,10:17.0,,Defensive rebound by J. Tatum,5,1
12,1,10:11.0,,J. Tatum misses 2-pt jump shot from 14 ft,5,1
13,1,10:08.0,Defensive rebound by D. Brooks,,5,1
14,1,10:02.0,M. Gasol misses 3-pt jump shot from 28 ft,,5,1
15,1,9:59.0,,Defensive rebound by J. Tatum,5,1
16,1,9:51.0,,Turnover by K. Irving (out of bounds lost ball),5,1
17,1,9:37.0,J. Green makes 2-pt layup from 1 ft (assist by D. Brooks),,7,1
18,1,9:37.0,Shooting foul by A. Baynes (drawn by J. Green),,7,1
19,1,9:37.0,J. Green makes free throw 1 of 1,,8,1
20,1,9:20.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by A. Horford),8,4
21,1,9:07.0,Turnover by M. Gasol (bad pass),,8,4
22,1,8:49.0,,A. Baynes makes 2-pt jump shot from 11 ft (assist by K. Irving),8,6
23,1,8:40.0,,Violation by A. Horford (kicked ball),8,6
24,1,8:27.0,D. Brooks misses 2-pt jump shot from 20 ft,,8,6
25,1,8:18.0,,Defensive rebound by K. Irving,8,6
26,1,8:04.0,,A. Baynes makes 2-pt jump shot from 12 ft (assist by J. Brown),8,8
27,1,7:48.0,Personal foul by J. Brown (drawn by M. Gasol),,8,8
28,1,7:41.0,A. Harrison makes 2-pt jump shot from 18 ft,,10,8
29,1,7:28.0,,J. Brown makes 3-pt jump shot from 27 ft (assist by K. Irving),10,11
30,1,7:09.0,Personal foul by J. Tatum (drawn by M. Gasol),,10,11
31,1,7:02.0,A. Harrison misses 3-pt jump shot from 26 ft,,10,11
