,QUARTER,TIME_REMAINING,TORONTO_ACTION,ATLANTA_ACTION,TORONTO_SCORE,ATLANTA_SCORE
0,1,11:45.0,,D. Schröder misses 3-pt jump shot from 24 ft,0,0
1,1,11:40.0,Defensive rebound by K. Lowry,,0,0
2,1,11:19.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by K. Lowry),,2,0
3,1,10:59.0,,T. Prince makes 2-pt jump shot from 11 ft,2,2
4,1,10:39.0,Shooting block foul by M. Plumlee (drawn by S. Ibaka),,2,2
5,1,10:39.0,S. Ibaka makes free throw 1 of 2,,3,2
6,1,10:39.0,S. Ibaka makes free throw 2 of 2,,4,2
7,1,10:29.0,,Turnover by D. Schröder (bad pass; steal by K. Lowry),4,2
8,1,10:25.0,K. Lowry misses 3-pt jump shot from 25 ft,,4,2
9,1,10:22.0,Offensive rebound by S. Ibaka,,4,2
10,1,10:21.0,S. Ibaka misses 2-pt layup from 2 ft (block by K. Bazemore),,4,2
11,1,10:21.0,Offensive rebound by Team,,4,2
12,1,10:19.0,Offensive foul by D. DeRozan (drawn by K. Bazemore),,4,2
13,1,10:19.0,Turnover by D. DeRozan (offensive foul),,4,2
14,1,10:08.0,,T. Prince misses 2-pt layup from 1 ft,4,2
15,1,10:04.0,Defensive rebound by J. Valančiūnas,,4,2
16,1,10:01.0,Turnover by K. Lowry (bad pass),,4,2
17,1,9:50.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by M. Plumlee),4,4
18,1,9:34.0,S. Ibaka misses 3-pt jump shot from 25 ft,,4,4
19,1,9:31.0,,Defensive rebound by D. Schröder,4,4
20,1,9:14.0,,K. Bazemore misses 3-pt jump shot from 25 ft,4,4
21,1,9:10.0,Defensive rebound by S. Ibaka,,4,4
22,1,8:56.0,D. DeRozan makes 2-pt jump shot from 12 ft (assist by J. Valančiūnas),,6,4
23,1,8:33.0,,E. İlyasova misses 2-pt layup from 1 ft,6,4
24,1,8:29.0,Defensive rebound by O. Anunoby,,6,4
25,1,8:23.0,K. Lowry misses 3-pt jump shot from 25 ft,,6,4
26,1,8:20.0,Offensive rebound by J. Valančiūnas,,6,4
27,1,8:19.0,J. Valančiūnas misses 2-pt layup from 1 ft (block by M. Plumlee),,6,4
28,1,8:19.0,,Defensive rebound by Team,6,4
29,1,8:05.0,,Offensive foul by E. İlyasova (drawn by K. Lowry),6,4
30,1,8:05.0,,Turnover by E. İlyasova (offensive foul),6,4
31,1,7:51.0,D. DeRozan misses 3-pt jump shot from 24 ft,,6,4
32,1,7:47.0,,Defensive rebound by E. İlyasova,6,4
33,1,7:41.0,,D. Schröder makes 2-pt jump shot from 11 ft,6,6
34,1,7:30.0,J. Valančiūnas misses 2-pt jump shot from 9 ft,,6,6
35,1,7:25.0,,Defensive rebound by M. Plumlee,6,6
36,1,7:20.0,,Turnover by D. Schröder (bad pass; steal by J. Valančiūnas),6,6
37,1,7:05.0,J. Valančiūnas makes 2-pt jump shot from 9 ft,,8,6
38,1,6:56.0,,Atlanta full timeout,8,6
39,1,6:56.0,,M. Belinelli enters the game for T. Prince,8,6
40,1,6:56.0,,D. Dedmon enters the game for M. Plumlee,8,6
41,1,6:47.0,,D. Dedmon misses 2-pt layup from 6 ft (block by K. Lowry),8,6
42,1,6:44.0,Defensive rebound by K. Lowry,,8,6
43,1,6:43.0,O. Anunoby makes 2-pt dunk at rim (assist by D. DeRozan),,10,6
44,1,6:28.0,,Personal foul by S. Ibaka (drawn by E. İlyasova),10,6
45,1,6:22.0,,M. Belinelli misses 2-pt jump shot from 21 ft,10,6
46,1,6:19.0,Defensive rebound by K. Lowry,,10,6
47,1,6:17.0,,Offensive charge foul by K. Lowry (drawn by D. Schröder),10,6
48,1,6:17.0,Turnover by K. Lowry (offensive foul),,10,6
49,1,6:06.0,,D. Schröder misses 3-pt jump shot from 24 ft,10,6
50,1,6:01.0,Defensive rebound by J. Valančiūnas,,10,6
51,1,5:54.0,J. Valančiūnas makes 2-pt jump shot from 18 ft (assist by D. DeRozan),,12,6
52,1,5:41.0,,K. Bazemore misses 2-pt jump shot from 12 ft,12,6
53,1,5:40.0,,Offensive rebound by K. Bazemore,12,6
54,1,5:39.0,,K. Bazemore misses 2-pt layup from 3 ft,12,6
55,1,5:39.0,Defensive rebound by J. Valančiūnas,,12,6
