,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MIAMI_ACTION,PORTLAND_SCORE,MIAMI_SCORE
0,1,11:37.0,A. Aminu misses 3-pt jump shot from 23 ft,,0,0
1,1,11:34.0,,Defensive rebound by J. Johnson,0,0
2,1,11:24.0,,J. Johnson misses 2-pt layup from 2 ft (block by E. Turner),0,0
3,1,11:21.0,,Offensive rebound by Team,0,0
4,1,11:13.0,,J. Richardson misses 2-pt jump shot from 19 ft,0,0
5,1,11:09.0,,Offensive rebound by K. Olynyk,0,0
6,1,11:09.0,,Turnover by K. Olynyk (out of bounds lost ball),0,0
7,1,10:51.0,Z. Collins makes 2-pt layup at rim (assist by E. Turner),,2,0
8,1,10:31.0,,J. Johnson makes 2-pt layup at rim,2,2
9,1,10:21.0,Turnover by A. Aminu (out of bounds lost ball),,2,2
10,1,10:07.0,,G. Dragić makes 2-pt layup at rim (assist by J. Johnson),2,4
11,1,9:51.0,Turnover by Z. Collins (bad pass; steal by K. Olynyk),,2,4
12,1,9:34.0,,D. Waiters misses 2-pt jump shot from 15 ft,2,4
13,1,9:30.0,Defensive rebound by A. Aminu,,2,4
14,1,9:25.0,Shooting foul by G. Dragić (drawn by C. McCollum),,2,4
15,1,9:25.0,C. McCollum makes free throw 1 of 2,,3,4
16,1,9:25.0,C. McCollum makes free throw 2 of 2,,4,4
17,1,9:17.0,,J. Richardson makes 3-pt jump shot from 23 ft (assist by G. Dragić),4,7
18,1,8:59.0,Z. Collins misses 2-pt jump shot from 12 ft,,4,7
19,1,8:56.0,,Defensive rebound by J. Johnson,4,7
20,1,8:40.0,,G. Dragić misses 2-pt jump shot from 7 ft,4,7
21,1,8:38.0,Defensive rebound by Z. Collins,,4,7
22,1,8:37.0,,Violation by J. Johnson (kicked ball),4,7
23,1,8:32.0,Shooting block foul by G. Dragić (drawn by Z. Collins),,4,7
24,1,8:32.0,Z. Collins misses free throw 1 of 2,,4,7
25,1,8:32.0,Offensive rebound by Team,,4,7
26,1,8:32.0,,W. Ellington enters the game for G. Dragić,4,7
27,1,8:32.0,Z. Collins makes free throw 2 of 2,,5,7
28,1,8:21.0,,J. Johnson makes 2-pt layup at rim,5,9
29,1,8:07.0,,Offensive charge foul by D. Lillard (drawn by K. Olynyk),5,9
30,1,8:07.0,Turnover by D. Lillard (offensive foul),,5,9
31,1,7:53.0,,D. Waiters misses 3-pt jump shot from 24 ft,5,9
32,1,7:50.0,Defensive rebound by E. Turner,,5,9
33,1,7:42.0,Turnover by E. Turner (lost ball; steal by W. Ellington),,5,9
34,1,7:36.0,,J. Richardson makes 3-pt jump shot from 26 ft (assist by J. Johnson),5,12
35,1,7:15.0,D. Lillard misses 3-pt jump shot from 24 ft,,5,12
36,1,7:10.0,,Defensive rebound by J. Johnson,5,12
37,1,7:05.0,,J. Richardson misses 3-pt jump shot from 25 ft,5,12
38,1,7:04.0,,Offensive rebound by K. Olynyk,5,12
39,1,7:04.0,,Shooting foul by A. Aminu (drawn by K. Olynyk),5,12
40,1,7:04.0,,K. Olynyk makes free throw 1 of 2,5,13
41,1,7:04.0,,K. Olynyk misses free throw 2 of 2,5,13
42,1,7:01.0,Defensive rebound by A. Aminu,,5,13
43,1,6:48.0,C. McCollum makes 3-pt jump shot from 23 ft,,8,13
44,1,6:31.0,,D. Waiters misses 3-pt jump shot from 25 ft,8,13
45,1,6:29.0,,Offensive rebound by K. Olynyk,8,13
46,1,6:29.0,,Personal foul by Z. Collins (drawn by K. Olynyk),8,13
47,1,6:29.0,,Miami full timeout,8,13
48,1,6:20.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by D. Waiters),8,16
49,1,6:04.0,Z. Collins makes 2-pt jump shot from 16 ft (assist by C. McCollum),,10,16
50,1,5:44.0,,J. Richardson makes 2-pt layup from 1 ft,10,18
51,1,5:30.0,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),,13,18
52,1,5:11.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Johnson),13,21
53,1,4:45.0,E. Turner makes 2-pt jump shot from 9 ft,,15,21
54,1,4:32.0,,K. Olynyk misses 3-pt jump shot from 25 ft,15,21
55,1,4:27.0,Defensive rebound by D. Lillard,,15,21
56,1,4:23.0,C. McCollum misses 3-pt jump shot from 24 ft,,15,21
57,1,4:20.0,,Defensive rebound by J. Johnson,15,21
58,1,4:09.0,,D. Waiters misses 2-pt layup from 1 ft (block by Z. Collins),15,21
59,1,4:08.0,,Offensive rebound by Team,15,21
60,1,4:07.0,,Personal foul by Z. Collins (drawn by D. Waiters),15,21
61,1,4:07.0,,B. Adebayo enters the game for K. Olynyk,15,21
62,1,4:07.0,E. Davis enters the game for E. Turner,,15,21
63,1,4:07.0,P. Connaughton enters the game for C. McCollum,,15,21
64,1,4:07.0,M. Harkless enters the game for Z. Collins,,15,21
65,1,4:00.0,,J. Richardson misses 3-pt jump shot from 23 ft,15,21
66,1,3:55.0,Defensive rebound by A. Aminu,,15,21
67,1,3:51.0,D. Lillard makes 3-pt jump shot from 26 ft,,18,21
68,1,3:35.0,,J. Winslow enters the game for J. Johnson,18,21
69,1,3:28.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by B. Adebayo),18,24
70,1,3:11.0,Turnover by E. Davis (bad pass; steal by J. Richardson),,18,24
71,1,3:05.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by J. Winslow),18,27
72,1,3:05.0,Portland full timeout,,18,27
73,1,3:02.0,Turnover by P. Connaughton (bad pass; steal by J. Richardson),,18,27
74,1,2:54.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by J. Winslow),18,30
75,1,2:34.0,A. Aminu makes 3-pt jump shot from 24 ft (assist by D. Lillard),,21,30
76,1,2:09.0,,D. Waiters misses 2-pt jump shot from 12 ft,21,30
77,1,2:05.0,Defensive rebound by A. Aminu,,21,30
78,1,1:47.0,A. Aminu misses 2-pt jump shot from 18 ft,,21,30
79,1,1:47.0,,Defensive rebound by Team,21,30
80,1,1:47.0,,J. Johnson enters the game for D. Waiters,21,30
81,1,1:47.0,S. Napier enters the game for A. Aminu,,21,30
82,1,1:34.0,,Turnover by B. Adebayo (bad pass; steal by S. Napier),21,30
83,1,1:11.0,S. Napier misses 2-pt jump shot from 6 ft,,21,30
84,1,1:08.0,,Defensive rebound by J. Johnson,21,30
85,1,1:01.0,,W. Ellington makes 3-pt jump shot from 28 ft (assist by J. Johnson),21,33
86,1,0:46.0,P. Connaughton misses 3-pt jump shot from 24 ft,,21,33
87,1,0:44.0,Offensive rebound by M. Harkless,,21,33
88,1,0:41.0,D. Lillard misses 3-pt jump shot from 23 ft,,21,33
89,1,0:38.0,,Defensive rebound by W. Ellington,21,33
90,1,0:25.0,,Turnover by W. Ellington (lost ball; steal by M. Harkless),21,33
91,1,0:02.0,S. Napier misses 3-pt jump shot from 25 ft,,21,33
92,1,0:02.0,,Defensive rebound by Team,21,33
93,2,11:50.0,,Turnover by J. Winslow (discontinued dribble),21,33
94,2,11:38.0,E. Davis misses 2-pt jump shot from 3 ft,,21,33
95,2,11:35.0,,Defensive rebound by G. Dragić,21,33
96,2,11:30.0,,J. Johnson misses 2-pt layup from 2 ft,21,33
97,2,11:28.0,Defensive rebound by E. Davis,,21,33
98,2,11:19.0,C. McCollum misses 3-pt jump shot from 26 ft,,21,33
99,2,11:15.0,,Defensive rebound by G. Dragić,21,33
100,2,11:05.0,,W. Ellington makes 2-pt layup at rim (assist by J. Johnson),21,35
101,2,11:05.0,,Shooting foul by P. Connaughton (drawn by J. Johnson),21,35
