,QUARTER,TIME_REMAINING,TORONTO_ACTION,MEMPHIS_ACTION,TORONTO_SCORE,MEMPHIS_SCORE
0,1,11:44.0,S. Ibaka misses 3-pt jump shot from 26 ft,,0,0
1,1,11:40.0,,Defensive rebound by T. Evans,0,0
2,1,11:17.0,,T. Evans misses 3-pt jump shot from 25 ft,0,0
3,1,11:14.0,Defensive rebound by K. Lowry,,0,0
4,1,11:13.0,Shooting foul by T. Evans (drawn by S. Ibaka),,0,0
5,1,11:13.0,S. Ibaka makes free throw 1 of 2,,1,0
6,1,11:13.0,S. Ibaka makes free throw 2 of 2,,2,0
7,1,10:54.0,,T. Evans makes 2-pt jump shot from 3 ft,2,2
8,1,10:46.0,Turnover by S. Ibaka (traveling),,2,2
9,1,10:36.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by T. Evans),2,5
10,1,10:20.0,J. Valančiūnas misses 2-pt layup at rim,,2,5
11,1,10:20.0,,Defensive rebound by Team,2,5
12,1,10:06.0,,T. Evans misses 2-pt layup from 4 ft,2,5
13,1,10:06.0,,Offensive rebound by Team,2,5
14,1,9:59.0,,Offensive foul by J. Green (drawn by K. Lowry),2,5
15,1,9:59.0,,Turnover by J. Green (offensive foul),2,5
16,1,9:43.0,J. Valančiūnas makes 2-pt layup from 4 ft (assist by K. Lowry),,4,5
17,1,9:23.0,,Personal foul by J. Valančiūnas (drawn by M. Gasol),4,5
18,1,9:15.0,,T. Evans makes 3-pt jump shot from 26 ft (assist by J. Green),4,8
19,1,8:59.0,S. Ibaka misses 2-pt jump shot from 17 ft,,4,8
20,1,8:58.0,Offensive rebound by J. Valančiūnas,,4,8
21,1,8:55.0,K. Lowry misses 3-pt jump shot from 27 ft,,4,8
22,1,8:52.0,,Defensive rebound by J. Green,4,8
23,1,8:43.0,,M. Gasol makes 2-pt dunk from 1 ft (assist by J. Green),4,10
24,1,8:24.0,S. Ibaka makes 2-pt jump shot from 12 ft,,6,10
25,1,8:05.0,,D. Brooks makes 2-pt jump shot from 9 ft (assist by A. Harrison),6,12
26,1,7:58.0,Toronto full timeout,,6,12
27,1,7:53.0,D. DeRozan misses 2-pt jump shot from 12 ft,,6,12
28,1,7:50.0,,Defensive rebound by T. Evans,6,12
29,1,7:29.0,,J. Green makes 2-pt dunk at rim (assist by M. Gasol),6,14
30,1,7:10.0,S. Ibaka makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,9,14
31,1,6:46.0,,T. Evans makes 2-pt jump shot from 17 ft,9,16
32,1,6:46.0,,Shooting foul by O. Anunoby (drawn by T. Evans),9,16
33,1,6:46.0,,T. Evans makes free throw 1 of 1,9,17
34,1,6:36.0,D. DeRozan makes 2-pt jump shot from 6 ft,,11,17
35,1,6:36.0,Shooting foul by D. Brooks (drawn by D. DeRozan),,11,17
