,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,SACRAMENTO_ACTION,WASHINGTON_SCORE,SACRAMENTO_SCORE
0,1,11:42.0,J. Wall makes 3-pt jump shot from 23 ft (assist by O. Porter),,3,0
1,1,11:29.0,,Turnover by D. Fox (lost ball; steal by J. Wall),3,0
2,1,11:24.0,J. Wall makes 2-pt dunk from 1 ft,,5,0
3,1,10:58.0,,D. Fox misses 3-pt jump shot from 23 ft,5,0
4,1,10:54.0,Defensive rebound by M. Gortat,,5,0
5,1,10:38.0,M. Gortat misses 2-pt jump shot from 8 ft,,5,0
6,1,10:36.0,,Defensive rebound by S. Labissière,5,0
7,1,10:34.0,,Personal foul by M. Gortat (drawn by W. Cauley-Stein),5,0
8,1,10:21.0,,W. Cauley-Stein misses 2-pt jump shot from 15 ft,5,0
9,1,10:19.0,Defensive rebound by O. Porter,,5,0
10,1,10:11.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,7,0
11,1,10:02.0,Violation by O. Porter (kicked ball),,7,0
12,1,9:56.0,,B. Hield misses 3-pt jump shot from 25 ft,7,0
13,1,9:52.0,Defensive rebound by M. Gortat,,7,0
14,1,9:44.0,B. Beal misses 2-pt jump shot from 17 ft,,7,0
15,1,9:38.0,Offensive rebound by M. Gortat,,7,0
16,1,9:35.0,Turnover by J. Wall (bad pass),,7,0
17,1,9:30.0,,Personal foul by B. Beal (drawn by D. Fox),7,0
18,1,9:20.0,,B. Bogdanović misses 2-pt jump shot from 3 ft,7,0
19,1,9:17.0,Defensive rebound by O. Porter,,7,0
20,1,9:10.0,O. Porter misses 2-pt jump shot from 16 ft,,7,0
21,1,9:07.0,,Defensive rebound by D. Fox,7,0
22,1,9:00.0,,B. Hield misses 3-pt jump shot from 25 ft,7,0
23,1,8:54.0,Defensive rebound by O. Porter,,7,0
24,1,8:45.0,Personal foul by B. Bogdanović (drawn by M. Gortat),,7,0
25,1,8:36.0,O. Porter misses 3-pt jump shot from 25 ft,,7,0
26,1,8:33.0,,Defensive rebound by B. Hield,7,0
27,1,8:23.0,,S. Labissière misses 2-pt jump shot from 10 ft,7,0
28,1,8:19.0,Defensive rebound by M. Gortat,,7,0
29,1,8:15.0,Turnover by J. Wall (bad pass),,7,0
30,1,8:02.0,,D. Fox misses 2-pt jump shot from 14 ft,7,0
31,1,7:59.0,,Offensive rebound by W. Cauley-Stein,7,0
32,1,7:58.0,,W. Cauley-Stein misses 2-pt layup from 3 ft,7,0
33,1,7:58.0,Defensive rebound by M. Gortat,,7,0
34,1,7:51.0,J. Wall makes 3-pt jump shot from 25 ft,,10,0
35,1,7:31.0,,S. Labissière misses 2-pt hook shot from 9 ft,10,0
36,1,7:28.0,Defensive rebound by O. Porter,,10,0
37,1,7:22.0,J. Wall makes 3-pt jump shot from 25 ft,,13,0
38,1,7:16.0,,Sacramento full timeout,13,0
39,1,7:10.0,,B. Bogdanović makes 2-pt jump shot from 20 ft (assist by D. Fox),13,2
40,1,6:49.0,O. Porter makes 3-pt jump shot from 25 ft (assist by K. Oubre),,16,2
41,1,6:32.0,,D. Fox misses 2-pt jump shot from 7 ft,16,2
42,1,6:27.0,Defensive rebound by O. Porter,,16,2
43,1,6:12.0,M. Gortat misses 2-pt hook shot from 9 ft,,16,2
44,1,6:12.0,,Defensive rebound by B. Bogdanović,16,2
45,1,6:04.0,,B. Hield misses 2-pt layup from 2 ft,16,2
46,1,6:01.0,,Offensive rebound by W. Cauley-Stein,16,2
47,1,6:00.0,,W. Cauley-Stein makes 2-pt layup from 1 ft,16,4
48,1,5:37.0,M. Gortat misses 2-pt jump shot from 11 ft,,16,4
49,1,5:35.0,,Defensive rebound by B. Bogdanović,16,4
50,1,5:21.0,,W. Cauley-Stein misses 2-pt layup from 1 ft,16,4
51,1,5:21.0,Defensive rebound by B. Beal,,16,4
52,1,5:10.0,J. Wall misses 2-pt jump shot from 8 ft,,16,4
53,1,5:10.0,Offensive rebound by J. Wall,,16,4
54,1,5:04.0,O. Porter makes 3-pt jump shot from 25 ft (assist by J. Wall),,19,4
55,1,4:54.0,,Turnover by B. Bogdanović (out of bounds lost ball),19,4
