,QUARTER,TIME_REMAINING,CHICAGO_ACTION,LA LAKERS_ACTION,CHICAGO_SCORE,LA LAKERS_SCORE
0,1,11:48.0,,K. Kuzma makes 2-pt dunk at rim (assist by L. Ball),0,2
1,1,11:30.0,K. Dunn makes 2-pt jump shot from 17 ft,,2,2
2,1,11:11.0,,L. Ball misses 3-pt jump shot from 25 ft,2,2
3,1,11:07.0,Defensive rebound by K. Dunn,,2,2
4,1,11:03.0,D. Valentine makes 2-pt hook shot from 5 ft (assist by K. Dunn),,4,2
5,1,10:52.0,,Turnover by B. Lopez (bad pass; steal by D. Valentine),4,2
6,1,10:38.0,L. Markkanen misses 2-pt jump shot from 17 ft,,4,2
7,1,10:36.0,,Defensive rebound by Team,4,2
8,1,10:28.0,,B. Lopez misses 3-pt jump shot from 25 ft,4,2
9,1,10:24.0,Defensive rebound by J. Holiday,,4,2
10,1,10:18.0,Turnover by K. Dunn (bad pass; steal by K. Caldwell-Pope),,4,2
11,1,10:01.0,,B. Lopez misses 2-pt hook shot from 9 ft,4,2
12,1,9:57.0,Defensive rebound by L. Markkanen,,4,2
13,1,9:49.0,J. Holiday misses 2-pt jump shot from 6 ft,,4,2
14,1,9:47.0,,Defensive rebound by K. Caldwell-Pope,4,2
15,1,9:40.0,,B. Ingram makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),4,5
16,1,9:28.0,L. Markkanen misses 2-pt layup from 1 ft,,4,5
17,1,9:26.0,,Defensive rebound by K. Kuzma,4,5
18,1,9:10.0,,K. Kuzma makes 3-pt jump shot from 22 ft (assist by K. Caldwell-Pope),4,8
19,1,8:57.0,L. Markkanen misses 3-pt jump shot from 24 ft,,4,8
20,1,8:54.0,,Defensive rebound by L. Ball,4,8
21,1,8:49.0,,B. Lopez misses 3-pt jump shot from 25 ft,4,8
22,1,8:46.0,Defensive rebound by J. Holiday,,4,8
23,1,8:39.0,R. Lopez makes 2-pt jump shot from 4 ft (assist by K. Dunn),,6,8
24,1,8:27.0,,B. Lopez makes 2-pt layup from 1 ft (assist by B. Ingram),6,10
25,1,8:08.0,R. Lopez makes 2-pt jump shot from 19 ft (assist by J. Holiday),,8,10
26,1,7:55.0,Violation by K. Dunn (kicked ball),,8,10
27,1,7:40.0,,Turnover by L. Ball (lost ball; steal by K. Dunn),8,10
28,1,7:34.0,D. Valentine makes 3-pt jump shot from 23 ft (assist by J. Holiday),,11,10
