,QUARTER,TIME_REMAINING,PHOENIX_ACTION,INDIANA_ACTION,PHOENIX_SCORE,INDIANA_SCORE
0,1,11:40.0,T. Ulis misses 3-pt jump shot from 24 ft,,0,0
1,1,11:37.0,,Defensive rebound by B. Bogdanović,0,0
2,1,11:18.0,,Turnover by D. Sabonis (bad pass),0,0
3,1,10:58.0,D. Booker misses 2-pt layup from 4 ft,,0,0
4,1,10:56.0,,Defensive rebound by V. Oladipo,0,0
5,1,10:47.0,,B. Bogdanović makes 2-pt jump shot from 10 ft (assist by V. Oladipo),0,2
6,1,10:30.0,T. Chandler makes 2-pt dunk from 1 ft (assist by D. Bender),,2,2
7,1,10:08.0,,T. Young makes 3-pt jump shot from 22 ft (assist by D. Sabonis),2,5
8,1,9:53.0,D. Bender misses 3-pt jump shot from 27 ft,,2,5
9,1,9:51.0,,Defensive rebound by B. Bogdanović,2,5
10,1,9:40.0,,D. Sabonis misses 2-pt hook shot from 5 ft,2,5
11,1,9:39.0,Defensive rebound by D. Booker,,2,5
12,1,9:31.0,D. Booker makes 2-pt layup at rim,,4,5
13,1,9:08.0,,B. Bogdanović misses 2-pt jump shot from 11 ft,4,5
14,1,9:04.0,Defensive rebound by T. Warren,,4,5
15,1,8:49.0,T. Warren misses 2-pt jump shot from 14 ft,,4,5
16,1,8:48.0,,Defensive rebound by D. Sabonis,4,5
17,1,8:42.0,,Personal foul by T. Chandler (drawn by T. Young),4,5
18,1,8:28.0,,Shooting foul by D. Booker (drawn by V. Oladipo),4,5
19,1,8:28.0,,V. Oladipo makes free throw 1 of 2,4,6
20,1,8:28.0,,V. Oladipo makes free throw 2 of 2,4,7
21,1,8:06.0,Turnover by T. Chandler (bad pass; steal by V. Oladipo),,4,7
22,1,8:05.0,,Personal take foul by T. Ulis (drawn by J. Young),4,7
23,1,8:01.0,,Shooting foul by T. Chandler (drawn by D. Sabonis),4,7
24,1,8:01.0,,D. Sabonis misses free throw 1 of 2,4,7
25,1,8:01.0,,Offensive rebound by Team,4,7
26,1,8:01.0,,D. Sabonis makes free throw 2 of 2,4,8
27,1,7:48.0,D. Booker makes 2-pt jump shot from 19 ft (assist by T. Ulis),,6,8
28,1,7:33.0,,T. Young makes 2-pt jump shot from 19 ft,6,10
29,1,7:18.0,T. Ulis misses 2-pt jump shot from 19 ft,,6,10
30,1,7:16.0,,Defensive rebound by T. Young,6,10
31,1,7:08.0,,D. Sabonis misses 2-pt jump shot from 20 ft,6,10
32,1,7:07.0,Defensive rebound by D. Booker,,6,10
33,1,7:02.0,Personal foul by V. Oladipo (drawn by T. Chandler),,6,10
34,1,7:00.0,Turnover by T. Warren (bad pass; steal by T. Young),,6,10
35,1,6:58.0,,T. Young makes 2-pt dunk from 1 ft,6,12
36,1,6:57.0,Phoenix full timeout,,6,12
37,1,6:57.0,G. Monroe enters the game for T. Chandler,,6,12
38,1,6:40.0,T. Warren makes 2-pt jump shot from 15 ft (assist by D. Bender),,8,12
39,1,6:19.0,,J. Young misses 3-pt jump shot from 25 ft,8,12
40,1,6:18.0,Defensive rebound by Team,,8,12
41,1,6:18.0,,Loose ball foul by D. Sabonis (drawn by G. Monroe),8,12
