,QUARTER,TIME_REMAINING,HOUSTON_ACTION,LA CLIPPERS_ACTION,HOUSTON_SCORE,LA CLIPPERS_SCORE
0,1,11:37.0,E. Gordon misses 2-pt layup from 2 ft,,0,0
1,1,11:34.0,Offensive rebound by C. Capela,,0,0
2,1,11:34.0,C. Capela misses 2-pt jump shot from 12 ft,,0,0
3,1,11:34.0,,Defensive rebound by Team,0,0
4,1,11:33.0,Turnover by Team (shot clock),,0,0
5,1,11:23.0,,B. Griffin misses 3-pt jump shot from 24 ft,0,0
6,1,11:23.0,Defensive rebound by T. Ariza,,0,0
7,1,11:09.0,C. Paul makes 2-pt jump shot from 14 ft,,2,0
8,1,10:56.0,,M. Teodosić misses 2-pt jump shot from 18 ft,2,0
9,1,10:53.0,Defensive rebound by C. Paul,,2,0
10,1,10:50.0,T. Ariza makes 2-pt layup from 1 ft (assist by C. Paul),,4,0
11,1,10:50.0,Shooting foul by T. Wallace (drawn by T. Ariza),,4,0
12,1,10:50.0,T. Ariza makes free throw 1 of 1,,5,0
13,1,10:31.0,,B. Griffin makes 2-pt layup from 1 ft (assist by M. Teodosić),5,2
14,1,10:26.0,R. Anderson makes 3-pt jump shot from 26 ft (assist by C. Paul),,8,2
15,1,10:14.0,Violation by T. Ariza (kicked ball),,8,2
16,1,10:04.0,,W. Reed makes 2-pt layup from 2 ft (assist by M. Teodosić),8,4
17,1,9:52.0,C. Paul makes 3-pt jump shot from 26 ft,,11,4
18,1,9:40.0,,M. Teodosić makes 3-pt jump shot from 22 ft (assist by L. Williams),11,7
19,1,9:23.0,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),,13,7
20,1,9:12.0,,M. Teodosić makes 3-pt jump shot from 25 ft (assist by B. Griffin),13,10
21,1,8:52.0,C. Capela makes 2-pt layup from 1 ft (assist by E. Gordon),,15,10
22,1,8:38.0,,B. Griffin misses 2-pt hook shot from 4 ft,15,10
23,1,8:38.0,Defensive rebound by Team,,15,10
