,QUARTER,TIME_REMAINING,BOSTON_ACTION,OKLAHOMA CITY_ACTION,BOSTON_SCORE,OKLAHOMA CITY_SCORE
0,1,11:45.0,,P. George misses 3-pt jump shot from 26 ft,0,0
1,1,11:41.0,Defensive rebound by J. Tatum,,0,0
2,1,11:33.0,Shooting foul by P. George (drawn by A. Baynes),,0,0
3,1,11:33.0,A. Baynes misses free throw 1 of 2,,0,0
4,1,11:33.0,Offensive rebound by Team,,0,0
5,1,11:33.0,A. Baynes makes free throw 2 of 2,,1,0
6,1,11:15.0,,C. Anthony misses 2-pt jump shot from 11 ft,1,0
7,1,11:12.0,Defensive rebound by A. Horford,,1,0
8,1,11:04.0,K. Irving misses 2-pt jump shot from 9 ft,,1,0
9,1,10:59.0,Offensive rebound by A. Baynes,,1,0
10,1,10:59.0,A. Baynes misses 2-pt layup at rim,,1,0
11,1,10:59.0,,Defensive rebound by S. Adams,1,0
12,1,10:49.0,,R. Westbrook misses 2-pt jump shot from 13 ft,1,0
13,1,10:45.0,,Offensive rebound by P. George,1,0
14,1,10:44.0,,P. George makes 2-pt layup from 1 ft,1,2
15,1,10:25.0,Turnover by J. Tatum (bad pass),,1,2
16,1,10:14.0,,Turnover by R. Westbrook (bad pass),1,2
17,1,10:01.0,Shooting foul by S. Adams (drawn by J. Tatum),,1,2
18,1,10:01.0,J. Tatum misses free throw 1 of 2,,1,2
19,1,10:01.0,Offensive rebound by Team,,1,2
20,1,10:01.0,J. Tatum makes free throw 2 of 2,,2,2
21,1,9:38.0,,Shooting foul by J. Tatum (drawn by C. Anthony),2,2
22,1,9:38.0,,C. Anthony makes free throw 1 of 2,2,3
23,1,9:38.0,,C. Anthony makes free throw 2 of 2,2,4
24,1,9:27.0,K. Irving misses 3-pt jump shot from 25 ft,,2,4
25,1,9:22.0,Offensive rebound by A. Horford,,2,4
26,1,9:20.0,J. Tatum makes 2-pt jump shot from 14 ft (assist by A. Horford),,4,4
27,1,9:06.0,,R. Westbrook misses 2-pt layup from 1 ft,4,4
28,1,9:04.0,,Offensive rebound by S. Adams,4,4
29,1,9:03.0,,Turnover by S. Adams (lost ball; steal by K. Irving),4,4
30,1,8:58.0,Turnover by J. Tatum (bad pass),,4,4
31,1,8:42.0,,P. George makes 2-pt layup at rim (assist by S. Adams),4,6
32,1,8:15.0,Turnover by Team (shot clock),,4,6
33,1,8:03.0,,Turnover by P. George (bad pass; steal by K. Irving),4,6
34,1,7:58.0,K. Irving misses 2-pt layup from 2 ft,,4,6
35,1,7:55.0,Offensive rebound by J. Brown,,4,6
36,1,7:54.0,J. Brown makes 2-pt layup from 1 ft,,6,6
37,1,7:38.0,,P. George makes 3-pt jump shot from 24 ft (assist by R. Westbrook),6,9
38,1,7:24.0,K. Irving misses 3-pt jump shot from 24 ft,,6,9
39,1,7:22.0,,Defensive rebound by C. Anthony,6,9
40,1,7:15.0,,R. Westbrook misses 2-pt layup at rim (block by K. Irving),6,9
41,1,7:12.0,,Offensive rebound by S. Adams,6,9
42,1,7:12.0,,S. Adams makes 2-pt dunk at rim,6,11
43,1,6:51.0,A. Baynes makes 2-pt jump shot from 13 ft (assist by J. Tatum),,8,11
44,1,6:38.0,,R. Westbrook makes 2-pt jump shot from 11 ft,8,13
45,1,6:14.0,J. Tatum makes 3-pt jump shot from 25 ft,,11,13
46,1,5:56.0,,C. Anthony makes 2-pt jump shot from 16 ft (assist by A. Roberson),11,15
47,1,5:36.0,J. Tatum misses 3-pt jump shot from 24 ft,,11,15
48,1,5:31.0,,Defensive rebound by P. George,11,15
49,1,5:28.0,,R. Westbrook misses 3-pt jump shot from 24 ft,11,15
50,1,5:24.0,Defensive rebound by K. Irving,,11,15
51,1,5:17.0,J. Brown misses 2-pt jump shot from 16 ft,,11,15
52,1,5:15.0,,Defensive rebound by C. Anthony,11,15
53,1,5:09.0,,Oklahoma City full timeout,11,15
54,1,5:09.0,,J. Grant enters the game for C. Anthony,11,15
55,1,5:09.0,M. Morris enters the game for J. Tatum,,11,15
56,1,5:09.0,M. Smart enters the game for A. Baynes,,11,15
57,1,4:59.0,,A. Roberson misses 3-pt jump shot from 22 ft,11,15
58,1,4:56.0,Defensive rebound by A. Horford,,11,15
59,1,4:40.0,,Á. Abrines enters the game for A. Roberson,11,15
60,1,4:39.0,Turnover by M. Smart (bad pass; steal by P. George),,11,15
61,1,4:36.0,,P. George makes 2-pt layup from 1 ft,11,17
62,1,4:36.0,,Shooting foul by K. Irving (drawn by P. George),11,17
63,1,4:36.0,,P. George makes free throw 1 of 1,11,18
64,1,4:22.0,A. Horford misses 2-pt jump shot from 9 ft (block by S. Adams),,11,18
65,1,4:22.0,Offensive rebound by Team,,11,18
66,1,4:19.0,J. Brown misses 2-pt layup from 1 ft,,11,18
67,1,4:17.0,,Defensive rebound by R. Westbrook,11,18
68,1,4:04.0,,Personal foul by M. Smart (drawn by Á. Abrines),11,18
69,1,3:54.0,,Turnover by R. Westbrook (traveling),11,18
70,1,3:41.0,Shooting foul by Á. Abrines (drawn by M. Smart),,11,18
71,1,3:41.0,M. Smart makes free throw 1 of 2,,12,18
72,1,3:41.0,T. Rozier enters the game for K. Irving,,12,18
73,1,3:41.0,M. Smart makes free throw 2 of 2,,13,18
74,1,3:32.0,,Á. Abrines makes 3-pt jump shot from 23 ft (assist by R. Westbrook),13,21
75,1,3:10.0,T. Rozier misses 3-pt jump shot from 24 ft,,13,21
76,1,3:05.0,Defensive rebound by J. Brown,,13,21
77,1,3:03.0,Boston full timeout,,13,21
78,1,3:03.0,,Technical foul by R. Westbrook,13,21
79,1,3:03.0,J. Brown misses flagrant free throw 1 of 2,,13,21
80,1,3:03.0,Offensive rebound by Team,,13,21
81,1,3:03.0,J. Brown misses flagrant free throw 2 of 2,,13,21
82,1,3:03.0,Offensive rebound by Team,,13,21
83,1,2:56.0,M. Morris misses 2-pt layup at rim,,13,21
84,1,2:54.0,,Defensive rebound by R. Westbrook,13,21
85,1,2:50.0,,J. Grant makes 2-pt dunk from 1 ft (assist by R. Westbrook),13,23
86,1,2:31.0,M. Morris misses 2-pt jump shot from 17 ft,,13,23
87,1,2:27.0,,Defensive rebound by P. George,13,23
88,1,2:19.0,,S. Adams makes 2-pt layup at rim (assist by R. Westbrook),13,25
89,1,2:02.0,J. Brown misses 3-pt jump shot from 22 ft,,13,25
90,1,1:59.0,,Defensive rebound by S. Adams,13,25
91,1,1:49.0,,R. Westbrook makes 3-pt jump shot from 26 ft (assist by S. Adams),13,28
92,1,1:31.0,A. Horford makes 3-pt jump shot from 25 ft (assist by M. Smart),,16,28
93,1,1:18.0,,P. George misses 3-pt jump shot from 25 ft,16,28
94,1,1:14.0,Defensive rebound by M. Morris,,16,28
95,1,1:00.0,T. Rozier makes 2-pt jump shot from 15 ft,,18,28
96,1,0:48.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),18,31
97,1,0:28.0,M. Morris misses 2-pt jump shot from 23 ft,,18,31
98,1,0:25.0,,Defensive rebound by S. Adams,18,31
99,1,0:06.0,,R. Westbrook misses 2-pt layup from 1 ft,18,31
100,1,0:05.0,,Offensive rebound by S. Adams,18,31
101,1,0:03.0,,S. Adams misses 2-pt layup from 1 ft,18,31
102,1,0:03.0,,Offensive rebound by R. Westbrook,18,31
103,1,0:02.0,,R. Westbrook misses 2-pt layup at rim,18,31
104,1,0:01.0,Defensive rebound by M. Morris,,18,31
105,2,11:48.0,M. Smart makes 2-pt jump shot from 6 ft (assist by M. Morris),,20,31
106,2,11:25.0,,Shooting foul by M. Morris (drawn by C. Anthony),20,31
107,2,11:25.0,,C. Anthony makes free throw 1 of 2,20,32
108,2,11:25.0,,C. Anthony makes free throw 2 of 2,20,33
109,2,11:15.0,M. Smart makes 3-pt jump shot from 24 ft,,23,33
110,2,10:57.0,,Á. Abrines misses 3-pt jump shot from 24 ft,23,33
111,2,10:55.0,Defensive rebound by D. Theis,,23,33
112,2,10:44.0,M. Morris makes 2-pt jump shot from 12 ft (assist by T. Rozier),,25,33
113,2,10:22.0,,C. Anthony misses 2-pt jump shot from 16 ft,25,33
114,2,10:21.0,Defensive rebound by J. Tatum,,25,33
115,2,10:14.0,M. Smart misses 2-pt jump shot from 18 ft,,25,33
116,2,10:09.0,,Defensive rebound by C. Anthony,25,33
117,2,10:07.0,,Á. Abrines makes 3-pt jump shot from 24 ft (assist by C. Anthony),25,36
118,2,9:48.0,J. Tatum misses 2-pt layup at rim,,25,36
119,2,9:46.0,,Defensive rebound by J. Grant,25,36
120,2,9:43.0,,Á. Abrines misses 3-pt jump shot from 27 ft,25,36
121,2,9:40.0,Defensive rebound by T. Rozier,,25,36
122,2,9:25.0,D. Theis misses 2-pt layup from 1 ft (block by J. Grant),,25,36
123,2,9:22.0,,Defensive rebound by R. Felton,25,36
124,2,9:13.0,,Turnover by J. Grant (traveling),25,36
125,2,9:13.0,,T. Ferguson enters the game for Á. Abrines,25,36
126,2,8:58.0,Turnover by M. Morris (lost ball; steal by R. Felton),,25,36
127,2,8:45.0,,C. Anthony makes 2-pt jump shot from 16 ft,25,38
128,2,8:24.0,T. Rozier makes 2-pt layup from 1 ft,,27,38
129,2,8:21.0,,Oklahoma City full timeout,27,38
130,2,8:21.0,K. Irving enters the game for M. Morris,,27,38
131,2,8:09.0,,R. Felton misses 2-pt jump shot from 10 ft,27,38
132,2,8:06.0,Defensive rebound by M. Smart,,27,38
133,2,7:54.0,Offensive foul by D. Theis (drawn by P. Patterson),,27,38
134,2,7:54.0,Turnover by D. Theis (offensive foul),,27,38
135,2,7:54.0,,R. Westbrook enters the game for J. Grant,27,38
136,2,7:43.0,,Shooting foul by D. Theis (drawn by R. Westbrook),27,38
137,2,7:43.0,,R. Westbrook makes free throw 1 of 2,27,39
138,2,7:43.0,,R. Westbrook makes free throw 2 of 2,27,40
139,2,7:26.0,Personal foul by T. Ferguson (drawn by M. Smart),,27,40
140,2,7:26.0,,P. George enters the game for T. Ferguson,27,40
141,2,7:23.0,Personal foul by P. Patterson (drawn by K. Irving),,27,40
142,2,7:11.0,T. Rozier misses 3-pt jump shot from 24 ft,,27,40
143,2,7:08.0,,Defensive rebound by R. Westbrook,27,40
144,2,7:03.0,,Offensive foul by R. Westbrook (drawn by D. Theis),27,40
145,2,7:03.0,,Turnover by R. Westbrook (offensive foul),27,40
146,2,6:42.0,K. Irving misses 2-pt jump shot from 4 ft,,27,40
147,2,6:40.0,,Defensive rebound by C. Anthony,27,40
148,2,6:36.0,,P. Patterson misses 3-pt jump shot from 25 ft,27,40
149,2,6:32.0,Defensive rebound by T. Rozier,,27,40
150,2,6:22.0,M. Smart misses 2-pt layup from 8 ft (block by C. Anthony),,27,40
151,2,6:19.0,Offensive rebound by J. Tatum,,27,40
152,2,6:17.0,M. Smart misses 3-pt jump shot from 26 ft,,27,40
153,2,6:15.0,Offensive rebound by J. Tatum,,27,40
154,2,6:15.0,Shooting foul by C. Anthony (drawn by J. Tatum),,27,40
155,2,6:15.0,J. Tatum makes free throw 1 of 2,,28,40
156,2,6:15.0,S. Ojeleye enters the game for M. Smart,,28,40
157,2,6:15.0,J. Tatum makes free throw 2 of 2,,29,40
158,2,6:05.0,,R. Westbrook makes 2-pt layup from 1 ft,29,42
159,2,5:47.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by T. Rozier),,32,42
160,2,5:27.0,,P. Patterson makes 3-pt jump shot from 22 ft (assist by R. Felton),32,45
161,2,5:05.0,J. Tatum makes 2-pt layup from 1 ft,,34,45
162,2,4:55.0,,C. Anthony misses 3-pt jump shot from 25 ft,34,45
163,2,4:52.0,Defensive rebound by S. Ojeleye,,34,45
164,2,4:45.0,J. Tatum misses 2-pt jump shot from 12 ft,,34,45
165,2,4:43.0,,Defensive rebound by C. Anthony,34,45
166,2,4:37.0,,P. Patterson makes 3-pt jump shot from 25 ft (assist by R. Westbrook),34,48
167,2,4:32.0,Boston full timeout,,34,48
168,2,4:32.0,,S. Adams enters the game for P. Patterson,34,48
169,2,4:32.0,A. Baynes enters the game for T. Rozier,,34,48
170,2,4:32.0,A. Horford enters the game for D. Theis,,34,48
171,2,4:32.0,,A. Roberson enters the game for C. Anthony,34,48
172,2,4:32.0,,J. Grant enters the game for R. Felton,34,48
173,2,4:23.0,Offensive foul by A. Horford (drawn by A. Roberson),,34,48
174,2,4:23.0,Turnover by A. Horford (offensive foul),,34,48
175,2,4:11.0,,P. George misses 2-pt jump shot from 6 ft,34,48
176,2,4:07.0,,Offensive rebound by S. Adams,34,48
177,2,3:58.0,,S. Adams makes 2-pt layup at rim (assist by R. Westbrook),34,50
178,2,3:33.0,J. Tatum misses 2-pt layup from 1 ft,,34,50
179,2,3:31.0,,Defensive rebound by S. Adams,34,50
180,2,3:12.0,,J. Grant makes 2-pt dunk at rim,34,52
181,2,2:47.0,A. Baynes misses 2-pt jump shot from 10 ft,,34,52
182,2,2:44.0,,Defensive rebound by P. George,34,52
183,2,2:43.0,,P. George misses 3-pt jump shot from 25 ft,34,52
184,2,2:37.0,Defensive rebound by K. Irving,,34,52
185,2,2:21.0,Personal foul by P. George (drawn by K. Irving),,34,52
186,2,2:21.0,M. Smart enters the game for J. Tatum,,34,52
187,2,2:21.0,J. Brown enters the game for S. Ojeleye,,34,52
188,2,2:14.0,Turnover by M. Smart (lost ball; steal by R. Westbrook),,34,52
189,2,2:09.0,,A. Roberson misses 2-pt layup at rim,34,52
190,2,2:04.0,Defensive rebound by A. Horford,,34,52
191,2,2:02.0,K. Irving makes 3-pt jump shot from 24 ft (assist by M. Smart),,37,52
192,2,1:48.0,,P. George misses 3-pt jump shot from 25 ft,37,52
193,2,1:48.0,Defensive rebound by K. Irving,,37,52
194,2,1:41.0,K. Irving misses 3-pt jump shot from 25 ft,,37,52
195,2,1:41.0,,Defensive rebound by R. Westbrook,37,52
196,2,1:32.0,,Personal foul by M. Smart (drawn by S. Adams),37,52
197,2,1:32.0,,C. Anthony enters the game for J. Grant,37,52
198,2,1:20.0,,P. George misses 2-pt jump shot from 15 ft,37,52
199,2,1:14.0,Defensive rebound by J. Brown,,37,52
200,2,1:04.0,K. Irving misses 2-pt layup from 1 ft,,37,52
201,2,1:01.0,A. Baynes misses 2-pt layup at rim,,37,52
202,2,1:00.0,Offensive rebound by J. Brown,,37,52
203,2,0:59.0,,Defensive rebound by C. Anthony,37,52
204,2,0:45.0,,Turnover by C. Anthony (traveling),37,52
205,2,0:29.0,M. Smart misses 2-pt layup from 1 ft (block by S. Adams),,37,52
206,2,0:25.0,,Defensive rebound by S. Adams,37,52
207,2,0:23.0,,R. Westbrook makes 3-pt jump shot from 26 ft (assist by C. Anthony),37,55
208,2,0:00.0,K. Irving misses 2-pt layup from 1 ft (block by A. Roberson),,37,55
209,2,0:00.0,Offensive rebound by Team,,37,55
210,3,11:41.0,A. Horford misses 2-pt hook shot from 9 ft,,37,55
211,3,11:37.0,,Defensive rebound by C. Anthony,37,55
212,3,11:24.0,,S. Adams misses 2-pt hook shot from 3 ft,37,55
213,3,11:16.0,,Offensive rebound by C. Anthony,37,55
214,3,11:11.0,,Turnover by R. Westbrook (bad pass; steal by J. Brown),37,55
215,3,11:07.0,K. Irving misses 2-pt layup at rim,,37,55
216,3,11:04.0,,Defensive rebound by A. Roberson,37,55
217,3,11:00.0,,R. Westbrook misses 2-pt layup at rim,37,55
218,3,10:58.0,Defensive rebound by J. Brown,,37,55
219,3,10:54.0,Shooting foul by C. Anthony (drawn by M. Morris),,37,55
220,3,10:54.0,M. Morris makes free throw 1 of 2,,38,55
221,3,10:54.0,M. Morris makes free throw 2 of 2,,39,55
222,3,10:36.0,,C. Anthony misses 2-pt jump shot from 7 ft,39,55
223,3,10:33.0,,Offensive rebound by A. Roberson,39,55
224,3,10:31.0,,P. George misses 3-pt jump shot from 24 ft,39,55
225,3,10:29.0,Defensive rebound by M. Morris,,39,55
226,3,10:06.0,A. Horford makes 2-pt layup at rim,,41,55
227,3,9:58.0,,P. George makes 3-pt jump shot from 24 ft,41,58
228,3,9:54.0,Boston full timeout,,41,58
229,3,9:45.0,M. Morris makes 2-pt jump shot from 12 ft (assist by K. Irving),,43,58
230,3,9:25.0,,R. Westbrook makes 2-pt jump shot from 15 ft,43,60
231,3,9:15.0,A. Horford makes 2-pt layup from 1 ft (assist by J. Tatum),,45,60
232,3,8:56.0,,Turnover by P. George (lost ball; steal by M. Morris),45,60
233,3,8:53.0,M. Morris makes 2-pt layup at rim (assist by K. Irving),,47,60
234,3,8:53.0,Shooting foul by R. Westbrook (drawn by M. Morris),,47,60
235,3,8:53.0,,Oklahoma City full timeout,47,60
236,3,8:53.0,M. Morris makes free throw 1 of 1,,48,60
237,3,8:38.0,,A. Roberson makes 2-pt layup at rim (assist by R. Westbrook),48,62
238,3,8:22.0,Shooting foul by S. Adams (drawn by J. Brown),,48,62
239,3,8:22.0,J. Brown misses free throw 1 of 2,,48,62
240,3,8:22.0,Offensive rebound by Team,,48,62
241,3,8:22.0,J. Brown misses free throw 2 of 2,,48,62
242,3,8:20.0,,Defensive rebound by R. Westbrook,48,62
243,3,8:04.0,,C. Anthony misses 2-pt jump shot from 10 ft,48,62
244,3,8:01.0,Defensive rebound by J. Brown,,48,62
245,3,7:57.0,Shooting foul by R. Westbrook (drawn by J. Brown),,48,62
246,3,7:57.0,J. Brown makes free throw 1 of 2,,49,62
247,3,7:57.0,M. Smart enters the game for J. Tatum,,49,62
248,3,7:57.0,J. Brown makes free throw 2 of 2,,50,62
249,3,7:47.0,,R. Westbrook misses 3-pt jump shot from 25 ft,50,62
250,3,7:44.0,Defensive rebound by J. Brown,,50,62
