,QUARTER,TIME_REMAINING,DALLAS_ACTION,SACRAMENTO_ACTION,DALLAS_SCORE,SACRAMENTO_SCORE
0,1,11:40.0,,Turnover by B. Bogdanović (bad pass; steal by A. Harrison),0,0
1,1,11:35.0,D. Smith misses 2-pt layup from 5 ft (block by J. Jackson),,0,0
2,1,11:31.0,Offensive rebound by D. Smith,,0,0
3,1,11:30.0,H. Barnes misses 3-pt jump shot from 24 ft,,0,0
4,1,11:27.0,,Defensive rebound by W. Cauley-Stein,0,0
5,1,11:22.0,,D. Fox makes 2-pt jump shot from 17 ft,0,2
6,1,11:01.0,Turnover by D. Smith (bad pass; steal by W. Cauley-Stein),,0,2
7,1,10:57.0,,J. Jackson makes 2-pt dunk at rim (assist by D. Fox),0,4
8,1,10:28.0,A. Harrison makes 3-pt jump shot from 26 ft (assist by H. Barnes),,3,4
9,1,10:09.0,,D. Fox misses 2-pt jump shot from 8 ft,3,4
10,1,10:06.0,Defensive rebound by D. Nowitzki,,3,4
11,1,9:45.0,Turnover by D. Smith (bad pass; steal by W. Cauley-Stein),,3,4
12,1,9:32.0,,S. Labissière misses 2-pt jump shot from 11 ft,3,4
13,1,9:29.0,Defensive rebound by D. Nowitzki,,3,4
14,1,9:23.0,D. Smith makes 3-pt jump shot from 26 ft (assist by H. Barnes),,6,4
15,1,9:03.0,,S. Labissière misses 3-pt jump shot from 24 ft,6,4
16,1,9:00.0,Defensive rebound by M. Kleber,,6,4
17,1,8:54.0,D. Smith makes 3-pt jump shot from 25 ft,,9,4
18,1,8:42.0,,Personal foul by M. Kleber (drawn by S. Labissière),9,4
19,1,8:32.0,,Turnover by W. Cauley-Stein (lost ball; steal by D. Nowitzki),9,4
20,1,8:32.0,Personal foul by W. Cauley-Stein (drawn by M. Kleber),,9,4
21,1,8:16.0,H. Barnes makes 2-pt jump shot from 7 ft (assist by D. Nowitzki),,11,4
22,1,8:07.0,,J. Jackson misses 2-pt jump shot from 11 ft,11,4
23,1,8:05.0,Defensive rebound by D. Nowitzki,,11,4
24,1,7:56.0,Personal foul by B. Bogdanović (drawn by D. Smith),,11,4
25,1,7:44.0,Turnover by H. Barnes (bad pass),,11,4
26,1,7:32.0,,Personal foul by D. Nowitzki (drawn by W. Cauley-Stein),11,4
27,1,7:23.0,,D. Fox misses 2-pt jump shot from 19 ft,11,4
28,1,7:19.0,Defensive rebound by M. Kleber,,11,4
29,1,7:09.0,D. Nowitzki misses 2-pt jump shot from 15 ft,,11,4
30,1,7:05.0,,Defensive rebound by S. Labissière,11,4
31,1,6:54.0,,B. Bogdanović misses 2-pt jump shot from 12 ft,11,4
32,1,6:51.0,Defensive rebound by M. Kleber,,11,4
33,1,6:46.0,D. Smith misses 3-pt jump shot from 25 ft,,11,4
34,1,6:43.0,,Defensive rebound by W. Cauley-Stein,11,4
35,1,6:40.0,,Personal foul by A. Harrison (drawn by B. Bogdanović),11,4
36,1,6:40.0,,Sacramento full timeout,11,4
37,1,6:40.0,D. McDermott enters the game for D. Nowitzki,,11,4
38,1,6:31.0,,B. Bogdanović makes 3-pt jump shot from 22 ft (assist by D. Fox),11,7
39,1,6:14.0,A. Harrison misses 3-pt jump shot from 25 ft,,11,7
40,1,6:12.0,,Defensive rebound by J. Jackson,11,7
41,1,6:06.0,,W. Cauley-Stein makes 2-pt jump shot from 5 ft (assist by J. Jackson),11,9
42,1,5:42.0,H. Barnes makes 2-pt jump shot from 9 ft (assist by D. Smith),,13,9
43,1,5:29.0,,S. Labissière misses 2-pt jump shot from 7 ft (block by H. Barnes),13,9
44,1,5:28.0,Defensive rebound by D. McDermott,,13,9
45,1,5:28.0,Personal foul by D. Fox (drawn by D. Smith),,13,9
46,1,5:28.0,,J. Sampson enters the game for W. Cauley-Stein,13,9
47,1,5:28.0,,K. Koufos enters the game for S. Labissière,13,9
48,1,5:18.0,D. Smith makes 2-pt dunk from 1 ft (assist by H. Barnes),,15,9
49,1,4:51.0,,K. Koufos misses 2-pt jump shot from 10 ft,15,9
50,1,4:47.0,Defensive rebound by A. Harrison,,15,9
51,1,4:41.0,M. Kleber makes 2-pt jump shot from 20 ft (assist by H. Barnes),,17,9
52,1,4:30.0,,D. Fox misses 2-pt layup from 2 ft,17,9
53,1,4:28.0,,Offensive rebound by K. Koufos,17,9
54,1,4:11.0,,K. Koufos makes 2-pt layup from 2 ft (assist by B. Bogdanović),17,11
55,1,4:00.0,Dallas full timeout,,17,11
56,1,4:00.0,,F. Mason enters the game for D. Fox,17,11
57,1,4:00.0,,B. Hield enters the game for J. Jackson,17,11
58,1,4:00.0,Y. Ferrell enters the game for D. Smith,,17,11
59,1,4:00.0,S. Mejri enters the game for A. Harrison,,17,11
60,1,4:00.0,K. Collinsworth enters the game for M. Kleber,,17,11
61,1,3:52.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by H. Barnes),,20,11
62,1,3:35.0,,F. Mason misses 2-pt jump shot from 18 ft,20,11
63,1,3:32.0,Defensive rebound by S. Mejri,,20,11
64,1,3:14.0,Shooting foul by J. Sampson (drawn by Y. Ferrell),,20,11
65,1,3:14.0,Y. Ferrell misses free throw 1 of 3,,20,11
66,1,3:14.0,Offensive rebound by Team,,20,11
67,1,3:14.0,Y. Ferrell misses free throw 2 of 3,,20,11
68,1,3:14.0,Offensive rebound by Team,,20,11
69,1,3:14.0,Y. Ferrell makes free throw 3 of 3,,21,11
70,1,3:02.0,,B. Hield makes 3-pt jump shot from 22 ft (assist by F. Mason),21,14
71,1,2:43.0,H. Barnes misses 3-pt jump shot from 25 ft,,21,14
72,1,2:40.0,,Defensive rebound by B. Bogdanović,21,14
73,1,2:29.0,,J. Sampson misses 2-pt hook shot from 4 ft,21,14
74,1,2:25.0,Defensive rebound by K. Collinsworth,,21,14
75,1,2:19.0,K. Collinsworth makes 2-pt layup from 8 ft,,23,14
76,1,2:04.0,,Turnover by F. Mason (lost ball; steal by S. Mejri),23,14
77,1,1:53.0,S. Mejri misses 2-pt hook shot from 7 ft,,23,14
78,1,1:51.0,,Defensive rebound by B. Hield,23,14
79,1,1:46.0,,B. Hield misses 2-pt layup from 3 ft (block by S. Mejri),23,14
80,1,1:43.0,,Offensive rebound by K. Koufos,23,14
81,1,1:40.0,,K. Koufos makes 2-pt layup at rim,23,16
82,1,1:28.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,23,16
83,1,1:26.0,,Defensive rebound by B. Bogdanović,23,16
84,1,1:15.0,,F. Mason misses 2-pt jump shot from 6 ft,23,16
85,1,1:10.0,,Offensive rebound by K. Koufos,23,16
86,1,1:10.0,,K. Koufos misses 2-pt layup at rim,23,16
87,1,1:08.0,,Offensive rebound by K. Koufos,23,16
88,1,1:08.0,,K. Koufos makes 2-pt layup at rim,23,18
89,1,0:49.0,Y. Ferrell misses 2-pt jump shot from 13 ft,,23,18
90,1,0:46.0,,Defensive rebound by B. Hield,23,18
91,1,0:40.0,,B. Hield misses 2-pt jump shot from 18 ft,23,18
92,1,0:37.0,Defensive rebound by H. Barnes,,23,18
93,1,0:29.0,H. Barnes makes 2-pt layup from 4 ft,,25,18
94,1,0:08.0,,K. Koufos makes 2-pt hook shot from 7 ft,25,20
95,1,0:01.0,Y. Ferrell misses 3-pt jump shot from 25 ft (block by F. Mason),,25,20
96,1,0:00.0,Offensive rebound by Team,,25,20
97,2,11:44.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,25,20
98,2,11:42.0,,Defensive rebound by K. Koufos,25,20
99,2,11:30.0,,K. Koufos makes 2-pt hook shot from 6 ft (assist by J. Sampson),25,22
100,2,11:12.0,D. McDermott makes 3-pt jump shot from 23 ft (assist by K. Collinsworth),,28,22
101,2,10:48.0,,K. Koufos makes 2-pt jump shot from 10 ft (assist by F. Mason),28,24
102,2,10:27.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,28,24
103,2,10:24.0,,Defensive rebound by K. Koufos,28,24
104,2,10:16.0,,F. Mason misses 3-pt jump shot from 24 ft,28,24
105,2,10:12.0,Defensive rebound by D. McDermott,,28,24
106,2,10:08.0,Y. Ferrell misses 2-pt layup from 3 ft,,28,24
107,2,10:02.0,Offensive rebound by S. Mejri,,28,24
108,2,10:02.0,S. Mejri makes 2-pt dunk at rim,,30,24
109,2,9:47.0,,V. Carter misses 2-pt jump shot from 20 ft,30,24
110,2,9:44.0,Defensive rebound by Y. Ferrell,,30,24
111,2,9:38.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,30,24
112,2,9:35.0,,Defensive rebound by K. Koufos,30,24
113,2,9:32.0,,Shooting foul by Y. Ferrell (drawn by F. Mason),30,24
114,2,9:32.0,,F. Mason makes free throw 1 of 2,30,25
115,2,9:32.0,,F. Mason makes free throw 2 of 2,30,26
116,2,9:15.0,Shooting foul by F. Mason (drawn by S. Mejri),,30,26
117,2,9:15.0,S. Mejri makes free throw 1 of 2,,31,26
118,2,9:15.0,S. Mejri makes free throw 2 of 2,,32,26
119,2,9:01.0,,K. Koufos makes 2-pt layup at rim (assist by F. Mason),32,28
120,2,9:01.0,,Shooting foul by D. McDermott (drawn by K. Koufos),32,28
121,2,9:01.0,,K. Koufos makes free throw 1 of 1,32,29
122,2,8:41.0,S. Mejri misses 2-pt dunk from 2 ft,,32,29
123,2,8:38.0,,Defensive rebound by F. Mason,32,29
124,2,8:34.0,,F. Mason misses 2-pt layup from 1 ft (block by K. Collinsworth),32,29
125,2,8:34.0,,Offensive rebound by Team,32,29
126,2,8:34.0,,Sacramento full timeout,32,29
127,2,8:25.0,,B. Hield misses 2-pt layup from 2 ft,32,29
128,2,8:20.0,Defensive rebound by D. McDermott,,32,29
129,2,8:14.0,Shooting foul by B. Hield (drawn by K. Collinsworth),,32,29
130,2,8:14.0,K. Collinsworth misses free throw 1 of 2,,32,29
131,2,8:14.0,Offensive rebound by Team,,32,29
132,2,8:14.0,,J. Jackson enters the game for J. Sampson,32,29
133,2,8:14.0,K. Collinsworth misses free throw 2 of 2,,32,29
134,2,8:11.0,,Defensive rebound by J. Jackson,32,29
135,2,8:04.0,D. Smith enters the game for Y. Ferrell,,32,29
136,2,8:04.0,H. Barnes enters the game for D. McDermott,,32,29
137,2,7:54.0,,Turnover by V. Carter (step out of bounds),32,29
138,2,7:36.0,H. Barnes makes 3-pt jump shot from 22 ft (assist by S. Mejri),,35,29
139,2,7:22.0,,V. Carter misses 3-pt jump shot from 24 ft,35,29
140,2,7:19.0,Defensive rebound by D. Nowitzki,,35,29
141,2,7:10.0,S. Mejri misses 2-pt jump shot from 18 ft,,35,29
142,2,7:06.0,,Defensive rebound by J. Jackson,35,29
143,2,6:51.0,,K. Koufos misses 2-pt hook shot from 8 ft,35,29
144,2,6:49.0,,Offensive rebound by F. Mason,35,29
145,2,6:46.0,,J. Jackson misses 2-pt jump shot from 7 ft (block by S. Mejri),35,29
146,2,6:42.0,Defensive rebound by H. Barnes,,35,29
147,2,6:38.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,35,29
148,2,6:33.0,,Defensive rebound by F. Mason,35,29
149,2,6:31.0,,B. Hield misses 3-pt jump shot from 23 ft,35,29
150,2,6:28.0,Defensive rebound by K. Collinsworth,,35,29
151,2,6:18.0,H. Barnes misses 3-pt jump shot from 23 ft,,35,29
152,2,6:14.0,,Defensive rebound by F. Mason,35,29
153,2,6:09.0,,F. Mason misses 2-pt jump shot from 22 ft,35,29
154,2,6:05.0,Defensive rebound by K. Collinsworth,,35,29
155,2,5:57.0,Dallas full timeout,,35,29
156,2,5:57.0,,D. Fox enters the game for V. Carter,35,29
157,2,5:57.0,,W. Cauley-Stein enters the game for K. Koufos,35,29
158,2,5:57.0,J. Motley enters the game for K. Collinsworth,,35,29
159,2,5:57.0,A. Harrison enters the game for D. Nowitzki,,35,29
160,2,5:57.0,M. Kleber enters the game for S. Mejri,,35,29
161,2,5:43.0,Turnover by Team (shot clock),,35,29
162,2,5:36.0,,J. Jackson makes 3-pt jump shot from 24 ft (assist by D. Fox),35,32
163,2,5:12.0,A. Harrison misses 3-pt jump shot from 23 ft,,35,32
164,2,5:12.0,Offensive rebound by Team,,35,32
165,2,5:12.0,,Loose ball foul by W. Cauley-Stein (drawn by J. Motley),35,32
166,2,5:07.0,Turnover by D. Smith (bad pass),,35,32
167,2,4:55.0,,Turnover by D. Fox (bad pass),35,32
168,2,4:40.0,Personal foul by D. Fox (drawn by J. Motley),,35,32
169,2,4:34.0,Shooting foul by W. Cauley-Stein (drawn by J. Motley),,35,32
170,2,4:34.0,J. Motley misses free throw 1 of 2,,35,32
171,2,4:34.0,Offensive rebound by Team,,35,32
172,2,4:34.0,J. Motley misses free throw 2 of 2,,35,32
173,2,4:25.0,,Defensive rebound by J. Jackson,35,32
174,2,4:11.0,,B. Hield makes 2-pt jump shot from 3 ft,35,34
175,2,4:00.0,D. Smith misses 2-pt jump shot from 9 ft,,35,34
176,2,3:54.0,,Defensive rebound by W. Cauley-Stein,35,34
177,2,3:50.0,,D. Fox misses 3-pt jump shot from 24 ft,35,34
178,2,3:50.0,Defensive rebound by H. Barnes,,35,34
179,2,3:40.0,Shooting foul by F. Mason (drawn by D. Smith),,35,34
180,2,3:40.0,D. Smith makes free throw 1 of 2,,36,34
181,2,3:40.0,,S. Labissière enters the game for B. Hield,36,34
182,2,3:40.0,,B. Bogdanović enters the game for W. Cauley-Stein,36,34
183,2,3:40.0,D. Smith makes free throw 2 of 2,,37,34
184,2,3:27.0,,F. Mason misses 3-pt jump shot from 25 ft,37,34
185,2,3:24.0,,Offensive rebound by F. Mason,37,34
186,2,3:22.0,,F. Mason misses 2-pt layup from 4 ft (block by M. Kleber),37,34
187,2,3:19.0,Defensive rebound by A. Harrison,,37,34
188,2,3:06.0,J. Motley makes 2-pt dunk from 2 ft (assist by D. Smith),,39,34
189,2,2:52.0,,Shooting foul by D. Smith (drawn by F. Mason),39,34
190,2,2:52.0,,F. Mason makes free throw 1 of 2,39,35
191,2,2:52.0,,F. Mason makes free throw 2 of 2,39,36
192,2,2:34.0,Shooting foul by B. Bogdanović (drawn by H. Barnes),,39,36
193,2,2:34.0,H. Barnes makes free throw 1 of 2,,40,36
194,2,2:34.0,,K. Koufos enters the game for F. Mason,40,36
195,2,2:34.0,H. Barnes makes free throw 2 of 2,,41,36
196,2,2:22.0,,S. Labissière misses 2-pt hook shot from 7 ft,41,36
197,2,2:17.0,Defensive rebound by A. Harrison,,41,36
198,2,2:15.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by D. Smith),,44,36
199,2,1:56.0,,S. Labissière makes 2-pt layup from 3 ft (assist by D. Fox),44,38
200,2,1:43.0,D. Smith makes 3-pt jump shot from 25 ft (assist by H. Barnes),,47,38
201,2,1:32.0,,B. Bogdanović makes 2-pt jump shot from 16 ft,47,40
202,2,1:18.0,A. Harrison misses 3-pt jump shot from 25 ft,,47,40
203,2,1:15.0,,Defensive rebound by J. Jackson,47,40
204,2,1:11.0,,S. Labissière makes 2-pt dunk from 1 ft (assist by D. Fox),47,42
205,2,0:55.0,Shooting foul by D. Fox (drawn by H. Barnes),,47,42
206,2,0:55.0,H. Barnes makes free throw 1 of 2,,48,42
207,2,0:55.0,H. Barnes makes free throw 2 of 2,,49,42
208,2,0:45.0,,Shooting foul by A. Harrison (drawn by B. Bogdanović),49,42
209,2,0:45.0,,B. Bogdanović misses free throw 1 of 2,49,42
210,2,0:45.0,,Offensive rebound by Team,49,42
211,2,0:45.0,,B. Bogdanović makes free throw 2 of 2,49,43
212,2,0:32.0,D. Smith misses 3-pt jump shot from 26 ft,,49,43
213,2,0:31.0,Offensive rebound by Team,,49,43
214,2,0:31.0,,Loose ball foul by K. Koufos (drawn by J. Motley),49,43
215,2,0:31.0,J. Motley makes free throw 1 of 2,,50,43
216,2,0:31.0,J. Motley makes free throw 2 of 2,,51,43
217,2,0:12.0,,D. Fox misses 3-pt jump shot from 25 ft,51,43
218,2,0:09.0,,Offensive rebound by S. Labissière,51,43
219,2,0:08.0,,Shooting foul by J. Motley (drawn by S. Labissière),51,43
220,2,0:08.0,,S. Labissière makes free throw 1 of 2,51,44
221,2,0:08.0,,F. Mason enters the game for D. Fox,51,44
222,2,0:08.0,,S. Labissière makes free throw 2 of 2,51,45
223,2,0:01.0,D. Smith makes 2-pt layup from 2 ft,,53,45
224,2,0:00.0,,F. Mason misses 3-pt jump shot from 62 ft,53,45
225,2,0:00.0,,Offensive rebound by Team,53,45
226,3,11:44.0,M. Kleber makes 2-pt dunk from 1 ft (assist by D. Nowitzki),,55,45
227,3,11:29.0,,Personal foul by M. Kleber (drawn by S. Labissière),55,45
228,3,11:21.0,,W. Cauley-Stein makes 2-pt layup from 2 ft,55,47
229,3,11:10.0,M. Kleber misses 3-pt jump shot from 24 ft,,55,47
230,3,11:06.0,,Defensive rebound by J. Jackson,55,47
231,3,10:56.0,,D. Fox misses 2-pt jump shot from 7 ft,55,47
232,3,10:54.0,Defensive rebound by D. Nowitzki,,55,47
233,3,10:46.0,A. Harrison makes 3-pt jump shot from 24 ft (assist by D. Nowitzki),,58,47
234,3,10:27.0,,B. Bogdanović makes 2-pt jump shot from 22 ft (assist by S. Labissière),58,49
235,3,10:15.0,Shooting foul by D. Fox (drawn by D. Smith),,58,49
236,3,10:15.0,D. Smith makes free throw 1 of 2,,59,49
237,3,10:15.0,D. Smith makes free throw 2 of 2,,60,49
238,3,10:01.0,,B. Bogdanović misses 2-pt jump shot from 19 ft,60,49
239,3,9:58.0,Defensive rebound by M. Kleber,,60,49
240,3,9:51.0,A. Harrison misses 3-pt jump shot from 23 ft,,60,49
241,3,9:46.0,,Defensive rebound by J. Jackson,60,49
242,3,9:42.0,,J. Jackson misses 2-pt layup from 7 ft (block by D. Nowitzki),60,49
243,3,9:42.0,,Offensive rebound by Team,60,49
244,3,9:40.0,,D. Fox misses 2-pt jump shot from 9 ft,60,49
245,3,9:37.0,Defensive rebound by M. Kleber,,60,49
246,3,9:30.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,60,49
247,3,9:27.0,,Defensive rebound by S. Labissière,60,49
248,3,9:16.0,,B. Bogdanović makes 2-pt jump shot from 19 ft (assist by W. Cauley-Stein),60,51
249,3,9:02.0,D. Nowitzki makes 2-pt jump shot from 21 ft (assist by D. Smith),,62,51
250,3,8:43.0,,W. Cauley-Stein makes 2-pt layup from 3 ft,62,53
251,3,8:28.0,D. Smith misses 3-pt jump shot from 24 ft,,62,53
252,3,8:25.0,Offensive rebound by M. Kleber,,62,53
253,3,8:22.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,62,53
254,3,8:20.0,,Defensive rebound by S. Labissière,62,53
255,3,8:13.0,,Shooting foul by D. Nowitzki (drawn by W. Cauley-Stein),62,53
256,3,8:13.0,,W. Cauley-Stein misses free throw 1 of 2,62,53
257,3,8:13.0,,Offensive rebound by Team,62,53
258,3,8:13.0,,W. Cauley-Stein misses free throw 2 of 2,62,53
259,3,8:10.0,Defensive rebound by M. Kleber,,62,53
260,3,7:57.0,Turnover by D. Smith (bad pass; steal by W. Cauley-Stein),,62,53
261,3,7:49.0,,J. Jackson misses 3-pt jump shot from 24 ft,62,53
262,3,7:46.0,Defensive rebound by D. Nowitzki,,62,53
263,3,7:42.0,Offensive foul by M. Kleber (drawn by D. Fox),,62,53
264,3,7:42.0,Turnover by M. Kleber (offensive foul),,62,53
265,3,7:32.0,,D. Fox makes 2-pt jump shot from 2 ft,62,55
266,3,7:32.0,,Shooting foul by D. Nowitzki (drawn by D. Fox),62,55
267,3,7:32.0,,D. Fox makes free throw 1 of 1,62,56
268,3,7:19.0,H. Barnes misses 2-pt jump shot from 20 ft,,62,56
269,3,7:15.0,,Defensive rebound by S. Labissière,62,56
270,3,7:08.0,,B. Bogdanović misses 2-pt jump shot from 12 ft,62,56
271,3,7:04.0,Defensive rebound by A. Harrison,,62,56
272,3,7:03.0,Personal foul by B. Bogdanović (drawn by A. Harrison),,62,56
273,3,6:52.0,A. Harrison makes 2-pt layup from 2 ft,,64,56
274,3,6:41.0,,D. Fox misses 3-pt jump shot from 22 ft,64,56
275,3,6:37.0,Defensive rebound by H. Barnes,,64,56
276,3,6:21.0,D. Smith makes 2-pt layup at rim,,66,56
277,3,6:03.0,,S. Labissière misses 2-pt hook shot from 9 ft,66,56
278,3,6:01.0,Defensive rebound by D. Nowitzki,,66,56
279,3,5:43.0,Personal foul by B. Bogdanović (drawn by M. Kleber),,66,56
280,3,5:43.0,,Sacramento full timeout,66,56
281,3,5:39.0,Personal foul by J. Jackson (drawn by H. Barnes),,66,56
282,3,5:35.0,Turnover by D. Smith (bad pass; steal by W. Cauley-Stein),,66,56
283,3,5:34.0,,Shooting foul by D. Smith (drawn by W. Cauley-Stein),66,56
284,3,5:34.0,,W. Cauley-Stein makes free throw 1 of 2,66,57
285,3,5:34.0,,W. Cauley-Stein misses free throw 2 of 2,66,57
286,3,5:31.0,Defensive rebound by D. Nowitzki,,66,57
287,3,5:10.0,D. Nowitzki misses 3-pt jump shot from 74 ft,,66,57
288,3,5:09.0,Offensive rebound by Team,,66,57
289,3,5:09.0,Turnover by Team (shot clock),,66,57
