,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ORLANDO_ACTION,MEMPHIS_SCORE,ORLANDO_SCORE
0,1,11:34.0,J. Green misses 3-pt jump shot from 27 ft,,0,0
1,1,11:33.0,,Defensive rebound by A. Gordon,0,0
2,1,11:18.0,,E. Fournier makes 2-pt layup from 2 ft (assist by N. Vučević),0,2
3,1,11:05.0,M. Chalmers makes 2-pt layup from 2 ft,,2,2
4,1,10:55.0,,N. Vučević makes 2-pt layup from 3 ft (assist by D. Augustin),2,4
5,1,10:38.0,Shooting foul by J. Simmons (drawn by J. Green),,2,4
6,1,10:38.0,J. Green makes free throw 1 of 2,,3,4
7,1,10:38.0,J. Green makes free throw 2 of 2,,4,4
8,1,10:29.0,,Offensive foul by D. Augustin (drawn by B. McLemore),4,4
9,1,10:29.0,,Turnover by D. Augustin (offensive foul),4,4
10,1,10:13.0,J. Green misses 2-pt layup from 3 ft,,4,4
11,1,10:10.0,,Defensive rebound by N. Vučević,4,4
12,1,9:51.0,,E. Fournier makes 2-pt jump shot from 18 ft,4,6
13,1,9:38.0,D. Brooks makes 2-pt layup from 5 ft,,6,6
14,1,9:22.0,,D. Augustin makes 3-pt jump shot from 26 ft (assist by E. Fournier),6,9
15,1,9:12.0,B. McLemore misses 2-pt layup from 2 ft,,6,9
16,1,9:10.0,,Defensive rebound by N. Vučević,6,9
17,1,9:01.0,,N. Vučević misses 2-pt jump shot from 6 ft,6,9
18,1,8:58.0,Defensive rebound by J. Martin,,6,9
19,1,8:44.0,M. Chalmers makes 2-pt jump shot from 20 ft,,8,9
20,1,8:19.0,,N. Vučević makes 2-pt layup from 3 ft (assist by D. Augustin),8,11
21,1,8:02.0,J. Green misses 2-pt jump shot from 13 ft,,8,11
22,1,7:59.0,,Defensive rebound by A. Gordon,8,11
23,1,7:56.0,,A. Gordon misses 2-pt jump shot at rim,8,11
24,1,7:55.0,,Offensive rebound by A. Gordon,8,11
25,1,7:55.0,,A. Gordon misses 2-pt layup at rim,8,11
26,1,7:53.0,Defensive rebound by D. Brooks,,8,11
27,1,7:46.0,J. Martin makes 2-pt jump shot from 20 ft (assist by J. Green),,10,11
28,1,7:25.0,,J. Simmons makes 2-pt jump shot from 6 ft,10,13
29,1,7:20.0,Turnover by J. Martin (lost ball; steal by A. Gordon),,10,13
30,1,7:11.0,,Personal foul by M. Chalmers (drawn by D. Augustin),10,13
31,1,7:11.0,I. Rabb enters the game for J. Green,,10,13
32,1,7:08.0,,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Fournier),10,15
33,1,6:49.0,B. McLemore misses 2-pt layup from 5 ft,,10,15
34,1,6:49.0,Offensive rebound by J. Martin,,10,15
35,1,6:49.0,Shooting foul by N. Vučević (drawn by J. Martin),,10,15
36,1,6:49.0,,Orlando full timeout,10,15
37,1,6:49.0,J. Martin makes free throw 1 of 2,,11,15
38,1,6:49.0,J. Martin makes free throw 2 of 2,,12,15
39,1,6:31.0,,A. Gordon makes 2-pt jump shot from 11 ft,12,17
40,1,6:09.0,I. Rabb makes 2-pt jump shot from 17 ft (assist by B. McLemore),,14,17
41,1,5:53.0,,Turnover by J. Simmons (bad pass; steal by B. McLemore),14,17
42,1,5:46.0,B. McLemore makes 2-pt layup from 3 ft (assist by D. Brooks),,16,17
43,1,5:27.0,,D. Augustin makes 3-pt jump shot from 25 ft (assist by J. Simmons),16,20
44,1,5:18.0,B. McLemore makes 2-pt layup from 3 ft (assist by M. Chalmers),,18,20
45,1,5:06.0,,Shooting foul by I. Rabb (drawn by N. Vučević),18,20
46,1,5:06.0,,N. Vučević makes free throw 1 of 2,18,21
47,1,5:06.0,,M. Hezonja enters the game for J. Simmons,18,21
48,1,5:06.0,K. Simmons enters the game for M. Chalmers,,18,21
49,1,5:06.0,C. Parsons enters the game for D. Brooks,,18,21
50,1,5:06.0,,N. Vučević misses free throw 2 of 2,18,21
51,1,4:53.0,Defensive rebound by C. Parsons,,18,21
52,1,4:49.0,Shooting foul by E. Fournier (drawn by I. Rabb),,18,21
53,1,4:49.0,I. Rabb misses free throw 1 of 2,,18,21
54,1,4:49.0,Offensive rebound by Team,,18,21
55,1,4:49.0,I. Rabb makes free throw 2 of 2,,19,21
56,1,4:33.0,,A. Gordon misses 3-pt jump shot from 26 ft,19,21
57,1,4:31.0,Defensive rebound by B. McLemore,,19,21
58,1,4:22.0,B. McLemore makes 2-pt jump shot from 20 ft (assist by K. Simmons),,21,21
59,1,4:05.0,,Shooting foul by I. Rabb (drawn by A. Gordon),21,21
60,1,4:05.0,,A. Gordon makes free throw 1 of 2,21,22
61,1,4:05.0,,A. Gordon makes free throw 2 of 2,21,23
62,1,3:51.0,J. Martin misses 2-pt layup from 3 ft (block by M. Hezonja),,21,23
63,1,3:45.0,Offensive rebound by B. McLemore,,21,23
64,1,3:40.0,J. Martin makes 2-pt jump shot from 20 ft (assist by K. Simmons),,23,23
65,1,3:12.0,,M. Hezonja misses 2-pt jump shot from 18 ft,23,23
66,1,3:08.0,Defensive rebound by J. Martin,,23,23
67,1,2:56.0,J. Martin misses 2-pt hook shot from 7 ft,,23,23
68,1,2:53.0,,Defensive rebound by A. Gordon,23,23
69,1,2:45.0,,D. Augustin makes 2-pt layup from 2 ft (assist by A. Gordon),23,25
70,1,2:39.0,K. Simmons makes 2-pt dunk from 2 ft (assist by J. Martin),,25,25
71,1,2:38.0,,Orlando full timeout,25,25
72,1,2:38.0,,B. Biyombo enters the game for N. Vučević,25,25
73,1,2:38.0,,S. Mack enters the game for D. Augustin,25,25
74,1,2:38.0,D. Brooks enters the game for J. Martin,,25,25
75,1,2:38.0,J. Green enters the game for B. McLemore,,25,25
76,1,2:24.0,,E. Fournier misses 3-pt jump shot from 25 ft,25,25
77,1,2:20.0,,Offensive rebound by B. Biyombo,25,25
78,1,2:19.0,,B. Biyombo makes 2-pt dunk from 2 ft,25,27
79,1,2:05.0,C. Parsons misses 2-pt jump shot from 21 ft,,25,27
80,1,2:03.0,,Defensive rebound by B. Biyombo,25,27
81,1,1:48.0,,J. Isaac enters the game for A. Gordon,25,27
82,1,1:43.0,,B. Biyombo misses 2-pt hook shot from 5 ft,25,27
83,1,1:39.0,Defensive rebound by D. Brooks,,25,27
84,1,1:31.0,K. Simmons makes 2-pt layup from 3 ft,,27,27
85,1,1:17.0,,E. Fournier makes 2-pt jump shot from 1 ft,27,29
86,1,1:05.0,Personal foul by E. Fournier (drawn by D. Brooks),,27,29
87,1,1:05.0,,W. Iwundu enters the game for E. Fournier,27,29
88,1,0:48.0,K. Simmons misses 2-pt jump shot from 6 ft,,27,29
89,1,0:45.0,,Defensive rebound by B. Biyombo,27,29
90,1,0:29.0,,B. Biyombo misses 2-pt hook shot from 5 ft,27,29
91,1,0:27.0,Defensive rebound by J. Green,,27,29
92,1,0:17.0,C. Parsons misses 3-pt jump shot from 23 ft,,27,29
93,1,0:15.0,,Defensive rebound by W. Iwundu,27,29
94,1,0:02.0,,S. Mack makes 2-pt jump shot from 8 ft,27,31
95,1,0:00.0,D. Brooks misses 3-pt jump shot from 52 ft,,27,31
96,1,0:00.0,Offensive rebound by Team,,27,31
97,2,11:46.0,,Personal foul by K. Simmons (drawn by S. Mack),27,31
98,2,11:29.0,,B. Biyombo misses 2-pt hook shot from 7 ft,27,31
99,2,11:29.0,Defensive rebound by D. Brooks,,27,31
100,2,11:18.0,D. Brooks misses 2-pt layup from 6 ft,,27,31
101,2,11:18.0,,Defensive rebound by Team,27,31
102,2,11:02.0,,Personal foul by I. Rabb (drawn by J. Isaac),27,31
103,2,11:02.0,B. McLemore enters the game for C. Parsons,,27,31
104,2,11:02.0,J. Martin enters the game for I. Rabb,,27,31
105,2,10:50.0,,S. Mack misses 2-pt jump shot from 11 ft,27,31
106,2,10:48.0,Defensive rebound by J. Martin,,27,31
107,2,10:42.0,K. Simmons misses 2-pt jump shot from 10 ft,,27,31
108,2,10:39.0,,Defensive rebound by B. Biyombo,27,31
109,2,10:29.0,,Personal foul by D. Brooks (drawn by B. Biyombo),27,31
110,2,10:29.0,M. Chalmers enters the game for K. Simmons,,27,31
111,2,10:17.0,,W. Iwundu misses 2-pt jump shot from 11 ft,27,31
112,2,10:15.0,Defensive rebound by J. Green,,27,31
113,2,10:05.0,D. Brooks misses 2-pt layup from 6 ft (block by M. Hezonja),,27,31
114,2,10:01.0,,Defensive rebound by M. Hezonja,27,31
115,2,10:01.0,,Turnover by M. Hezonja (out of bounds lost ball),27,31
116,2,9:43.0,B. McLemore makes 2-pt jump shot from 17 ft (assist by J. Green),,29,31
117,2,9:29.0,,J. Isaac misses 3-pt jump shot from 23 ft,29,31
118,2,9:27.0,Defensive rebound by J. Martin,,29,31
119,2,9:19.0,J. Martin makes 2-pt jump shot from 19 ft (assist by D. Brooks),,31,31
120,2,9:00.0,,M. Hezonja makes 3-pt jump shot from 26 ft (assist by S. Mack),31,34
121,2,8:40.0,M. Chalmers makes 3-pt jump shot from 26 ft (assist by D. Brooks),,34,34
122,2,8:27.0,,Turnover by W. Iwundu (traveling),34,34
123,2,8:12.0,B. McLemore misses 3-pt jump shot from 27 ft,,34,34
124,2,8:10.0,,Defensive rebound by J. Isaac,34,34
125,2,8:04.0,,Turnover by W. Iwundu (bad pass; steal by M. Chalmers),34,34
126,2,8:01.0,Shooting foul by M. Hezonja (drawn by J. Green),,34,34
127,2,8:01.0,J. Green makes free throw 1 of 2,,35,34
128,2,8:01.0,,Orlando full timeout,35,34
129,2,8:01.0,,R. Vaughn enters the game for W. Iwundu,35,34
130,2,8:01.0,J. Green makes free throw 2 of 2,,36,34
131,2,7:43.0,,Turnover by M. Hezonja (lost ball; steal by M. Chalmers),36,34
132,2,7:39.0,Shooting foul by R. Vaughn (drawn by J. Green),,36,34
133,2,7:39.0,J. Green makes free throw 1 of 2,,37,34
134,2,7:39.0,J. Green makes free throw 2 of 2,,38,34
135,2,7:26.0,,B. Biyombo misses 2-pt layup from 4 ft (block by J. Green),38,34
136,2,7:22.0,Defensive rebound by J. Green,,38,34
137,2,7:19.0,J. Martin misses 2-pt layup from 4 ft,,38,34
138,2,7:17.0,Offensive rebound by B. McLemore,,38,34
139,2,7:04.0,J. Green misses 2-pt layup from 3 ft,,38,34
140,2,7:02.0,,Defensive rebound by M. Hezonja,38,34
141,2,6:54.0,,Shooting foul by B. McLemore (drawn by M. Hezonja),38,34
142,2,6:54.0,,M. Hezonja makes free throw 1 of 2,38,35
143,2,6:54.0,,K. Birch enters the game for B. Biyombo,38,35
144,2,6:54.0,C. Parsons enters the game for J. Green,,38,35
145,2,6:54.0,B. Johnson enters the game for D. Brooks,,38,35
146,2,6:54.0,,M. Hezonja makes free throw 2 of 2,38,36
147,2,6:38.0,C. Parsons makes 2-pt layup from 5 ft,,40,36
148,2,6:28.0,,S. Mack makes 2-pt jump shot from 20 ft,40,38
149,2,6:10.0,B. Johnson misses 2-pt jump shot from 21 ft,,40,38
150,2,6:06.0,,Defensive rebound by J. Isaac,40,38
151,2,5:51.0,,M. Hezonja makes 2-pt dunk from 1 ft (assist by S. Mack),40,40
152,2,5:41.0,M. Chalmers misses 2-pt layup from 6 ft (block by J. Isaac),,40,40
153,2,5:41.0,Offensive rebound by B. McLemore,,40,40
154,2,5:35.0,M. Chalmers makes 3-pt jump shot from 23 ft (assist by B. McLemore),,43,40
155,2,5:17.0,,M. Hezonja misses 3-pt jump shot from 28 ft,43,40
156,2,5:16.0,Defensive rebound by Team,,43,40
157,2,5:16.0,,J. Simmons enters the game for M. Hezonja,43,40
158,2,5:05.0,B. McLemore makes 3-pt jump shot from 25 ft (assist by M. Chalmers),,46,40
159,2,4:50.0,,J. Simmons misses 2-pt layup from 3 ft (block by B. Johnson),46,40
160,2,4:46.0,Defensive rebound by J. Martin,,46,40
161,2,4:35.0,Personal foul by J. Isaac (drawn by M. Chalmers),,46,40
162,2,4:35.0,,A. Gordon enters the game for J. Isaac,46,40
163,2,4:35.0,,E. Fournier enters the game for S. Mack,46,40
164,2,4:35.0,,D. Augustin enters the game for R. Vaughn,46,40
165,2,4:35.0,D. Brooks enters the game for B. McLemore,,46,40
166,2,4:18.0,B. Johnson misses 2-pt jump shot from 19 ft,,46,40
167,2,4:18.0,,Defensive rebound by J. Simmons,46,40
168,2,4:10.0,,Personal foul by J. Martin (drawn by K. Birch),46,40
169,2,4:10.0,,K. Birch makes free throw 1 of 2,46,41
170,2,4:10.0,,K. Birch makes free throw 2 of 2,46,42
171,2,3:54.0,B. Johnson misses 2-pt layup from 5 ft,,46,42
172,2,3:54.0,,Defensive rebound by A. Gordon,46,42
173,2,3:48.0,,Shooting foul by J. Martin (drawn by A. Gordon),46,42
174,2,3:48.0,,A. Gordon makes free throw 1 of 2,46,43
175,2,3:48.0,K. Simmons enters the game for J. Martin,,46,43
176,2,3:48.0,J. Green enters the game for M. Chalmers,,46,43
177,2,3:48.0,,A. Gordon misses free throw 2 of 2,46,43
178,2,3:44.0,,Offensive rebound by J. Simmons,46,43
179,2,3:37.0,,A. Gordon makes 2-pt dunk from 3 ft (assist by D. Augustin),46,45
180,2,3:24.0,D. Brooks misses 3-pt jump shot from 26 ft,,46,45
181,2,3:20.0,Offensive rebound by J. Green,,46,45
182,2,3:13.0,Turnover by C. Parsons (lost ball; steal by A. Gordon),,46,45
183,2,3:11.0,,A. Gordon makes 2-pt layup from 2 ft,46,47
184,2,3:11.0,,Shooting foul by B. Johnson (drawn by A. Gordon),46,47
185,2,3:11.0,,A. Gordon makes free throw 1 of 1,46,48
186,2,3:08.0,Memphis full timeout,,46,48
187,2,3:08.0,,N. Vučević enters the game for K. Birch,46,48
188,2,3:01.0,C. Parsons misses 2-pt jump shot from 16 ft,,46,48
189,2,3:00.0,Offensive rebound by Team,,46,48
190,2,2:58.0,Turnover by K. Simmons (offensive goaltending),,46,48
191,2,2:46.0,,E. Fournier makes 2-pt layup from 2 ft (assist by N. Vučević),46,50
192,2,2:22.0,B. Johnson misses 2-pt layup from 5 ft (block by A. Gordon),,46,50
193,2,2:18.0,,Defensive rebound by J. Simmons,46,50
194,2,2:15.0,,Turnover by J. Simmons (lost ball; steal by J. Green),46,50
195,2,2:11.0,B. Johnson makes 2-pt layup from 4 ft (assist by J. Green),,48,50
196,2,1:53.0,,E. Fournier misses 3-pt jump shot from 23 ft,48,50
197,2,1:50.0,Defensive rebound by J. Green,,48,50
198,2,1:45.0,C. Parsons makes 2-pt jump shot from 22 ft,,50,50
199,2,1:16.0,,Shooting foul by B. Johnson (drawn by N. Vučević),50,50
200,2,1:16.0,,N. Vučević misses free throw 1 of 2,50,50
201,2,1:16.0,,Offensive rebound by Team,50,50
202,2,1:16.0,,R. Vaughn enters the game for E. Fournier,50,50
203,2,1:16.0,,N. Vučević misses free throw 2 of 2,50,50
204,2,1:10.0,Defensive rebound by B. Johnson,,50,50
205,2,1:00.0,Turnover by J. Green (out of bounds lost ball),,50,50
206,2,0:44.0,,Turnover by A. Gordon (bad pass; steal by C. Parsons),50,50
207,2,0:40.0,K. Simmons makes 2-pt jump shot from 13 ft (assist by C. Parsons),,52,50
208,2,0:31.0,,Turnover by A. Gordon (bad pass; steal by B. Johnson),52,50
209,2,0:26.0,C. Parsons misses 3-pt jump shot from 26 ft,,52,50
210,2,0:21.0,,Defensive rebound by J. Simmons,52,50
211,2,0:02.0,,Shooting foul by B. Johnson (drawn by D. Augustin),52,50
