,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PHOENIX_ACTION,LA CLIPPERS_SCORE,PHOENIX_SCORE
0,1,11:38.0,T. Wallace makes 2-pt layup at rim (assist by T. Harris),,2,0
1,1,11:22.0,,D. Bender misses 3-pt jump shot from 25 ft,2,0
2,1,11:19.0,,Offensive rebound by M. Chriss,2,0
3,1,11:18.0,,M. Chriss makes 2-pt layup at rim,2,2
4,1,10:58.0,T. Harris misses 2-pt jump shot from 21 ft,,2,2
5,1,10:55.0,,Defensive rebound by M. Chriss,2,2
6,1,10:52.0,,T. Daniels makes 3-pt jump shot from 22 ft (assist by J. Jackson),2,5
7,1,10:31.0,Turnover by W. Johnson (bad pass),,2,5
8,1,10:16.0,,D. Bender makes 2-pt layup at rim,2,7
9,1,10:03.0,A. Rivers misses 2-pt jump shot from 11 ft,,2,7
10,1,9:58.0,Offensive rebound by D. Jordan,,2,7
11,1,9:55.0,T. Harris makes 2-pt layup from 1 ft (assist by D. Jordan),,4,7
12,1,9:41.0,,T. Ulis makes 2-pt jump shot from 19 ft,4,9
13,1,9:31.0,Turnover by T. Wallace (bad pass),,4,9
14,1,9:23.0,,M. Chriss misses 3-pt jump shot from 26 ft,4,9
15,1,9:19.0,Defensive rebound by T. Harris,,4,9
16,1,9:10.0,T. Wallace makes 2-pt layup from 1 ft (assist by T. Harris),,6,9
17,1,9:01.0,,T. Ulis misses 2-pt jump shot from 9 ft,6,9
18,1,8:59.0,Defensive rebound by D. Jordan,,6,9
19,1,8:56.0,Personal foul by M. Chriss (drawn by T. Wallace),,6,9
20,1,8:39.0,W. Johnson misses 3-pt jump shot from 22 ft,,6,9
21,1,8:35.0,,Defensive rebound by T. Daniels,6,9
22,1,8:33.0,,Turnover by J. Jackson (bad pass),6,9
23,1,8:19.0,T. Harris makes 3-pt jump shot from 24 ft (assist by A. Rivers),,9,9
24,1,8:03.0,,Shooting foul by D. Jordan (drawn by J. Jackson),9,9
25,1,8:03.0,,J. Jackson makes free throw 1 of 2,9,10
26,1,8:03.0,,J. Jackson misses free throw 2 of 2,9,10
27,1,8:01.0,Defensive rebound by T. Wallace,,9,10
28,1,7:41.0,T. Harris misses 2-pt jump shot from 1 ft,,9,10
29,1,7:39.0,,Defensive rebound by M. Chriss,9,10
30,1,7:29.0,,T. Ulis makes 2-pt jump shot from 11 ft,9,12
31,1,7:11.0,T. Harris makes 3-pt jump shot from 24 ft (assist by D. Jordan),,12,12
32,1,6:59.0,,J. Jackson makes 2-pt layup at rim,12,14
33,1,6:40.0,D. Jordan makes 2-pt dunk at rim (assist by W. Johnson),,14,14
34,1,6:40.0,,Phoenix full timeout,14,14
35,1,6:27.0,,J. Jackson makes 2-pt jump shot from 20 ft,14,16
36,1,6:11.0,Personal foul by D. Bender (drawn by W. Johnson),,14,16
37,1,6:11.0,L. Williams enters the game for T. Wallace,,14,16
38,1,6:01.0,D. Jordan makes 2-pt layup at rim (assist by A. Rivers),,16,16
39,1,5:54.0,,Turnover by M. Chriss (bad pass),16,16
40,1,5:47.0,Personal foul by T. Daniels (drawn by L. Williams),,16,16
41,1,5:47.0,S. Thornwell enters the game for W. Johnson,,16,16
42,1,5:38.0,D. Jordan misses 2-pt hook shot from 1 ft,,16,16
43,1,5:37.0,Offensive rebound by D. Jordan,,16,16
44,1,5:37.0,Shooting foul by D. Bender (drawn by D. Jordan),,16,16
45,1,5:37.0,D. Jordan makes free throw 1 of 2,,17,16
46,1,5:37.0,,S. Harrison enters the game for D. Bender,17,16
47,1,5:37.0,D. Jordan makes free throw 2 of 2,,18,16
48,1,5:28.0,,T. Daniels misses 3-pt jump shot from 27 ft,18,16
49,1,5:27.0,,Offensive rebound by Team,18,16
50,1,5:27.0,Loose ball foul by S. Thornwell (drawn by M. Chriss),,18,16
51,1,5:21.0,,T. Ulis makes 2-pt jump shot from 16 ft (assist by M. Chriss),18,18
52,1,5:03.0,A. Rivers makes 2-pt jump shot from 19 ft (assist by D. Jordan),,20,18
53,1,4:57.0,,Personal foul by A. Rivers (drawn by T. Ulis),20,18
54,1,4:57.0,,A. Williams enters the game for M. Chriss,20,18
55,1,4:51.0,,Turnover by A. Williams (bad pass; steal by A. Rivers),20,18
56,1,4:43.0,Turnover by A. Rivers (out of bounds lost ball),,20,18
57,1,4:24.0,,S. Harrison makes 2-pt layup at rim (assist by J. Jackson),20,20
58,1,3:59.0,D. Jordan misses 2-pt hook shot from 2 ft,,20,20
59,1,3:57.0,,Defensive rebound by A. Williams,20,20
60,1,3:37.0,,T. Ulis misses 3-pt jump shot from 25 ft,20,20
61,1,3:34.0,Defensive rebound by D. Jordan,,20,20
62,1,3:23.0,Shooting foul by A. Williams (drawn by D. Jordan),,20,20
