,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,TORONTO_ACTION,MEMPHIS_SCORE,TORONTO_SCORE
0,1,11:47.0,W. Selden misses 3-pt jump shot from 24 ft,,0,0
1,1,11:44.0,,Defensive rebound by J. Valančiūnas,0,0
2,1,11:34.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by D. DeRozan),0,2
3,1,11:24.0,D. Brooks makes 3-pt jump shot from 26 ft,,3,2
4,1,11:01.0,,K. Lowry misses 3-pt jump shot from 23 ft,3,2
5,1,10:59.0,Defensive rebound by J. Green,,3,2
6,1,10:52.0,Personal foul by O. Anunoby (drawn by A. Harrison),,3,2
7,1,10:38.0,M. Gasol makes 2-pt jump shot from 12 ft (assist by A. Harrison),,5,2
8,1,10:19.0,,Personal foul by W. Selden (drawn by D. DeRozan),5,2
9,1,10:17.0,,Personal foul by D. Brooks (drawn by D. DeRozan),5,2
10,1,10:11.0,,S. Ibaka makes 2-pt jump shot from 11 ft,5,4
11,1,9:58.0,M. Gasol makes 2-pt layup from 1 ft (assist by A. Harrison),,7,4
12,1,9:58.0,Shooting block foul by S. Ibaka (drawn by M. Gasol),,7,4
13,1,9:58.0,M. Gasol makes free throw 1 of 1,,8,4
14,1,9:46.0,,D. DeRozan misses 3-pt jump shot from 25 ft,8,4
15,1,9:44.0,Defensive rebound by W. Selden,,8,4
16,1,9:36.0,M. Gasol misses 3-pt jump shot from 25 ft,,8,4
17,1,9:34.0,,Defensive rebound by D. DeRozan,8,4
18,1,9:13.0,,Personal foul by M. Gasol (drawn by J. Valančiūnas),8,4
19,1,9:09.0,,J. Valančiūnas makes 3-pt jump shot from 26 ft,8,7
20,1,8:47.0,Turnover by W. Selden (bad pass; steal by K. Lowry),,8,7
21,1,8:43.0,,O. Anunoby misses 2-pt dunk at rim,8,7
22,1,8:41.0,Defensive rebound by D. Brooks,,8,7
23,1,8:36.0,Turnover by D. Brooks (bad pass; steal by O. Anunoby),,8,7
24,1,8:33.0,,O. Anunoby makes 2-pt dunk from 1 ft,8,9
25,1,8:13.0,A. Harrison makes 2-pt layup from 1 ft (assist by M. Gasol),,10,9
26,1,8:03.0,,S. Ibaka misses 3-pt jump shot from 26 ft,10,9
27,1,7:59.0,Defensive rebound by D. Brooks,,10,9
28,1,7:51.0,M. Gasol misses 3-pt jump shot from 26 ft,,10,9
29,1,7:48.0,,Defensive rebound by J. Valančiūnas,10,9
30,1,7:43.0,,K. Lowry makes 2-pt layup at rim,10,11
31,1,7:43.0,Memphis full timeout,,10,11
32,1,7:19.0,M. Gasol makes 2-pt jump shot from 6 ft,,12,11
33,1,6:59.0,,Turnover by J. Valančiūnas (lost ball; steal by W. Selden),12,11
34,1,6:55.0,W. Selden misses 2-pt layup from 3 ft,,12,11
35,1,6:50.0,Offensive rebound by J. Green,,12,11
36,1,6:50.0,J. Green makes 2-pt dunk at rim,,14,11
37,1,6:41.0,,Turnover by K. Lowry (step out of bounds),14,11
38,1,6:30.0,A. Harrison misses 2-pt layup from 5 ft,,14,11
39,1,6:28.0,Offensive rebound by J. Green,,14,11
40,1,6:26.0,J. Green misses 2-pt layup at rim,,14,11
41,1,6:26.0,,Defensive rebound by Team,14,11
42,1,6:26.0,J. Martin enters the game for J. Green,,14,11
43,1,6:17.0,,Personal foul by J. Martin (drawn by K. Lowry),14,11
44,1,6:17.0,J. Ennis enters the game for W. Selden,,14,11
45,1,6:11.0,,D. DeRozan misses 3-pt jump shot from 26 ft,14,11
46,1,6:08.0,Defensive rebound by J. Ennis,,14,11
47,1,6:00.0,D. Brooks makes 3-pt jump shot from 25 ft (assist by J. Ennis),,17,11
48,1,5:46.0,,O. Anunoby misses 3-pt jump shot from 26 ft,17,11
49,1,5:46.0,,Offensive rebound by S. Ibaka,17,11
50,1,5:33.0,,O. Anunoby makes 2-pt dunk at rim (assist by K. Lowry),17,13
51,1,5:12.0,M. Gasol misses 2-pt jump shot from 15 ft,,17,13
52,1,5:10.0,,Defensive rebound by Team,17,13
53,1,5:10.0,M. Chalmers enters the game for A. Harrison,,17,13
54,1,4:54.0,,K. Lowry misses 2-pt jump shot from 17 ft,17,13
55,1,4:48.0,,Offensive rebound by J. Valančiūnas,17,13
56,1,4:48.0,,J. Valančiūnas misses 2-pt layup at rim,17,13
57,1,4:46.0,Defensive rebound by J. Martin,,17,13
58,1,4:43.0,J. Martin misses 2-pt layup from 1 ft,,17,13
59,1,4:40.0,Offensive rebound by M. Gasol,,17,13
60,1,4:40.0,M. Gasol misses 2-pt layup at rim,,17,13
61,1,4:39.0,,Defensive rebound by J. Valančiūnas,17,13
62,1,4:35.0,,Shooting foul by J. Martin (drawn by J. Valančiūnas),17,13
63,1,4:35.0,,J. Valančiūnas misses free throw 1 of 2,17,13
64,1,4:35.0,,Offensive rebound by Team,17,13
65,1,4:35.0,D. Davis enters the game for J. Martin,,17,13
66,1,4:35.0,,J. Valančiūnas makes free throw 2 of 2,17,14
67,1,4:18.0,J. Ennis misses 2-pt layup from 2 ft (block by J. Valančiūnas),,17,14
68,1,4:16.0,,Defensive rebound by S. Ibaka,17,14
69,1,4:13.0,,O. Anunoby makes 2-pt dunk from 1 ft (assist by K. Lowry),17,16
70,1,4:02.0,M. Gasol makes 2-pt jump shot from 6 ft (assist by M. Chalmers),,19,16
71,1,3:50.0,,K. Lowry makes 2-pt layup from 1 ft (assist by J. Valančiūnas),19,18
72,1,3:27.0,Turnover by M. Chalmers (bad pass; steal by D. DeRozan),,19,18
73,1,3:23.0,,D. DeRozan makes 2-pt dunk at rim,19,20
74,1,3:12.0,M. Chalmers misses 2-pt jump shot from 16 ft,,19,20
75,1,3:09.0,,Defensive rebound by S. Ibaka,19,20
76,1,3:02.0,,D. DeRozan misses 2-pt layup from 1 ft (block by D. Davis),19,20
77,1,3:00.0,Defensive rebound by D. Brooks,,19,20
78,1,2:56.0,Turnover by M. Chalmers (bad pass; steal by K. Lowry),,19,20
79,1,2:52.0,,Turnover by K. Lowry (bad pass; steal by M. Gasol),19,20
