,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DALLAS_ACTION,SAN ANTONIO_SCORE,DALLAS_SCORE
0,1,11:37.0,K. Anderson misses 2-pt jump shot from 20 ft,,0,0
1,1,11:35.0,,Defensive rebound by Y. Ferrell,0,0
2,1,11:25.0,,Turnover by D. Smith (lost ball; steal by P. Mills),0,0
3,1,11:20.0,Turnover by D. Green (bad pass; steal by Y. Ferrell),,0,0
4,1,11:01.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Smith),0,3
5,1,10:45.0,P. Gasol makes 2-pt jump shot from 22 ft (assist by P. Mills),,2,3
6,1,10:33.0,,H. Barnes makes 2-pt jump shot from 19 ft (assist by W. Matthews),2,5
7,1,10:21.0,L. Aldridge misses 2-pt jump shot from 9 ft,,2,5
8,1,10:17.0,,Defensive rebound by H. Barnes,2,5
9,1,10:08.0,,H. Barnes makes 2-pt jump shot from 16 ft,2,7
10,1,9:48.0,D. Green misses 3-pt jump shot from 25 ft,,2,7
11,1,9:46.0,,Defensive rebound by H. Barnes,2,7
12,1,9:30.0,,Shooting foul by P. Gasol (drawn by W. Matthews),2,7
13,1,9:30.0,,W. Matthews makes free throw 1 of 2,2,8
14,1,9:30.0,,W. Matthews makes free throw 2 of 2,2,9
15,1,9:18.0,L. Aldridge makes 2-pt layup at rim (assist by P. Gasol),,4,9
16,1,8:56.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,4,9
17,1,8:54.0,Defensive rebound by P. Gasol,,4,9
18,1,8:40.0,Turnover by P. Gasol (bad pass; steal by H. Barnes),,4,9
19,1,8:29.0,,Offensive foul by H. Barnes (drawn by P. Mills),4,9
20,1,8:29.0,,Turnover by H. Barnes (offensive foul),4,9
21,1,8:17.0,Turnover by L. Aldridge (bad pass; steal by H. Barnes),,4,9
22,1,8:07.0,,H. Barnes misses 2-pt jump shot from 19 ft,4,9
23,1,8:03.0,Defensive rebound by P. Gasol,,4,9
24,1,7:50.0,D. Green misses 3-pt jump shot from 22 ft,,4,9
25,1,7:50.0,,Defensive rebound by Y. Ferrell,4,9
26,1,7:31.0,,Turnover by D. Smith (bad pass; steal by P. Mills),4,9
27,1,7:24.0,L. Aldridge makes 2-pt dunk at rim (assist by K. Anderson),,6,9
28,1,7:22.0,,Dallas full timeout,6,9
29,1,7:22.0,,N. Noel enters the game for D. Nowitzki,6,9
30,1,7:00.0,,D. Smith makes 2-pt dunk at rim,6,11
31,1,6:38.0,K. Anderson misses 2-pt jump shot from 18 ft,,6,11
32,1,6:35.0,Offensive rebound by P. Gasol,,6,11
33,1,6:21.0,D. Green misses 2-pt jump shot from 8 ft,,6,11
34,1,6:19.0,,Defensive rebound by H. Barnes,6,11
35,1,6:14.0,,W. Matthews misses 3-pt jump shot from 23 ft,6,11
36,1,6:14.0,Defensive rebound by P. Gasol,,6,11
37,1,6:02.0,Shooting foul by W. Matthews (drawn by K. Anderson),,6,11
38,1,6:02.0,K. Anderson misses free throw 1 of 2,,6,11
39,1,6:02.0,Offensive rebound by Team,,6,11
40,1,6:02.0,,J. Barea enters the game for D. Smith,6,11
41,1,6:02.0,,M. Kleber enters the game for W. Matthews,6,11
42,1,6:02.0,B. Forbes enters the game for D. Green,,6,11
43,1,6:02.0,R. Gay enters the game for P. Gasol,,6,11
44,1,6:02.0,K. Anderson makes free throw 2 of 2,,7,11
45,1,5:47.0,,N. Noel misses 2-pt layup from 2 ft (block by P. Mills),7,11
46,1,5:44.0,Defensive rebound by P. Mills,,7,11
47,1,5:34.0,R. Gay misses 2-pt jump shot from 11 ft,,7,11
48,1,5:31.0,,Defensive rebound by N. Noel,7,11
49,1,5:26.0,,Turnover by Y. Ferrell (step out of bounds),7,11
50,1,5:26.0,D. Murray enters the game for K. Anderson,,7,11
51,1,5:26.0,B. Paul enters the game for P. Mills,,7,11
52,1,5:04.0,B. Paul makes 2-pt jump shot from 20 ft (assist by L. Aldridge),,9,11
53,1,4:46.0,,H. Barnes misses 2-pt jump shot from 18 ft,9,11
54,1,4:44.0,Defensive rebound by D. Murray,,9,11
55,1,4:24.0,Turnover by L. Aldridge (traveling),,9,11
56,1,4:11.0,,Offensive foul by N. Noel (drawn by B. Paul),9,11
57,1,4:11.0,,Turnover by N. Noel (offensive foul),9,11
