,QUARTER,TIME_REMAINING,PORTLAND_ACTION,PHOENIX_ACTION,PORTLAND_SCORE,PHOENIX_SCORE
0,1,11:45.0,M. Harkless makes 2-pt dunk from 1 ft (assist by J. Nurkić),,2,0
1,1,11:43.0,,Turnover by E. Payton (bad pass; steal by M. Harkless),2,0
2,1,11:35.0,A. Aminu makes 2-pt dunk at rim (assist by M. Harkless),,4,0
3,1,11:25.0,,Shooting foul by C. McCollum (drawn by T. Warren),4,0
4,1,11:25.0,,T. Warren misses free throw 1 of 2,4,0
5,1,11:25.0,,Offensive rebound by Team,4,0
6,1,11:25.0,,T. Warren makes free throw 2 of 2,4,1
7,1,11:09.0,C. McCollum makes 2-pt jump shot from 11 ft,,6,1
8,1,10:49.0,,Turnover by D. Booker (bad pass; steal by J. Nurkić),6,1
9,1,10:42.0,Turnover by J. Nurkić (bad pass),,6,1
10,1,10:23.0,,E. Payton makes 2-pt layup at rim,6,3
11,1,10:06.0,J. Nurkić makes 2-pt jump shot from 20 ft (assist by C. McCollum),,8,3
12,1,10:00.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by E. Payton),8,6
13,1,9:52.0,Personal foul by E. Payton (drawn by M. Harkless),,8,6
14,1,9:44.0,J. Nurkić misses 2-pt dunk from 2 ft,,8,6
15,1,9:40.0,,Defensive rebound by A. Len,8,6
16,1,9:36.0,,Turnover by D. Bender (offensive goaltending),8,6
17,1,9:24.0,J. Nurkić misses 2-pt layup from 6 ft,,8,6
18,1,9:22.0,,Defensive rebound by E. Payton,8,6
19,1,9:19.0,,T. Warren makes 2-pt layup from 3 ft (assist by E. Payton),8,8
20,1,8:51.0,A. Aminu misses 2-pt jump shot from 6 ft,,8,8
21,1,8:49.0,,Defensive rebound by D. Bender,8,8
22,1,8:45.0,,D. Booker makes 3-pt jump shot from 25 ft,8,11
23,1,8:25.0,D. Lillard misses 3-pt jump shot from 26 ft,,8,11
24,1,8:23.0,,Defensive rebound by A. Len,8,11
25,1,8:15.0,,T. Warren misses 2-pt jump shot from 12 ft,8,11
26,1,8:13.0,Defensive rebound by D. Lillard,,8,11
27,1,8:05.0,D. Lillard misses 3-pt jump shot from 25 ft,,8,11
28,1,8:02.0,Offensive rebound by A. Aminu,,8,11
29,1,7:59.0,J. Nurkić misses 2-pt layup from 8 ft,,8,11
30,1,7:59.0,,Defensive rebound by E. Payton,8,11
31,1,7:51.0,,E. Payton makes 2-pt layup from 7 ft,8,13
32,1,7:36.0,Shooting block foul by D. Bender (drawn by C. McCollum),,8,13
33,1,7:36.0,C. McCollum makes free throw 1 of 2,,9,13
34,1,7:36.0,C. McCollum makes free throw 2 of 2,,10,13
35,1,7:24.0,,D. Bender misses 3-pt jump shot from 23 ft,10,13
36,1,7:21.0,Defensive rebound by D. Lillard,,10,13
37,1,7:15.0,C. McCollum makes 2-pt jump shot from 15 ft,,12,13
38,1,6:53.0,,E. Payton makes 2-pt layup from 1 ft,12,15
