,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,CHARLOTTE_ACTION,CLEVELAND_SCORE,CHARLOTTE_SCORE
0,1,11:48.0,,Personal foul by J. Smith (drawn by N. Batum),0,0
1,1,11:34.0,,N. Batum makes 2-pt dunk from 1 ft (assist by D. Howard),0,2
2,1,11:15.0,Shooting foul by D. Howard (drawn by I. Shumpert),,0,2
3,1,11:15.0,I. Shumpert makes free throw 1 of 2,,1,2
4,1,11:15.0,I. Shumpert makes free throw 2 of 2,,2,2
5,1,10:57.0,,M. Williams misses 2-pt jump shot from 5 ft,2,2
6,1,10:54.0,Defensive rebound by L. James,,2,2
7,1,10:51.0,L. James makes 2-pt layup from 2 ft,,4,2
8,1,10:51.0,Shooting foul by M. Kidd-Gilchrist (drawn by L. James),,4,2
9,1,10:51.0,L. James makes free throw 1 of 1,,5,2
10,1,10:43.0,,N. Batum makes 2-pt layup from 1 ft (assist by K. Walker),5,4
11,1,10:28.0,K. Love misses 3-pt jump shot from 25 ft,,5,4
12,1,10:25.0,,Defensive rebound by N. Batum,5,4
13,1,10:21.0,,Turnover by N. Batum (bad pass; steal by L. James),5,4
14,1,10:16.0,L. James makes 2-pt layup from 1 ft,,7,4
15,1,10:01.0,,K. Walker misses 3-pt jump shot from 29 ft,7,4
16,1,9:58.0,Defensive rebound by L. James,,7,4
17,1,9:52.0,K. Love makes 3-pt jump shot from 25 ft (assist by J. Crowder),,10,4
18,1,9:39.0,Offensive charge foul by M. Williams (drawn by K. Love),,10,4
19,1,9:39.0,,Turnover by M. Williams (offensive foul),10,4
20,1,9:23.0,L. James misses 2-pt layup from 2 ft,,10,4
21,1,9:17.0,Offensive rebound by J. Crowder,,10,4
22,1,9:17.0,J. Crowder misses 2-pt layup at rim,,10,4
23,1,9:16.0,,Defensive rebound by M. Williams,10,4
24,1,9:13.0,,Turnover by D. Howard (step out of bounds),10,4
25,1,8:57.0,K. Love makes 2-pt jump shot from 3 ft (assist by J. Smith),,12,4
26,1,8:50.0,,N. Batum misses 3-pt jump shot from 26 ft,12,4
27,1,8:47.0,Defensive rebound by K. Love,,12,4
28,1,8:41.0,L. James misses 2-pt layup from 2 ft,,12,4
29,1,8:41.0,Offensive rebound by I. Shumpert,,12,4
30,1,8:35.0,Shooting foul by D. Howard (drawn by K. Love),,12,4
31,1,8:35.0,K. Love makes free throw 1 of 2,,13,4
32,1,8:35.0,K. Love makes free throw 2 of 2,,14,4
33,1,8:23.0,,N. Batum makes 2-pt dunk from 1 ft (assist by K. Walker),14,6
34,1,8:09.0,L. James makes 2-pt dunk from 1 ft (assist by J. Smith),,16,6
35,1,7:52.0,,M. Kidd-Gilchrist misses 2-pt layup from 3 ft (block by K. Love),16,6
36,1,7:48.0,Defensive rebound by K. Love,,16,6
37,1,7:38.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by I. Shumpert),,19,6
38,1,7:30.0,,Charlotte full timeout,19,6
39,1,7:21.0,,M. Williams misses 3-pt jump shot from 26 ft,19,6
40,1,7:18.0,Defensive rebound by J. Smith,,19,6
41,1,7:08.0,Turnover by K. Love (bad pass; steal by M. Kidd-Gilchrist),,19,6
42,1,7:06.0,,M. Williams makes 2-pt layup at rim,19,8
43,1,7:06.0,,Shooting foul by J. Crowder (drawn by M. Williams),19,8
44,1,7:06.0,,M. Williams makes free throw 1 of 1,19,9
45,1,6:44.0,Turnover by I. Shumpert (bad pass; steal by N. Batum),,19,9
46,1,6:41.0,,Shooting foul by I. Shumpert (drawn by D. Howard),19,9
47,1,6:41.0,,D. Howard misses free throw 1 of 2,19,9
48,1,6:41.0,,Offensive rebound by Team,19,9
49,1,6:41.0,,D. Howard makes free throw 2 of 2,19,10
50,1,6:27.0,K. Love misses 2-pt jump shot from 13 ft,,19,10
51,1,6:24.0,,Defensive rebound by M. Williams,19,10
52,1,6:18.0,,D. Howard makes 2-pt hook shot from 6 ft (assist by K. Walker),19,12
53,1,6:07.0,Turnover by J. Smith (bad pass; steal by N. Batum),,19,12
54,1,6:07.0,,N. Batum makes 2-pt layup from 1 ft,19,14
55,1,6:07.0,Cleveland full timeout,,19,14
56,1,6:07.0,,J. Lamb enters the game for N. Batum,19,14
57,1,5:56.0,J. Crowder misses 2-pt jump shot from 22 ft,,19,14
58,1,5:53.0,,Defensive rebound by D. Howard,19,14
59,1,5:48.0,,K. Walker makes 3-pt jump shot from 25 ft,19,17
60,1,5:30.0,J. Smith misses 3-pt jump shot from 26 ft,,19,17
61,1,5:30.0,,Defensive rebound by M. Kidd-Gilchrist,19,17
62,1,5:20.0,,D. Howard misses 2-pt layup from 3 ft,19,17
63,1,5:14.0,,Offensive rebound by D. Howard,19,17
64,1,5:14.0,,D. Howard makes 2-pt layup at rim,19,19
65,1,4:54.0,K. Love misses 2-pt jump shot from 3 ft,,19,19
66,1,4:48.0,Offensive rebound by K. Love,,19,19
67,1,4:48.0,K. Love makes 2-pt layup at rim,,21,19
68,1,4:36.0,,K. Walker makes 2-pt layup from 1 ft (assist by J. Lamb),21,21
69,1,4:25.0,I. Shumpert misses 2-pt jump shot from 21 ft,,21,21
70,1,4:22.0,Offensive rebound by J. Crowder,,21,21
71,1,4:20.0,I. Shumpert misses 3-pt jump shot from 25 ft,,21,21
72,1,4:16.0,,Defensive rebound by M. Williams,21,21
73,1,3:57.0,,J. Lamb misses 3-pt jump shot from 29 ft,21,21
74,1,3:55.0,,Offensive rebound by D. Howard,21,21
75,1,3:53.0,,Turnover by D. Howard (lost ball; steal by I. Shumpert),21,21
