,QUARTER,TIME_REMAINING,DALLAS_ACTION,OKLAHOMA CITY_ACTION,DALLAS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,,S. Adams misses 2-pt jump shot from 6 ft,0,0
1,1,11:40.0,,Offensive rebound by S. Adams,0,0
2,1,11:39.0,,S. Adams misses 2-pt layup at rim,0,0
3,1,11:39.0,,Offensive rebound by R. Westbrook,0,0
4,1,11:35.0,,R. Westbrook makes 2-pt layup at rim,0,2
5,1,11:23.0,M. Kleber misses 2-pt jump shot from 17 ft,,0,2
6,1,11:20.0,,Defensive rebound by R. Westbrook,0,2
7,1,11:16.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),0,4
8,1,10:55.0,H. Barnes makes 2-pt jump shot from 17 ft (assist by W. Matthews),,2,4
9,1,10:36.0,,C. Anthony makes 2-pt jump shot from 13 ft,2,6
10,1,10:25.0,W. Matthews misses 3-pt jump shot from 26 ft (block by P. George),,2,6
11,1,10:23.0,,Defensive rebound by R. Westbrook,2,6
12,1,10:18.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),2,8
13,1,10:18.0,Dallas full timeout,,2,8
14,1,9:59.0,H. Barnes misses 2-pt jump shot from 18 ft,,2,8
15,1,9:56.0,,Defensive rebound by R. Westbrook,2,8
16,1,9:38.0,,R. Westbrook misses 2-pt jump shot from 10 ft,2,8
17,1,9:35.0,Defensive rebound by M. Kleber,,2,8
18,1,9:24.0,Personal foul by P. George (drawn by D. Smith),,2,8
19,1,9:10.0,H. Barnes makes 3-pt jump shot from 25 ft,,5,8
20,1,8:53.0,,C. Anthony makes 3-pt jump shot from 24 ft (assist by P. George),5,11
21,1,8:29.0,W. Matthews misses 3-pt jump shot from 23 ft,,5,11
22,1,8:25.0,Offensive rebound by M. Kleber,,5,11
23,1,8:20.0,D. Smith makes 2-pt layup from 1 ft,,7,11
24,1,8:20.0,Shooting foul by C. Anthony (drawn by D. Smith),,7,11
25,1,8:20.0,D. Smith makes free throw 1 of 1,,8,11
26,1,8:09.0,,C. Anthony misses 3-pt jump shot from 24 ft,8,11
27,1,8:06.0,,Offensive rebound by Team,8,11
28,1,8:06.0,S. Mejri enters the game for D. Nowitzki,,8,11
29,1,8:05.0,,P. George makes 2-pt layup from 1 ft (assist by R. Westbrook),8,13
30,1,7:47.0,H. Barnes makes 2-pt jump shot from 18 ft,,10,13
31,1,7:33.0,,P. George misses 3-pt jump shot from 25 ft,10,13
32,1,7:33.0,Defensive rebound by D. Smith,,10,13
33,1,7:26.0,,Violation by R. Westbrook (kicked ball),10,13
34,1,7:20.0,Shooting foul by S. Adams (drawn by S. Mejri),,10,13
35,1,7:20.0,S. Mejri misses free throw 1 of 2,,10,13
36,1,7:20.0,Offensive rebound by Team,,10,13
37,1,7:20.0,S. Mejri misses free throw 2 of 2,,10,13
38,1,7:19.0,,Defensive rebound by R. Westbrook,10,13
39,1,7:06.0,,C. Anthony misses 2-pt jump shot from 11 ft,10,13
40,1,7:04.0,Defensive rebound by Team,,10,13
41,1,6:58.0,Personal foul by R. Westbrook (drawn by D. Smith),,10,13
42,1,6:47.0,Turnover by W. Matthews (bad pass; steal by P. George),,10,13
43,1,6:46.0,,Personal foul by W. Matthews (drawn by P. George),10,13
44,1,6:37.0,,P. George misses 2-pt jump shot from 9 ft (block by W. Matthews),10,13
45,1,6:35.0,Defensive rebound by M. Kleber,,10,13
46,1,6:25.0,W. Matthews makes 2-pt jump shot from 13 ft (assist by D. Smith),,12,13
47,1,6:13.0,,R. Westbrook misses 2-pt jump shot from 19 ft,12,13
48,1,6:11.0,,Offensive rebound by Team,12,13
49,1,6:11.0,,Á. Abrines enters the game for P. George,12,13
50,1,6:05.0,,R. Westbrook makes 2-pt jump shot from 19 ft (assist by C. Anthony),12,15
51,1,5:45.0,W. Matthews makes 2-pt jump shot from 10 ft,,14,15
52,1,5:34.0,,R. Westbrook makes 2-pt jump shot from 14 ft,14,17
53,1,5:23.0,D. Smith makes 3-pt jump shot from 27 ft (assist by W. Matthews),,17,17
54,1,5:11.0,D. Harris enters the game for W. Matthews,,17,17
55,1,5:07.0,,C. Anthony misses 2-pt jump shot from 17 ft,17,17
56,1,5:00.0,,Offensive rebound by S. Adams,17,17
57,1,5:00.0,,S. Adams misses 2-pt dunk at rim,17,17
58,1,5:00.0,Defensive rebound by D. Smith,,17,17
59,1,4:52.0,Personal foul by Á. Abrines (drawn by S. Mejri),,17,17
60,1,4:52.0,S. Mejri misses free throw 1 of 2,,17,17
61,1,4:52.0,Offensive rebound by Team,,17,17
62,1,4:52.0,J. Barea enters the game for D. Smith,,17,17
63,1,4:52.0,S. Mejri makes free throw 2 of 2,,18,17
64,1,4:40.0,,Á. Abrines makes 3-pt jump shot from 24 ft (assist by R. Westbrook),18,20
65,1,4:20.0,H. Barnes makes 3-pt jump shot from 24 ft (assist by J. Barea),,21,20
66,1,4:07.0,,R. Westbrook makes 2-pt layup at rim,21,22
67,1,4:07.0,,Shooting foul by D. Harris (drawn by R. Westbrook),21,22
68,1,4:07.0,,R. Westbrook makes free throw 1 of 1,21,23
69,1,3:49.0,S. Mejri makes 2-pt layup from 1 ft (assist by J. Barea),,23,23
70,1,3:41.0,,C. Anthony misses 3-pt jump shot from 24 ft,23,23
71,1,3:40.0,,Offensive rebound by Team,23,23
72,1,3:40.0,Loose ball foul by S. Mejri (drawn by S. Adams),,23,23
73,1,3:40.0,,P. George enters the game for J. Huestis,23,23
74,1,3:40.0,W. Matthews enters the game for M. Kleber,,23,23
75,1,3:29.0,,Turnover by C. Anthony (discontinued dribble),23,23
76,1,3:11.0,S. Mejri misses 2-pt layup from 2 ft,,23,23
77,1,3:06.0,,Defensive rebound by C. Anthony,23,23
78,1,3:01.0,,R. Westbrook makes 2-pt layup at rim (assist by C. Anthony),23,25
79,1,2:51.0,J. Barea makes 3-pt jump shot from 25 ft,,26,25
80,1,2:41.0,,Personal foul by D. Harris (drawn by R. Westbrook),26,25
81,1,2:41.0,,Oklahoma City full timeout,26,25
82,1,2:41.0,,R. Felton enters the game for R. Westbrook,26,25
83,1,2:41.0,,J. Grant enters the game for C. Anthony,26,25
84,1,2:41.0,D. Powell enters the game for H. Barnes,,26,25
85,1,2:41.0,D. Nowitzki enters the game for S. Mejri,,26,25
86,1,2:26.0,,P. George makes 3-pt jump shot from 26 ft (assist by R. Felton),26,28
87,1,2:10.0,D. Harris misses 2-pt jump shot from 6 ft,,26,28
88,1,2:06.0,,Defensive rebound by S. Adams,26,28
89,1,1:57.0,,R. Felton makes 2-pt jump shot from 11 ft,26,30
90,1,1:37.0,D. Harris makes 2-pt layup at rim,,28,30
91,1,1:25.0,,Shooting foul by D. Nowitzki (drawn by P. George),28,30
92,1,1:25.0,,P. George makes free throw 1 of 2,28,31
93,1,1:25.0,,P. Patterson enters the game for S. Adams,28,31
94,1,1:25.0,,P. George makes free throw 2 of 2,28,32
95,1,1:14.0,Personal foul by Á. Abrines (drawn by D. Harris),,28,32
96,1,1:14.0,D. Harris makes free throw 1 of 2,,29,32
97,1,1:14.0,D. Harris misses free throw 2 of 2,,29,32
98,1,1:11.0,,Defensive rebound by J. Grant,29,32
99,1,1:01.0,,P. George misses 3-pt jump shot from 25 ft,29,32
100,1,0:59.0,Defensive rebound by D. Powell,,29,32
101,1,0:51.0,W. Matthews misses 3-pt jump shot from 26 ft,,29,32
102,1,0:48.0,Offensive rebound by D. Powell,,29,32
103,1,0:47.0,D. Nowitzki makes 2-pt jump shot from 13 ft,,31,32
104,1,0:43.0,,R. Felton misses 3-pt jump shot from 24 ft,31,32
105,1,0:41.0,Defensive rebound by Team,,31,32
106,1,0:24.0,D. Powell makes 2-pt layup from 1 ft (assist by W. Matthews),,33,32
107,1,0:11.0,,P. Patterson misses 3-pt jump shot from 23 ft,33,32
108,1,0:08.0,Defensive rebound by J. Barea,,33,32
109,1,0:01.0,J. Barea makes 2-pt jump shot from 4 ft,,35,32
110,1,0:00.0,,R. Felton misses 3-pt jump shot from 58 ft,35,32
111,1,0:00.0,,Offensive rebound by Team,35,32
112,2,11:43.0,D. Powell makes 2-pt dunk at rim (assist by J. Barea),,37,32
113,2,11:25.0,,R. Felton makes 2-pt jump shot from 16 ft,37,34
114,2,11:13.0,Turnover by J. Barea (traveling),,37,34
115,2,10:57.0,,Shooting foul by W. Matthews (drawn by P. George),37,34
116,2,10:57.0,,P. George makes free throw 1 of 2,37,35
117,2,10:57.0,,P. George makes free throw 2 of 2,37,36
118,2,10:35.0,W. Matthews misses 3-pt jump shot from 22 ft,,37,36
119,2,10:33.0,,Defensive rebound by R. Felton,37,36
120,2,10:25.0,,J. Grant misses 2-pt jump shot from 14 ft,37,36
121,2,10:22.0,Defensive rebound by J. Barea,,37,36
122,2,10:12.0,D. Nowitzki makes 2-pt layup from 1 ft (assist by J. Barea),,39,36
123,2,9:45.0,,Á. Abrines misses 2-pt layup from 8 ft (block by D. Powell),39,36
124,2,9:43.0,,Offensive rebound by Á. Abrines,39,36
125,2,9:43.0,,Á. Abrines misses 2-pt jump shot from 7 ft,39,36
126,2,9:42.0,Defensive rebound by D. Nowitzki,,39,36
127,2,9:28.0,Personal foul by Á. Abrines (drawn by D. Nowitzki),,39,36
128,2,9:28.0,,T. Ferguson enters the game for Á. Abrines,39,36
129,2,9:15.0,J. Barea misses 2-pt jump shot from 23 ft,,39,36
130,2,9:11.0,Offensive rebound by D. Nowitzki,,39,36
131,2,9:09.0,J. Barea makes 3-pt jump shot from 24 ft (assist by W. Matthews),,42,36
132,2,9:07.0,,Oklahoma City full timeout,42,36
133,2,9:07.0,D. Harris enters the game for W. Matthews,,42,36
134,2,8:44.0,,R. Felton misses 2-pt jump shot from 9 ft,42,36
135,2,8:41.0,Defensive rebound by Y. Ferrell,,42,36
136,2,8:31.0,D. Harris misses 2-pt layup from 1 ft,,42,36
137,2,8:28.0,,Defensive rebound by J. Grant,42,36
138,2,8:19.0,,P. George makes 3-pt jump shot from 24 ft (assist by P. Patterson),42,39
139,2,8:03.0,D. Harris misses 3-pt jump shot from 25 ft,,42,39
140,2,7:59.0,Offensive rebound by D. Powell,,42,39
141,2,7:59.0,D. Powell misses 2-pt layup at rim,,42,39
142,2,7:58.0,,Defensive rebound by J. Grant,42,39
143,2,7:53.0,,P. George misses 2-pt jump shot from 21 ft,42,39
144,2,7:53.0,Defensive rebound by J. Barea,,42,39
145,2,7:34.0,D. Nowitzki misses 2-pt jump shot from 5 ft,,42,39
146,2,7:30.0,,Defensive rebound by R. Felton,42,39
147,2,7:30.0,,Turnover by R. Felton (lost ball; steal by D. Powell),42,39
148,2,7:24.0,D. Nowitzki misses 2-pt jump shot from 14 ft,,42,39
149,2,7:20.0,,Defensive rebound by R. Felton,42,39
150,2,7:11.0,,P. George makes 2-pt jump shot from 13 ft,42,41
151,2,6:50.0,J. Barea misses 3-pt jump shot from 25 ft,,42,41
152,2,6:48.0,,Defensive rebound by R. Felton,42,41
153,2,6:40.0,,Personal foul by Y. Ferrell (drawn by P. George),42,41
154,2,6:40.0,,R. Westbrook enters the game for R. Felton,42,41
155,2,6:40.0,,S. Adams enters the game for P. George,42,41
156,2,6:40.0,,C. Anthony enters the game for P. Patterson,42,41
157,2,6:40.0,D. Smith enters the game for J. Barea,,42,41
158,2,6:40.0,H. Barnes enters the game for D. Powell,,42,41
159,2,6:40.0,S. Mejri enters the game for D. Nowitzki,,42,41
160,2,6:40.0,W. Matthews enters the game for D. Harris,,42,41
161,2,6:30.0,,J. Grant misses 3-pt jump shot from 23 ft,42,41
162,2,6:25.0,,Offensive rebound by C. Anthony,42,41
163,2,6:16.0,,T. Ferguson misses 3-pt jump shot from 25 ft,42,41
164,2,6:13.0,Defensive rebound by Team,,42,41
165,2,6:01.0,W. Matthews makes 2-pt jump shot from 8 ft (assist by D. Smith),,44,41
166,2,5:39.0,,R. Westbrook makes 2-pt jump shot from 13 ft,44,43
167,2,5:25.0,W. Matthews misses 3-pt jump shot from 23 ft,,44,43
168,2,5:21.0,,Defensive rebound by T. Ferguson,44,43
169,2,5:07.0,,Offensive foul by S. Adams (drawn by S. Mejri),44,43
170,2,5:07.0,,Turnover by S. Adams (offensive foul),44,43
171,2,4:57.0,S. Mejri makes 2-pt dunk at rim (assist by D. Smith),,46,43
172,2,4:45.0,,C. Anthony makes 2-pt jump shot from 10 ft,46,45
173,2,4:27.0,D. Smith misses 3-pt jump shot from 25 ft,,46,45
174,2,4:25.0,,Defensive rebound by R. Westbrook,46,45
175,2,4:17.0,,C. Anthony makes 3-pt jump shot from 24 ft (assist by R. Westbrook),46,48
176,2,4:16.0,Dallas full timeout,,46,48
177,2,4:16.0,,P. George enters the game for J. Grant,46,48
178,2,4:16.0,,J. Huestis enters the game for T. Ferguson,46,48
179,2,4:04.0,Y. Ferrell makes 3-pt jump shot from 25 ft,,49,48
180,2,3:50.0,,Shooting foul by S. Mejri (drawn by R. Westbrook),49,48
181,2,3:50.0,,R. Westbrook misses free throw 1 of 2,49,48
182,2,3:50.0,,Offensive rebound by Team,49,48
183,2,3:50.0,,R. Westbrook misses free throw 2 of 2,49,48
184,2,3:47.0,Defensive rebound by S. Mejri,,49,48
185,2,3:37.0,Turnover by Y. Ferrell (bad pass),,49,48
186,2,3:28.0,,C. Anthony makes 3-pt jump shot from 24 ft (assist by R. Westbrook),49,51
187,2,3:04.0,Y. Ferrell misses 3-pt jump shot from 23 ft,,49,51
188,2,3:00.0,,Defensive rebound by S. Adams,49,51
189,2,2:49.0,,Turnover by S. Adams (lost ball; steal by D. Smith),49,51
190,2,2:43.0,D. Smith misses 2-pt dunk at rim,,49,51
191,2,2:40.0,Offensive rebound by Y. Ferrell,,49,51
192,2,2:36.0,Y. Ferrell makes 2-pt layup from 3 ft,,51,51
193,2,2:28.0,,R. Westbrook makes 2-pt layup at rim,51,53
194,2,2:14.0,D. Smith misses 2-pt jump shot from 11 ft,,51,53
195,2,2:13.0,,Defensive rebound by J. Huestis,51,53
196,2,2:09.0,,R. Westbrook makes 2-pt layup at rim,51,55
197,2,2:09.0,Violation by S. Mejri (def goaltending),,51,55
198,2,1:53.0,H. Barnes makes 3-pt jump shot from 25 ft,,54,55
199,2,1:28.0,,P. George misses 2-pt jump shot from 6 ft (block by S. Mejri),54,55
200,2,1:25.0,Defensive rebound by W. Matthews,,54,55
201,2,1:17.0,M. Kleber enters the game for S. Mejri,,54,55
202,2,1:14.0,W. Matthews misses 2-pt jump shot from 21 ft,,54,55
203,2,1:12.0,Offensive rebound by Team,,54,55
204,2,1:12.0,,Loose ball foul by P. George (drawn by W. Matthews),54,55
205,2,0:50.0,D. Smith misses 2-pt jump shot from 5 ft (block by J. Huestis),,54,55
206,2,0:47.0,,Defensive rebound by R. Westbrook,54,55
207,2,0:41.0,,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),54,58
208,2,0:34.0,Y. Ferrell makes 3-pt jump shot from 26 ft,,57,58
209,2,0:29.0,,C. Anthony makes 3-pt jump shot from 23 ft (assist by R. Westbrook),57,61
210,2,0:06.0,Turnover by D. Smith (lost ball; steal by S. Adams),,57,61
211,2,0:02.0,,Shooting foul by M. Kleber (drawn by P. George),57,61
212,2,0:02.0,,P. George makes free throw 1 of 2,57,62
213,2,0:02.0,,P. George makes free throw 2 of 2,57,63
214,2,0:00.0,H. Barnes misses 3-pt jump shot from 49 ft,,57,63
215,2,0:00.0,Offensive rebound by Team,,57,63
216,3,11:37.0,H. Barnes misses 2-pt jump shot from 4 ft,,57,63
217,3,11:33.0,Offensive rebound by M. Kleber,,57,63
218,3,11:33.0,M. Kleber makes 2-pt dunk at rim,,59,63
219,3,11:11.0,,J. Huestis misses 3-pt jump shot from 25 ft,59,63
220,3,11:08.0,,Offensive rebound by S. Adams,59,63
