,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DENVER_ACTION,HOUSTON_SCORE,DENVER_SCORE
0,1,11:39.0,C. Capela makes 2-pt hook shot from 3 ft (assist by C. Paul),,2,0
1,1,11:27.0,,Personal foul by C. Capela (drawn by N. Jokić),2,0
2,1,11:16.0,,W. Chandler misses 3-pt jump shot from 22 ft,2,0
3,1,11:13.0,Defensive rebound by T. Ariza,,2,0
4,1,11:06.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,4,0
5,1,10:50.0,,W. Barton misses 3-pt jump shot from 25 ft,4,0
6,1,10:47.0,Defensive rebound by P. Tucker,,4,0
7,1,10:36.0,J. Harden misses 3-pt jump shot from 24 ft,,4,0
8,1,10:32.0,,Defensive rebound by J. Murray,4,0
9,1,10:27.0,,W. Barton misses 2-pt jump shot from 2 ft,4,0
10,1,10:24.0,Defensive rebound by C. Paul,,4,0
11,1,10:18.0,Turnover by C. Capela (bad pass; steal by W. Barton),,4,0
12,1,10:12.0,,J. Murray misses 3-pt jump shot from 23 ft,4,0
13,1,10:09.0,,Offensive rebound by N. Jokić,4,0
14,1,10:08.0,,G. Harris misses 3-pt jump shot from 23 ft,4,0
15,1,10:01.0,,Offensive rebound by J. Murray,4,0
16,1,10:01.0,,J. Murray makes 2-pt layup at rim,4,2
17,1,9:37.0,J. Harden misses 2-pt layup from 3 ft (block by W. Chandler),,4,2
18,1,9:35.0,,Defensive rebound by N. Jokić,4,2
19,1,9:34.0,,Turnover by N. Jokić (bad pass; steal by T. Ariza),4,2
20,1,9:23.0,P. Tucker makes 3-pt jump shot from 22 ft (assist by C. Paul),,7,2
21,1,9:14.0,,W. Barton makes 3-pt jump shot from 25 ft,7,5
22,1,8:59.0,C. Paul makes 3-pt jump shot from 24 ft,,10,5
23,1,8:45.0,,W. Chandler misses 3-pt jump shot from 24 ft,10,5
24,1,8:41.0,Defensive rebound by C. Capela,,10,5
25,1,8:19.0,C. Paul misses 2-pt jump shot from 7 ft (block by G. Harris),,10,5
26,1,8:19.0,Offensive rebound by Team,,10,5
27,1,8:19.0,Turnover by Team (shot clock),,10,5
28,1,8:10.0,,N. Jokić misses 2-pt jump shot from 18 ft,10,5
29,1,8:07.0,Defensive rebound by J. Harden,,10,5
30,1,8:05.0,T. Ariza makes 2-pt dunk at rim (assist by J. Harden),,12,5
31,1,7:51.0,,W. Barton misses 3-pt jump shot from 24 ft,12,5
32,1,7:49.0,Defensive rebound by P. Tucker,,12,5
33,1,7:46.0,,Offensive charge foul by J. Harden (drawn by G. Harris),12,5
34,1,7:46.0,Turnover by J. Harden (offensive foul),,12,5
35,1,7:27.0,,Turnover by W. Chandler (bad pass; steal by P. Tucker),12,5
36,1,7:27.0,Personal foul by N. Jokić (drawn by C. Paul),,12,5
37,1,7:11.0,J. Harden makes 3-pt jump shot from 24 ft (assist by C. Paul),,15,5
38,1,7:09.0,,Denver full timeout,15,5
39,1,7:09.0,L. Mbah a Moute enters the game for C. Paul,,15,5
40,1,6:54.0,,Turnover by J. Murray (out of bounds lost ball),15,5
41,1,6:40.0,P. Tucker misses 2-pt layup from 2 ft (block by W. Chandler),,15,5
42,1,6:37.0,,Defensive rebound by W. Barton,15,5
43,1,6:32.0,,N. Jokić misses 2-pt jump shot from 4 ft,15,5
44,1,6:30.0,Defensive rebound by C. Capela,,15,5
45,1,6:25.0,C. Capela misses 2-pt dunk from 1 ft,,15,5
46,1,6:23.0,,Defensive rebound by W. Barton,15,5
47,1,6:21.0,,G. Harris misses 3-pt jump shot from 25 ft,15,5
48,1,6:18.0,,Offensive rebound by W. Barton,15,5
49,1,6:09.0,,W. Chandler makes 2-pt layup from 1 ft (assist by J. Murray),15,7
