,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MINNESOTA_ACTION,GOLDEN STATE_SCORE,MINNESOTA_SCORE
0,1,11:48.0,,T. Gibson makes 2-pt jump shot from 12 ft (assist by K. Towns),0,2
1,1,11:33.0,K. Durant misses 2-pt jump shot from 18 ft,,0,2
2,1,11:28.0,Offensive rebound by J. McGee,,0,2
3,1,11:26.0,D. Green misses 3-pt jump shot from 25 ft,,0,2
4,1,11:24.0,,Defensive rebound by A. Wiggins,0,2
5,1,11:16.0,,A. Wiggins misses 2-pt jump shot from 18 ft,0,2
6,1,11:14.0,Defensive rebound by K. Durant,,0,2
7,1,11:10.0,K. Thompson misses 2-pt jump shot from 5 ft,,0,2
8,1,11:07.0,,Defensive rebound by N. Bjelica,0,2
9,1,10:55.0,,T. Gibson misses 2-pt hook shot from 1 ft,0,2
10,1,10:52.0,Defensive rebound by D. Green,,0,2
11,1,10:49.0,Q. Cook makes 2-pt jump shot from 6 ft,,2,2
12,1,10:25.0,,K. Towns misses 3-pt jump shot from 25 ft,2,2
13,1,10:23.0,Defensive rebound by Q. Cook,,2,2
14,1,10:14.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by D. Green),,5,2
15,1,10:00.0,,K. Towns makes 2-pt dunk from 1 ft (assist by N. Bjelica),5,4
16,1,9:45.0,K. Durant makes 2-pt layup from 1 ft (assist by D. Green),,7,4
17,1,9:31.0,,Turnover by A. Wiggins (traveling),7,4
18,1,9:19.0,J. McGee makes 2-pt dunk at rim (assist by K. Durant),,9,4
19,1,9:02.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by N. Bjelica),9,6
20,1,8:53.0,K. Durant misses 2-pt jump shot from 15 ft,,9,6
21,1,8:53.0,,Defensive rebound by K. Towns,9,6
22,1,8:40.0,,J. Teague makes 2-pt layup from 1 ft,9,8
23,1,8:40.0,,Shooting foul by J. McGee (drawn by J. Teague),9,8
24,1,8:40.0,,J. Teague makes free throw 1 of 1,9,9
25,1,8:27.0,Shooting foul by T. Gibson (drawn by K. Durant),,9,9
26,1,8:27.0,K. Durant makes free throw 1 of 2,,10,9
27,1,8:27.0,K. Durant makes free throw 2 of 2,,11,9
28,1,8:14.0,,N. Bjelica makes 3-pt jump shot from 22 ft (assist by J. Teague),11,12
29,1,7:51.0,Turnover by K. Thompson (bad pass; steal by N. Bjelica),,11,12
30,1,7:47.0,,T. Gibson makes 2-pt dunk at rim (assist by N. Bjelica),11,14
31,1,7:47.0,Golden State full timeout,,11,14
32,1,7:28.0,K. Thompson misses 2-pt jump shot from 15 ft,,11,14
33,1,7:26.0,,Defensive rebound by K. Towns,11,14
34,1,7:20.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by A. Wiggins),11,17
35,1,7:03.0,K. Durant misses 2-pt jump shot from 19 ft,,11,17
36,1,7:01.0,,Defensive rebound by K. Towns,11,17
37,1,6:42.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by T. Gibson),11,20
38,1,6:29.0,K. Thompson misses 2-pt jump shot from 17 ft,,11,20
39,1,6:27.0,,Defensive rebound by A. Wiggins,11,20
40,1,6:17.0,,T. Gibson misses 2-pt layup from 4 ft (block by K. Durant),11,20
41,1,6:14.0,Defensive rebound by K. Durant,,11,20
42,1,6:12.0,Q. Cook makes 2-pt jump shot from 11 ft (assist by K. Durant),,13,20
43,1,6:01.0,,Turnover by J. Teague (bad pass; steal by D. Green),13,20
44,1,5:57.0,K. Durant makes 2-pt dunk at rim (assist by Q. Cook),,15,20
45,1,5:48.0,,Minnesota full timeout,15,20
46,1,5:48.0,,J. Crawford enters the game for N. Bjelica,15,20
47,1,5:31.0,,J. Teague misses 2-pt jump shot from 15 ft,15,20
48,1,5:28.0,Defensive rebound by D. Green,,15,20
49,1,5:13.0,K. Durant misses 2-pt layup from 1 ft,,15,20
50,1,5:09.0,Offensive rebound by J. McGee,,15,20
51,1,5:08.0,Q. Cook misses 3-pt jump shot from 25 ft,,15,20
52,1,5:04.0,,Defensive rebound by T. Gibson,15,20
53,1,4:51.0,,K. Towns makes 2-pt hook shot from 7 ft (assist by J. Crawford),15,22
54,1,4:24.0,K. Thompson misses 2-pt layup from 1 ft,,15,22
55,1,4:22.0,,Defensive rebound by K. Towns,15,22
56,1,4:01.0,,J. Crawford misses 3-pt jump shot from 24 ft,15,22
57,1,3:57.0,,Offensive rebound by K. Towns,15,22
58,1,3:47.0,,A. Wiggins makes 2-pt jump shot from 6 ft (assist by J. Teague),15,24
59,1,3:36.0,Golden State full timeout,,15,24
60,1,3:36.0,,G. Dieng enters the game for J. Teague,15,24
61,1,3:36.0,,T. Jones enters the game for K. Towns,15,24
62,1,3:36.0,K. Looney enters the game for J. McGee,,15,24
63,1,3:36.0,Z. Pachulia enters the game for D. Green,,15,24
64,1,3:21.0,Z. Pachulia makes 2-pt jump shot from 11 ft (assist by Q. Cook),,17,24
65,1,3:02.0,,A. Wiggins makes 2-pt jump shot from 6 ft,17,26
66,1,2:52.0,K. Durant misses 2-pt jump shot from 5 ft,,17,26
67,1,2:48.0,,Defensive rebound by T. Gibson,17,26
68,1,2:42.0,,G. Dieng makes 2-pt layup from 1 ft (assist by T. Jones),17,28
69,1,2:42.0,,Shooting foul by K. Looney (drawn by G. Dieng),17,28
70,1,2:42.0,,D. Rose enters the game for A. Wiggins,17,28
71,1,2:42.0,N. Young enters the game for Q. Cook,,17,28
72,1,2:42.0,S. Livingston enters the game for K. Thompson,,17,28
73,1,2:42.0,,G. Dieng misses free throw 1 of 1,17,28
74,1,2:39.0,Defensive rebound by Z. Pachulia,,17,28
75,1,2:20.0,K. Durant misses 2-pt jump shot from 3 ft,,17,28
76,1,2:16.0,,Defensive rebound by T. Jones,17,28
77,1,2:14.0,,Turnover by D. Rose (step out of bounds),17,28
78,1,1:59.0,K. Durant makes 3-pt jump shot from 25 ft (assist by Z. Pachulia),,20,28
79,1,1:35.0,,G. Dieng misses 2-pt layup from 1 ft (block by Z. Pachulia),20,28
80,1,1:31.0,,Offensive rebound by D. Rose,20,28
81,1,1:31.0,,D. Rose makes 2-pt layup from 1 ft,20,30
82,1,1:18.0,Z. Pachulia makes 2-pt layup from 1 ft,,22,30
83,1,1:00.0,,D. Rose misses 2-pt jump shot from 8 ft,22,30
84,1,0:58.0,Defensive rebound by Z. Pachulia,,22,30
85,1,0:48.0,Shooting foul by T. Gibson (drawn by K. Durant),,22,30
86,1,0:48.0,K. Durant makes free throw 1 of 2,,23,30
87,1,0:48.0,,N. Bjelica enters the game for T. Gibson,23,30
88,1,0:48.0,K. Durant makes free throw 2 of 2,,24,30
89,1,0:33.0,,T. Jones makes 2-pt jump shot from 10 ft (assist by D. Rose),24,32
90,1,0:17.0,Turnover by S. Livingston (bad pass; steal by J. Crawford),,24,32
91,1,0:14.0,,N. Bjelica makes 2-pt dunk from 1 ft (assist by T. Jones),24,34
92,1,0:00.0,N. Young misses 3-pt jump shot from 22 ft,,24,34
93,1,0:00.0,Offensive rebound by Team,,24,34
94,2,11:50.0,S. Livingston misses 2-pt jump shot from 13 ft,,24,34
95,2,11:46.0,,Defensive rebound by G. Dieng,24,34
96,2,11:40.0,,T. Jones misses 2-pt jump shot from 9 ft,24,34
97,2,11:37.0,Defensive rebound by Z. Pachulia,,24,34
