,QUARTER,TIME_REMAINING,INDIANA_ACTION,ATLANTA_ACTION,INDIANA_SCORE,ATLANTA_SCORE
0,1,11:44.0,,D. Schröder misses 3-pt jump shot from 24 ft,0,0
1,1,11:39.0,Defensive rebound by V. Oladipo,,0,0
2,1,11:23.0,M. Turner makes 3-pt jump shot from 25 ft,,3,0
3,1,11:10.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by J. Collins),3,3
4,1,10:55.0,Personal foul by K. Bazemore (drawn by B. Bogdanović),,3,3
5,1,10:50.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),,5,3
6,1,10:39.0,,D. Dedmon makes 3-pt jump shot from 25 ft (assist by D. Schröder),5,6
7,1,10:24.0,Turnover by B. Bogdanović (bad pass; steal by D. Dedmon),,5,6
8,1,10:14.0,,D. Dedmon misses 2-pt hook shot from 6 ft,5,6
9,1,10:10.0,Defensive rebound by T. Young,,5,6
10,1,9:55.0,T. Young makes 3-pt jump shot from 25 ft (assist by C. Joseph),,8,6
11,1,9:37.0,,J. Collins makes 2-pt layup from 6 ft (assist by K. Bazemore),8,8
12,1,9:37.0,,Shooting foul by M. Turner (drawn by J. Collins),8,8
13,1,9:37.0,,J. Collins makes free throw 1 of 1,8,9
14,1,9:21.0,Turnover by V. Oladipo (lost ball; steal by T. Prince),,8,9
15,1,9:11.0,,Personal block foul by M. Turner (drawn by T. Prince),8,9
16,1,9:11.0,D. Sabonis enters the game for M. Turner,,8,9
17,1,9:03.0,,T. Prince makes 3-pt jump shot from 25 ft,8,12
18,1,8:55.0,Turnover by D. Sabonis (bad pass),,8,12
19,1,8:45.0,,D. Schröder misses 2-pt jump shot from 18 ft,8,12
20,1,8:41.0,Defensive rebound by C. Joseph,,8,12
21,1,8:36.0,V. Oladipo makes 2-pt layup from 1 ft,,10,12
22,1,8:29.0,,Turnover by T. Prince (lost ball; steal by T. Young),10,12
23,1,8:25.0,T. Young makes 2-pt dunk from 1 ft (assist by V. Oladipo),,12,12
24,1,8:06.0,,Turnover by J. Collins (lost ball; steal by T. Young),12,12
25,1,8:01.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,12,12
26,1,7:59.0,,Defensive rebound by Team,12,12
27,1,7:45.0,,D. Dedmon makes 3-pt jump shot from 23 ft (assist by K. Bazemore),12,15
28,1,7:24.0,D. Sabonis makes 2-pt dunk from 1 ft (assist by T. Young),,14,15
29,1,7:04.0,,Turnover by D. Dedmon (bad pass; steal by V. Oladipo),14,15
30,1,6:57.0,T. Young misses 3-pt jump shot from 24 ft,,14,15
31,1,6:55.0,Offensive rebound by Team,,14,15
32,1,6:55.0,,Atlanta full timeout,14,15
