,QUARTER,TIME_REMAINING,INDIANA_ACTION,PHILADELPHIA_ACTION,INDIANA_SCORE,PHILADELPHIA_SCORE
0,1,11:41.0,V. Oladipo misses 2-pt jump shot from 19 ft,,0,0
1,1,11:38.0,,Defensive rebound by D. Šarić,0,0
2,1,11:28.0,,J. Redick makes 2-pt jump shot from 17 ft (assist by J. Embiid),0,2
3,1,11:13.0,M. Turner makes 2-pt jump shot from 20 ft (assist by B. Bogdanović),,2,2
4,1,10:58.0,,B. Simmons misses 2-pt jump shot from 18 ft,2,2
5,1,10:55.0,Defensive rebound by B. Bogdanović,,2,2
6,1,10:48.0,Turnover by B. Bogdanović (traveling),,2,2
7,1,10:39.0,,Turnover by J. Embiid (bad pass; steal by M. Turner),2,2
8,1,10:22.0,M. Turner makes 3-pt jump shot from 27 ft (assist by C. Joseph),,5,2
9,1,10:11.0,,D. Šarić misses 2-pt layup from 7 ft,5,2
10,1,10:09.0,Defensive rebound by V. Oladipo,,5,2
11,1,10:01.0,B. Bogdanović misses 2-pt layup from 5 ft,,5,2
12,1,9:55.0,Offensive rebound by T. Young,,5,2
13,1,9:55.0,T. Young misses 2-pt layup at rim,,5,2
14,1,9:54.0,,Defensive rebound by B. Simmons,5,2
15,1,9:42.0,,J. Embiid makes 2-pt dunk at rim (assist by B. Simmons),5,4
16,1,9:36.0,C. Joseph makes 2-pt layup from 2 ft,,7,4
17,1,9:11.0,,J. Embiid makes 2-pt layup from 2 ft,7,6
18,1,8:53.0,V. Oladipo misses 2-pt jump shot from 17 ft,,7,6
19,1,8:51.0,,Defensive rebound by B. Simmons,7,6
20,1,8:46.0,,Turnover by J. Embiid (traveling),7,6
21,1,8:40.0,Personal foul by B. Simmons (drawn by B. Bogdanović),,7,6
22,1,8:22.0,B. Bogdanović misses 2-pt jump shot from 6 ft,,7,6
23,1,8:20.0,,Defensive rebound by J. Embiid,7,6
24,1,8:16.0,,R. Covington misses 3-pt jump shot from 25 ft,7,6
25,1,8:16.0,Defensive rebound by C. Joseph,,7,6
26,1,8:10.0,Personal block foul by R. Covington (drawn by C. Joseph),,7,6
27,1,8:00.0,M. Turner makes 2-pt jump shot from 4 ft (assist by C. Joseph),,9,6
28,1,7:44.0,,J. Embiid misses 2-pt jump shot from 17 ft,9,6
29,1,7:40.0,Defensive rebound by T. Young,,9,6
30,1,7:35.0,V. Oladipo misses 2-pt jump shot from 15 ft,,9,6
31,1,7:33.0,,Defensive rebound by B. Simmons,9,6
32,1,7:25.0,,Personal foul by V. Oladipo (drawn by B. Simmons),9,6
33,1,7:25.0,,M. Belinelli enters the game for J. Redick,9,6
