,QUARTER,TIME_REMAINING,CHICAGO_ACTION,DENVER_ACTION,CHICAGO_SCORE,DENVER_SCORE
0,1,11:44.0,L. Markkanen misses 2-pt jump shot from 12 ft,,0,0
1,1,11:41.0,,Defensive rebound by K. Faried,0,0
2,1,11:22.0,,K. Faried makes 2-pt dunk from 2 ft (assist by J. Murray),0,2
3,1,11:05.0,K. Dunn misses 2-pt jump shot from 13 ft,,0,2
4,1,11:01.0,,Defensive rebound by K. Faried,0,2
5,1,10:55.0,,J. Murray misses 2-pt layup from 4 ft,0,2
6,1,10:49.0,Defensive rebound by L. Markkanen,,0,2
7,1,10:46.0,L. Markkanen makes 3-pt jump shot from 24 ft (assist by D. Valentine),,3,2
8,1,10:23.0,,J. Hernangómez misses 3-pt jump shot from 24 ft,3,2
9,1,10:19.0,,Offensive rebound by J. Murray,3,2
10,1,10:17.0,,J. Murray misses 3-pt jump shot from 25 ft,3,2
11,1,10:14.0,,Offensive rebound by K. Faried,3,2
12,1,10:12.0,,K. Faried misses 2-pt layup from 2 ft,3,2
13,1,10:09.0,Defensive rebound by D. Valentine,,3,2
14,1,9:58.0,R. Lopez makes 2-pt layup from 5 ft (assist by K. Dunn),,5,2
15,1,9:50.0,,G. Harris misses 2-pt jump shot from 12 ft,5,2
16,1,9:47.0,Defensive rebound by L. Markkanen,,5,2
17,1,9:41.0,R. Lopez makes 2-pt jump shot from 16 ft (assist by K. Dunn),,7,2
18,1,9:26.0,,K. Faried makes 2-pt layup from 2 ft (assist by N. Jokić),7,4
19,1,9:13.0,K. Dunn makes 2-pt jump shot from 10 ft,,9,4
20,1,9:04.0,,Personal foul by K. Dunn (drawn by J. Murray),9,4
21,1,8:54.0,,G. Harris misses 3-pt jump shot from 22 ft,9,4
22,1,8:49.0,Defensive rebound by D. Valentine,,9,4
23,1,8:37.0,J. Holiday misses 3-pt jump shot from 25 ft,,9,4
24,1,8:33.0,Offensive rebound by R. Lopez,,9,4
25,1,8:15.0,R. Lopez makes 2-pt hook shot from 3 ft,,11,4
26,1,7:55.0,,G. Harris makes 2-pt layup from 2 ft,11,6
27,1,7:45.0,K. Dunn makes 2-pt layup from 3 ft,,13,6
28,1,7:45.0,,Denver full timeout,13,6
29,1,7:28.0,,J. Hernangómez misses 3-pt jump shot from 23 ft,13,6
30,1,7:23.0,Defensive rebound by L. Markkanen,,13,6
31,1,7:13.0,Personal foul by J. Murray (drawn by L. Markkanen),,13,6
32,1,7:05.0,L. Markkanen makes 2-pt layup from 2 ft (assist by K. Dunn),,15,6
33,1,6:56.0,,K. Faried makes 2-pt layup from 2 ft (assist by J. Hernangómez),15,8
34,1,6:38.0,J. Holiday makes 2-pt jump shot from 14 ft (assist by K. Dunn),,17,8
35,1,6:16.0,,Turnover by G. Harris (bad pass),17,8
36,1,6:01.0,R. Lopez makes 2-pt layup from 2 ft (assist by J. Holiday),,19,8
37,1,5:47.0,,G. Harris misses 3-pt jump shot from 25 ft,19,8
