,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MINNESOTA_ACTION,SAN ANTONIO_SCORE,MINNESOTA_SCORE
0,1,11:42.0,,Personal foul by D. Green (drawn by K. Towns),0,0
1,1,11:33.0,,T. Gibson makes 3-pt jump shot from 22 ft (assist by K. Towns),0,3
2,1,11:14.0,P. Mills misses 2-pt jump shot from 20 ft,,0,3
3,1,11:11.0,,Defensive rebound by A. Wiggins,0,3
4,1,11:06.0,,J. Teague misses 2-pt jump shot from 16 ft,0,3
5,1,11:03.0,Defensive rebound by K. Anderson,,0,3
6,1,10:49.0,L. Aldridge misses 2-pt jump shot from 15 ft,,0,3
7,1,10:49.0,,Defensive rebound by K. Towns,0,3
8,1,10:38.0,,J. Butler misses 2-pt jump shot from 11 ft,0,3
9,1,10:36.0,Defensive rebound by P. Gasol,,0,3
10,1,10:17.0,D. Green misses 2-pt layup from 1 ft (block by K. Towns),,0,3
11,1,10:14.0,,Defensive rebound by T. Gibson,0,3
12,1,10:11.0,,A. Wiggins makes 2-pt dunk at rim (assist by J. Teague),0,5
13,1,10:10.0,San Antonio full timeout,,0,5
14,1,9:46.0,D. Green makes 2-pt jump shot from 6 ft (assist by P. Mills),,2,5
15,1,9:28.0,,K. Towns misses 2-pt layup at rim,2,5
16,1,9:28.0,,Offensive rebound by K. Towns,2,5
17,1,9:28.0,,Shooting foul by L. Aldridge (drawn by K. Towns),2,5
18,1,9:28.0,,K. Towns misses free throw 1 of 2,2,5
19,1,9:28.0,,Offensive rebound by Team,2,5
20,1,9:28.0,,K. Towns misses free throw 2 of 2,2,5
21,1,9:25.0,Defensive rebound by P. Gasol,,2,5
22,1,9:13.0,P. Gasol makes 2-pt jump shot from 16 ft (assist by D. Green),,4,5
23,1,8:56.0,,A. Wiggins misses 2-pt jump shot from 17 ft,4,5
24,1,8:53.0,Defensive rebound by L. Aldridge,,4,5
25,1,8:37.0,P. Gasol makes 2-pt jump shot from 12 ft,,6,5
