,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,TORONTO_ACTION,PHILADELPHIA_SCORE,TORONTO_SCORE
0,1,11:46.0,A. Johnson makes 2-pt dunk at rim (assist by B. Simmons),,2,0
1,1,11:19.0,,K. Lowry misses 3-pt jump shot from 27 ft,2,0
2,1,11:17.0,Defensive rebound by R. Covington,,2,0
3,1,11:14.0,Turnover by B. Simmons (traveling),,2,0
4,1,10:56.0,,S. Ibaka misses 3-pt jump shot from 26 ft,2,0
5,1,10:50.0,,Offensive rebound by N. Powell,2,0
6,1,10:46.0,,D. DeRozan makes 2-pt jump shot from 15 ft (assist by K. Lowry),2,2
7,1,10:29.0,A. Johnson misses 3-pt jump shot from 26 ft,,2,2
8,1,10:25.0,,Defensive rebound by S. Ibaka,2,2
9,1,10:14.0,,S. Ibaka makes 2-pt jump shot from 12 ft,2,4
10,1,9:58.0,Turnover by B. Simmons (bad pass),,2,4
11,1,9:53.0,,Shooting foul by R. Covington (drawn by D. DeRozan),2,4
12,1,9:53.0,,D. DeRozan makes free throw 1 of 2,2,5
13,1,9:53.0,,D. DeRozan makes free throw 2 of 2,2,6
14,1,9:42.0,J. Redick misses 2-pt jump shot from 20 ft (block by N. Powell),,2,6
15,1,9:42.0,Offensive rebound by Team,,2,6
16,1,9:40.0,Shooting foul by K. Lowry (drawn by J. Bayless),,2,6
17,1,9:40.0,J. Bayless makes free throw 1 of 2,,3,6
18,1,9:40.0,J. Bayless makes free throw 2 of 2,,4,6
19,1,9:30.0,,S. Ibaka makes 3-pt jump shot from 26 ft,4,9
20,1,9:16.0,B. Simmons makes 2-pt layup from 1 ft,,6,9
21,1,9:05.0,,J. Valančiūnas makes 2-pt jump shot from 4 ft (assist by S. Ibaka),6,11
22,1,8:53.0,J. Bayless misses 2-pt layup from 1 ft,,6,11
23,1,8:53.0,,Defensive rebound by J. Valančiūnas,6,11
24,1,8:48.0,,Turnover by S. Ibaka (step out of bounds),6,11
25,1,8:36.0,B. Simmons makes 2-pt jump shot from 14 ft,,8,11
26,1,8:25.0,,Personal foul by A. Johnson (drawn by J. Valančiūnas),8,11
27,1,8:17.0,,S. Ibaka misses 3-pt jump shot from 25 ft,8,11
28,1,8:13.0,Defensive rebound by J. Bayless,,8,11
29,1,8:08.0,J. Bayless makes 3-pt jump shot from 27 ft (assist by B. Simmons),,11,11
30,1,7:55.0,,N. Powell misses 2-pt layup from 2 ft,11,11
31,1,7:53.0,Defensive rebound by J. Redick,,11,11
32,1,7:53.0,Personal block foul by N. Powell (drawn by J. Redick),,11,11
33,1,7:43.0,R. Covington misses 2-pt jump shot from 11 ft,,11,11
34,1,7:41.0,,Defensive rebound by K. Lowry,11,11
35,1,7:35.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by K. Lowry),11,13
36,1,7:27.0,R. Covington misses 2-pt layup from 2 ft,,11,13
37,1,7:26.0,,Defensive rebound by S. Ibaka,11,13
38,1,7:20.0,,Turnover by K. Lowry (bad pass; steal by A. Johnson),11,13
39,1,7:12.0,J. Redick misses 2-pt jump shot from 11 ft,,11,13
40,1,7:07.0,,Defensive rebound by J. Valančiūnas,11,13
41,1,7:02.0,,N. Powell misses 3-pt jump shot from 27 ft,11,13
42,1,7:02.0,Defensive rebound by R. Covington,,11,13
43,1,6:45.0,J. Redick misses 2-pt jump shot from 8 ft,,11,13
44,1,6:41.0,,Defensive rebound by J. Valančiūnas,11,13
45,1,6:33.0,Offensive charge foul by D. DeRozan (drawn by A. Johnson),,11,13
46,1,6:33.0,,Turnover by D. DeRozan (offensive foul),11,13
47,1,6:33.0,,Toronto full timeout,11,13
48,1,6:33.0,T. McConnell enters the game for B. Simmons,,11,13
49,1,6:33.0,D. Šarić enters the game for A. Johnson,,11,13
50,1,6:33.0,J. Okafor enters the game for J. Bayless,,11,13
51,1,6:16.0,R. Covington misses 2-pt layup from 1 ft,,11,13
52,1,6:14.0,Offensive rebound by D. Šarić,,11,13
53,1,6:12.0,D. Šarić misses 2-pt hook shot from 2 ft,,11,13
54,1,6:12.0,Offensive rebound by J. Okafor,,11,13
55,1,6:07.0,J. Okafor makes 2-pt hook shot from 3 ft,,13,13
56,1,5:50.0,,Shooting foul by J. Okafor (drawn by S. Ibaka),13,13
57,1,5:50.0,,S. Ibaka makes free throw 1 of 2,13,14
58,1,5:50.0,,S. Ibaka makes free throw 2 of 2,13,15
59,1,5:36.0,R. Covington makes 2-pt jump shot from 16 ft (assist by D. Šarić),,15,15
60,1,5:19.0,,K. Lowry misses 3-pt jump shot from 26 ft,15,15
61,1,5:17.0,Defensive rebound by J. Okafor,,15,15
62,1,5:13.0,,Offensive charge foul by T. McConnell (drawn by D. DeRozan),15,15
63,1,5:13.0,Turnover by T. McConnell (offensive foul),,15,15
64,1,5:13.0,J. Bayless enters the game for J. Redick,,15,15
65,1,5:13.0,T. Luwawu-Cabarrot enters the game for R. Covington,,15,15
66,1,4:55.0,,D. DeRozan makes 2-pt jump shot from 16 ft,15,17
67,1,4:38.0,Shooting foul by J. Valančiūnas (drawn by J. Okafor),,15,17
68,1,4:38.0,J. Okafor makes free throw 1 of 2,,16,17
69,1,4:38.0,,D. Wright enters the game for K. Lowry,16,17
70,1,4:38.0,,J. Poeltl enters the game for J. Valančiūnas,16,17
71,1,4:38.0,J. Okafor misses free throw 2 of 2,,16,17
72,1,4:36.0,,Defensive rebound by S. Ibaka,16,17
73,1,4:27.0,,D. DeRozan makes 2-pt jump shot from 3 ft,16,19
74,1,4:27.0,,Shooting foul by J. Okafor (drawn by D. DeRozan),16,19
75,1,4:27.0,,D. DeRozan makes free throw 1 of 1,16,20
76,1,4:10.0,J. Okafor misses 2-pt layup from 2 ft,,16,20
77,1,4:08.0,,Defensive rebound by N. Powell,16,20
78,1,4:04.0,,Turnover by N. Powell (out of bounds lost ball),16,20
79,1,4:04.0,Philadelphia full timeout,,16,20
80,1,4:04.0,,C. Miles enters the game for N. Powell,16,20
81,1,4:04.0,B. Simmons enters the game for D. Šarić,,16,20
82,1,4:04.0,M. Fultz enters the game for T. McConnell,,16,20
83,1,3:57.0,Turnover by T. Luwawu-Cabarrot (traveling),,16,20
84,1,3:44.0,,Shooting foul by J. Okafor (drawn by D. DeRozan),16,20
85,1,3:44.0,,D. DeRozan makes free throw 1 of 2,16,21
86,1,3:44.0,D. Šarić enters the game for J. Okafor,,16,21
87,1,3:44.0,,D. DeRozan misses free throw 2 of 2,16,21
88,1,3:42.0,,Offensive rebound by J. Poeltl,16,21
89,1,3:41.0,,J. Poeltl makes 2-pt layup at rim,16,23
90,1,3:25.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,,16,23
91,1,3:22.0,,Defensive rebound by D. Wright,16,23
92,1,3:17.0,,D. DeRozan makes 2-pt jump shot from 15 ft,16,25
93,1,3:16.0,,Shooting foul by J. Bayless (drawn by D. DeRozan),16,25
94,1,3:16.0,,O. Anunoby enters the game for S. Ibaka,16,25
95,1,3:16.0,,D. DeRozan makes free throw 1 of 1,16,26
96,1,3:03.0,Turnover by D. Šarić (bad pass),,16,26
97,1,2:51.0,,Shooting foul by D. Šarić (drawn by D. DeRozan),16,26
98,1,2:51.0,,D. DeRozan makes free throw 1 of 2,16,27
99,1,2:51.0,,D. DeRozan makes free throw 2 of 2,16,28
100,1,2:39.0,M. Fultz makes 2-pt layup from 2 ft,,18,28
101,1,2:31.0,,Personal foul by M. Fultz (drawn by D. Wright),18,28
102,1,2:31.0,,D. Wright makes free throw 1 of 2,18,29
103,1,2:31.0,,D. Wright makes free throw 2 of 2,18,30
104,1,2:16.0,D. Šarić misses 2-pt jump shot from 20 ft,,18,30
105,1,2:13.0,,Defensive rebound by D. Wright,18,30
106,1,2:10.0,,Personal foul by M. Fultz (drawn by D. Wright),18,30
107,1,2:10.0,,D. Wright makes free throw 1 of 1,18,31
108,1,2:10.0,,F. VanVleet enters the game for D. DeRozan,18,31
109,1,2:10.0,,D. Wright makes free throw 2 of 2,18,32
110,1,1:59.0,Turnover by T. Luwawu-Cabarrot (bad pass; steal by O. Anunoby),,18,32
111,1,1:55.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Poeltl),18,32
112,1,1:55.0,,J. Poeltl makes free throw 1 of 2,18,33
113,1,1:55.0,,J. Poeltl misses free throw 2 of 2,18,33
114,1,1:52.0,Defensive rebound by B. Simmons,,18,33
115,1,1:36.0,Personal foul by F. VanVleet (drawn by D. Šarić),,18,33
116,1,1:29.0,Shooting foul by O. Anunoby (drawn by B. Simmons),,18,33
117,1,1:29.0,B. Simmons misses free throw 1 of 2,,18,33
118,1,1:29.0,Offensive rebound by Team,,18,33
119,1,1:29.0,B. Simmons makes free throw 2 of 2,,19,33
120,1,1:09.0,,O. Anunoby makes 3-pt jump shot from 22 ft (assist by C. Miles),19,36
121,1,0:58.0,D. Šarić misses 2-pt layup at rim (block by J. Poeltl),,19,36
122,1,0:56.0,,Defensive rebound by O. Anunoby,19,36
123,1,0:50.0,,F. VanVleet misses 3-pt jump shot from 22 ft,19,36
124,1,0:50.0,Defensive rebound by D. Šarić,,19,36
125,1,0:40.0,B. Simmons misses 2-pt layup from 2 ft (block by J. Poeltl),,19,36
126,1,0:34.0,,Defensive rebound by D. Wright,19,36
127,1,0:32.0,,C. Miles misses 3-pt jump shot from 28 ft,19,36
128,1,0:32.0,Defensive rebound by T. Luwawu-Cabarrot,,19,36
129,1,0:30.0,Turnover by T. Luwawu-Cabarrot (bad pass),,19,36
130,1,0:06.0,,Turnover by D. Wright (bad pass),19,36
131,1,0:02.0,B. Simmons misses 2-pt layup from 2 ft,,19,36
132,1,0:01.0,,Defensive rebound by D. Wright,19,36
133,1,0:00.0,,O. Anunoby misses 2-pt jump shot from 22 ft,19,36
134,1,0:00.0,,Offensive rebound by Team,19,36
135,2,11:43.0,,O. Anunoby misses 3-pt jump shot from 22 ft,19,36
136,2,11:39.0,Defensive rebound by J. Bayless,,19,36
137,2,11:39.0,Turnover by J. Bayless (step out of bounds),,19,36
138,2,11:25.0,,Turnover by C. Miles (out of bounds lost ball),19,36
139,2,11:20.0,Personal block foul by F. VanVleet (drawn by J. Redick),,19,36
140,2,11:10.0,B. Simmons makes 2-pt layup from 7 ft (assist by M. Fultz),,21,36
141,2,11:00.0,,Turnover by D. Wright (palming),21,36
142,2,10:46.0,B. Simmons makes 2-pt dunk at rim (assist by A. Johnson),,23,36
143,2,10:33.0,,D. Wright misses 3-pt jump shot from 25 ft,23,36
144,2,10:30.0,Defensive rebound by J. Redick,,23,36
145,2,10:19.0,Shooting foul by O. Anunoby (drawn by A. Johnson),,23,36
146,2,10:19.0,A. Johnson makes free throw 1 of 2,,24,36
147,2,10:19.0,A. Johnson makes free throw 2 of 2,,25,36
148,2,10:01.0,,Turnover by F. VanVleet (bad pass; steal by J. Bayless),25,36
149,2,9:52.0,J. Bayless misses 3-pt jump shot from 25 ft,,25,36
150,2,9:50.0,,Defensive rebound by C. Miles,25,36
151,2,9:40.0,,D. Wright makes 2-pt layup from 2 ft,25,38
152,2,9:25.0,Turnover by J. Bayless (lost ball; steal by J. Poeltl),,25,38
153,2,9:15.0,,J. Poeltl makes 2-pt jump shot from 5 ft (assist by O. Anunoby),25,40
154,2,9:04.0,B. Simmons makes 2-pt jump shot from 7 ft (assist by J. Redick),,27,40
155,2,8:44.0,,Shooting foul by A. Johnson (drawn by D. Wright),27,40
156,2,8:44.0,,D. Wright makes free throw 1 of 2,27,41
157,2,8:44.0,,J. Valančiūnas enters the game for J. Poeltl,27,41
158,2,8:44.0,T. McConnell enters the game for M. Fultz,,27,41
159,2,8:44.0,,K. Lowry enters the game for F. VanVleet,27,41
160,2,8:44.0,,D. Wright makes free throw 2 of 2,27,42
161,2,8:34.0,J. Redick misses 2-pt jump shot from 16 ft (block by D. Wright),,27,42
162,2,8:31.0,,Defensive rebound by K. Lowry,27,42
163,2,8:25.0,,J. Valančiūnas misses 2-pt layup from 2 ft,27,42
164,2,8:23.0,Defensive rebound by B. Simmons,,27,42
165,2,8:18.0,J. Bayless makes 3-pt jump shot from 25 ft (assist by T. McConnell),,30,42
166,2,8:00.0,,Personal foul by T. McConnell (drawn by O. Anunoby),30,42
167,2,7:56.0,,C. Miles misses 3-pt jump shot from 26 ft,30,42
168,2,7:54.0,Defensive rebound by B. Simmons,,30,42
169,2,7:50.0,Personal foul by C. Miles (drawn by B. Simmons),,30,42
170,2,7:50.0,,S. Ibaka enters the game for O. Anunoby,30,42
171,2,7:50.0,J. Okafor enters the game for A. Johnson,,30,42
172,2,7:50.0,D. Šarić enters the game for B. Simmons,,30,42
173,2,7:38.0,T. McConnell misses 3-pt jump shot from 25 ft,,30,42
174,2,7:35.0,,Defensive rebound by J. Valančiūnas,30,42
175,2,7:29.0,,C. Miles misses 3-pt jump shot from 23 ft,30,42
176,2,7:26.0,Defensive rebound by T. McConnell,,30,42
177,2,7:23.0,Turnover by J. Bayless (traveling),,30,42
178,2,7:11.0,,Personal foul by J. Redick (drawn by J. Valančiūnas),30,42
179,2,6:58.0,,S. Ibaka misses 3-pt jump shot from 23 ft,30,42
180,2,6:54.0,Defensive rebound by J. Okafor,,30,42
181,2,6:48.0,Philadelphia full timeout,,30,42
