,QUARTER,TIME_REMAINING,ORLANDO_ACTION,BROOKLYN_ACTION,ORLANDO_SCORE,BROOKLYN_SCORE
0,1,11:43.0,,R. Hollis-Jefferson misses 2-pt jump shot from 9 ft,0,0
1,1,11:39.0,Defensive rebound by E. Payton,,0,0
2,1,11:25.0,A. Gordon makes 3-pt jump shot from 25 ft (assist by J. Simmons),,3,0
3,1,11:00.0,,D. Carroll misses 2-pt jump shot from 7 ft (block by E. Fournier),3,0
4,1,10:56.0,Defensive rebound by B. Biyombo,,3,0
5,1,10:54.0,E. Fournier misses 3-pt jump shot from 25 ft,,3,0
6,1,10:54.0,,Defensive rebound by D. Carroll,3,0
7,1,10:46.0,,A. Crabbe misses 3-pt jump shot from 25 ft,3,0
8,1,10:43.0,Defensive rebound by A. Gordon,,3,0
9,1,10:37.0,A. Gordon makes 3-pt jump shot from 25 ft (assist by J. Simmons),,6,0
10,1,10:15.0,,S. Dinwiddie misses 3-pt jump shot from 28 ft,6,0
11,1,10:12.0,,Offensive rebound by T. Zeller,6,0
12,1,10:04.0,,R. Hollis-Jefferson makes 2-pt jump shot from 13 ft,6,2
13,1,9:52.0,E. Payton misses 3-pt jump shot from 25 ft,,6,2
14,1,9:52.0,,Defensive rebound by S. Dinwiddie,6,2
15,1,9:43.0,,T. Zeller makes 2-pt layup from 3 ft (assist by S. Dinwiddie),6,4
16,1,9:26.0,Turnover by B. Biyombo (bad pass; steal by A. Crabbe),,6,4
17,1,9:20.0,,A. Crabbe misses 2-pt jump shot from 6 ft,6,4
18,1,9:18.0,Defensive rebound by A. Gordon,,6,4
19,1,9:17.0,Turnover by E. Payton (bad pass),,6,4
20,1,8:55.0,,R. Hollis-Jefferson misses 2-pt jump shot from 8 ft,6,4
21,1,8:53.0,Defensive rebound by A. Gordon,,6,4
22,1,8:45.0,B. Biyombo misses 2-pt jump shot from 7 ft (block by T. Zeller),,6,4
23,1,8:41.0,,Defensive rebound by R. Hollis-Jefferson,6,4
24,1,8:32.0,,A. Crabbe makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),6,7
25,1,8:17.0,A. Gordon misses 2-pt jump shot from 13 ft,,6,7
26,1,8:15.0,,Defensive rebound by T. Zeller,6,7
27,1,8:00.0,,D. Carroll misses 2-pt layup from 5 ft,6,7
28,1,7:56.0,Defensive rebound by E. Payton,,6,7
29,1,7:52.0,B. Biyombo makes 2-pt layup from 5 ft (assist by E. Fournier),,8,7
30,1,7:52.0,Shooting foul by T. Zeller (drawn by B. Biyombo),,8,7
31,1,7:52.0,B. Biyombo misses free throw 1 of 1,,8,7
32,1,7:50.0,,Defensive rebound by T. Zeller,8,7
33,1,7:39.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,8,7
34,1,7:36.0,Defensive rebound by B. Biyombo,,8,7
35,1,7:19.0,J. Simmons misses 3-pt jump shot from 25 ft,,8,7
36,1,7:15.0,,Defensive rebound by D. Carroll,8,7
37,1,7:03.0,,Shooting foul by E. Payton (drawn by R. Hollis-Jefferson),8,7
38,1,7:03.0,,R. Hollis-Jefferson makes free throw 1 of 2,8,8
39,1,7:03.0,,R. Hollis-Jefferson misses free throw 2 of 2,8,8
40,1,7:00.0,Defensive rebound by B. Biyombo,,8,8
41,1,6:53.0,B. Biyombo makes 2-pt dunk from 1 ft (assist by E. Payton),,10,8
42,1,6:45.0,,T. Zeller misses 2-pt hook shot from 3 ft,10,8
43,1,6:45.0,Defensive rebound by Team,,10,8
44,1,6:45.0,,Brooklyn full timeout,10,8
45,1,6:23.0,J. Simmons misses 3-pt jump shot from 23 ft,,10,8
46,1,6:19.0,,Defensive rebound by A. Crabbe,10,8
47,1,5:58.0,,S. Dinwiddie misses 2-pt jump shot from 5 ft,10,8
48,1,5:58.0,Defensive rebound by Team,,10,8
