,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,OKLAHOMA CITY_ACTION,GOLDEN STATE_SCORE,OKLAHOMA CITY_SCORE
0,1,11:40.0,,Shooting foul by K. Thompson (drawn by R. Westbrook),0,0
1,1,11:40.0,,R. Westbrook makes free throw 1 of 2,0,1
2,1,11:40.0,,R. Westbrook makes free throw 2 of 2,0,2
3,1,11:23.0,K. Thompson misses 3-pt jump shot from 25 ft,,0,2
4,1,11:20.0,,Defensive rebound by R. Westbrook,0,2
5,1,11:12.0,,P. George misses 2-pt jump shot from 9 ft,0,2
6,1,11:08.0,Defensive rebound by K. Durant,,0,2
7,1,10:51.0,Z. Pachulia misses 2-pt jump shot from 12 ft,,0,2
8,1,10:49.0,,Defensive rebound by C. Anthony,0,2
9,1,10:30.0,,P. George makes 2-pt layup at rim (assist by C. Brewer),0,4
10,1,10:09.0,Turnover by Z. Pachulia (lost ball; steal by C. Brewer),,0,4
11,1,10:05.0,,C. Anthony misses 3-pt jump shot from 25 ft,0,4
12,1,10:03.0,,Offensive rebound by S. Adams,0,4
13,1,10:02.0,,P. George makes 3-pt jump shot from 24 ft (assist by S. Adams),0,7
14,1,9:42.0,K. Thompson misses 3-pt jump shot from 22 ft,,0,7
15,1,9:39.0,,Defensive rebound by R. Westbrook,0,7
16,1,9:34.0,,Turnover by R. Westbrook (out of bounds lost ball),0,7
17,1,9:22.0,K. Durant makes 2-pt jump shot from 22 ft (assist by D. Green),,2,7
18,1,9:05.0,,Shooting foul by Z. Pachulia (drawn by S. Adams),2,7
19,1,9:05.0,,S. Adams makes free throw 1 of 2,2,8
20,1,9:05.0,,S. Adams misses free throw 2 of 2,2,8
21,1,9:03.0,Defensive rebound by Z. Pachulia,,2,8
22,1,8:48.0,Z. Pachulia makes 2-pt dunk at rim (assist by K. Thompson),,4,8
23,1,8:27.0,,R. Westbrook makes 3-pt jump shot from 24 ft (assist by S. Adams),4,11
24,1,8:05.0,Personal foul by P. George (drawn by Z. Pachulia),,4,11
25,1,7:58.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by Q. Cook),,7,11
26,1,7:40.0,,Turnover by C. Anthony (bad pass; steal by Z. Pachulia),7,11
27,1,7:38.0,Z. Pachulia misses 2-pt layup from 1 ft,,7,11
28,1,7:34.0,,Defensive rebound by R. Westbrook,7,11
29,1,7:18.0,,P. George misses 2-pt jump shot from 19 ft,7,11
30,1,7:15.0,Defensive rebound by Z. Pachulia,,7,11
