,QUARTER,TIME_REMAINING,INDIANA_ACTION,GOLDEN STATE_ACTION,INDIANA_SCORE,GOLDEN STATE_SCORE
0,1,11:45.0,M. Turner misses 2-pt jump shot from 19 ft,,0,0
1,1,11:41.0,,Defensive rebound by Q. Cook,0,0
2,1,11:24.0,,J. Bell misses 2-pt layup from 1 ft (block by M. Turner),0,0
3,1,11:20.0,Defensive rebound by M. Turner,,0,0
4,1,11:18.0,D. Collison misses 3-pt jump shot from 24 ft,,0,0
5,1,11:11.0,,Defensive rebound by J. Bell,0,0
6,1,11:05.0,,Personal foul by V. Oladipo (drawn by P. McCaw),0,0
7,1,11:04.0,,N. Young makes 3-pt jump shot from 26 ft (assist by Q. Cook),0,3
8,1,10:49.0,T. Young misses 2-pt jump shot from 7 ft,,0,3
9,1,10:45.0,,Defensive rebound by J. Bell,0,3
10,1,10:43.0,,P. McCaw misses 3-pt jump shot from 27 ft,0,3
11,1,10:37.0,Defensive rebound by M. Turner,,0,3
12,1,10:35.0,V. Oladipo makes 2-pt jump shot from 18 ft,,2,3
13,1,10:12.0,,N. Young makes 3-pt jump shot from 26 ft (assist by J. Bell),2,6
14,1,9:58.0,Turnover by B. Bogdanović (palming),,2,6
15,1,9:44.0,,Z. Pachulia misses 2-pt jump shot from 15 ft,2,6
16,1,9:39.0,Defensive rebound by V. Oladipo,,2,6
17,1,9:36.0,T. Young misses 2-pt layup from 1 ft,,2,6
18,1,9:30.0,Offensive rebound by V. Oladipo,,2,6
19,1,9:29.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,6
20,1,9:26.0,,Defensive rebound by P. McCaw,2,6
21,1,9:22.0,,P. McCaw makes 2-pt layup from 3 ft (assist by J. Bell),2,8
22,1,9:04.0,T. Young makes 2-pt layup from 2 ft (assist by D. Collison),,4,8
23,1,8:41.0,,Z. Pachulia makes 2-pt layup from 3 ft,4,10
24,1,8:27.0,V. Oladipo makes 3-pt jump shot from 22 ft (assist by T. Young),,7,10
25,1,8:13.0,,Personal foul by M. Turner (drawn by Z. Pachulia),7,10
26,1,8:07.0,,Shooting foul by B. Bogdanović (drawn by N. Young),7,10
27,1,8:07.0,,N. Young makes free throw 1 of 2,7,11
28,1,8:07.0,,N. Young makes free throw 2 of 2,7,12
29,1,7:49.0,M. Turner misses 2-pt jump shot from 18 ft,,7,12
30,1,7:44.0,,Defensive rebound by J. Bell,7,12
31,1,7:26.0,,N. Young makes 2-pt jump shot from 18 ft (assist by Z. Pachulia),7,14
32,1,7:19.0,Indiana full timeout,,7,14
33,1,7:08.0,T. Young misses 3-pt jump shot from 22 ft,,7,14
34,1,7:03.0,,Defensive rebound by Z. Pachulia,7,14
35,1,6:50.0,,J. Bell misses 2-pt jump shot from 16 ft,7,14
36,1,6:46.0,Defensive rebound by V. Oladipo,,7,14
37,1,6:38.0,M. Turner misses 2-pt dunk from 2 ft (block by J. Bell),,7,14
38,1,6:35.0,,Defensive rebound by N. Young,7,14
39,1,6:29.0,,Q. Cook makes 3-pt jump shot from 27 ft (assist by J. Bell),7,17
40,1,6:10.0,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by D. Collison),,9,17
41,1,5:47.0,,Turnover by Q. Cook (lost ball; steal by D. Collison),9,17
42,1,5:31.0,T. Young makes 2-pt layup from 4 ft,,11,17
43,1,5:15.0,,Turnover by Z. Pachulia (bad pass; steal by B. Bogdanović),11,17
44,1,5:11.0,B. Bogdanović misses 2-pt layup from 2 ft (block by J. Bell),,11,17
45,1,5:11.0,Offensive rebound by Team,,11,17
46,1,5:11.0,,A. Iguodala enters the game for P. McCaw,11,17
47,1,5:11.0,,J. McGee enters the game for Z. Pachulia,11,17
48,1,5:09.0,D. Collison misses 2-pt jump shot from 14 ft,,11,17
49,1,5:06.0,,Defensive rebound by J. McGee,11,17
50,1,4:57.0,,J. McGee misses 2-pt jump shot from 6 ft,11,17
51,1,4:53.0,,Offensive rebound by J. McGee,11,17
52,1,4:53.0,,J. McGee misses 2-pt layup at rim,11,17
53,1,4:51.0,,Offensive rebound by J. Bell,11,17
54,1,4:50.0,,J. Bell makes 2-pt layup from 2 ft,11,19
55,1,4:38.0,Shooting foul by J. McGee (drawn by V. Oladipo),,11,19
56,1,4:38.0,V. Oladipo makes free throw 1 of 2,,12,19
57,1,4:38.0,,K. Looney enters the game for J. Bell,12,19
58,1,4:38.0,D. Sabonis enters the game for T. Young,,12,19
59,1,4:38.0,C. Joseph enters the game for B. Bogdanović,,12,19
60,1,4:38.0,V. Oladipo misses free throw 2 of 2,,12,19
61,1,4:34.0,,Defensive rebound by K. Looney,12,19
62,1,4:17.0,,K. Looney misses 2-pt layup from 2 ft,12,19
63,1,4:14.0,Defensive rebound by M. Turner,,12,19
64,1,4:11.0,D. Collison misses 3-pt jump shot from 22 ft,,12,19
65,1,4:06.0,,Defensive rebound by Q. Cook,12,19
66,1,4:01.0,,Q. Cook misses 2-pt layup from 3 ft,12,19
67,1,3:59.0,,Offensive rebound by J. McGee,12,19
68,1,3:59.0,,J. McGee misses 2-pt layup at rim,12,19
69,1,3:59.0,,Offensive rebound by Team,12,19
70,1,3:59.0,,S. Livingston enters the game for N. Young,12,19
71,1,3:59.0,G. Robinson enters the game for D. Collison,,12,19
72,1,3:40.0,,A. Iguodala makes 2-pt jump shot from 18 ft (assist by Q. Cook),12,21
73,1,3:40.0,,Shooting foul by V. Oladipo (drawn by A. Iguodala),12,21
74,1,3:40.0,L. Stephenson enters the game for V. Oladipo,,12,21
75,1,3:40.0,,A. Iguodala misses free throw 1 of 1,12,21
76,1,3:36.0,,Offensive rebound by K. Looney,12,21
77,1,3:30.0,,J. McGee makes 2-pt jump shot from 17 ft (assist by Q. Cook),12,23
78,1,3:09.0,C. Joseph misses 2-pt jump shot from 22 ft,,12,23
79,1,3:08.0,Offensive rebound by Team,,12,23
80,1,3:08.0,,Loose ball foul by Q. Cook (drawn by D. Sabonis),12,23
81,1,2:58.0,C. Joseph misses 2-pt jump shot from 14 ft,,12,23
82,1,2:54.0,,Defensive rebound by J. McGee,12,23
83,1,2:41.0,,Q. Cook misses 3-pt jump shot from 27 ft,12,23
84,1,2:37.0,Defensive rebound by L. Stephenson,,12,23
85,1,2:34.0,Personal foul by J. McGee (drawn by D. Sabonis),,12,23
86,1,2:34.0,,Golden State full timeout,12,23
87,1,2:34.0,T. Booker enters the game for M. Turner,,12,23
88,1,2:21.0,L. Stephenson misses 3-pt jump shot from 25 ft,,12,23
89,1,2:17.0,,Defensive rebound by K. Looney,12,23
90,1,2:06.0,,A. Iguodala misses 3-pt jump shot from 25 ft,12,23
91,1,2:01.0,,Offensive rebound by J. McGee,12,23
92,1,1:51.0,,K. Looney makes 2-pt jump shot from 20 ft (assist by A. Iguodala),12,25
93,1,1:32.0,G. Robinson makes 2-pt jump shot from 17 ft,,14,25
94,1,1:09.0,,J. McGee misses 2-pt jump shot from 14 ft,14,25
95,1,1:02.0,Defensive rebound by L. Stephenson,,14,25
96,1,0:58.0,T. Booker makes 2-pt jump shot from 17 ft (assist by C. Joseph),,16,25
97,1,0:33.0,,Turnover by Team (shot clock),16,25
98,1,0:33.0,Indiana full timeout,,16,25
99,1,0:33.0,B. Bogdanović enters the game for T. Booker,,16,25
100,1,0:33.0,,J. Bell enters the game for J. McGee,16,25
101,1,0:23.0,D. Sabonis makes 2-pt layup from 1 ft (assist by L. Stephenson),,18,25
102,1,0:01.0,,S. Livingston makes 2-pt jump shot from 18 ft (assist by Q. Cook),18,27
103,2,11:44.0,,D. West makes 2-pt jump shot from 15 ft (assist by S. Livingston),18,29
104,2,11:24.0,G. Robinson makes 3-pt jump shot from 23 ft (assist by D. Sabonis),,21,29
105,2,11:00.0,,A. Iguodala misses 2-pt jump shot from 18 ft,21,29
106,2,10:56.0,Defensive rebound by D. Sabonis,,21,29
107,2,10:49.0,Personal foul by K. Looney (drawn by D. Sabonis),,21,29
108,2,10:35.0,B. Bogdanović misses 3-pt jump shot from 25 ft (block by D. West),,21,29
109,2,10:31.0,,Defensive rebound by A. Iguodala,21,29
110,2,10:20.0,,Shooting foul by L. Stephenson (drawn by K. Looney),21,29
111,2,10:20.0,,K. Looney misses free throw 1 of 2,21,29
112,2,10:20.0,,Offensive rebound by Team,21,29
113,2,10:20.0,,K. Looney makes free throw 2 of 2,21,30
114,2,10:10.0,B. Bogdanović misses 2-pt jump shot from 17 ft,,21,30
115,2,10:06.0,,Defensive rebound by K. Looney,21,30
116,2,9:58.0,,N. Young misses 2-pt jump shot from 13 ft,21,30
117,2,9:57.0,Defensive rebound by Team,,21,30
118,2,9:50.0,L. Stephenson misses 2-pt jump shot from 17 ft,,21,30
119,2,9:45.0,,Defensive rebound by S. Livingston,21,30
120,2,9:36.0,,A. Iguodala makes 2-pt jump shot from 10 ft,21,32
121,2,9:26.0,Shooting foul by A. Iguodala (drawn by D. Sabonis),,21,32
122,2,9:26.0,D. Sabonis makes free throw 1 of 2,,22,32
123,2,9:26.0,,P. McCaw enters the game for A. Iguodala,22,32
124,2,9:26.0,T. Young enters the game for B. Bogdanović,,22,32
125,2,9:26.0,D. Sabonis misses free throw 2 of 2,,22,32
126,2,9:23.0,,Defensive rebound by K. Looney,22,32
127,2,9:07.0,,D. West misses 2-pt hook shot from 8 ft,22,32
128,2,9:03.0,Defensive rebound by T. Young,,22,32
129,2,8:59.0,L. Stephenson misses 2-pt jump shot from 7 ft,,22,32
130,2,8:57.0,,Defensive rebound by K. Looney,22,32
131,2,8:50.0,,S. Livingston misses 2-pt hook shot from 9 ft,22,32
132,2,8:46.0,,Offensive rebound by K. Looney,22,32
133,2,8:43.0,,N. Young misses 3-pt jump shot from 27 ft,22,32
134,2,8:39.0,,Offensive rebound by S. Livingston,22,32
135,2,8:35.0,,D. West makes 2-pt jump shot from 17 ft (assist by S. Livingston),22,34
136,2,8:29.0,G. Robinson misses 2-pt layup from 2 ft (block by D. West),,22,34
