,QUARTER,TIME_REMAINING,INDIANA_ACTION,SAN ANTONIO_ACTION,INDIANA_SCORE,SAN ANTONIO_SCORE
0,1,11:36.0,D. Sabonis makes 2-pt layup from 2 ft (assist by B. Bogdanović),,2,0
1,1,11:19.0,,Turnover by P. Gasol (lost ball; steal by D. Collison),2,0
2,1,11:05.0,D. Collison misses 2-pt jump shot from 17 ft,,2,0
3,1,11:02.0,,Defensive rebound by L. Aldridge,2,0
4,1,10:45.0,,D. Murray misses 3-pt jump shot from 24 ft,2,0
5,1,10:42.0,Defensive rebound by D. Sabonis,,2,0
6,1,10:34.0,V. Oladipo misses 2-pt jump shot from 17 ft,,2,0
7,1,10:30.0,,Defensive rebound by P. Gasol,2,0
8,1,10:20.0,,D. Green misses 2-pt jump shot from 20 ft,2,0
9,1,10:20.0,,Offensive rebound by L. Aldridge,2,0
10,1,10:15.0,,L. Aldridge makes 2-pt layup at rim,2,2
11,1,10:08.0,V. Oladipo makes 2-pt layup from 5 ft,,4,2
12,1,9:52.0,,L. Aldridge misses 2-pt jump shot from 18 ft,4,2
13,1,9:52.0,Defensive rebound by T. Young,,4,2
14,1,9:35.0,T. Young misses 2-pt jump shot from 15 ft,,4,2
15,1,9:31.0,,Defensive rebound by D. Murray,4,2
16,1,9:25.0,,D. Green misses 2-pt jump shot from 14 ft,4,2
17,1,9:25.0,Defensive rebound by B. Bogdanović,,4,2
18,1,9:13.0,Shooting foul by P. Gasol (drawn by D. Sabonis),,4,2
19,1,9:13.0,D. Sabonis makes free throw 1 of 2,,5,2
20,1,9:13.0,D. Sabonis makes free throw 2 of 2,,6,2
21,1,8:52.0,,D. Green misses 3-pt jump shot from 25 ft,6,2
22,1,8:50.0,Defensive rebound by V. Oladipo,,6,2
23,1,8:42.0,D. Sabonis misses 3-pt jump shot from 25 ft,,6,2
24,1,8:39.0,Offensive rebound by Team,,6,2
25,1,8:34.0,B. Bogdanović makes 2-pt jump shot from 19 ft (assist by D. Collison),,8,2
26,1,8:21.0,,D. Murray makes 2-pt layup from 3 ft (assist by P. Gasol),8,4
27,1,8:04.0,B. Bogdanović misses 2-pt layup from 2 ft (block by K. Anderson),,8,4
28,1,8:02.0,,Defensive rebound by P. Gasol,8,4
29,1,7:50.0,,Turnover by L. Aldridge (lost ball; steal by T. Young),8,4
30,1,7:45.0,D. Collison misses 2-pt jump shot from 15 ft,,8,4
31,1,7:42.0,Offensive rebound by D. Sabonis,,8,4
32,1,7:39.0,T. Young misses 3-pt jump shot from 25 ft,,8,4
33,1,7:39.0,,Defensive rebound by K. Anderson,8,4
34,1,7:14.0,,D. Green makes 2-pt layup from 2 ft (assist by P. Gasol),8,6
35,1,6:57.0,Turnover by V. Oladipo (lost ball; steal by K. Anderson),,8,6
36,1,6:53.0,,D. Green makes 3-pt jump shot from 24 ft (assist by D. Murray),8,9
37,1,6:24.0,B. Bogdanović misses 2-pt jump shot from 20 ft,,8,9
38,1,6:21.0,,Defensive rebound by D. Murray,8,9
39,1,6:19.0,,P. Gasol makes 2-pt layup from 1 ft (assist by D. Murray),8,11
40,1,6:19.0,Indiana full timeout,,8,11
41,1,5:56.0,D. Collison misses 2-pt jump shot from 21 ft,,8,11
42,1,5:54.0,,Defensive rebound by K. Anderson,8,11
43,1,5:47.0,,Turnover by D. Murray (bad pass; steal by V. Oladipo),8,11
44,1,5:35.0,T. Young makes 2-pt layup from 1 ft (assist by V. Oladipo),,10,11
45,1,5:08.0,,K. Anderson makes 3-pt jump shot from 25 ft (assist by D. Murray),10,14
46,1,4:56.0,V. Oladipo misses 2-pt jump shot from 7 ft,,10,14
47,1,4:54.0,,Defensive rebound by D. Murray,10,14
48,1,4:46.0,,L. Aldridge misses 2-pt jump shot from 21 ft,10,14
49,1,4:43.0,Defensive rebound by D. Collison,,10,14
50,1,4:40.0,Shooting foul by D. Green (drawn by D. Collison),,10,14
51,1,4:40.0,D. Collison makes free throw 1 of 2,,11,14
52,1,4:40.0,,P. Mills enters the game for D. Murray,11,14
53,1,4:40.0,,D. Bertāns enters the game for D. Green,11,14
54,1,4:40.0,,T. Parker enters the game for P. Gasol,11,14
55,1,4:40.0,C. Joseph enters the game for B. Bogdanović,,11,14
56,1,4:40.0,D. Collison makes free throw 2 of 2,,12,14
57,1,4:22.0,,Turnover by L. Aldridge (bad pass),12,14
58,1,4:10.0,D. Collison makes 2-pt jump shot from 16 ft,,14,14
59,1,3:51.0,,D. Bertāns makes 2-pt jump shot from 17 ft (assist by P. Mills),14,16
60,1,3:39.0,T. Young makes 2-pt layup from 1 ft,,16,16
61,1,3:38.0,,San Antonio full timeout,16,16
62,1,3:38.0,,B. Forbes enters the game for K. Anderson,16,16
63,1,3:29.0,,Personal foul by C. Joseph (drawn by P. Mills),16,16
64,1,3:19.0,,Turnover by P. Mills (bad pass; steal by D. Sabonis),16,16
65,1,3:01.0,C. Joseph misses 2-pt jump shot from 8 ft,,16,16
66,1,3:00.0,,Defensive rebound by D. Bertāns,16,16
67,1,2:39.0,,D. Bertāns misses 3-pt jump shot from 25 ft,16,16
68,1,2:39.0,,Offensive rebound by L. Aldridge,16,16
69,1,2:20.0,,Shooting foul by T. Young (drawn by B. Forbes),16,16
70,1,2:20.0,,B. Forbes makes free throw 1 of 2,16,17
71,1,2:20.0,,P. Gasol enters the game for L. Aldridge,16,17
72,1,2:20.0,A. Jefferson enters the game for V. Oladipo,,16,17
73,1,2:20.0,L. Stephenson enters the game for D. Sabonis,,16,17
74,1,2:20.0,,B. Forbes misses free throw 2 of 2,16,17
75,1,2:18.0,Defensive rebound by L. Stephenson,,16,17
76,1,2:04.0,A. Jefferson makes 2-pt jump shot from 12 ft (assist by D. Collison),,18,17
77,1,1:50.0,,P. Gasol makes 2-pt layup from 2 ft (assist by T. Parker),18,19
78,1,1:23.0,C. Joseph misses 3-pt jump shot from 25 ft,,18,19
79,1,1:19.0,Offensive rebound by L. Stephenson,,18,19
80,1,1:14.0,T. Young makes 2-pt layup from 2 ft (assist by L. Stephenson),,20,19
81,1,1:01.0,,P. Gasol makes 2-pt jump shot from 19 ft (assist by T. Parker),20,21
82,1,0:51.0,L. Stephenson makes 2-pt jump shot from 10 ft,,22,21
83,1,0:40.0,,P. Gasol makes 2-pt jump shot from 17 ft (assist by T. Parker),22,23
84,1,0:19.0,A. Jefferson misses 2-pt layup from 1 ft,,22,23
85,1,0:17.0,,Defensive rebound by D. Bertāns,22,23
86,1,0:00.0,,Turnover by T. Parker (bad pass; steal by D. Collison),22,23
87,2,11:48.0,,T. Parker misses 2-pt jump shot from 13 ft,22,23
88,2,11:46.0,Defensive rebound by T. Leaf,,22,23
89,2,11:34.0,A. Jefferson makes 2-pt hook shot from 4 ft (assist by L. Stephenson),,24,23
90,2,11:34.0,Shooting foul by D. Bertāns (drawn by A. Jefferson),,24,23
91,2,11:34.0,A. Jefferson makes free throw 1 of 1,,25,23
92,2,11:22.0,,T. Parker makes 2-pt layup from 1 ft (assist by P. Gasol),25,25
93,2,11:07.0,L. Stephenson misses 2-pt jump shot from 17 ft,,25,25
94,2,11:07.0,Offensive rebound by C. Joseph,,25,25
95,2,10:59.0,C. Joseph makes 2-pt jump shot from 5 ft,,27,25
96,2,10:48.0,,P. Gasol makes 2-pt jump shot from 1 ft (assist by T. Parker),27,27
97,2,10:48.0,,Shooting foul by A. Jefferson (drawn by P. Gasol),27,27
98,2,10:48.0,,P. Gasol makes free throw 1 of 1,27,28
99,2,10:36.0,A. Jefferson misses 2-pt layup from 4 ft (block by P. Gasol),,27,28
100,2,10:36.0,Offensive rebound by Team,,27,28
101,2,10:27.0,T. Leaf misses 3-pt jump shot from 23 ft,,27,28
102,2,10:24.0,,Defensive rebound by P. Gasol,27,28
103,2,10:18.0,,Turnover by P. Gasol (offensive goaltending),27,28
104,2,10:18.0,,D. Murray enters the game for P. Mills,27,28
105,2,10:18.0,,D. Green enters the game for T. Parker,27,28
106,2,10:01.0,A. Jefferson misses 2-pt jump shot from 15 ft,,27,28
107,2,9:57.0,,Defensive rebound by P. Gasol,27,28
108,2,9:49.0,,P. Gasol misses 3-pt jump shot from 25 ft,27,28
109,2,9:47.0,Defensive rebound by L. Stephenson,,27,28
110,2,9:45.0,Offensive foul by L. Stephenson (drawn by D. Green),,27,28
111,2,9:45.0,Turnover by L. Stephenson (offensive foul),,27,28
112,2,9:45.0,,L. Aldridge enters the game for D. Bertāns,27,28
113,2,9:45.0,T. Young enters the game for T. Leaf,,27,28
114,2,9:30.0,,Turnover by B. Forbes (bad pass; steal by T. Young),27,28
115,2,9:24.0,J. Young misses 3-pt jump shot from 25 ft,,27,28
116,2,9:20.0,,Defensive rebound by B. Forbes,27,28
117,2,9:06.0,,L. Aldridge misses 2-pt jump shot from 14 ft,27,28
118,2,9:05.0,Defensive rebound by Team,,27,28
119,2,9:05.0,,Loose ball foul by D. Murray (drawn by J. Young),27,28
120,2,8:53.0,C. Joseph misses 2-pt jump shot from 15 ft,,27,28
121,2,8:46.0,Offensive rebound by T. Young,,27,28
122,2,8:46.0,T. Young misses 2-pt layup at rim,,27,28
123,2,8:41.0,Offensive rebound by T. Young,,27,28
124,2,8:41.0,T. Young misses 2-pt layup at rim (block by D. Murray),,27,28
125,2,8:37.0,Offensive rebound by T. Young,,27,28
126,2,8:35.0,C. Joseph misses 3-pt jump shot from 23 ft,,27,28
127,2,8:35.0,,Defensive rebound by B. Forbes,27,28
128,2,8:28.0,,B. Forbes makes 2-pt jump shot from 12 ft,27,30
129,2,8:22.0,T. Young misses 3-pt jump shot from 24 ft,,27,30
130,2,8:22.0,,Defensive rebound by D. Murray,27,30
131,2,8:18.0,,Personal foul by T. Young (drawn by L. Aldridge),27,30
132,2,8:18.0,D. Sabonis enters the game for J. Young,,27,30
133,2,8:18.0,V. Oladipo enters the game for A. Jefferson,,27,30
134,2,8:02.0,,L. Aldridge makes 2-pt hook shot from 6 ft,27,32
135,2,7:43.0,Turnover by C. Joseph (bad pass; steal by D. Murray),,27,32
136,2,7:36.0,,B. Forbes misses 3-pt jump shot from 25 ft,27,32
137,2,7:32.0,Defensive rebound by C. Joseph,,27,32
138,2,7:18.0,T. Young makes 2-pt jump shot from 18 ft (assist by L. Stephenson),,29,32
139,2,7:18.0,,San Antonio full timeout,29,32
140,2,7:18.0,,K. Anderson enters the game for B. Forbes,29,32
141,2,6:55.0,,D. Green misses 3-pt jump shot from 26 ft,29,32
142,2,6:51.0,,Offensive rebound by L. Aldridge,29,32
143,2,6:40.0,,D. Murray misses 2-pt jump shot from 12 ft,29,32
144,2,6:38.0,Defensive rebound by L. Stephenson,,29,32
145,2,6:32.0,L. Stephenson makes 2-pt jump shot from 19 ft,,31,32
146,2,6:13.0,,L. Aldridge misses 2-pt jump shot from 21 ft,31,32
147,2,6:11.0,Defensive rebound by C. Joseph,,31,32
148,2,6:02.0,D. Sabonis misses 2-pt layup from 2 ft (block by P. Gasol),,31,32
149,2,5:59.0,,Defensive rebound by P. Gasol,31,32
150,2,5:41.0,,L. Aldridge misses 2-pt hook shot from 3 ft,31,32
151,2,5:39.0,Defensive rebound by T. Young,,31,32
152,2,5:37.0,V. Oladipo makes 3-pt jump shot from 26 ft (assist by T. Young),,34,32
153,2,5:29.0,,Turnover by D. Murray (bad pass),34,32
154,2,5:29.0,,D. Bertāns enters the game for P. Gasol,34,32
155,2,5:29.0,B. Bogdanović enters the game for L. Stephenson,,34,32
156,2,5:23.0,V. Oladipo makes 2-pt jump shot from 18 ft (assist by D. Sabonis),,36,32
157,2,5:05.0,,K. Anderson makes 2-pt layup from 1 ft,36,34
158,2,4:50.0,Shooting foul by D. Bertāns (drawn by D. Sabonis),,36,34
159,2,4:50.0,D. Sabonis makes free throw 1 of 2,,37,34
160,2,4:50.0,,T. Parker enters the game for D. Murray,37,34
161,2,4:50.0,D. Sabonis makes free throw 2 of 2,,38,34
162,2,4:31.0,,Personal foul by D. Sabonis (drawn by L. Aldridge),38,34
163,2,4:18.0,,L. Aldridge misses 2-pt jump shot from 15 ft,38,34
164,2,4:15.0,Defensive rebound by B. Bogdanović,,38,34
165,2,4:03.0,D. Sabonis makes 2-pt layup from 1 ft,,40,34
166,2,3:46.0,,D. Green misses 2-pt layup from 1 ft,40,34
167,2,3:45.0,,Offensive rebound by L. Aldridge,40,34
168,2,3:45.0,,P. Mills enters the game for D. Green,40,34
169,2,3:38.0,,P. Mills misses 3-pt jump shot from 25 ft,40,34
170,2,3:35.0,Defensive rebound by C. Joseph,,40,34
171,2,3:19.0,Turnover by V. Oladipo (traveling),,40,34
172,2,3:12.0,,T. Parker makes 2-pt layup from 1 ft,40,36
173,2,3:12.0,Violation by D. Sabonis (def goaltending),,40,36
174,2,2:53.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,40,36
175,2,2:49.0,,Defensive rebound by K. Anderson,40,36
176,2,2:31.0,,P. Mills makes 3-pt jump shot from 22 ft (assist by D. Bertāns),40,39
177,2,2:31.0,Indiana full timeout,,40,39
178,2,2:31.0,L. Stephenson enters the game for C. Joseph,,40,39
179,2,2:31.0,D. Collison enters the game for T. Young,,40,39
180,2,2:18.0,V. Oladipo makes 2-pt jump shot from 18 ft,,42,39
181,2,2:08.0,,D. Bertāns misses 3-pt jump shot from 25 ft,42,39
182,2,2:08.0,,Offensive rebound by Team,42,39
183,2,2:01.0,,P. Mills misses 3-pt jump shot from 22 ft,42,39
184,2,1:59.0,Defensive rebound by L. Stephenson,,42,39
185,2,1:52.0,L. Stephenson misses 2-pt layup from 2 ft,,42,39
186,2,1:52.0,,Defensive rebound by Team,42,39
187,2,1:42.0,,T. Parker makes 2-pt layup from 1 ft,42,41
188,2,1:28.0,V. Oladipo makes 2-pt jump shot from 16 ft,,44,41
189,2,1:04.0,,T. Parker misses 2-pt layup from 5 ft,44,41
190,2,1:04.0,,Offensive rebound by Team,44,41
191,2,1:04.0,Loose ball foul by D. Sabonis (drawn by L. Aldridge),,44,41
192,2,1:04.0,A. Jefferson enters the game for D. Sabonis,,44,41
193,2,0:47.0,,D. Bertāns misses 3-pt jump shot from 25 ft,44,41
194,2,0:44.0,Defensive rebound by V. Oladipo,,44,41
195,2,0:40.0,V. Oladipo makes 2-pt layup from 1 ft,,46,41
196,2,0:21.0,,K. Anderson misses 3-pt jump shot from 22 ft,46,41
197,2,0:18.0,Defensive rebound by A. Jefferson,,46,41
198,2,0:03.0,Turnover by V. Oladipo (lost ball; steal by K. Anderson),,46,41
199,2,0:00.0,,K. Anderson makes 2-pt jump shot from 1 ft,46,43
200,3,11:44.0,,L. Aldridge makes 2-pt jump shot from 11 ft (assist by D. Green),46,45
201,3,11:21.0,Shooting foul by P. Gasol (drawn by B. Bogdanović),,46,45
202,3,11:21.0,B. Bogdanović makes free throw 1 of 2,,47,45
203,3,11:21.0,B. Bogdanović makes free throw 2 of 2,,48,45
204,3,10:58.0,,L. Aldridge misses 2-pt jump shot from 15 ft,48,45
205,3,10:55.0,,Offensive rebound by D. Murray,48,45
206,3,10:44.0,,Turnover by D. Murray (turnover; steal by T. Young),48,45
207,3,10:40.0,D. Collison makes 2-pt layup from 1 ft,,50,45
208,3,10:27.0,Offensive charge foul by L. Aldridge (drawn by V. Oladipo),,50,45
209,3,10:27.0,,Turnover by L. Aldridge (offensive foul),50,45
210,3,10:12.0,V. Oladipo misses 2-pt jump shot from 16 ft,,50,45
211,3,10:09.0,,Defensive rebound by K. Anderson,50,45
212,3,9:54.0,,Turnover by K. Anderson (bad pass; steal by D. Collison),50,45
213,3,9:49.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,50,45
214,3,9:48.0,,Defensive rebound by Team,50,45
215,3,9:30.0,,D. Green misses 3-pt jump shot from 25 ft,50,45
216,3,9:26.0,Defensive rebound by D. Sabonis,,50,45
217,3,9:16.0,D. Sabonis misses 2-pt jump shot from 19 ft,,50,45
218,3,9:14.0,,Defensive rebound by D. Green,50,45
219,3,9:07.0,,Turnover by K. Anderson (bad pass; steal by B. Bogdanović),50,45
220,3,9:01.0,Shooting block foul by D. Murray (drawn by D. Sabonis),,50,45
221,3,9:01.0,D. Sabonis makes free throw 1 of 2,,51,45
222,3,9:01.0,D. Sabonis misses free throw 2 of 2,,51,45
223,3,8:59.0,,Defensive rebound by P. Gasol,51,45
