,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ORLANDO_ACTION,CHARLOTTE_SCORE,ORLANDO_SCORE
0,1,11:43.0,M. Williams misses 2-pt jump shot from 8 ft,,0,0
1,1,11:39.0,Offensive rebound by M. Williams,,0,0
2,1,11:38.0,M. Williams makes 2-pt layup from 2 ft,,2,0
3,1,11:17.0,,D. Augustin makes 3-pt jump shot from 27 ft (assist by J. Simmons),2,3
4,1,11:03.0,D. Howard misses 2-pt jump shot from 7 ft,,2,3
5,1,10:59.0,,Defensive rebound by B. Biyombo,2,3
6,1,10:51.0,,D. Augustin misses 2-pt layup from 2 ft,2,3
7,1,10:48.0,Defensive rebound by D. Howard,,2,3
8,1,10:46.0,M. Kidd-Gilchrist misses 2-pt hook shot from 6 ft,,2,3
9,1,10:46.0,,Defensive rebound by B. Biyombo,2,3
10,1,10:34.0,,E. Fournier makes 3-pt jump shot from 23 ft (assist by J. Simmons),2,6
11,1,10:15.0,N. Batum misses 2-pt jump shot from 22 ft,,2,6
12,1,10:13.0,,Defensive rebound by M. Hezonja,2,6
13,1,10:08.0,,M. Hezonja makes 2-pt layup from 2 ft,2,8
14,1,9:55.0,D. Howard makes 2-pt dunk from 2 ft (assist by K. Walker),,4,8
15,1,9:37.0,,E. Fournier misses 3-pt jump shot from 24 ft,4,8
16,1,9:35.0,Defensive rebound by D. Howard,,4,8
17,1,9:24.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,,4,8
18,1,9:21.0,,Defensive rebound by M. Hezonja,4,8
19,1,9:14.0,,M. Hezonja makes 2-pt jump shot from 21 ft,4,10
20,1,9:00.0,D. Howard misses 2-pt jump shot from 19 ft,,4,10
21,1,8:57.0,,Defensive rebound by J. Simmons,4,10
22,1,8:47.0,,Turnover by J. Simmons (step out of bounds),4,10
23,1,8:36.0,Turnover by K. Walker (bad pass),,4,10
24,1,8:21.0,,E. Fournier makes 2-pt jump shot from 6 ft (assist by D. Augustin),4,12
25,1,8:14.0,Charlotte full timeout,,4,12
26,1,8:09.0,K. Walker misses 2-pt jump shot from 15 ft,,4,12
27,1,8:08.0,,Defensive rebound by Team,4,12
28,1,8:08.0,Loose ball foul by D. Howard (drawn by B. Biyombo),,4,12
29,1,7:46.0,,B. Biyombo misses 2-pt layup from 3 ft,4,12
30,1,7:44.0,Defensive rebound by D. Howard,,4,12
31,1,7:27.0,N. Batum misses 3-pt jump shot from 25 ft,,4,12
32,1,7:23.0,,Defensive rebound by B. Biyombo,4,12
33,1,7:15.0,,Turnover by D. Augustin (bad pass; steal by M. Williams),4,12
34,1,7:04.0,D. Howard makes 2-pt hook shot from 9 ft,,6,12
35,1,6:46.0,,M. Hezonja misses 3-pt jump shot from 25 ft,6,12
36,1,6:42.0,Defensive rebound by D. Howard,,6,12
37,1,6:26.0,M. Williams makes 3-pt jump shot from 25 ft (assist by N. Batum),,9,12
38,1,6:08.0,,D. Augustin misses 2-pt layup from 1 ft (block by D. Howard),9,12
39,1,6:04.0,Defensive rebound by M. Kidd-Gilchrist,,9,12
40,1,6:03.0,Shooting foul by M. Hezonja (drawn by M. Williams),,9,12
41,1,6:03.0,M. Williams makes free throw 1 of 2,,10,12
42,1,6:03.0,,Orlando full timeout,10,12
43,1,6:03.0,M. Williams misses free throw 2 of 2,,10,12
44,1,6:01.0,,Defensive rebound by M. Hezonja,10,12
45,1,5:41.0,,E. Fournier misses 3-pt jump shot from 26 ft,10,12
46,1,5:35.0,Defensive rebound by N. Batum,,10,12
47,1,5:29.0,Turnover by N. Batum (bad pass; steal by E. Fournier),,10,12
48,1,5:27.0,,Shooting foul by K. Walker (drawn by E. Fournier),10,12
49,1,5:27.0,,E. Fournier makes free throw 1 of 2,10,13
50,1,5:27.0,,E. Fournier misses free throw 2 of 2,10,13
51,1,5:25.0,,Offensive rebound by M. Hezonja,10,13
52,1,5:23.0,,J. Simmons makes 2-pt jump shot from 15 ft (assist by E. Fournier),10,15
53,1,5:06.0,M. Williams misses 3-pt jump shot from 26 ft,,10,15
54,1,5:02.0,,Defensive rebound by E. Fournier,10,15
55,1,4:53.0,,B. Biyombo misses 2-pt hook shot from 5 ft,10,15
56,1,4:50.0,Defensive rebound by M. Kidd-Gilchrist,,10,15
57,1,4:46.0,Turnover by D. Howard (lost ball; steal by M. Hezonja),,10,15
58,1,4:43.0,,E. Fournier makes 2-pt dunk from 1 ft (assist by D. Augustin),10,17
59,1,4:30.0,Personal foul by E. Fournier (drawn by N. Batum),,10,17
60,1,4:23.0,N. Batum makes 3-pt jump shot from 25 ft (assist by M. Williams),,13,17
61,1,4:10.0,,Turnover by D. Augustin (bad pass; steal by N. Batum),13,17
62,1,4:03.0,N. Batum misses 2-pt jump shot from 23 ft,,13,17
63,1,3:59.0,,Defensive rebound by J. Simmons,13,17
64,1,3:52.0,,M. Hezonja misses 2-pt layup from 3 ft,13,17
65,1,3:48.0,Defensive rebound by M. Williams,,13,17
66,1,3:44.0,K. Walker misses 2-pt jump shot from 22 ft,,13,17
67,1,3:41.0,,Defensive rebound by J. Simmons,13,17
68,1,3:37.0,,D. Augustin misses 3-pt jump shot from 25 ft,13,17
69,1,3:37.0,Defensive rebound by K. Walker,,13,17
70,1,3:29.0,M. Williams misses 3-pt jump shot from 26 ft,,13,17
71,1,3:29.0,,Defensive rebound by D. Augustin,13,17
72,1,3:23.0,,D. Augustin makes 2-pt layup from 1 ft,13,19
73,1,3:05.0,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,,13,19
74,1,3:03.0,,Defensive rebound by B. Biyombo,13,19
75,1,2:57.0,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Biyombo),13,19
76,1,2:57.0,,B. Biyombo makes free throw 1 of 2,13,20
77,1,2:57.0,,S. Mack enters the game for J. Simmons,13,20
78,1,2:57.0,,W. Iwundu enters the game for D. Augustin,13,20
79,1,2:57.0,J. Lamb enters the game for M. Kidd-Gilchrist,,13,20
80,1,2:57.0,F. Kaminsky enters the game for M. Williams,,13,20
81,1,2:57.0,,B. Biyombo makes free throw 2 of 2,13,21
82,1,2:49.0,Shooting foul by B. Biyombo (drawn by D. Howard),,13,21
83,1,2:49.0,D. Howard misses free throw 1 of 2,,13,21
84,1,2:49.0,Offensive rebound by Team,,13,21
85,1,2:49.0,,M. Speights enters the game for B. Biyombo,13,21
86,1,2:49.0,D. Howard makes free throw 2 of 2,,14,21
87,1,2:40.0,,E. Fournier misses 3-pt jump shot from 26 ft,14,21
88,1,2:40.0,Defensive rebound by D. Howard,,14,21
89,1,2:29.0,K. Walker misses 3-pt jump shot from 24 ft,,14,21
90,1,2:29.0,,Defensive rebound by M. Speights,14,21
91,1,2:18.0,,M. Hezonja misses 2-pt jump shot from 22 ft,14,21
92,1,2:15.0,Defensive rebound by D. Howard,,14,21
93,1,2:11.0,K. Walker makes 2-pt layup from 1 ft (assist by D. Howard),,16,21
94,1,2:11.0,Shooting foul by S. Mack (drawn by K. Walker),,16,21
95,1,2:11.0,K. Walker makes free throw 1 of 1,,17,21
96,1,2:11.0,C. Zeller enters the game for N. Batum,,17,21
97,1,2:11.0,T. Graham enters the game for D. Howard,,17,21
