,QUARTER,TIME_REMAINING,TORONTO_ACTION,UTAH_ACTION,TORONTO_SCORE,UTAH_SCORE
0,1,11:44.0,J. Valančiūnas makes 2-pt hook shot from 7 ft,,2,0
1,1,11:24.0,,R. Rubio misses 3-pt jump shot from 25 ft,2,0
2,1,11:22.0,Defensive rebound by N. Powell,,2,0
3,1,11:19.0,K. Lowry misses 3-pt jump shot from 24 ft,,2,0
4,1,11:16.0,,Defensive rebound by R. Hood,2,0
5,1,11:07.0,,R. Hood misses 2-pt layup from 4 ft,2,0
6,1,11:05.0,,Offensive rebound by R. Gobert,2,0
7,1,11:04.0,,R. Gobert misses 2-pt layup from 1 ft (block by J. Valančiūnas),2,0
8,1,11:04.0,Defensive rebound by J. Valančiūnas,,2,0
9,1,10:55.0,J. Valančiūnas misses 2-pt hook shot from 2 ft,,2,0
10,1,10:52.0,,Defensive rebound by J. Ingles,2,0
11,1,10:43.0,,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),2,2
12,1,10:22.0,S. Ibaka makes 2-pt jump shot from 16 ft (assist by K. Lowry),,4,2
13,1,10:06.0,,R. Hood makes 2-pt jump shot from 20 ft,4,4
14,1,9:52.0,Turnover by D. DeRozan (bad pass),,4,4
15,1,9:37.0,,R. Rubio misses 3-pt jump shot from 26 ft,4,4
16,1,9:33.0,,Offensive rebound by D. Favors,4,4
17,1,9:11.0,,R. Rubio misses 2-pt jump shot from 22 ft,4,4
18,1,9:07.0,,Offensive rebound by D. Favors,4,4
19,1,9:07.0,,D. Favors makes 2-pt layup from 2 ft,4,6
20,1,8:55.0,J. Valančiūnas misses 2-pt layup from 5 ft (block by R. Gobert),,4,6
21,1,8:52.0,,Defensive rebound by D. Favors,4,6
22,1,8:49.0,,Turnover by R. Rubio (bad pass; steal by K. Lowry),4,6
23,1,8:47.0,K. Lowry makes 2-pt layup from 1 ft (assist by N. Powell),,6,6
24,1,8:23.0,,Shooting foul by K. Lowry (drawn by R. Rubio),6,6
25,1,8:23.0,,R. Rubio makes free throw 2 of 2,6,7
26,1,8:23.0,,R. Rubio makes free throw 1 of 2,6,8
27,1,8:10.0,N. Powell makes 2-pt jump shot from 12 ft,,8,8
28,1,7:54.0,,R. Rubio makes 2-pt jump shot from 17 ft,8,10
29,1,7:39.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,11,10
30,1,7:18.0,,R. Gobert misses 2-pt layup from 4 ft,11,10
31,1,7:15.0,Defensive rebound by D. DeRozan,,11,10
32,1,7:09.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,14,10
33,1,7:08.0,,Utah full timeout,14,10
34,1,7:08.0,,D. Mitchell enters the game for R. Rubio,14,10
35,1,6:55.0,,R. Hood misses 2-pt jump shot from 13 ft,14,10
36,1,6:52.0,Defensive rebound by J. Valančiūnas,,14,10
37,1,6:48.0,D. DeRozan makes 2-pt layup from 2 ft (assist by K. Lowry),,16,10
38,1,6:34.0,,Offensive foul by R. Gobert (drawn by K. Lowry),16,10
39,1,6:34.0,,Turnover by R. Gobert (offensive foul),16,10
40,1,6:25.0,Turnover by K. Lowry (bad pass),,16,10
41,1,6:16.0,,D. Mitchell misses 2-pt jump shot from 15 ft,16,10
42,1,6:13.0,Defensive rebound by J. Valančiūnas,,16,10
43,1,6:02.0,J. Valančiūnas misses 2-pt layup from 3 ft (block by R. Gobert),,16,10
44,1,5:59.0,,Defensive rebound by J. Ingles,16,10
45,1,5:51.0,,Turnover by J. Ingles (bad pass; steal by J. Valančiūnas),16,10
46,1,5:46.0,N. Powell misses 3-pt jump shot from 24 ft,,16,10
47,1,5:42.0,,Defensive rebound by R. Gobert,16,10
48,1,5:38.0,,J. Ingles makes 3-pt jump shot from 22 ft (assist by R. Hood),16,13
49,1,5:14.0,D. DeRozan misses 2-pt jump shot from 12 ft,,16,13
50,1,5:13.0,,Defensive rebound by R. Gobert,16,13
51,1,5:13.0,Loose ball foul by D. DeRozan (drawn by R. Gobert),,16,13
52,1,5:13.0,,J. Jerebko enters the game for D. Favors,16,13
53,1,5:13.0,L. Nogueira enters the game for J. Valančiūnas,,16,13
54,1,5:02.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),16,15
55,1,4:44.0,Personal block foul by J. Jerebko (drawn by N. Powell),,16,15
56,1,4:36.0,Shooting foul by J. Jerebko (drawn by D. DeRozan),,16,15
57,1,4:36.0,D. DeRozan makes free throw 1 of 2,,17,15
58,1,4:36.0,O. Anunoby enters the game for N. Powell,,17,15
59,1,4:36.0,D. DeRozan makes free throw 2 of 2,,18,15
60,1,4:19.0,,R. Gobert misses 2-pt layup from 2 ft,18,15
61,1,4:17.0,Defensive rebound by K. Lowry,,18,15
62,1,4:17.0,Personal foul by D. Mitchell (drawn by K. Lowry),,18,15
63,1,4:17.0,,A. Burks enters the game for R. Hood,18,15
64,1,4:04.0,Personal foul by D. Mitchell (drawn by K. Lowry),,18,15
65,1,3:58.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by O. Anunoby),,21,15
66,1,3:37.0,,R. Gobert misses 2-pt layup from 2 ft (block by L. Nogueira),21,15
67,1,3:34.0,,Offensive rebound by J. Jerebko,21,15
68,1,3:34.0,,Shooting block foul by O. Anunoby (drawn by J. Jerebko),21,15
69,1,3:34.0,,J. Jerebko makes free throw 1 of 2,21,16
70,1,3:34.0,,T. Sefolosha enters the game for J. Ingles,21,16
71,1,3:34.0,,J. Jerebko misses free throw 2 of 2,21,16
72,1,3:32.0,Defensive rebound by S. Ibaka,,21,16
73,1,3:09.0,D. DeRozan makes 2-pt jump shot from 9 ft,,23,16
74,1,3:01.0,,D. Mitchell misses 2-pt layup from 2 ft,23,16
75,1,2:56.0,,Offensive rebound by R. Gobert,23,16
76,1,2:56.0,,R. Gobert makes 2-pt dunk at rim,23,18
77,1,2:52.0,Toronto full timeout,,23,18
78,1,2:52.0,,E. Udoh enters the game for R. Gobert,23,18
79,1,2:52.0,P. Siakam enters the game for K. Lowry,,23,18
80,1,2:52.0,D. Wright enters the game for S. Ibaka,,23,18
81,1,2:45.0,D. DeRozan misses 2-pt jump shot from 18 ft,,23,18
82,1,2:42.0,,Defensive rebound by J. Jerebko,23,18
83,1,2:34.0,,Offensive foul by J. Jerebko (drawn by D. Wright),23,18
84,1,2:34.0,,Turnover by J. Jerebko (offensive foul),23,18
85,1,2:10.0,O. Anunoby makes 2-pt dunk from 1 ft (assist by P. Siakam),,25,18
86,1,1:56.0,,A. Burks misses 2-pt jump shot from 9 ft,25,18
87,1,1:52.0,Defensive rebound by D. Wright,,25,18
88,1,1:46.0,L. Nogueira misses 3-pt jump shot from 25 ft,,25,18
89,1,1:43.0,,Defensive rebound by J. Jerebko,25,18
90,1,1:31.0,,D. Mitchell makes 2-pt layup from 2 ft,25,20
91,1,1:31.0,Violation by L. Nogueira (def goaltending),,25,20
92,1,1:14.0,P. Siakam makes 2-pt jump shot from 9 ft,,27,20
93,1,0:57.0,,Shooting foul by L. Nogueira (drawn by A. Burks),27,20
94,1,0:57.0,,A. Burks makes free throw 1 of 2,27,21
95,1,0:57.0,,R. Rubio enters the game for J. Jerebko,27,21
96,1,0:57.0,,A. Burks makes free throw 2 of 2,27,22
97,1,0:44.0,D. Wright makes 2-pt layup from 3 ft,,29,22
98,1,0:36.0,,Personal foul by D. Wright (drawn by R. Rubio),29,22
99,1,0:36.0,,R. Rubio makes free throw 1 of 2,29,23
100,1,0:36.0,,R. Rubio makes free throw 2 of 2,29,24
101,1,0:29.0,Turnover by D. DeRozan (turnover),,29,24
102,1,0:29.0,Loose ball foul by D. DeRozan (drawn by T. Sefolosha),,29,24
103,1,0:29.0,,T. Sefolosha makes free throw 1 of 2,29,25
104,1,0:29.0,F. VanVleet enters the game for D. DeRozan,,29,25
105,1,0:29.0,,T. Sefolosha makes free throw 2 of 2,29,26
106,1,0:13.0,P. Siakam misses 3-pt jump shot from 25 ft,,29,26
107,1,0:10.0,,Defensive rebound by A. Burks,29,26
108,1,0:02.0,,D. Mitchell misses 3-pt jump shot from 25 ft,29,26
109,1,0:02.0,Defensive rebound by L. Nogueira,,29,26
110,2,11:47.0,,R. Hood makes 3-pt jump shot from 25 ft (assist by E. Udoh),29,29
111,2,11:24.0,Turnover by D. Wright (bad pass; steal by T. Sefolosha),,29,29
112,2,11:18.0,,Turnover by R. Rubio (bad pass; steal by D. Wright),29,29
113,2,11:18.0,Personal foul by T. Sefolosha (drawn by D. Wright),,29,29
114,2,11:02.0,P. Siakam misses 2-pt layup from 2 ft,,29,29
115,2,10:58.0,Offensive rebound by J. Poeltl,,29,29
116,2,10:58.0,J. Poeltl makes 2-pt layup at rim,,31,29
117,2,10:45.0,,D. Favors makes 2-pt jump shot from 7 ft,31,31
118,2,10:24.0,P. Siakam makes 2-pt jump shot from 6 ft,,33,31
119,2,10:10.0,,Personal foul by D. Wright (drawn by R. Hood),33,31
120,2,10:10.0,,A. Burks enters the game for T. Sefolosha,33,31
121,2,10:00.0,,D. Favors makes 2-pt jump shot from 8 ft,33,33
122,2,9:42.0,P. Siakam misses 3-pt jump shot from 25 ft,,33,33
123,2,9:38.0,,Defensive rebound by A. Burks,33,33
124,2,9:35.0,,Shooting block foul by D. Wright (drawn by R. Hood),33,33
125,2,9:35.0,,R. Hood makes free throw 1 of 2,33,34
126,2,9:35.0,K. Lowry enters the game for D. Wright,,33,34
127,2,9:35.0,,R. Hood makes free throw 2 of 2,33,35
128,2,9:18.0,O. Anunoby misses 3-pt jump shot from 25 ft,,33,35
129,2,9:14.0,,Defensive rebound by A. Burks,33,35
130,2,9:08.0,,D. Favors misses 2-pt jump shot from 15 ft,33,35
131,2,9:04.0,Defensive rebound by O. Anunoby,,33,35
132,2,8:47.0,P. Siakam makes 2-pt layup from 2 ft,,35,35
133,2,8:47.0,Shooting foul by E. Udoh (drawn by P. Siakam),,35,35
134,2,8:47.0,N. Powell enters the game for O. Anunoby,,35,35
135,2,8:47.0,P. Siakam misses free throw 1 of 1,,35,35
136,2,8:43.0,,Defensive rebound by D. Favors,35,35
137,2,8:32.0,,Turnover by D. Favors (bad pass; steal by F. VanVleet),35,35
138,2,8:29.0,J. Poeltl makes 2-pt layup from 1 ft (assist by K. Lowry),,37,35
139,2,8:29.0,Shooting foul by R. Rubio (drawn by J. Poeltl),,37,35
140,2,8:29.0,,D. Mitchell enters the game for R. Rubio,37,35
141,2,8:29.0,,J. Ingles enters the game for A. Burks,37,35
142,2,8:29.0,J. Poeltl misses free throw 1 of 1,,37,35
143,2,8:27.0,,Defensive rebound by D. Mitchell,37,35
144,2,8:07.0,,R. Hood misses 3-pt jump shot from 25 ft,37,35
145,2,8:03.0,Defensive rebound by K. Lowry,,37,35
146,2,7:54.0,F. VanVleet makes 2-pt layup from 2 ft,,39,35
147,2,7:31.0,,D. Mitchell misses 3-pt jump shot from 26 ft,39,35
148,2,7:28.0,Defensive rebound by P. Siakam,,39,35
149,2,7:24.0,K. Lowry misses 3-pt jump shot from 30 ft,,39,35
150,2,7:19.0,Offensive rebound by J. Poeltl,,39,35
151,2,7:08.0,Turnover by N. Powell (out of bounds lost ball),,39,35
152,2,7:08.0,,Utah full timeout,39,35
153,2,7:08.0,,R. Gobert enters the game for D. Favors,39,35
154,2,7:08.0,,J. Jerebko enters the game for E. Udoh,39,35
155,2,7:08.0,D. DeRozan enters the game for F. VanVleet,,39,35
156,2,7:08.0,S. Ibaka enters the game for J. Poeltl,,39,35
157,2,7:08.0,J. Valančiūnas enters the game for P. Siakam,,39,35
158,2,6:54.0,,Personal foul by J. Valančiūnas (drawn by D. Mitchell),39,35
159,2,6:44.0,,J. Ingles makes 3-pt jump shot from 24 ft,39,38
160,2,6:27.0,,Violation by D. Mitchell (kicked ball),39,38
161,2,6:13.0,N. Powell misses 3-pt jump shot from 22 ft (block by D. Mitchell),,39,38
162,2,6:09.0,,Defensive rebound by R. Hood,39,38
163,2,6:03.0,,R. Hood makes 2-pt jump shot from 9 ft,39,40
164,2,5:51.0,D. DeRozan makes 2-pt jump shot from 8 ft (assist by K. Lowry),,41,40
165,2,5:28.0,,D. Mitchell makes 2-pt layup from 2 ft,41,42
166,2,5:18.0,K. Lowry makes 2-pt layup from 2 ft,,43,42
167,2,4:55.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),43,44
168,2,4:41.0,Offensive foul by J. Valančiūnas (drawn by D. Mitchell),,43,44
169,2,4:41.0,Turnover by J. Valančiūnas (offensive foul),,43,44
170,2,4:41.0,,R. Rubio enters the game for D. Mitchell,43,44
171,2,4:31.0,,R. Hood misses 2-pt jump shot from 16 ft,43,44
172,2,4:29.0,Defensive rebound by J. Valančiūnas,,43,44
173,2,4:23.0,Shooting foul by J. Ingles (drawn by D. DeRozan),,43,44
174,2,4:23.0,D. DeRozan makes free throw 1 of 2,,44,44
175,2,4:23.0,,T. Sefolosha enters the game for J. Jerebko,44,44
176,2,4:23.0,D. DeRozan makes free throw 2 of 2,,45,44
177,2,4:12.0,,Turnover by R. Rubio (out of bounds lost ball),45,44
178,2,3:57.0,Shooting foul by J. Ingles (drawn by D. DeRozan),,45,44
179,2,3:57.0,D. DeRozan makes free throw 1 of 2,,46,44
180,2,3:57.0,,D. Favors enters the game for R. Hood,46,44
181,2,3:57.0,,D. Mitchell enters the game for T. Sefolosha,46,44
182,2,3:57.0,,T. Sefolosha enters the game for J. Ingles,46,44
183,2,3:57.0,D. DeRozan makes free throw 2 of 2,,47,44
184,2,3:45.0,,R. Rubio misses 2-pt jump shot from 17 ft,47,44
185,2,3:42.0,,Offensive rebound by R. Gobert,47,44
186,2,3:32.0,,D. Mitchell misses 2-pt layup from 2 ft,47,44
187,2,3:29.0,,Offensive rebound by R. Gobert,47,44
188,2,3:29.0,,R. Gobert makes 2-pt layup at rim,47,46
189,2,3:17.0,Shooting foul by D. Favors (drawn by D. DeRozan),,47,46
190,2,3:17.0,D. DeRozan makes free throw 1 of 2,,48,46
191,2,3:17.0,D. DeRozan makes free throw 2 of 2,,49,46
192,2,2:58.0,,R. Rubio misses 2-pt jump shot from 11 ft (block by J. Valančiūnas),49,46
193,2,2:55.0,Defensive rebound by S. Ibaka,,49,46
194,2,2:42.0,S. Ibaka makes 2-pt hook shot from 9 ft (assist by K. Lowry),,51,46
195,2,2:25.0,,D. Favors misses 3-pt jump shot from 23 ft,51,46
196,2,2:23.0,Defensive rebound by D. DeRozan,,51,46
197,2,2:14.0,S. Ibaka misses 3-pt jump shot from 23 ft,,51,46
198,2,2:13.0,,Defensive rebound by Team,51,46
199,2,2:13.0,Loose ball foul by J. Valančiūnas (drawn by R. Gobert),,51,46
200,2,2:13.0,Toronto full timeout,,51,46
201,2,2:13.0,,J. Ingles enters the game for T. Sefolosha,51,46
202,2,2:13.0,L. Nogueira enters the game for J. Valančiūnas,,51,46
203,2,1:59.0,,R. Rubio misses 3-pt jump shot from 23 ft,51,46
204,2,1:56.0,Defensive rebound by L. Nogueira,,51,46
205,2,1:46.0,D. DeRozan misses 2-pt jump shot from 10 ft,,51,46
206,2,1:43.0,,Defensive rebound by D. Favors,51,46
