,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MILWAUKEE_ACTION,BROOKLYN_SCORE,MILWAUKEE_SCORE
97,1,0:42.0,Defensive rebound by Q. Acy,,28,24
98,1,0:33.0,Shooting foul by T. Zeller (drawn by R. Hollis-Jefferson),,28,24
99,1,0:33.0,R. Hollis-Jefferson makes free throw 1 of 2,,29,24
100,1,0:33.0,D. Russell enters the game for J. Harris,,29,24
101,1,0:33.0,R. Hollis-Jefferson makes free throw 2 of 2,,30,24
102,1,0:13.0,,Turnover by G. Antetokounmpo (traveling),30,24
103,1,0:13.0,A. Crabbe enters the game for R. Hollis-Jefferson,,30,24
104,1,0:02.0,D. Russell misses 3-pt jump shot from 29 ft,,30,24
105,1,0:00.0,,Defensive rebound by G. Antetokounmpo,30,24
106,2,11:48.0,Turnover by R. Hollis-Jefferson (bad pass; steal by G. Antetokounmpo),,30,24
107,2,11:43.0,,J. Terry misses 3-pt jump shot from 26 ft,30,24
108,2,11:40.0,Defensive rebound by R. Hollis-Jefferson,,30,24
109,2,11:34.0,Turnover by R. Hollis-Jefferson (bad pass; steal by J. Terry),,30,24
110,2,11:29.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by J. Terry),30,26
111,2,11:03.0,S. Dinwiddie misses 3-pt jump shot from 30 ft,,30,26
112,2,11:00.0,,Defensive rebound by J. Parker,30,26
113,2,10:55.0,,S. Muhammad misses 2-pt jump shot from 7 ft,30,26
114,2,10:52.0,Defensive rebound by R. Hollis-Jefferson,,30,26
115,2,10:38.0,J. Harris makes 3-pt jump shot from 22 ft (assist by S. Dinwiddie),,33,26
116,2,10:17.0,,T. Zeller makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),33,28
117,2,10:03.0,Q. Acy misses 2-pt layup at rim (block by G. Antetokounmpo),,33,28
118,2,10:03.0,Offensive rebound by Team,,33,28
119,2,9:54.0,Q. Acy misses 3-pt jump shot from 26 ft,,33,28
120,2,9:51.0,,Defensive rebound by J. Parker,33,28
121,2,9:42.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,33,28
