,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MINNESOTA_ACTION,ATLANTA_SCORE,MINNESOTA_SCORE
0,1,11:43.0,T. Prince makes 3-pt jump shot from 22 ft (assist by I. Taylor),,3,0
1,1,11:24.0,,J. Teague makes 2-pt jump shot from 12 ft,3,2
2,1,10:59.0,Turnover by T. Prince (bad pass),,3,2
3,1,10:43.0,,Turnover by A. Wiggins (lost ball; steal by I. Taylor),3,2
4,1,10:35.0,J. Collins makes 3-pt jump shot from 26 ft (assist by D. Lee),,6,2
5,1,10:15.0,,J. Teague makes 2-pt jump shot from 14 ft,6,4
6,1,9:58.0,D. Lee makes 2-pt jump shot from 20 ft (assist by T. Prince),,8,4
7,1,9:50.0,,Turnover by J. Teague (lost ball; steal by D. Lee),8,4
8,1,9:45.0,J. Collins makes 2-pt dunk at rim (assist by D. Lee),,10,4
9,1,9:33.0,,A. Wiggins makes 2-pt layup from 3 ft,10,6
10,1,9:16.0,D. Dedmon misses 2-pt jump shot from 20 ft,,10,6
11,1,9:14.0,,Defensive rebound by N. Bjelica,10,6
12,1,9:04.0,,K. Towns makes 2-pt hook shot from 9 ft,10,8
13,1,8:51.0,T. Prince misses 2-pt jump shot from 11 ft,,10,8
14,1,8:50.0,,Defensive rebound by T. Gibson,10,8
15,1,8:45.0,,Personal foul by D. Dedmon (drawn by K. Towns),10,8
16,1,8:39.0,,A. Wiggins misses 2-pt jump shot from 13 ft,10,8
17,1,8:37.0,Defensive rebound by D. Dedmon,,10,8
18,1,8:26.0,Turnover by I. Taylor (bad pass; steal by A. Wiggins),,10,8
19,1,8:22.0,,N. Bjelica makes 2-pt layup from 1 ft (assist by A. Wiggins),10,10
20,1,8:07.0,T. Prince makes 2-pt jump shot from 14 ft,,12,10
21,1,7:55.0,,J. Teague misses 3-pt jump shot from 25 ft,12,10
22,1,7:53.0,Defensive rebound by D. Lee,,12,10
23,1,7:45.0,D. Dedmon makes 2-pt jump shot from 12 ft (assist by D. Lee),,14,10
24,1,7:31.0,,K. Towns makes 3-pt jump shot from 22 ft (assist by T. Gibson),14,13
25,1,7:22.0,Shooting foul by T. Gibson (drawn by I. Taylor),,14,13
26,1,7:22.0,I. Taylor makes free throw 1 of 2,,15,13
27,1,7:22.0,I. Taylor makes free throw 2 of 2,,16,13
28,1,7:11.0,,A. Wiggins makes 2-pt layup from 6 ft,16,15
29,1,6:58.0,D. Dedmon makes 2-pt jump shot from 10 ft (assist by I. Taylor),,18,15
30,1,6:46.0,,K. Towns misses 2-pt layup from 1 ft,18,15
31,1,6:39.0,Defensive rebound by J. Collins,,18,15
32,1,6:25.0,D. Dedmon misses 2-pt hook shot from 7 ft,,18,15
33,1,6:24.0,,Defensive rebound by K. Towns,18,15
34,1,6:18.0,,Personal foul by I. Taylor (drawn by J. Teague),18,15
35,1,6:18.0,,Minnesota full timeout,18,15
36,1,6:18.0,M. Muscala enters the game for J. Collins,,18,15
37,1,6:06.0,,N. Bjelica misses 3-pt jump shot from 23 ft,18,15
38,1,6:03.0,,Offensive rebound by K. Towns,18,15
39,1,6:01.0,,K. Towns misses 2-pt layup from 3 ft (block by D. Lee),18,15
40,1,6:01.0,Defensive rebound by T. Prince,,18,15
41,1,5:49.0,I. Taylor misses 2-pt jump shot from 13 ft,,18,15
42,1,5:46.0,,Defensive rebound by Team,18,15
43,1,5:29.0,,T. Gibson misses 2-pt layup from 4 ft,18,15
44,1,5:29.0,,Offensive rebound by Team,18,15
45,1,5:29.0,Loose ball foul by D. Lee (drawn by N. Bjelica),,18,15
46,1,5:29.0,T. Dorsey enters the game for D. Lee,,18,15
47,1,5:29.0,T. Cavanaugh enters the game for D. Dedmon,,18,15
48,1,5:23.0,,K. Towns makes 2-pt layup from 2 ft,18,17
49,1,5:23.0,,Shooting foul by M. Muscala (drawn by K. Towns),18,17
50,1,5:23.0,,K. Towns makes free throw 1 of 1,18,18
51,1,5:16.0,M. Muscala makes 3-pt jump shot from 23 ft (assist by I. Taylor),,21,18
52,1,5:05.0,,K. Towns makes 2-pt layup from 6 ft (assist by J. Teague),21,20
53,1,4:52.0,T. Dorsey misses 3-pt jump shot from 26 ft,,21,20
54,1,4:50.0,Offensive rebound by Team,,21,20
55,1,4:50.0,,J. Crawford enters the game for N. Bjelica,21,20
56,1,4:50.0,J. Magette enters the game for I. Taylor,,21,20
57,1,4:39.0,T. Dorsey makes 2-pt jump shot from 16 ft,,23,20
58,1,4:23.0,,J. Teague misses 2-pt jump shot from 8 ft,23,20
59,1,4:21.0,Defensive rebound by T. Dorsey,,23,20
60,1,4:16.0,Shooting foul by K. Towns (drawn by T. Prince),,23,20
61,1,4:16.0,T. Prince makes free throw 1 of 2,,24,20
62,1,4:16.0,,G. Dieng enters the game for K. Towns,24,20
63,1,4:16.0,T. Prince makes free throw 2 of 2,,25,20
64,1,4:01.0,,T. Gibson makes 2-pt jump shot from 14 ft (assist by J. Crawford),25,22
65,1,3:45.0,M. Muscala makes 3-pt jump shot from 25 ft (assist by T. Prince),,28,22
66,1,3:32.0,,A. Wiggins makes 3-pt jump shot from 26 ft (assist by J. Teague),28,25
67,1,3:19.0,,Violation by G. Dieng (kicked ball),28,25
68,1,3:19.0,,T. Jones enters the game for J. Teague,28,25
69,1,3:08.0,M. Muscala misses 3-pt jump shot from 26 ft,,28,25
70,1,3:06.0,,Defensive rebound by T. Gibson,28,25
71,1,2:59.0,,T. Jones makes 2-pt jump shot from 12 ft,28,27
72,1,2:54.0,Atlanta full timeout,,28,27
73,1,2:34.0,T. Cavanaugh makes 3-pt jump shot from 28 ft (assist by T. Prince),,31,27
74,1,2:18.0,,T. Jones misses 3-pt jump shot from 24 ft,31,27
75,1,2:15.0,Defensive rebound by T. Prince,,31,27
76,1,2:11.0,Personal foul by A. Wiggins (drawn by T. Prince),,31,27
77,1,2:11.0,,N. Bjelica enters the game for T. Gibson,31,27
78,1,2:11.0,A. White enters the game for T. Prince,,31,27
79,1,2:04.0,Turnover by T. Cavanaugh (lost ball; steal by T. Jones),,31,27
80,1,2:00.0,,J. Crawford makes 2-pt layup at rim (assist by T. Jones),31,29
81,1,1:45.0,Turnover by T. Cavanaugh (bad pass),,31,29
82,1,1:31.0,,T. Jones misses 2-pt layup from 4 ft,31,29
83,1,1:29.0,Defensive rebound by T. Cavanaugh,,31,29
84,1,1:20.0,Shooting foul by G. Dieng (drawn by T. Dorsey),,31,29
85,1,1:20.0,T. Dorsey misses free throw 1 of 2,,31,29
86,1,1:20.0,Offensive rebound by Team,,31,29
87,1,1:20.0,T. Dorsey makes free throw 2 of 2,,32,29
88,1,1:20.0,J. Collins enters the game for T. Cavanaugh,,32,29
89,1,1:03.0,,N. Bjelica makes 3-pt jump shot from 23 ft (assist by T. Jones),32,32
90,1,0:41.0,A. White misses 3-pt jump shot from 26 ft,,32,32
91,1,0:39.0,,Defensive rebound by G. Dieng,32,32
92,1,0:34.0,,J. Crawford misses 3-pt jump shot from 26 ft,32,32
93,1,0:30.0,,Offensive rebound by J. Crawford,32,32
94,1,0:27.0,,G. Dieng makes 2-pt layup from 1 ft (assist by J. Crawford),32,34
95,1,0:06.0,Turnover by T. Dorsey (traveling),,32,34
96,1,0:00.0,,Turnover by J. Crawford (lost ball; steal by J. Magette),32,34
97,2,11:37.0,,J. Crawford misses 3-pt jump shot from 22 ft,32,34
98,2,11:34.0,Defensive rebound by D. Dedmon,,32,34
99,2,11:30.0,Turnover by I. Taylor (bad pass; steal by T. Jones),,32,34
100,2,11:15.0,,G. Dieng makes 2-pt layup from 3 ft (assist by T. Jones),32,36
101,2,11:15.0,,Shooting foul by D. Dedmon (drawn by G. Dieng),32,36
102,2,11:15.0,,G. Dieng makes free throw 1 of 1,32,37
103,2,10:59.0,I. Taylor makes 2-pt layup from 3 ft,,34,37
104,2,10:43.0,,Turnover by K. Towns (lost ball; steal by I. Taylor),34,37
105,2,10:29.0,J. Collins makes 2-pt dunk from 1 ft,,36,37
106,2,10:13.0,,K. Towns makes 3-pt jump shot from 24 ft (assist by J. Crawford),36,40
107,2,10:07.0,,Offensive charge foul by I. Taylor (drawn by T. Jones),36,40
108,2,10:07.0,Turnover by I. Taylor (offensive foul),,36,40
109,2,9:57.0,,G. Dieng misses 3-pt jump shot from 22 ft,36,40
110,2,9:55.0,Defensive rebound by J. Collins,,36,40
111,2,9:43.0,A. White misses 2-pt jump shot from 20 ft,,36,40
112,2,9:42.0,Offensive rebound by Team,,36,40
113,2,9:42.0,,Loose ball foul by N. Bjelica (drawn by J. Collins),36,40
114,2,9:42.0,D. Lee enters the game for T. Dorsey,,36,40
115,2,9:38.0,I. Taylor misses 3-pt jump shot from 24 ft,,36,40
116,2,9:34.0,,Defensive rebound by N. Bjelica,36,40
117,2,9:25.0,,K. Towns misses 2-pt layup from 2 ft,36,40
118,2,9:25.0,,Offensive rebound by Team,36,40
119,2,9:25.0,,Turnover by K. Towns (traveling),36,40
120,2,9:14.0,D. Lee misses 3-pt jump shot from 25 ft,,36,40
121,2,9:10.0,,Defensive rebound by N. Bjelica,36,40
122,2,9:04.0,,J. Crawford makes 2-pt jump shot from 17 ft,36,42
123,2,8:44.0,A. White misses 2-pt layup from 2 ft,,36,42
124,2,8:43.0,,Defensive rebound by G. Dieng,36,42
125,2,8:34.0,,G. Dieng makes 2-pt jump shot from 19 ft (assist by T. Jones),36,44
126,2,8:19.0,I. Taylor misses 2-pt jump shot from 9 ft,,36,44
127,2,8:17.0,,Defensive rebound by K. Towns,36,44
128,2,8:04.0,,J. Crawford misses 2-pt jump shot from 21 ft,36,44
129,2,8:02.0,Defensive rebound by J. Collins,,36,44
130,2,7:50.0,Offensive foul by I. Taylor (drawn by T. Jones),,36,44
131,2,7:50.0,Turnover by I. Taylor (offensive foul),,36,44
132,2,7:50.0,Atlanta full timeout,,36,44
133,2,7:50.0,J. Magette enters the game for A. White,,36,44
134,2,7:50.0,T. Prince enters the game for J. Collins,,36,44
135,2,7:50.0,T. Cavanaugh enters the game for I. Taylor,,36,44
136,2,7:35.0,,N. Bjelica makes 2-pt layup from 1 ft (assist by K. Towns),36,46
137,2,7:19.0,Turnover by T. Prince (out of bounds lost ball),,36,46
138,2,6:58.0,,J. Crawford makes 2-pt jump shot from 20 ft,36,48
139,2,6:44.0,,Violation by K. Towns (kicked ball),36,48
140,2,6:36.0,D. Dedmon makes 2-pt hook shot from 9 ft (assist by T. Prince),,38,48
141,2,6:16.0,,G. Dieng misses 2-pt jump shot from 13 ft,38,48
142,2,6:13.0,Defensive rebound by D. Lee,,38,48
143,2,6:07.0,J. Magette misses 2-pt jump shot from 11 ft,,38,48
144,2,6:05.0,,Defensive rebound by G. Dieng,38,48
145,2,5:57.0,,T. Jones misses 3-pt jump shot from 26 ft,38,48
146,2,5:53.0,Defensive rebound by D. Dedmon,,38,48
147,2,5:43.0,Shooting foul by G. Dieng (drawn by D. Lee),,38,48
148,2,5:43.0,D. Lee makes free throw 1 of 2,,39,48
149,2,5:43.0,,A. Wiggins enters the game for G. Dieng,39,48
150,2,5:43.0,M. Muscala enters the game for D. Dedmon,,39,48
151,2,5:43.0,D. Lee makes free throw 2 of 2,,40,48
152,2,5:29.0,,Turnover by T. Jones (bad pass; steal by T. Prince),40,48
153,2,5:25.0,M. Muscala makes 2-pt layup from 2 ft (assist by J. Magette),,42,48
154,2,5:25.0,,Violation by K. Towns (def goaltending),42,48
155,2,5:25.0,,Minnesota full timeout,42,48
156,2,5:25.0,,J. Teague enters the game for T. Jones,42,48
157,2,5:06.0,,K. Towns makes 2-pt hook shot from 8 ft (assist by N. Bjelica),42,50
158,2,4:54.0,Turnover by T. Prince (bad pass; steal by J. Teague),,42,50
159,2,4:53.0,,Personal take foul by J. Magette (drawn by J. Teague),42,50
160,2,4:40.0,,K. Towns makes 2-pt dunk at rim (assist by J. Crawford),42,52
161,2,4:26.0,M. Muscala misses 3-pt jump shot from 25 ft,,42,52
162,2,4:25.0,,Defensive rebound by A. Wiggins,42,52
