,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MEMPHIS_ACTION,PORTLAND_SCORE,MEMPHIS_SCORE
0,1,11:35.0,N. Vonleh misses 2-pt jump shot from 12 ft,,0,0
1,1,11:32.0,,Defensive rebound by C. Parsons,0,0
2,1,11:23.0,,M. Chalmers misses 2-pt layup from 4 ft (block by J. Nurkić),0,0
3,1,11:22.0,Defensive rebound by Team,,0,0
4,1,11:06.0,Turnover by N. Vonleh (traveling),,0,0
5,1,10:50.0,,J. Green makes 2-pt layup from 2 ft (assist by D. Brooks),0,2
6,1,10:50.0,,Shooting foul by N. Vonleh (drawn by J. Green),0,2
7,1,10:50.0,,J. Green makes free throw 1 of 1,0,3
8,1,10:41.0,D. Lillard misses 3-pt jump shot from 25 ft,,0,3
9,1,10:38.0,,Defensive rebound by M. Chalmers,0,3
10,1,10:32.0,,Shooting foul by D. Lillard (drawn by M. Chalmers),0,3
11,1,10:32.0,,M. Chalmers makes free throw 1 of 2,0,4
12,1,10:32.0,,M. Chalmers makes free throw 2 of 2,0,5
13,1,10:21.0,C. McCollum misses 2-pt jump shot from 16 ft,,0,5
14,1,10:19.0,,Defensive rebound by M. Chalmers,0,5
15,1,10:06.0,,Turnover by M. Gasol (traveling),0,5
16,1,9:48.0,Personal foul by M. Gasol (drawn by J. Nurkić),,0,5
17,1,9:43.0,J. Nurkić misses 2-pt hook shot from 10 ft,,0,5
18,1,9:40.0,Offensive rebound by M. Harkless,,0,5
19,1,9:37.0,Shooting foul by C. Parsons (drawn by J. Nurkić),,0,5
20,1,9:37.0,J. Nurkić makes free throw 1 of 2,,1,5
21,1,9:37.0,J. Nurkić misses free throw 2 of 2,,1,5
22,1,9:35.0,,Defensive rebound by M. Gasol,1,5
23,1,9:24.0,,M. Gasol misses 2-pt jump shot from 12 ft,1,5
24,1,9:21.0,Defensive rebound by C. McCollum,,1,5
25,1,9:15.0,D. Lillard misses 2-pt jump shot from 12 ft,,1,5
26,1,9:13.0,,Defensive rebound by J. Green,1,5
27,1,8:59.0,,C. Parsons misses 3-pt jump shot from 25 ft,1,5
28,1,8:56.0,Defensive rebound by D. Lillard,,1,5
29,1,8:53.0,,Offensive charge foul by M. Harkless (drawn by C. Parsons),1,5
30,1,8:53.0,Turnover by M. Harkless (offensive foul),,1,5
31,1,8:35.0,,M. Gasol misses 2-pt jump shot from 20 ft,1,5
32,1,8:32.0,Defensive rebound by C. McCollum,,1,5
33,1,8:26.0,C. McCollum makes 2-pt jump shot from 16 ft,,3,5
34,1,8:10.0,,M. Chalmers misses 3-pt jump shot from 23 ft,3,5
35,1,8:07.0,Defensive rebound by N. Vonleh,,3,5
36,1,8:00.0,D. Lillard misses 2-pt layup from 1 ft,,3,5
37,1,7:57.0,,Defensive rebound by J. Green,3,5
38,1,7:55.0,,D. Brooks makes 2-pt layup from 1 ft (assist by M. Chalmers),3,7
39,1,7:43.0,J. Nurkić misses 2-pt jump shot from 14 ft,,3,7
40,1,7:42.0,,Defensive rebound by M. Chalmers,3,7
41,1,7:34.0,,M. Gasol makes 2-pt jump shot from 21 ft (assist by M. Chalmers),3,9
