,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,ATLANTA_ACTION,OKLAHOMA CITY_SCORE,ATLANTA_SCORE
0,1,11:43.0,,Turnover by D. Dedmon (bad pass; steal by P. George),0,0
1,1,11:39.0,P. George makes 3-pt jump shot from 25 ft,,3,0
2,1,11:21.0,,T. Dorsey misses 3-pt jump shot from 22 ft (block by C. Brewer),3,0
3,1,11:17.0,Defensive rebound by D. Johnson,,3,0
4,1,11:06.0,P. George makes 2-pt layup from 1 ft (assist by R. Westbrook),,5,0
5,1,10:52.0,,Personal foul by C. Brewer (drawn by J. Collins),5,0
6,1,10:37.0,,D. Schröder makes 2-pt jump shot from 16 ft (assist by T. Dorsey),5,2
7,1,10:31.0,,Shooting foul by D. Johnson (drawn by D. Schröder),5,2
8,1,10:31.0,,D. Schröder makes free throw 1 of 1,5,3
9,1,10:14.0,P. George makes 3-pt jump shot from 25 ft,,8,3
10,1,9:59.0,,T. Prince misses 3-pt jump shot from 22 ft,8,3
11,1,9:55.0,Defensive rebound by R. Westbrook,,8,3
12,1,9:41.0,Turnover by P. George (bad pass; steal by T. Prince),,8,3
13,1,9:35.0,,T. Prince misses 2-pt layup from 1 ft,8,3
14,1,9:29.0,,Offensive rebound by J. Collins,8,3
15,1,9:29.0,,J. Collins makes 2-pt dunk at rim,8,5
16,1,9:28.0,P. George misses 2-pt dunk from 2 ft (block by J. Collins),,8,5
17,1,9:24.0,,Defensive rebound by J. Collins,8,5
18,1,9:11.0,,D. Schröder misses 3-pt jump shot from 24 ft,8,5
19,1,9:08.0,Defensive rebound by P. George,,8,5
20,1,9:05.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,11,5
21,1,8:47.0,,J. Collins makes 2-pt jump shot from 11 ft (assist by D. Schröder),11,7
22,1,8:38.0,C. Anthony misses 3-pt jump shot from 25 ft,,11,7
23,1,8:34.0,,Defensive rebound by J. Collins,11,7
24,1,8:23.0,,T. Prince makes 2-pt layup from 1 ft (assist by J. Collins),11,9
25,1,8:14.0,P. George misses 2-pt jump shot from 20 ft,,11,9
26,1,8:09.0,,Defensive rebound by T. Dorsey,11,9
27,1,7:50.0,,T. Dorsey misses 3-pt jump shot from 25 ft,11,9
28,1,7:47.0,Defensive rebound by R. Westbrook,,11,9
29,1,7:43.0,Personal foul by T. Dorsey (drawn by D. Johnson),,11,9
30,1,7:35.0,R. Westbrook misses 2-pt layup from 1 ft,,11,9
31,1,7:35.0,Offensive rebound by D. Johnson,,11,9
32,1,7:35.0,Shooting foul by T. Dorsey (drawn by D. Johnson),,11,9
33,1,7:35.0,D. Johnson misses free throw 1 of 2,,11,9
34,1,7:35.0,Offensive rebound by Team,,11,9
35,1,7:35.0,D. Johnson makes free throw 2 of 2,,12,9
36,1,7:21.0,,Turnover by J. Collins (bad pass; steal by C. Brewer),12,9
37,1,7:17.0,C. Brewer misses 2-pt layup from 8 ft,,12,9
38,1,7:15.0,Offensive rebound by Team,,12,9
39,1,7:12.0,Oklahoma City full timeout,,12,9
40,1,7:12.0,,I. Taylor enters the game for T. Dorsey,12,9
41,1,7:05.0,R. Westbrook makes 2-pt layup at rim,,14,9
42,1,6:46.0,,D. Dedmon misses 3-pt jump shot from 24 ft,14,9
43,1,6:43.0,Defensive rebound by C. Anthony,,14,9
44,1,6:36.0,D. Johnson makes 2-pt layup from 1 ft (assist by R. Westbrook),,16,9
45,1,6:23.0,,J. Collins makes 2-pt dunk at rim (assist by D. Schröder),16,11
46,1,6:08.0,P. George makes 2-pt jump shot from 18 ft (assist by R. Westbrook),,18,11
47,1,5:48.0,,J. Collins makes 2-pt dunk at rim (assist by I. Taylor),18,13
48,1,5:19.0,,M. Muscala enters the game for D. Dedmon,18,13
49,1,5:19.0,J. Grant enters the game for D. Johnson,,18,13
50,1,5:15.0,P. George makes 2-pt layup from 1 ft (assist by C. Brewer),,20,13
51,1,5:03.0,,T. Prince misses 3-pt jump shot from 25 ft,20,13
52,1,4:59.0,Defensive rebound by P. George,,20,13
53,1,4:57.0,Personal foul by I. Taylor (drawn by R. Westbrook),,20,13
54,1,4:57.0,,T. Cavanaugh enters the game for J. Collins,20,13
55,1,4:53.0,C. Anthony misses 3-pt jump shot from 25 ft,,20,13
56,1,4:49.0,,Defensive rebound by T. Prince,20,13
57,1,4:40.0,,D. Schröder misses 2-pt layup from 1 ft (block by R. Westbrook),20,13
58,1,4:40.0,,Offensive rebound by Team,20,13
59,1,4:35.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by I. Taylor),20,16
60,1,4:21.0,C. Anthony makes 2-pt layup from 1 ft,,22,16
61,1,4:21.0,Shooting foul by M. Muscala (drawn by C. Anthony),,22,16
62,1,4:21.0,C. Anthony makes free throw 1 of 1,,23,16
63,1,4:11.0,,M. Muscala makes 2-pt dunk from 1 ft (assist by D. Schröder),23,18
64,1,4:10.0,Oklahoma City full timeout,,23,18
65,1,3:47.0,P. George misses 3-pt jump shot from 24 ft,,23,18
66,1,3:42.0,Offensive rebound by R. Westbrook,,23,18
67,1,3:42.0,R. Westbrook makes 2-pt layup at rim,,25,18
68,1,3:28.0,,D. Schröder misses 2-pt layup from 6 ft,25,18
69,1,3:24.0,,Offensive rebound by M. Muscala,25,18
70,1,3:24.0,,M. Muscala misses 2-pt layup at rim,25,18
71,1,3:24.0,,Offensive rebound by T. Cavanaugh,25,18
72,1,3:23.0,,T. Cavanaugh misses 2-pt layup at rim (block by C. Anthony),25,18
73,1,3:23.0,,Offensive rebound by T. Cavanaugh,25,18
74,1,3:23.0,,T. Cavanaugh misses 2-pt layup at rim (block by C. Anthony),25,18
75,1,3:23.0,Defensive rebound by J. Grant,,25,18
76,1,3:16.0,Turnover by R. Westbrook (bad pass; steal by I. Taylor),,25,18
77,1,3:16.0,,Personal foul by R. Westbrook (drawn by I. Taylor),25,18
78,1,3:16.0,,A. White enters the game for D. Schröder,25,18
79,1,2:56.0,,M. Muscala misses 3-pt jump shot from 23 ft,25,18
80,1,2:54.0,Defensive rebound by R. Westbrook,,25,18
81,1,2:49.0,R. Westbrook makes 2-pt layup from 1 ft,,27,18
82,1,2:49.0,Shooting foul by I. Taylor (drawn by R. Westbrook),,27,18
83,1,2:49.0,P. Patterson enters the game for C. Anthony,,27,18
84,1,2:49.0,R. Westbrook misses free throw 1 of 1,,27,18
85,1,2:47.0,Offensive rebound by J. Grant,,27,18
86,1,2:42.0,Shooting foul by I. Taylor (drawn by C. Brewer),,27,18
87,1,2:42.0,C. Brewer makes free throw 1 of 2,,28,18
88,1,2:42.0,R. Felton enters the game for R. Westbrook,,28,18
89,1,2:42.0,C. Brewer makes free throw 2 of 2,,29,18
90,1,2:28.0,,I. Taylor misses 3-pt jump shot from 25 ft,29,18
91,1,2:23.0,,Offensive rebound by A. White,29,18
92,1,2:18.0,,Shooting foul by R. Felton (drawn by I. Taylor),29,18
93,1,2:18.0,,I. Taylor makes free throw 1 of 2,29,19
94,1,2:18.0,,I. Taylor makes free throw 2 of 2,29,20
95,1,2:05.0,P. George misses 3-pt jump shot from 25 ft,,29,20
96,1,2:02.0,,Defensive rebound by A. White,29,20
97,1,1:53.0,,A. White makes 3-pt jump shot from 25 ft (assist by T. Cavanaugh),29,23
98,1,1:29.0,P. Patterson makes 2-pt hook shot from 10 ft (assist by C. Brewer),,31,23
99,1,1:12.0,,A. White misses 3-pt jump shot from 23 ft,31,23
100,1,1:07.0,Defensive rebound by P. George,,31,23
101,1,1:06.0,P. George misses technical free throw,,31,23
102,1,1:06.0,Offensive rebound by Team,,31,23
103,1,1:06.0,,D. Schröder enters the game for I. Taylor,31,23
