,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,HOUSTON_ACTION,LA LAKERS_SCORE,HOUSTON_SCORE
0,1,11:47.0,,Turnover by J. Harden (bad pass; steal by J. Hart),0,0
1,1,11:41.0,B. Ingram makes 3-pt jump shot from 25 ft (assist by J. Hart),,3,0
2,1,11:29.0,,N. Hilário misses 2-pt layup from 3 ft,3,0
3,1,11:27.0,Defensive rebound by Team,,3,0
4,1,11:15.0,J. Hart makes 3-pt jump shot from 24 ft (assist by B. Ingram),,6,0
5,1,10:53.0,,T. Ariza misses 3-pt jump shot from 24 ft,6,0
6,1,10:51.0,Defensive rebound by L. Ball,,6,0
7,1,10:43.0,L. Ball makes 3-pt jump shot from 25 ft (assist by J. Hart),,9,0
8,1,10:25.0,,J. Harden makes 2-pt jump shot from 14 ft,9,2
9,1,10:09.0,B. Ingram misses 2-pt layup from 1 ft,,9,2
10,1,10:06.0,,Defensive rebound by R. Anderson,9,2
11,1,9:52.0,,J. Harden misses 3-pt jump shot from 26 ft,9,2
12,1,9:48.0,Defensive rebound by A. Bogut,,9,2
13,1,9:36.0,B. Ingram makes 2-pt layup at rim,,11,2
14,1,9:20.0,,N. Hilário makes 2-pt layup from 1 ft (assist by C. Paul),11,4
15,1,9:03.0,K. Kuzma makes 3-pt jump shot from 25 ft (assist by J. Hart),,14,4
16,1,8:40.0,,T. Ariza makes 2-pt layup at rim (assist by C. Paul),14,6
17,1,8:25.0,K. Kuzma makes 2-pt jump shot from 8 ft,,16,6
18,1,8:11.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Harden),16,9
19,1,7:54.0,B. Ingram misses 2-pt jump shot from 4 ft,,16,9
20,1,7:51.0,,Defensive rebound by N. Hilário,16,9
21,1,7:30.0,,Turnover by N. Hilário (lost ball; steal by L. Ball),16,9
22,1,7:25.0,B. Ingram misses 3-pt jump shot from 23 ft,,16,9
23,1,7:20.0,Offensive rebound by B. Ingram,,16,9
24,1,7:19.0,J. Hart misses 3-pt jump shot from 25 ft,,16,9
25,1,7:19.0,,Defensive rebound by T. Ariza,16,9
26,1,7:13.0,,Personal foul by B. Ingram (drawn by J. Harden),16,9
27,1,7:13.0,,E. Gordon enters the game for C. Paul,16,9
28,1,7:02.0,,J. Harden misses 2-pt jump shot from 12 ft,16,9
29,1,7:01.0,Defensive rebound by Team,,16,9
30,1,6:54.0,Turnover by L. Ball (bad pass; steal by T. Ariza),,16,9
31,1,6:51.0,,T. Ariza makes 2-pt dunk from 1 ft,16,11
32,1,6:32.0,L. Ball misses 3-pt jump shot from 27 ft,,16,11
33,1,6:30.0,,Defensive rebound by T. Ariza,16,11
34,1,6:19.0,,J. Harden misses 2-pt layup from 2 ft (block by J. Hart),16,11
35,1,6:19.0,,Offensive rebound by Team,16,11
36,1,6:19.0,,Houston full timeout,16,11
37,1,6:19.0,,T. Black enters the game for R. Anderson,16,11
38,1,6:19.0,,P. Tucker enters the game for N. Hilário,16,11
39,1,6:14.0,,E. Gordon misses 2-pt layup from 3 ft,16,11
40,1,6:11.0,,Offensive rebound by T. Black,16,11
41,1,6:10.0,,T. Black misses 2-pt layup from 2 ft,16,11
42,1,6:10.0,,Offensive rebound by T. Black,16,11
43,1,6:03.0,,J. Harden makes 2-pt layup from 1 ft,16,13
44,1,6:03.0,,Shooting foul by A. Bogut (drawn by J. Harden),16,13
45,1,6:03.0,L. Nance enters the game for A. Bogut,,16,13
46,1,6:03.0,,J. Harden makes free throw 1 of 1,16,14
47,1,5:49.0,K. Kuzma makes 2-pt layup from 1 ft (assist by L. Ball),,18,14
48,1,5:49.0,,Violation by T. Black (def goaltending),18,14
49,1,5:39.0,,E. Gordon misses 2-pt layup from 2 ft (block by L. Ball),18,14
50,1,5:35.0,Defensive rebound by L. Nance,,18,14
51,1,5:35.0,Shooting foul by T. Black (drawn by J. Hart),,18,14
52,1,5:35.0,J. Hart makes free throw 1 of 2,,19,14
53,1,5:35.0,J. Hart misses free throw 2 of 2,,19,14
54,1,5:35.0,,Defensive rebound by P. Tucker,19,14
55,1,5:26.0,,Turnover by J. Harden (bad pass; steal by B. Ingram),19,14
56,1,5:23.0,Personal foul by T. Ariza (drawn by L. Nance),,19,14
57,1,5:23.0,J. Clarkson enters the game for J. Hart,,19,14
58,1,5:14.0,J. Clarkson misses 3-pt jump shot from 26 ft,,19,14
59,1,5:10.0,Offensive rebound by L. Nance,,19,14
60,1,5:08.0,K. Kuzma makes 3-pt jump shot from 25 ft (assist by L. Nance),,22,14
61,1,4:57.0,,Shooting foul by L. Nance (drawn by J. Harden),22,14
62,1,4:57.0,,J. Harden misses free throw 1 of 2,22,14
63,1,4:57.0,,Offensive rebound by Team,22,14
64,1,4:57.0,C. Brewer enters the game for B. Ingram,,22,14
65,1,4:57.0,,J. Harden makes free throw 2 of 2,22,15
66,1,4:47.0,L. Ball misses 3-pt jump shot from 23 ft,,22,15
67,1,4:44.0,,Defensive rebound by P. Tucker,22,15
