,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,CHARLOTTE_ACTION,LA CLIPPERS_SCORE,CHARLOTTE_SCORE
0,1,11:34.0,B. Griffin misses 2-pt jump shot from 8 ft,,0,0
1,1,11:31.0,,Defensive rebound by D. Howard,0,0
2,1,11:20.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by N. Batum),0,3
3,1,10:58.0,S. Thornwell misses 2-pt jump shot from 17 ft (block by N. Batum),,0,3
4,1,10:53.0,,Defensive rebound by M. Williams,0,3
5,1,10:39.0,,N. Batum misses 2-pt jump shot from 9 ft,0,3
6,1,10:34.0,Defensive rebound by D. Jordan,,0,3
7,1,10:28.0,A. Rivers misses 2-pt jump shot from 19 ft,,0,3
8,1,10:25.0,,Defensive rebound by D. Howard,0,3
9,1,10:17.0,,Shooting foul by B. Griffin (drawn by D. Howard),0,3
10,1,10:17.0,,D. Howard misses free throw 1 of 2,0,3
11,1,10:17.0,,Offensive rebound by Team,0,3
12,1,10:17.0,,D. Howard misses free throw 2 of 2,0,3
13,1,10:14.0,Defensive rebound by B. Griffin,,0,3
14,1,10:07.0,B. Griffin misses 2-pt jump shot from 19 ft,,0,3
15,1,10:07.0,,Defensive rebound by K. Walker,0,3
16,1,9:56.0,,D. Howard makes 2-pt layup from 2 ft (assist by K. Walker),0,5
17,1,9:37.0,D. Jordan makes 2-pt dunk from 1 ft,,2,5
18,1,9:22.0,,M. Williams misses 3-pt jump shot from 25 ft,2,5
19,1,9:18.0,Defensive rebound by D. Jordan,,2,5
20,1,9:07.0,S. Thornwell misses 2-pt jump shot from 7 ft,,2,5
21,1,9:04.0,,Defensive rebound by D. Howard,2,5
22,1,8:55.0,,Personal foul by S. Thornwell (drawn by N. Batum),2,5
23,1,8:50.0,,K. Walker misses 2-pt jump shot from 20 ft,2,5
24,1,8:46.0,Defensive rebound by W. Johnson,,2,5
25,1,8:34.0,Personal foul by M. Williams (drawn by B. Griffin),,2,5
26,1,8:21.0,Shooting foul by K. Walker (drawn by A. Rivers),,2,5
