,QUARTER,TIME_REMAINING,INDIANA_ACTION,MIAMI_ACTION,INDIANA_SCORE,MIAMI_SCORE
0,1,11:46.0,M. Turner makes 2-pt jump shot from 19 ft (assist by D. Collison),,2,0
1,1,11:22.0,,H. Whiteside misses 2-pt hook shot from 6 ft,2,0
2,1,11:21.0,Defensive rebound by T. Young,,2,0
3,1,10:59.0,M. Turner makes 2-pt jump shot from 18 ft (assist by D. Collison),,4,0
4,1,10:46.0,,Turnover by G. Dragić (bad pass),4,0
5,1,10:32.0,Turnover by D. Collison (bad pass; steal by J. Winslow),,4,0
6,1,10:21.0,,J. Richardson makes 2-pt jump shot from 7 ft,4,2
7,1,10:11.0,M. Turner makes 2-pt jump shot from 8 ft,,6,2
8,1,10:01.0,,H. Whiteside makes 2-pt jump shot from 6 ft (assist by G. Dragić),6,4
9,1,9:47.0,V. Oladipo misses 3-pt jump shot from 23 ft,,6,4
10,1,9:43.0,,Defensive rebound by H. Whiteside,6,4
11,1,9:32.0,,D. Waiters misses 3-pt jump shot from 26 ft,6,4
12,1,9:29.0,,Offensive rebound by D. Waiters,6,4
13,1,9:29.0,,Personal foul by V. Oladipo (drawn by D. Waiters),6,4
14,1,9:22.0,,D. Waiters misses 2-pt jump shot from 11 ft,6,4
15,1,9:18.0,,Offensive rebound by J. Winslow,6,4
16,1,9:06.0,,J. Richardson misses 3-pt jump shot from 24 ft,6,4
17,1,9:03.0,Defensive rebound by M. Turner,,6,4
18,1,9:00.0,Shooting foul by G. Dragić (drawn by D. Collison),,6,4
19,1,9:00.0,D. Collison makes free throw 1 of 2,,7,4
20,1,9:00.0,D. Collison makes free throw 2 of 2,,8,4
21,1,8:49.0,,Turnover by D. Waiters (bad pass; steal by M. Turner),8,4
22,1,8:35.0,T. Young makes 2-pt jump shot from 5 ft (assist by B. Bogdanović),,10,4
23,1,8:16.0,,D. Waiters misses 3-pt jump shot from 23 ft,10,4
24,1,8:13.0,Defensive rebound by D. Collison,,10,4
25,1,8:05.0,M. Turner makes 2-pt layup from 2 ft (assist by D. Collison),,12,4
26,1,7:59.0,,Miami full timeout,12,4
27,1,7:40.0,,G. Dragić makes 3-pt jump shot from 23 ft (assist by J. Winslow),12,7
28,1,7:26.0,B. Bogdanović makes 2-pt layup from 3 ft,,14,7
29,1,7:13.0,,D. Waiters misses 2-pt layup from 3 ft (block by M. Turner),14,7
30,1,7:09.0,Defensive rebound by T. Young,,14,7
31,1,7:07.0,T. Young makes 2-pt layup from 3 ft,,16,7
32,1,6:51.0,,T. Johnson enters the game for J. Winslow,16,7
33,1,6:51.0,,J. Johnson enters the game for D. Waiters,16,7
34,1,6:49.0,,G. Dragić misses 2-pt layup from 2 ft (block by M. Turner),16,7
35,1,6:46.0,,Offensive rebound by G. Dragić,16,7
36,1,6:45.0,,G. Dragić makes 2-pt layup from 2 ft,16,9
37,1,6:27.0,V. Oladipo misses 2-pt jump shot from 11 ft,,16,9
38,1,6:18.0,,Defensive rebound by T. Johnson,16,9
39,1,6:07.0,,Turnover by G. Dragić (bad pass; steal by V. Oladipo),16,9
40,1,6:02.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by V. Oladipo),,18,9
41,1,5:49.0,,H. Whiteside makes 2-pt hook shot from 3 ft,18,11
42,1,5:37.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,18,11
43,1,5:34.0,Offensive rebound by M. Turner,,18,11
44,1,5:30.0,T. Young misses 3-pt jump shot from 26 ft,,18,11
45,1,5:28.0,,Defensive rebound by H. Whiteside,18,11
46,1,5:10.0,,J. Johnson makes 3-pt jump shot from 25 ft (assist by T. Johnson),18,14
47,1,5:01.0,M. Turner misses 3-pt jump shot from 26 ft,,18,14
48,1,4:56.0,,Defensive rebound by G. Dragić,18,14
49,1,4:48.0,,H. Whiteside makes 2-pt hook shot from 3 ft,18,16
50,1,4:41.0,Indiana full timeout,,18,16
51,1,4:41.0,,K. Olynyk enters the game for H. Whiteside,18,16
52,1,4:41.0,C. Joseph enters the game for B. Bogdanović,,18,16
53,1,4:28.0,M. Turner makes 2-pt dunk from 3 ft (assist by V. Oladipo),,20,16
54,1,4:28.0,Shooting foul by J. Johnson (drawn by M. Turner),,20,16
55,1,4:28.0,M. Turner makes free throw 1 of 1,,21,16
56,1,4:11.0,,K. Olynyk makes 2-pt layup from 3 ft,21,18
57,1,3:55.0,M. Turner makes 2-pt jump shot from 20 ft (assist by V. Oladipo),,23,18
58,1,3:39.0,,Turnover by T. Johnson (bad pass; steal by T. Young),23,18
59,1,3:37.0,Personal foul by T. Johnson (drawn by V. Oladipo),,23,18
60,1,3:37.0,L. Stephenson enters the game for D. Collison,,23,18
61,1,3:37.0,D. Sabonis enters the game for T. Young,,23,18
62,1,3:17.0,C. Joseph makes 2-pt jump shot from 19 ft,,25,18
63,1,3:05.0,,K. Olynyk misses 3-pt jump shot from 25 ft,25,18
64,1,3:01.0,Defensive rebound by D. Sabonis,,25,18
65,1,2:55.0,L. Stephenson misses 3-pt jump shot from 27 ft,,25,18
66,1,2:52.0,,Defensive rebound by T. Johnson,25,18
67,1,2:43.0,,T. Johnson misses 3-pt jump shot from 26 ft,25,18
68,1,2:38.0,,Offensive rebound by J. Johnson,25,18
69,1,2:36.0,,G. Dragić makes 3-pt jump shot from 27 ft (assist by T. Johnson),25,21
70,1,2:26.0,C. Joseph misses 2-pt jump shot from 6 ft,,25,21
71,1,2:21.0,,Defensive rebound by T. Johnson,25,21
72,1,2:10.0,,J. Richardson misses 2-pt hook shot from 6 ft,25,21
73,1,2:08.0,Defensive rebound by D. Sabonis,,25,21
74,1,2:03.0,Turnover by V. Oladipo (bad pass),,25,21
75,1,2:03.0,,W. Ellington enters the game for J. Richardson,25,21
76,1,2:03.0,,D. Waiters enters the game for G. Dragić,25,21
77,1,1:47.0,,W. Ellington makes 3-pt jump shot from 22 ft (assist by J. Johnson),25,24
78,1,1:29.0,Turnover by V. Oladipo (bad pass; steal by W. Ellington),,25,24
79,1,1:23.0,,W. Ellington misses 3-pt jump shot from 26 ft,25,24
80,1,1:20.0,Defensive rebound by C. Joseph,,25,24
81,1,1:09.0,Turnover by M. Turner (turnover),,25,24
82,1,1:09.0,D. Collison enters the game for V. Oladipo,,25,24
83,1,1:09.0,B. Bogdanović enters the game for M. Turner,,25,24
84,1,0:49.0,,T. Johnson misses 3-pt jump shot from 26 ft,25,24
85,1,0:46.0,Defensive rebound by L. Stephenson,,25,24
86,1,0:44.0,D. Sabonis makes 2-pt layup from 4 ft (assist by B. Bogdanović),,27,24
87,1,0:25.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by K. Olynyk),27,27
88,1,0:03.0,D. Collison misses 2-pt layup from 4 ft,,27,27
89,1,0:02.0,Offensive rebound by D. Sabonis,,27,27
90,1,0:02.0,D. Sabonis makes 2-pt layup from 3 ft,,29,27
91,1,0:01.0,,Personal foul by L. Stephenson (drawn by T. Johnson),29,27
92,2,11:48.0,,W. Ellington misses 3-pt jump shot from 26 ft,29,27
93,2,11:44.0,Defensive rebound by D. Sabonis,,29,27
94,2,11:32.0,D. Collison misses 2-pt jump shot from 18 ft,,29,27
95,2,11:28.0,,Defensive rebound by T. Johnson,29,27
96,2,11:21.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by J. Johnson),29,30
97,2,11:00.0,C. Joseph misses 3-pt jump shot from 26 ft,,29,30
98,2,10:59.0,Offensive rebound by L. Stephenson,,29,30
99,2,10:40.0,Shooting foul by K. Olynyk (drawn by B. Bogdanović),,29,30
100,2,10:40.0,B. Bogdanović makes free throw 1 of 2,,30,30
101,2,10:40.0,,J. Winslow enters the game for T. Johnson,30,30
102,2,10:40.0,B. Bogdanović makes free throw 2 of 2,,31,30
103,2,10:23.0,,J. Winslow makes 2-pt layup from 3 ft,31,32
104,2,10:05.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by D. Collison),,34,32
105,2,9:46.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by J. Winslow),34,35
106,2,9:33.0,D. Sabonis misses 2-pt hook shot from 5 ft,,34,35
107,2,9:29.0,,Defensive rebound by J. Johnson,34,35
108,2,9:22.0,,J. Johnson misses 3-pt jump shot from 22 ft,34,35
109,2,9:19.0,Defensive rebound by C. Joseph,,34,35
110,2,9:10.0,D. Sabonis misses 2-pt hook shot from 10 ft,,34,35
111,2,9:07.0,,Defensive rebound by J. Johnson,34,35
112,2,9:01.0,,W. Ellington makes 3-pt jump shot from 26 ft (assist by J. Johnson),34,38
113,2,8:40.0,,J. Winslow misses 3-pt jump shot from 25 ft,34,38
114,2,8:39.0,Defensive rebound by D. Sabonis,,34,38
115,2,8:34.0,Turnover by Team (shot clock),,34,38
116,2,8:20.0,L. Stephenson misses 2-pt layup from 4 ft,,34,38
117,2,8:19.0,,Defensive rebound by K. Olynyk,34,38
118,2,7:57.0,,J. Winslow makes 2-pt layup from 4 ft (assist by D. Waiters),34,40
119,2,7:52.0,Indiana full timeout,,34,40
120,2,7:52.0,,T. Johnson enters the game for J. Johnson,34,40
121,2,7:52.0,V. Oladipo enters the game for D. Collison,,34,40
122,2,7:52.0,T. Young enters the game for B. Bogdanović,,34,40
123,2,7:46.0,L. Stephenson makes 2-pt jump shot from 21 ft,,36,40
124,2,7:26.0,,T. Johnson misses 2-pt layup from 4 ft (block by D. Sabonis),36,40
125,2,7:25.0,,Offensive rebound by K. Olynyk,36,40
126,2,7:24.0,,Shooting foul by T. Young (drawn by K. Olynyk),36,40
127,2,7:24.0,,K. Olynyk makes free throw 1 of 2,36,41
128,2,7:24.0,,K. Olynyk makes free throw 2 of 2,36,42
129,2,7:02.0,Shooting foul by K. Olynyk (drawn by V. Oladipo),,36,42
130,2,7:02.0,V. Oladipo misses free throw 1 of 2,,36,42
131,2,7:02.0,Offensive rebound by Team,,36,42
132,2,7:02.0,,H. Whiteside enters the game for K. Olynyk,36,42
133,2,7:02.0,M. Turner enters the game for D. Sabonis,,36,42
134,2,7:02.0,V. Oladipo makes free throw 2 of 2,,37,42
135,2,6:43.0,,D. Waiters misses 2-pt layup from 5 ft,37,42
136,2,6:40.0,Defensive rebound by M. Turner,,37,42
137,2,6:40.0,V. Oladipo makes 3-pt jump shot from 24 ft (assist by C. Joseph),,40,42
138,2,6:40.0,,Technical foul by D. Waiters,40,42
139,2,6:40.0,V. Oladipo makes technical free throw,,41,42
140,2,6:40.0,,J. Richardson enters the game for D. Waiters,41,42
141,2,6:17.0,,T. Johnson makes 2-pt dunk from 3 ft,41,44
142,2,6:03.0,T. Young makes 2-pt hook shot from 3 ft (assist by M. Turner),,43,44
143,2,5:50.0,,J. Richardson makes 2-pt jump shot from 9 ft,43,46
144,2,5:26.0,Turnover by V. Oladipo (bad pass; steal by J. Richardson),,43,46
145,2,5:23.0,,Personal foul by V. Oladipo (drawn by J. Richardson),43,46
146,2,5:14.0,,W. Ellington misses 3-pt jump shot from 26 ft,43,46
147,2,5:11.0,Defensive rebound by L. Stephenson,,43,46
148,2,5:01.0,T. Young misses 2-pt layup from 5 ft (block by H. Whiteside),,43,46
149,2,4:57.0,,Defensive rebound by J. Winslow,43,46
150,2,4:51.0,,H. Whiteside makes 2-pt dunk from 2 ft (assist by J. Richardson),43,48
151,2,4:30.0,T. Young makes 2-pt layup from 4 ft (assist by M. Turner),,45,48
152,2,4:22.0,,Miami full timeout,45,48
153,2,4:22.0,,G. Dragić enters the game for W. Ellington,45,48
154,2,4:22.0,D. Collison enters the game for L. Stephenson,,45,48
155,2,4:22.0,B. Bogdanović enters the game for C. Joseph,,45,48
156,2,4:04.0,,T. Johnson misses 2-pt jump shot from 19 ft,45,48
157,2,4:03.0,,Offensive rebound by Team,45,48
158,2,4:02.0,,Turnover by Team (shot clock),45,48
159,2,3:56.0,V. Oladipo makes 2-pt jump shot from 20 ft,,47,48
160,2,3:38.0,,J. Richardson makes 2-pt layup from 3 ft,47,50
161,2,3:22.0,V. Oladipo misses 2-pt jump shot from 18 ft,,47,50
162,2,3:22.0,Offensive rebound by T. Young,,47,50
163,2,3:16.0,D. Collison misses 3-pt jump shot from 27 ft,,47,50
164,2,3:16.0,Offensive rebound by T. Young,,47,50
165,2,3:05.0,V. Oladipo misses 2-pt jump shot from 8 ft,,47,50
166,2,3:05.0,,Defensive rebound by G. Dragić,47,50
167,2,2:59.0,,G. Dragić misses 3-pt jump shot from 26 ft,47,50
168,2,2:59.0,Defensive rebound by M. Turner,,47,50
169,2,2:46.0,D. Collison misses 2-pt jump shot from 19 ft,,47,50
170,2,2:46.0,,Defensive rebound by H. Whiteside,47,50
171,2,2:23.0,,H. Whiteside makes 2-pt jump shot from 20 ft (assist by T. Johnson),47,52
172,2,2:06.0,D. Collison makes 2-pt layup from 3 ft,,49,52
173,2,2:00.0,,Turnover by H. Whiteside (bad pass),49,52
174,2,2:00.0,,D. Waiters enters the game for T. Johnson,49,52
175,2,2:00.0,,J. Johnson enters the game for J. Winslow,49,52
176,2,1:47.0,M. Turner makes 2-pt jump shot from 20 ft (assist by D. Collison),,51,52
177,2,1:30.0,,Turnover by Team (shot clock),51,52
178,2,1:20.0,C. Joseph enters the game for V. Oladipo,,51,52
179,2,1:08.0,B. Bogdanović misses 3-pt jump shot from 28 ft,,51,52
180,2,1:04.0,,Defensive rebound by H. Whiteside,51,52
181,2,0:43.0,,J. Richardson makes 3-pt jump shot from 26 ft (assist by J. Johnson),51,55
182,2,0:36.0,M. Turner makes 2-pt jump shot from 17 ft (assist by C. Joseph),,53,55
183,2,0:26.0,,Turnover by J. Johnson (out of bounds lost ball),53,55
184,2,0:10.0,Personal foul by D. Waiters (drawn by M. Turner),,53,55
185,2,0:03.0,M. Turner makes 3-pt jump shot from 26 ft (assist by C. Joseph),,56,55
186,2,0:02.0,,Turnover by J. Johnson (bad pass; steal by T. Young),56,55
187,2,0:00.0,T. Young makes 2-pt jump shot from 20 ft,,58,55
188,3,11:41.0,,Personal foul by B. Bogdanović (drawn by J. Winslow),58,55
189,3,11:30.0,,H. Whiteside misses 2-pt layup from 4 ft,58,55
190,3,11:28.0,Defensive rebound by M. Turner,,58,55
191,3,11:24.0,B. Bogdanović misses 3-pt jump shot from 22 ft,,58,55
192,3,11:21.0,Offensive rebound by V. Oladipo,,58,55
193,3,11:17.0,T. Young makes 2-pt layup from 2 ft (assist by D. Collison),,60,55
194,3,10:57.0,,Turnover by G. Dragić (bad pass; steal by V. Oladipo),60,55
195,3,10:43.0,T. Young misses 2-pt layup from 2 ft,,60,55
196,3,10:40.0,,Defensive rebound by H. Whiteside,60,55
197,3,10:26.0,,J. Richardson misses 3-pt jump shot from 29 ft,60,55
198,3,10:23.0,Defensive rebound by T. Young,,60,55
199,3,10:03.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by V. Oladipo),,63,55
200,3,9:41.0,,D. Waiters misses 2-pt jump shot from 19 ft,63,55
201,3,9:38.0,Defensive rebound by B. Bogdanović,,63,55
202,3,9:29.0,M. Turner misses 2-pt jump shot from 17 ft,,63,55
203,3,9:25.0,,Defensive rebound by J. Winslow,63,55
204,3,9:18.0,,D. Waiters misses 2-pt layup from 4 ft,63,55
205,3,9:09.0,Defensive rebound by M. Turner,,63,55
206,3,9:08.0,Offensive foul by M. Turner (drawn by J. Winslow),,63,55
207,3,9:08.0,Turnover by M. Turner (offensive foul),,63,55
208,3,8:51.0,,J. Winslow misses 3-pt jump shot from 23 ft,63,55
209,3,8:48.0,Defensive rebound by B. Bogdanović,,63,55
210,3,8:44.0,V. Oladipo misses 2-pt jump shot from 19 ft,,63,55
211,3,8:41.0,,Defensive rebound by H. Whiteside,63,55
212,3,8:35.0,,J. Winslow misses 2-pt layup from 2 ft,63,55
213,3,8:32.0,Defensive rebound by V. Oladipo,,63,55
214,3,8:19.0,V. Oladipo misses 2-pt jump shot from 9 ft,,63,55
215,3,8:14.0,,Defensive rebound by J. Winslow,63,55
216,3,8:07.0,,J. Richardson makes 2-pt layup from 3 ft,63,57
217,3,7:44.0,D. Collison makes 2-pt jump shot from 17 ft,,65,57
218,3,7:42.0,,Miami full timeout,65,57
219,3,7:42.0,,T. Johnson enters the game for D. Waiters,65,57
220,3,7:42.0,,B. Adebayo enters the game for H. Whiteside,65,57
221,3,7:32.0,,J. Richardson makes 2-pt layup from 3 ft (assist by G. Dragić),65,59
222,3,7:15.0,V. Oladipo makes 2-pt jump shot from 18 ft (assist by M. Turner),,67,59
223,3,6:53.0,,G. Dragić misses 2-pt jump shot from 17 ft,67,59
224,3,6:53.0,,Offensive rebound by Team,67,59
225,3,6:53.0,Loose ball foul by M. Turner (drawn by B. Adebayo),,67,59
226,3,6:39.0,,Turnover by T. Johnson (bad pass; steal by T. Young),67,59
227,3,6:39.0,Personal foul by G. Dragić (drawn by D. Collison),,67,59
228,3,6:29.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Collison),,70,59
229,3,6:16.0,,Turnover by J. Winslow (bad pass; steal by B. Bogdanović),70,59
230,3,6:10.0,D. Collison makes 2-pt layup from 3 ft (assist by T. Young),,72,59
231,3,5:53.0,,J. Richardson misses 3-pt jump shot from 27 ft,72,59
232,3,5:52.0,Defensive rebound by T. Young,,72,59
233,3,5:34.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by T. Young),,75,59
234,3,5:21.0,,G. Dragić misses 2-pt jump shot from 19 ft,75,59
235,3,5:20.0,,Offensive rebound by Team,75,59
236,3,5:19.0,,Loose ball foul by G. Dragić (drawn by V. Oladipo),75,59
237,3,5:19.0,,J. Johnson enters the game for J. Winslow,75,59
238,3,5:04.0,Personal foul by B. Adebayo (drawn by D. Collison),,75,59
239,3,5:04.0,,Turnover by B. Adebayo (turnover),75,59
240,3,4:57.0,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by T. Young),,77,59
241,3,4:50.0,,Miami full timeout,77,59
242,3,4:37.0,Violation by T. Young (kicked ball),,77,59
243,3,4:22.0,,B. Adebayo misses 2-pt hook shot from 7 ft,77,59
244,3,4:20.0,Defensive rebound by V. Oladipo,,77,59
245,3,4:02.0,T. Young misses 2-pt jump shot from 6 ft,,77,59
246,3,3:59.0,,Defensive rebound by J. Johnson,77,59
247,3,3:48.0,,B. Adebayo makes 2-pt dunk from 2 ft,77,61
248,3,3:33.0,V. Oladipo misses 3-pt jump shot from 25 ft,,77,61
249,3,3:30.0,,Defensive rebound by G. Dragić,77,61
250,3,3:23.0,,J. Richardson misses 3-pt jump shot from 24 ft,77,61
251,3,3:19.0,Defensive rebound by B. Bogdanović,,77,61
252,3,3:08.0,,W. Ellington enters the game for G. Dragić,77,61
253,3,3:08.0,C. Joseph enters the game for T. Young,,77,61
254,3,3:08.0,D. Sabonis enters the game for B. Bogdanović,,77,61
255,3,2:55.0,D. Collison makes 2-pt jump shot from 20 ft,,79,61
256,3,2:41.0,,J. Johnson misses 2-pt jump shot from 8 ft,79,61
257,3,2:40.0,Defensive rebound by M. Turner,,79,61
258,3,2:24.0,Turnover by D. Collison (bad pass; steal by J. Richardson),,79,61
259,3,2:18.0,,J. Richardson makes 2-pt layup from 3 ft,79,63
260,3,2:18.0,Indiana full timeout,,79,63
261,3,2:18.0,L. Stephenson enters the game for V. Oladipo,,79,63
262,3,2:03.0,M. Turner makes 3-pt jump shot from 25 ft (assist by D. Collison),,82,63
263,3,1:50.0,,J. Johnson misses 2-pt dunk from 6 ft (block by M. Turner),82,63
264,3,1:46.0,Defensive rebound by D. Collison,,82,63
265,3,1:44.0,Personal foul by J. Richardson (drawn by D. Sabonis),,82,63
266,3,1:40.0,D. Collison makes 2-pt layup from 2 ft (assist by L. Stephenson),,84,63
267,3,1:29.0,Offensive charge foul by J. Johnson (drawn by M. Turner),,84,63
268,3,1:29.0,,Turnover by J. Johnson (offensive foul),84,63
269,3,1:29.0,,D. Waiters enters the game for J. Richardson,84,63
270,3,1:19.0,M. Turner makes 2-pt jump shot from 17 ft (assist by D. Collison),,86,63
271,3,1:04.0,,B. Adebayo makes 2-pt dunk from 2 ft (assist by T. Johnson),86,65
272,3,0:47.0,D. Sabonis misses 2-pt layup from 4 ft,,86,65
273,3,0:44.0,,Defensive rebound by W. Ellington,86,65
274,3,0:35.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by J. Johnson),86,68
275,3,0:17.0,C. Joseph makes 2-pt layup from 2 ft,,88,68
276,3,0:04.0,,Turnover by T. Johnson (lost ball; steal by C. Joseph),88,68
277,3,0:02.0,C. Joseph makes 2-pt layup from 3 ft (assist by M. Turner),,90,68
278,4,11:46.0,B. Bogdanović misses 2-pt layup from 3 ft,,90,68
279,4,11:38.0,Offensive rebound by D. Sabonis,,90,68
280,4,11:37.0,D. Sabonis makes 2-pt layup from 3 ft,,92,68
281,4,11:28.0,,T. Johnson makes 2-pt jump shot from 18 ft,92,70
282,4,11:16.0,Turnover by B. Bogdanović (bad pass),,92,70
283,4,11:04.0,,Shooting foul by L. Stephenson (drawn by J. Johnson),92,70
284,4,11:04.0,,J. Johnson makes free throw 1 of 2,92,71
285,4,11:04.0,,J. Johnson misses free throw 2 of 2,92,71
286,4,11:01.0,Defensive rebound by D. Sabonis,,92,71
287,4,10:50.0,V. Oladipo makes 2-pt jump shot from 19 ft,,94,71
288,4,10:32.0,,D. Waiters misses 3-pt jump shot from 27 ft,94,71
289,4,10:28.0,Defensive rebound by V. Oladipo,,94,71
290,4,10:26.0,Turnover by V. Oladipo (bad pass; steal by D. Waiters),,94,71
291,4,10:13.0,,T. Johnson misses 2-pt jump shot from 13 ft,94,71
292,4,10:10.0,Defensive rebound by D. Sabonis,,94,71
293,4,10:06.0,Turnover by C. Joseph (lost ball; steal by D. Waiters),,94,71
294,4,10:00.0,,W. Ellington misses 3-pt jump shot from 24 ft,94,71
295,4,9:55.0,,Offensive rebound by T. Johnson,94,71
296,4,9:51.0,,K. Olynyk misses 3-pt jump shot from 26 ft,94,71
297,4,9:49.0,,Offensive rebound by D. Waiters,94,71
298,4,9:47.0,,D. Waiters misses 2-pt layup from 3 ft,94,71
299,4,9:43.0,Defensive rebound by C. Joseph,,94,71
300,4,9:28.0,C. Joseph makes 2-pt jump shot from 14 ft,,96,71
301,4,9:04.0,,T. Johnson misses 3-pt jump shot from 26 ft,96,71
302,4,9:02.0,Defensive rebound by L. Stephenson,,96,71
303,4,8:43.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Sabonis),,99,71
304,4,8:27.0,,W. Ellington makes 3-pt jump shot from 27 ft (assist by J. Johnson),99,74
305,4,8:14.0,V. Oladipo makes 2-pt layup from 3 ft,,101,74
306,4,8:06.0,,J. Johnson misses 3-pt jump shot from 26 ft,101,74
307,4,8:01.0,Defensive rebound by L. Stephenson,,101,74
308,4,7:47.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,101,74
309,4,7:43.0,,Defensive rebound by T. Johnson,101,74
310,4,7:28.0,,J. Johnson misses 3-pt jump shot from 23 ft,101,74
311,4,7:25.0,,Offensive rebound by W. Ellington,101,74
312,4,7:22.0,,K. Olynyk misses 2-pt layup from 4 ft (block by V. Oladipo),101,74
313,4,7:18.0,Defensive rebound by D. Sabonis,,101,74
314,4,7:11.0,,H. Whiteside enters the game for K. Olynyk,101,74
315,4,7:11.0,,G. Dragić enters the game for T. Johnson,101,74
316,4,7:11.0,Indiana full timeout,,101,74
317,4,6:59.0,D. Sabonis makes 2-pt layup from 3 ft (assist by V. Oladipo),,103,74
318,4,6:41.0,,D. Waiters misses 2-pt jump shot from 17 ft,103,74
319,4,6:40.0,,Offensive rebound by H. Whiteside,103,74
320,4,6:40.0,,Shooting foul by L. Stephenson (drawn by H. Whiteside),103,74
321,4,6:40.0,,H. Whiteside misses free throw 1 of 2,103,74
322,4,6:40.0,,Offensive rebound by Team,103,74
323,4,6:40.0,,H. Whiteside makes free throw 2 of 2,103,75
324,4,6:29.0,V. Oladipo makes 2-pt dunk from 2 ft (assist by D. Sabonis),,105,75
325,4,6:14.0,,G. Dragić misses 3-pt jump shot from 23 ft (block by V. Oladipo),105,75
326,4,6:14.0,,Offensive rebound by Team,105,75
