,QUARTER,TIME_REMAINING,BOSTON_ACTION,PHILADELPHIA_ACTION,BOSTON_SCORE,PHILADELPHIA_SCORE
0,1,11:56.0,,Turnover by J. Redick (bad pass; steal by J. Brown),0,0
1,1,11:28.0,J. Tatum misses 3-pt jump shot from 25 ft,,0,0
2,1,11:23.0,,Defensive rebound by Team,0,0
3,1,11:09.0,,J. Embiid misses 3-pt jump shot from 25 ft,0,0
4,1,11:05.0,Defensive rebound by K. Irving,,0,0
5,1,11:00.0,K. Irving misses 3-pt jump shot from 25 ft,,0,0
6,1,10:57.0,,Defensive rebound by R. Covington,0,0
7,1,10:49.0,,B. Simmons misses 2-pt hook shot from 8 ft,0,0
8,1,10:49.0,,Offensive rebound by D. Šarić,0,0
9,1,10:42.0,,Personal foul by J. Tatum (drawn by D. Šarić),0,0
10,1,10:33.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by J. Embiid),0,2
11,1,10:33.0,Turnover by A. Baynes (bad pass; steal by J. Embiid),,0,2
12,1,10:16.0,,Personal foul by J. Brown (drawn by J. Embiid),0,2
13,1,10:09.0,,J. Embiid misses 2-pt layup at rim,0,2
14,1,10:06.0,Defensive rebound by A. Baynes,,0,2
15,1,9:55.0,J. Brown misses 2-pt jump shot from 10 ft,,0,2
16,1,9:53.0,,Defensive rebound by R. Covington,0,2
17,1,9:45.0,,B. Simmons makes 2-pt layup at rim (assist by D. Šarić),0,4
18,1,9:29.0,K. Irving misses 2-pt jump shot from 19 ft,,0,4
19,1,9:26.0,,Defensive rebound by J. Redick,0,4
20,1,9:23.0,,J. Redick makes 3-pt jump shot from 25 ft,0,7
21,1,9:08.0,K. Irving makes 2-pt layup from 7 ft,,2,7
22,1,8:55.0,,J. Redick makes 2-pt layup from 1 ft (assist by J. Embiid),2,9
23,1,8:54.0,Boston full timeout,,2,9
24,1,8:43.0,A. Baynes makes 2-pt hook shot from 9 ft (assist by A. Horford),,4,9
25,1,8:16.0,,B. Simmons makes 2-pt jump shot from 13 ft,4,11
26,1,8:00.0,J. Brown makes 3-pt jump shot from 27 ft (assist by A. Horford),,7,11
27,1,7:48.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Embiid),7,14
28,1,7:25.0,A. Baynes makes 2-pt layup from 3 ft (assist by A. Horford),,9,14
29,1,7:13.0,,B. Simmons makes 2-pt jump shot from 3 ft,9,16
30,1,7:03.0,Shooting block foul by J. Redick (drawn by A. Baynes),,9,16
31,1,7:03.0,A. Baynes makes free throw 1 of 2,,10,16
32,1,7:03.0,,R. Holmes enters the game for J. Embiid,10,16
33,1,7:03.0,,T. McConnell enters the game for J. Redick,10,16
34,1,7:03.0,M. Smart enters the game for J. Tatum,,10,16
35,1,7:03.0,A. Baynes makes free throw 2 of 2,,11,16
36,1,6:51.0,,Turnover by D. Šarić (lost ball; steal by A. Baynes),11,16
37,1,6:40.0,Turnover by K. Irving (lost ball; steal by D. Šarić),,11,16
38,1,6:26.0,,D. Šarić misses 3-pt jump shot from 25 ft,11,16
39,1,6:23.0,Defensive rebound by J. Brown,,11,16
40,1,6:23.0,Personal foul by B. Simmons (drawn by J. Brown),,11,16
41,1,6:23.0,M. Morris enters the game for A. Horford,,11,16
42,1,6:14.0,Shooting foul by R. Holmes (drawn by J. Brown),,11,16
43,1,6:14.0,J. Brown misses free throw 1 of 2,,11,16
44,1,6:14.0,Offensive rebound by Team,,11,16
45,1,6:14.0,,J. Bayless enters the game for D. Šarić,11,16
46,1,6:14.0,A. Horford enters the game for A. Baynes,,11,16
47,1,6:14.0,J. Brown makes free throw 2 of 2,,12,16
48,1,5:52.0,,J. Bayless makes 3-pt jump shot from 22 ft (assist by T. McConnell),12,19
49,1,5:38.0,K. Irving misses 3-pt jump shot from 27 ft,,12,19
50,1,5:35.0,Offensive rebound by M. Morris,,12,19
51,1,5:30.0,M. Morris makes 3-pt jump shot from 24 ft (assist by A. Horford),,15,19
52,1,5:18.0,,R. Holmes makes 2-pt hook shot from 8 ft (assist by B. Simmons),15,21
53,1,5:02.0,Turnover by J. Brown (bad pass; steal by B. Simmons),,15,21
54,1,4:46.0,,B. Simmons misses 2-pt hook shot from 9 ft,15,21
55,1,4:43.0,Defensive rebound by A. Horford,,15,21
56,1,4:37.0,Shooting foul by R. Holmes (drawn by K. Irving),,15,21
57,1,4:37.0,K. Irving makes free throw 1 of 2,,16,21
58,1,4:37.0,K. Irving makes free throw 2 of 2,,17,21
59,1,4:16.0,,R. Covington misses 2-pt jump shot from 14 ft,17,21
60,1,4:12.0,Defensive rebound by M. Morris,,17,21
61,1,4:06.0,M. Morris misses 2-pt jump shot from 12 ft,,17,21
62,1,4:03.0,,Defensive rebound by R. Holmes,17,21
63,1,3:56.0,,R. Covington misses 3-pt jump shot from 25 ft,17,21
64,1,3:53.0,Defensive rebound by A. Horford,,17,21
65,1,3:49.0,Turnover by K. Irving (bad pass; steal by J. Bayless),,17,21
66,1,3:45.0,,B. Simmons misses 2-pt layup from 3 ft,17,21
67,1,3:43.0,Defensive rebound by K. Irving,,17,21
68,1,3:37.0,J. Brown misses 3-pt jump shot from 25 ft,,17,21
69,1,3:37.0,,Defensive rebound by R. Holmes,17,21
70,1,3:31.0,,Philadelphia full timeout,17,21
71,1,3:31.0,,T. Booker enters the game for R. Covington,17,21
72,1,3:31.0,,J. Embiid enters the game for R. Holmes,17,21
73,1,3:31.0,T. Rozier enters the game for J. Brown,,17,21
74,1,3:27.0,,B. Simmons makes 2-pt layup from 3 ft,17,23
75,1,3:10.0,K. Irving misses 3-pt jump shot from 25 ft,,17,23
76,1,3:07.0,,Defensive rebound by J. Embiid,17,23
77,1,2:49.0,,Personal foul by A. Horford (drawn by J. Embiid),17,23
78,1,2:49.0,,J. Redick enters the game for B. Simmons,17,23
79,1,2:41.0,,Offensive foul by J. Embiid (drawn by M. Morris),17,23
80,1,2:41.0,,Turnover by J. Embiid (offensive foul),17,23
81,1,2:26.0,A. Horford makes 2-pt hook shot from 12 ft,,19,23
82,1,2:10.0,,J. Bayless misses 2-pt jump shot from 11 ft,19,23
83,1,2:07.0,Defensive rebound by T. Rozier,,19,23
84,1,1:58.0,M. Morris makes 2-pt jump shot from 13 ft,,21,23
85,1,1:45.0,,T. Booker makes 2-pt layup from 1 ft (assist by J. Redick),21,25
86,1,1:36.0,K. Irving misses 2-pt layup from 2 ft (block by J. Embiid),,21,25
87,1,1:34.0,,Defensive rebound by T. McConnell,21,25
88,1,1:30.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by T. McConnell),21,28
89,1,1:06.0,A. Horford misses 2-pt hook shot from 8 ft,,21,28
90,1,1:03.0,,Defensive rebound by J. Redick,21,28
91,1,0:47.0,,J. Embiid misses 2-pt jump shot from 15 ft,21,28
92,1,0:44.0,Defensive rebound by M. Morris,,21,28
93,1,0:33.0,M. Smart misses 2-pt jump shot from 13 ft,,21,28
94,1,0:29.0,,Defensive rebound by T. Booker,21,28
95,1,0:09.0,,J. Embiid misses 2-pt hook shot from 7 ft,21,28
96,1,0:07.0,Defensive rebound by M. Morris,,21,28
97,1,0:02.0,M. Morris makes 2-pt jump shot from 12 ft (assist by K. Irving),,23,28
98,1,0:00.0,,T. McConnell misses 2-pt jump shot from 15 ft,23,28
99,1,0:00.0,,Offensive rebound by Team,23,28
100,2,11:37.0,M. Morris misses 3-pt jump shot from 25 ft,,23,28
101,2,11:33.0,Offensive rebound by D. Theis,,23,28
102,2,11:30.0,T. Rozier misses 3-pt jump shot from 26 ft,,23,28
103,2,11:26.0,,Defensive rebound by T. McConnell,23,28
104,2,11:22.0,,T. McConnell makes 2-pt jump shot from 15 ft,23,30
105,2,11:04.0,,Offensive charge foul by M. Smart (drawn by J. Redick),23,30
106,2,11:04.0,Turnover by M. Smart (offensive foul),,23,30
107,2,10:52.0,,J. Embiid makes 2-pt jump shot from 4 ft,23,32
108,2,10:52.0,,Shooting foul by D. Theis (drawn by J. Embiid),23,32
109,2,10:52.0,A. Baynes enters the game for D. Theis,,23,32
110,2,10:52.0,,J. Embiid makes free throw 1 of 1,23,33
111,2,10:39.0,A. Baynes misses 2-pt jump shot from 20 ft,,23,33
112,2,10:37.0,,Defensive rebound by J. Embiid,23,33
113,2,10:34.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by T. McConnell),23,36
114,2,10:19.0,J. Tatum makes 2-pt jump shot from 17 ft,,25,36
115,2,10:03.0,,T. McConnell makes 2-pt jump shot from 8 ft,25,38
116,2,9:39.0,T. Rozier makes 2-pt layup from 3 ft,,27,38
117,2,9:30.0,,T. McConnell makes 2-pt layup from 5 ft,27,40
118,2,9:19.0,Turnover by M. Smart (traveling),,27,40
119,2,9:04.0,,J. Embiid makes 2-pt jump shot from 8 ft,27,42
120,2,8:52.0,M. Morris misses 3-pt jump shot from 25 ft,,27,42
121,2,8:48.0,,Defensive rebound by J. Redick,27,42
122,2,8:41.0,,Personal foul by A. Baynes (drawn by J. Embiid),27,42
123,2,8:41.0,,J. Bayless enters the game for T. Luwawu-Cabarrot,27,42
124,2,8:41.0,,R. Covington enters the game for D. Šarić,27,42
125,2,8:41.0,,R. Holmes enters the game for T. McConnell,27,42
126,2,8:41.0,,B. Simmons enters the game for J. Embiid,27,42
127,2,8:41.0,S. Larkin enters the game for M. Smart,,27,42
128,2,8:28.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by B. Simmons),27,45
129,2,8:28.0,Boston full timeout,,27,45
130,2,8:28.0,,D. Šarić enters the game for J. Redick,27,45
131,2,8:19.0,T. Rozier misses 3-pt jump shot from 24 ft,,27,45
132,2,8:16.0,Offensive rebound by M. Morris,,27,45
133,2,8:12.0,Personal foul by R. Covington (drawn by J. Tatum),,27,45
134,2,8:05.0,Turnover by S. Larkin (bad pass; steal by R. Holmes),,27,45
135,2,7:50.0,,R. Covington makes 2-pt layup from 2 ft,27,47
136,2,7:34.0,M. Morris misses 3-pt jump shot from 26 ft,,27,47
137,2,7:33.0,Offensive rebound by Team,,27,47
138,2,7:33.0,D. Theis enters the game for M. Morris,,27,47
139,2,7:33.0,J. Brown enters the game for A. Baynes,,27,47
140,2,7:23.0,J. Tatum misses 2-pt layup at rim,,27,47
141,2,7:19.0,,Defensive rebound by R. Holmes,27,47
142,2,7:18.0,,Turnover by R. Holmes (bad pass; steal by D. Theis),27,47
143,2,7:17.0,Turnover by J. Tatum (bad pass),,27,47
144,2,7:09.0,,Personal foul by S. Larkin (drawn by J. Bayless),27,47
145,2,6:56.0,,B. Simmons makes 2-pt jump shot from 17 ft,27,49
146,2,6:41.0,T. Rozier misses 2-pt layup from 3 ft,,27,49
147,2,6:38.0,,Defensive rebound by R. Holmes,27,49
148,2,6:38.0,K. Irving enters the game for J. Tatum,,27,49
149,2,6:38.0,A. Horford enters the game for T. Rozier,,27,49
150,2,6:32.0,,R. Covington misses 3-pt jump shot from 25 ft,27,49
151,2,6:28.0,Defensive rebound by K. Irving,,27,49
152,2,6:16.0,Shooting foul by R. Holmes (drawn by J. Brown),,27,49
153,2,6:16.0,J. Brown makes free throw 1 of 2,,28,49
154,2,6:16.0,J. Brown misses free throw 2 of 2,,28,49
155,2,6:14.0,Offensive rebound by D. Theis,,28,49
156,2,6:03.0,J. Brown makes 3-pt jump shot from 22 ft (assist by K. Irving),,31,49
157,2,5:44.0,,Turnover by R. Covington (bad pass; steal by J. Brown),31,49
158,2,5:37.0,K. Irving misses 2-pt jump shot from 11 ft,,31,49
159,2,5:33.0,,Defensive rebound by B. Simmons,31,49
160,2,5:22.0,,B. Simmons makes 2-pt jump shot from 11 ft,31,51
161,2,4:56.0,K. Irving makes 2-pt layup from 5 ft,,33,51
162,2,4:37.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by B. Simmons),33,54
163,2,4:23.0,K. Irving misses 3-pt jump shot from 24 ft (block by B. Simmons),,33,54
164,2,4:20.0,,Defensive rebound by J. Bayless,33,54
165,2,4:06.0,,D. Šarić misses 2-pt jump shot from 14 ft,33,54
166,2,4:03.0,Defensive rebound by K. Irving,,33,54
167,2,4:00.0,D. Theis makes 2-pt dunk from 2 ft (assist by K. Irving),,35,54
168,2,4:00.0,Shooting foul by J. Bayless (drawn by D. Theis),,35,54
169,2,4:00.0,,J. Embiid enters the game for J. Bayless,35,54
170,2,4:00.0,,J. Redick enters the game for R. Holmes,35,54
171,2,4:00.0,D. Theis misses free throw 1 of 1,,35,54
172,2,3:58.0,,Defensive rebound by J. Embiid,35,54
173,2,3:43.0,,D. Šarić misses 2-pt layup from 1 ft,35,54
174,2,3:41.0,Defensive rebound by D. Theis,,35,54
175,2,3:36.0,A. Horford misses 2-pt jump shot from 12 ft,,35,54
176,2,3:33.0,,Defensive rebound by J. Embiid,35,54
177,2,3:24.0,,Turnover by R. Covington (traveling),35,54
178,2,3:24.0,,T. Booker enters the game for D. Šarić,35,54
179,2,3:06.0,A. Horford misses 3-pt jump shot from 25 ft,,35,54
180,2,3:05.0,Offensive rebound by J. Brown,,35,54
181,2,3:04.0,J. Brown makes 2-pt layup from 1 ft,,37,54
182,2,3:03.0,,Philadelphia full timeout,37,54
183,2,2:50.0,,Turnover by R. Covington (bad pass),37,54
184,2,2:44.0,,Violation by T. Booker (kicked ball),37,54
185,2,2:37.0,K. Irving makes 3-pt jump shot from 27 ft (assist by A. Horford),,40,54
186,2,2:25.0,,Shooting foul by D. Theis (drawn by J. Redick),40,54
187,2,2:25.0,,J. Redick makes free throw 1 of 2,40,55
188,2,2:25.0,,J. Redick makes free throw 2 of 2,40,56
189,2,2:12.0,K. Irving makes 2-pt jump shot from 12 ft,,42,56
190,2,1:53.0,,Turnover by J. Redick (lost ball; steal by D. Theis),42,56
191,2,1:49.0,J. Brown makes 2-pt layup from 2 ft (assist by K. Irving),,44,56
192,2,1:34.0,,Personal foul by J. Brown (drawn by J. Embiid),44,56
193,2,1:34.0,,J. Embiid misses free throw 1 of 2,44,56
194,2,1:34.0,,Offensive rebound by Team,44,56
195,2,1:34.0,,J. Embiid makes free throw 2 of 2,44,57
196,2,1:18.0,K. Irving misses 2-pt layup from 2 ft,,44,57
197,2,1:16.0,Offensive rebound by K. Irving,,44,57
198,2,1:16.0,K. Irving misses 2-pt layup from 3 ft (block by B. Simmons),,44,57
199,2,1:14.0,,Defensive rebound by B. Simmons,44,57
200,2,1:07.0,,T. Booker misses 2-pt layup from 3 ft,44,57
201,2,1:05.0,Defensive rebound by A. Horford,,44,57
202,2,0:59.0,A. Horford misses 3-pt jump shot from 25 ft,,44,57
203,2,0:58.0,Offensive rebound by Team,,44,57
204,2,0:58.0,,Loose ball foul by T. Booker (drawn by D. Theis),44,57
205,2,0:58.0,M. Smart enters the game for S. Larkin,,44,57
