,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,OKLAHOMA CITY_ACTION,LA CLIPPERS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:37.0,S. Thornwell makes 2-pt jump shot from 12 ft (assist by B. Griffin),,2,0
1,1,11:09.0,,D. Johnson misses 2-pt jump shot from 13 ft,2,0
2,1,11:07.0,Defensive rebound by W. Johnson,,2,0
3,1,10:58.0,W. Johnson misses 3-pt jump shot from 23 ft,,2,0
4,1,10:55.0,,Defensive rebound by C. Anthony,2,0
5,1,10:47.0,,C. Anthony misses 3-pt jump shot from 25 ft,2,0
6,1,10:44.0,Defensive rebound by D. Jordan,,2,0
7,1,10:35.0,Def 3 sec tech foul by D. Johnson,,2,0
8,1,10:35.0,W. Johnson makes technical free throw,,3,0
9,1,10:23.0,W. Johnson makes 3-pt jump shot from 26 ft (assist by A. Rivers),,6,0
10,1,10:13.0,,Offensive foul by P. George (drawn by S. Thornwell),6,0
11,1,10:13.0,,Turnover by P. George (offensive foul),6,0
12,1,9:57.0,B. Griffin misses 2-pt jump shot from 19 ft (block by A. Roberson),,6,0
13,1,9:54.0,,Defensive rebound by P. George,6,0
14,1,9:48.0,,Personal foul by D. Jordan (drawn by P. George),6,0
15,1,9:34.0,,P. George misses 2-pt jump shot from 11 ft (block by S. Thornwell),6,0
16,1,9:31.0,,Offensive rebound by A. Roberson,6,0
17,1,9:30.0,,A. Roberson misses 2-pt jump shot from 16 ft,6,0
18,1,9:27.0,Defensive rebound by D. Jordan,,6,0
19,1,9:16.0,B. Griffin misses 3-pt jump shot from 24 ft,,6,0
20,1,9:10.0,Offensive rebound by D. Jordan,,6,0
21,1,9:10.0,D. Jordan misses 2-pt layup at rim,,6,0
22,1,9:10.0,,Defensive rebound by R. Westbrook,6,0
23,1,9:08.0,,Personal foul by S. Thornwell (drawn by R. Westbrook),6,0
24,1,9:01.0,,Def 3 sec tech foul by D. Jordan,6,0
25,1,9:01.0,,C. Anthony misses technical free throw,6,0
26,1,9:01.0,,Offensive rebound by Team,6,0
27,1,8:53.0,,R. Westbrook makes 2-pt layup from 1 ft,6,2
28,1,8:53.0,,Shooting foul by B. Griffin (drawn by R. Westbrook),6,2
29,1,8:53.0,,R. Westbrook makes free throw 1 of 1,6,3
30,1,8:32.0,Turnover by D. Jordan (bad pass; steal by P. George),,6,3
31,1,8:24.0,,R. Westbrook makes 2-pt layup at rim (assist by C. Anthony),6,5
32,1,8:24.0,,Shooting foul by A. Rivers (drawn by R. Westbrook),6,5
33,1,8:24.0,,R. Westbrook makes free throw 1 of 1,6,6
34,1,8:12.0,A. Rivers makes 2-pt jump shot from 6 ft,,8,6
35,1,8:02.0,,P. George makes 3-pt jump shot from 23 ft (assist by D. Johnson),8,9
36,1,7:44.0,Shooting foul by A. Roberson (drawn by A. Rivers),,8,9
37,1,7:44.0,A. Rivers misses free throw 1 of 2,,8,9
38,1,7:44.0,Offensive rebound by Team,,8,9
39,1,7:44.0,A. Rivers makes free throw 2 of 2,,9,9
40,1,7:36.0,,P. George makes 2-pt jump shot from 15 ft (assist by R. Westbrook),9,11
41,1,7:20.0,Shooting foul by A. Roberson (drawn by W. Johnson),,9,11
42,1,7:20.0,W. Johnson makes free throw 1 of 2,,10,11
43,1,7:20.0,,Á. Abrines enters the game for A. Roberson,10,11
44,1,7:20.0,W. Johnson misses free throw 2 of 2,,10,11
45,1,7:18.0,,Defensive rebound by C. Anthony,10,11
46,1,7:00.0,,Á. Abrines makes 3-pt jump shot from 25 ft (assist by C. Anthony),10,14
47,1,6:50.0,Turnover by S. Thornwell (bad pass; steal by R. Westbrook),,10,14
48,1,6:46.0,LA Clippers full timeout,,10,14
49,1,6:46.0,L. Williams enters the game for S. Thornwell,,10,14
50,1,6:45.0,,R. Westbrook makes 2-pt layup from 1 ft,10,16
51,1,6:29.0,Turnover by W. Johnson (bad pass; steal by R. Westbrook),,10,16
52,1,6:28.0,,R. Westbrook makes 2-pt dunk at rim,10,18
53,1,6:09.0,A. Rivers misses 3-pt jump shot from 26 ft,,10,18
54,1,6:07.0,,Defensive rebound by Á. Abrines,10,18
55,1,5:53.0,,P. George makes 3-pt jump shot from 23 ft (assist by C. Anthony),10,21
56,1,5:41.0,L. Williams misses 3-pt jump shot from 26 ft,,10,21
57,1,5:39.0,,Defensive rebound by Á. Abrines,10,21
58,1,5:33.0,,C. Anthony misses 2-pt layup from 1 ft,10,21
59,1,5:30.0,,Offensive rebound by C. Anthony,10,21
60,1,5:30.0,,C. Anthony makes 2-pt layup at rim,10,23
61,1,5:13.0,A. Rivers makes 3-pt jump shot from 25 ft,,13,23
62,1,4:54.0,,Personal foul by A. Rivers (drawn by Á. Abrines),13,23
63,1,4:54.0,,Á. Abrines makes free throw 1 of 2,13,24
64,1,4:54.0,,A. Roberson enters the game for P. George,13,24
65,1,4:54.0,J. Evans enters the game for A. Rivers,,13,24
66,1,4:54.0,,Á. Abrines makes free throw 2 of 2,13,25
67,1,4:39.0,Offensive foul by D. Jordan (drawn by D. Johnson),,13,25
68,1,4:39.0,Turnover by D. Jordan (offensive foul),,13,25
69,1,4:39.0,,J. Grant enters the game for D. Johnson,13,25
70,1,4:39.0,W. Reed enters the game for D. Jordan,,13,25
71,1,4:28.0,,Turnover by J. Grant (lost ball; steal by B. Griffin),13,25
72,1,4:22.0,Turnover by J. Evans (bad pass; steal by R. Westbrook),,13,25
73,1,4:18.0,,R. Westbrook misses 2-pt dunk from 1 ft,13,25
74,1,4:16.0,,A. Roberson makes 2-pt layup at rim,13,27
75,1,4:13.0,,Offensive rebound by A. Roberson,13,27
76,1,3:59.0,L. Williams misses 2-pt jump shot from 7 ft,,13,27
77,1,3:59.0,Offensive rebound by W. Reed,,13,27
78,1,3:57.0,W. Reed makes 2-pt layup at rim,,15,27
79,1,3:39.0,,R. Westbrook misses 2-pt jump shot from 19 ft,15,27
80,1,3:39.0,Defensive rebound by W. Johnson,,15,27
81,1,3:29.0,Personal foul by C. Anthony (drawn by B. Griffin),,15,27
82,1,3:29.0,,R. Felton enters the game for R. Westbrook,15,27
83,1,3:29.0,,P. George enters the game for C. Anthony,15,27
84,1,3:29.0,,P. Patterson enters the game for A. Roberson,15,27
85,1,3:21.0,Shooting foul by P. Patterson (drawn by J. Evans),,15,27
86,1,3:21.0,J. Evans misses free throw 1 of 2,,15,27
87,1,3:21.0,Offensive rebound by Team,,15,27
88,1,3:21.0,J. Evans makes free throw 2 of 2,,16,27
89,1,2:57.0,,J. Grant misses 2-pt layup from 1 ft,16,27
