,QUARTER,TIME_REMAINING,UTAH_ACTION,CHARLOTTE_ACTION,UTAH_SCORE,CHARLOTTE_SCORE
0,1,11:45.0,,N. Batum makes 2-pt jump shot from 19 ft (assist by K. Walker),0,2
1,1,11:30.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by D. Favors),,3,2
2,1,11:12.0,,Turnover by K. Walker (bad pass),3,2
3,1,10:59.0,Turnover by D. Mitchell (out of bounds lost ball),,3,2
4,1,10:48.0,,M. Williams misses 3-pt jump shot from 24 ft,3,2
5,1,10:44.0,Defensive rebound by J. Ingles,,3,2
6,1,10:23.0,R. Rubio misses 2-pt jump shot from 15 ft,,3,2
7,1,10:19.0,,Defensive rebound by D. Howard,3,2
8,1,10:14.0,,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by N. Batum),3,4
9,1,9:59.0,J. Ingles misses 2-pt jump shot from 7 ft,,3,4
10,1,9:59.0,Offensive rebound by D. Favors,,3,4
11,1,9:59.0,Shooting foul by M. Williams (drawn by D. Favors),,3,4
12,1,9:59.0,D. Favors misses free throw 1 of 2,,3,4
13,1,9:59.0,Offensive rebound by Team,,3,4
14,1,9:59.0,D. Favors makes free throw 2 of 2,,4,4
15,1,9:49.0,,D. Howard makes 2-pt dunk at rim (assist by K. Walker),4,6
16,1,9:33.0,D. Mitchell makes 3-pt jump shot from 26 ft (assist by D. Favors),,7,6
17,1,9:19.0,,Shooting foul by T. Sefolosha (drawn by M. Kidd-Gilchrist),7,6
18,1,9:19.0,,M. Kidd-Gilchrist makes free throw 1 of 2,7,7
19,1,9:19.0,,M. Kidd-Gilchrist makes free throw 2 of 2,7,8
20,1,9:08.0,D. Mitchell misses 2-pt jump shot from 14 ft,,7,8
21,1,9:06.0,,Defensive rebound by M. Williams,7,8
22,1,8:54.0,,N. Batum misses 3-pt jump shot from 22 ft,7,8
23,1,8:49.0,,Offensive rebound by M. Williams,7,8
24,1,8:49.0,,M. Williams makes 2-pt layup at rim,7,10
25,1,8:30.0,Turnover by R. Rubio (traveling),,7,10
26,1,8:22.0,,Turnover by N. Batum (bad pass; steal by J. Ingles),7,10
27,1,8:17.0,Turnover by T. Sefolosha (lost ball; steal by M. Williams),,7,10
28,1,8:06.0,,M. Kidd-Gilchrist misses 2-pt layup from 1 ft (block by D. Favors),7,10
29,1,8:03.0,Defensive rebound by T. Sefolosha,,7,10
30,1,7:53.0,D. Mitchell misses 2-pt jump shot from 8 ft,,7,10
31,1,7:50.0,Offensive rebound by T. Sefolosha,,7,10
