,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,LA LAKERS_ACTION,MILWAUKEE_SCORE,LA LAKERS_SCORE
0,1,11:39.0,,Turnover by B. Ingram (bad pass; steal by T. Zeller),0,0
1,1,11:19.0,E. Bledsoe makes 3-pt jump shot from 23 ft,,3,0
2,1,11:01.0,,K. Kuzma makes 3-pt jump shot from 25 ft,3,3
3,1,10:43.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,3,3
4,1,10:40.0,Offensive rebound by G. Antetokounmpo,,3,3
5,1,10:38.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,5,3
6,1,10:15.0,,Turnover by K. Kuzma (bad pass; steal by E. Bledsoe),5,3
7,1,10:11.0,T. Snell makes 2-pt layup from 1 ft (assist by E. Bledsoe),,7,3
8,1,10:11.0,,LA Lakers full timeout,7,3
9,1,9:55.0,,B. Lopez makes 2-pt layup from 2 ft (assist by B. Ingram),7,5
10,1,9:55.0,,Shooting foul by T. Zeller (drawn by B. Lopez),7,5
11,1,9:55.0,,B. Lopez misses free throw 1 of 1,7,5
12,1,9:55.0,Defensive rebound by G. Antetokounmpo,,7,5
13,1,9:42.0,E. Bledsoe misses 2-pt jump shot from 17 ft,,7,5
14,1,9:38.0,,Defensive rebound by K. Kuzma,7,5
15,1,9:32.0,,Turnover by J. Randle (bad pass; steal by K. Middleton),7,5
16,1,9:29.0,Turnover by K. Middleton (bad pass; steal by K. Kuzma),,7,5
17,1,9:25.0,,B. Ingram makes 2-pt layup from 1 ft,7,7
18,1,9:11.0,G. Antetokounmpo misses 2-pt hook shot from 15 ft,,7,7
19,1,9:08.0,,Defensive rebound by J. Randle,7,7
20,1,9:02.0,,Personal foul by E. Bledsoe (drawn by B. Ingram),7,7
21,1,8:56.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),7,10
22,1,8:35.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),,9,10
23,1,8:35.0,Shooting foul by B. Lopez (drawn by G. Antetokounmpo),,9,10
