,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MIAMI_ACTION,SAN ANTONIO_SCORE,MIAMI_SCORE
0,1,11:40.0,Personal foul by B. Adebayo (drawn by L. Aldridge),,0,0
1,1,11:29.0,P. Gasol makes 2-pt jump shot from 8 ft (assist by D. Murray),,2,0
2,1,11:04.0,,G. Dragić makes 2-pt layup from 3 ft,2,2
3,1,10:39.0,L. Aldridge misses 2-pt jump shot from 18 ft,,2,2
4,1,10:37.0,Offensive rebound by Team,,2,2
5,1,10:35.0,P. Gasol misses 2-pt layup at rim,,2,2
6,1,10:27.0,Offensive rebound by P. Gasol,,2,2
7,1,10:27.0,P. Gasol makes 2-pt layup at rim,,4,2
8,1,10:21.0,,J. Johnson misses 3-pt jump shot from 25 ft,4,2
9,1,10:18.0,Defensive rebound by K. Anderson,,4,2
10,1,10:08.0,L. Aldridge makes 2-pt hook shot from 5 ft,,6,2
11,1,9:50.0,,J. Richardson misses 3-pt jump shot from 25 ft,6,2
12,1,9:47.0,Defensive rebound by L. Aldridge,,6,2
13,1,9:39.0,D. Murray misses 2-pt layup from 1 ft (block by B. Adebayo),,6,2
14,1,9:33.0,,Defensive rebound by D. Waiters,6,2
15,1,9:32.0,,Personal foul by D. Murray (drawn by D. Waiters),6,2
16,1,9:17.0,,D. Waiters makes 3-pt jump shot from 25 ft (assist by J. Johnson),6,5
17,1,9:02.0,K. Anderson misses 2-pt jump shot from 7 ft,,6,5
18,1,8:58.0,Offensive rebound by K. Anderson,,6,5
19,1,8:57.0,K. Anderson makes 2-pt layup from 7 ft,,8,5
20,1,8:49.0,,G. Dragić makes 2-pt jump shot from 17 ft,8,7
21,1,8:33.0,L. Aldridge makes 2-pt jump shot from 13 ft,,10,7
22,1,8:13.0,,J. Johnson misses 2-pt jump shot from 8 ft,10,7
23,1,8:10.0,Defensive rebound by D. Green,,10,7
24,1,8:09.0,Shooting foul by J. Richardson (drawn by P. Gasol),,10,7
25,1,8:09.0,P. Gasol misses free throw 1 of 2,,10,7
26,1,8:09.0,Offensive rebound by Team,,10,7
27,1,8:09.0,P. Gasol makes free throw 2 of 2,,11,7
28,1,7:59.0,,G. Dragić makes 2-pt jump shot from 19 ft,11,9
29,1,7:50.0,Personal foul by G. Dragić (drawn by D. Murray),,11,9
30,1,7:43.0,K. Anderson makes 2-pt jump shot from 5 ft,,13,9
31,1,7:30.0,,G. Dragić makes 2-pt jump shot from 9 ft,13,11
32,1,7:10.0,L. Aldridge makes 3-pt jump shot from 23 ft (assist by D. Green),,16,11
33,1,6:57.0,,J. Johnson misses 2-pt layup from 1 ft,16,11
