,QUARTER,TIME_REMAINING,BOSTON_ACTION,GOLDEN STATE_ACTION,BOSTON_SCORE,GOLDEN STATE_SCORE
0,1,11:40.0,J. Brown makes 2-pt dunk at rim (assist by A. Horford),,2,0
1,1,11:23.0,,K. Thompson misses 2-pt jump shot from 18 ft,2,0
2,1,11:21.0,Defensive rebound by J. Brown,,2,0
3,1,11:14.0,A. Horford makes 3-pt jump shot from 26 ft (assist by K. Irving),,5,0
4,1,11:00.0,,S. Curry makes 2-pt jump shot from 11 ft,5,2
5,1,10:45.0,J. Tatum misses 2-pt jump shot from 15 ft (block by K. Thompson),,5,2
6,1,10:45.0,,Defensive rebound by S. Curry,5,2
7,1,10:39.0,,K. Thompson makes 2-pt layup from 1 ft (assist by S. Curry),5,4
8,1,10:25.0,J. Brown makes 3-pt jump shot from 26 ft (assist by A. Horford),,8,4
9,1,10:11.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by D. Green),8,7
10,1,9:54.0,A. Horford misses 2-pt jump shot from 10 ft,,8,7
11,1,9:51.0,,Defensive rebound by Z. Pachulia,8,7
12,1,9:47.0,,D. Green misses 2-pt layup from 1 ft,8,7
13,1,9:43.0,Defensive rebound by A. Baynes,,8,7
14,1,9:25.0,K. Irving makes 2-pt layup from 2 ft,,10,7
15,1,9:17.0,,D. Green makes 3-pt jump shot from 25 ft (assist by S. Curry),10,10
16,1,9:04.0,Shooting foul by S. Curry (drawn by K. Irving),,10,10
17,1,9:04.0,K. Irving makes free throw 1 of 3,,11,10
18,1,9:04.0,K. Irving misses free throw 2 of 3,,11,10
19,1,9:04.0,Offensive rebound by Team,,11,10
20,1,9:04.0,K. Irving makes free throw 3 of 3,,12,10
21,1,8:58.0,,K. Durant misses 3-pt jump shot from 24 ft (block by A. Horford),12,10
22,1,8:52.0,Defensive rebound by J. Tatum,,12,10
23,1,8:41.0,Shooting foul by K. Durant (drawn by J. Brown),,12,10
24,1,8:41.0,J. Brown makes free throw 1 of 2,,13,10
25,1,8:41.0,J. Brown makes free throw 2 of 2,,14,10
26,1,8:35.0,,S. Curry misses 3-pt jump shot from 25 ft,14,10
27,1,8:29.0,Defensive rebound by J. Tatum,,14,10
28,1,8:17.0,A. Horford makes 2-pt jump shot from 18 ft,,16,10
29,1,7:58.0,,K. Thompson misses 2-pt jump shot from 16 ft (block by A. Horford),16,10
