,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,INDIANA_ACTION,SAN ANTONIO_SCORE,INDIANA_SCORE
0,1,11:44.0,D. Murray misses 2-pt layup at rim (block by D. Sabonis),,0,0
1,1,11:40.0,,Defensive rebound by D. Sabonis,0,0
2,1,11:23.0,,B. Bogdanović misses 2-pt jump shot from 2 ft (block by K. Anderson),0,0
3,1,11:22.0,,Offensive rebound by Team,0,0
4,1,11:14.0,,V. Oladipo misses 2-pt jump shot from 18 ft,0,0
5,1,11:12.0,Defensive rebound by D. Murray,,0,0
6,1,11:01.0,L. Aldridge makes 2-pt jump shot from 14 ft,,2,0
7,1,10:50.0,,T. Young makes 3-pt jump shot from 26 ft (assist by D. Collison),2,3
8,1,10:29.0,D. Green makes 3-pt jump shot from 27 ft (assist by P. Gasol),,5,3
9,1,10:12.0,,V. Oladipo makes 2-pt layup from 3 ft,5,5
10,1,9:55.0,D. Murray misses 2-pt jump shot from 10 ft,,5,5
11,1,9:52.0,,Defensive rebound by D. Collison,5,5
12,1,9:45.0,,D. Sabonis makes 2-pt hook shot from 2 ft,5,7
13,1,9:25.0,L. Aldridge misses 2-pt jump shot from 16 ft,,5,7
14,1,9:22.0,,Defensive rebound by Team,5,7
15,1,9:05.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by D. Collison),5,9
16,1,8:53.0,Personal foul by D. Sabonis (drawn by P. Gasol),,5,9
17,1,8:40.0,D. Green misses 2-pt jump shot from 17 ft,,5,9
18,1,8:36.0,,Defensive rebound by D. Sabonis,5,9
19,1,8:31.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by V. Oladipo),5,12
20,1,8:30.0,San Antonio full timeout,,5,12
21,1,8:30.0,B. Paul enters the game for K. Anderson,,5,12
22,1,8:30.0,P. Mills enters the game for D. Murray,,5,12
23,1,8:30.0,M. Ginóbili enters the game for D. Green,,5,12
24,1,8:30.0,R. Gay enters the game for P. Gasol,,5,12
25,1,8:11.0,Turnover by B. Paul (out of bounds lost ball),,5,12
26,1,7:58.0,,V. Oladipo makes 2-pt jump shot from 13 ft (assist by D. Sabonis),5,14
27,1,7:38.0,R. Gay misses 2-pt jump shot from 18 ft,,5,14
28,1,7:35.0,,Defensive rebound by D. Sabonis,5,14
29,1,7:26.0,,T. Young misses 3-pt jump shot from 25 ft,5,14
