,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MIAMI_ACTION,MEMPHIS_SCORE,MIAMI_SCORE
0,1,11:46.0,Violation by J. Green (kicked ball),,0,0
1,1,11:32.0,,J. Richardson misses 2-pt jump shot from 20 ft,0,0
2,1,11:29.0,Defensive rebound by D. Davis,,0,0
3,1,11:24.0,D. Davis misses 2-pt jump shot from 8 ft,,0,0
4,1,11:21.0,,Defensive rebound by J. Winslow,0,0
5,1,11:19.0,,Shooting foul by D. Brooks (drawn by T. Johnson),0,0
6,1,11:19.0,,T. Johnson makes free throw 1 of 2,0,1
7,1,11:19.0,,T. Johnson makes free throw 2 of 2,0,2
8,1,10:54.0,J. Green makes 2-pt jump shot from 12 ft,,2,2
9,1,10:42.0,,H. Whiteside misses 2-pt hook shot from 7 ft,2,2
10,1,10:39.0,Defensive rebound by J. Green,,2,2
11,1,10:27.0,Shooting foul by J. Richardson (drawn by D. Davis),,2,2
12,1,10:27.0,D. Davis makes free throw 1 of 2,,3,2
13,1,10:27.0,D. Davis makes free throw 2 of 2,,4,2
14,1,10:19.0,,Personal foul by A. Harrison (drawn by T. Johnson),4,2
15,1,10:12.0,,H. Whiteside misses 2-pt layup from 1 ft (block by J. Martin),4,2
16,1,10:12.0,,Offensive rebound by Team,4,2
17,1,10:07.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by G. Dragić),4,4
18,1,9:49.0,Turnover by A. Harrison (bad pass),,4,4
19,1,9:43.0,,G. Dragić makes 3-pt jump shot from 24 ft,4,7
20,1,9:23.0,D. Davis makes 2-pt jump shot from 13 ft (assist by D. Brooks),,6,7
21,1,9:09.0,,G. Dragić makes 2-pt layup from 1 ft,6,9
22,1,8:52.0,D. Brooks misses 2-pt jump shot from 13 ft,,6,9
23,1,8:49.0,,Defensive rebound by G. Dragić,6,9
24,1,8:43.0,,H. Whiteside misses 2-pt jump shot from 17 ft,6,9
25,1,8:39.0,Defensive rebound by J. Green,,6,9
26,1,8:33.0,A. Harrison misses 2-pt jump shot from 5 ft,,6,9
27,1,8:31.0,,Defensive rebound by H. Whiteside,6,9
28,1,8:25.0,,Shooting foul by D. Davis (drawn by T. Johnson),6,9
29,1,8:25.0,,T. Johnson makes free throw 1 of 2,6,10
30,1,8:25.0,,T. Johnson makes free throw 2 of 2,6,11
31,1,8:13.0,A. Harrison makes 2-pt jump shot from 8 ft,,8,11
32,1,8:00.0,,T. Johnson makes 3-pt jump shot from 23 ft (assist by G. Dragić),8,14
33,1,7:48.0,D. Davis makes 2-pt jump shot from 14 ft (assist by D. Brooks),,10,14
34,1,7:36.0,,G. Dragić misses 3-pt jump shot from 25 ft,10,14
35,1,7:33.0,Defensive rebound by D. Davis,,10,14
36,1,7:29.0,A. Harrison makes 2-pt layup from 5 ft,,12,14
37,1,7:29.0,Shooting foul by H. Whiteside (drawn by A. Harrison),,12,14
38,1,7:29.0,A. Harrison makes free throw 1 of 1,,13,14
39,1,7:16.0,,Turnover by T. Johnson (turnover; steal by D. Brooks),13,14
40,1,7:05.0,D. Davis misses 2-pt jump shot from 13 ft,,13,14
41,1,7:00.0,Offensive rebound by J. Green,,13,14
42,1,7:00.0,J. Green makes 2-pt layup from 1 ft,,15,14
