,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,BOSTON_ACTION,PHILADELPHIA_SCORE,BOSTON_SCORE
0,1,11:42.0,D. Šarić misses 2-pt jump shot from 19 ft,,0,0
1,1,11:37.0,,Defensive rebound by J. Tatum,0,0
2,1,11:24.0,,Turnover by A. Horford (bad pass),0,0
3,1,11:08.0,B. Simmons makes 2-pt jump shot from 12 ft (assist by A. Johnson),,2,0
4,1,10:43.0,,K. Irving makes 2-pt layup from 2 ft,2,2
5,1,10:34.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by B. Simmons),,5,2
6,1,10:16.0,,A. Baynes misses 2-pt jump shot from 20 ft,5,2
7,1,10:13.0,Defensive rebound by A. Johnson,,5,2
8,1,10:06.0,B. Simmons makes 2-pt hook shot from 10 ft,,7,2
9,1,9:58.0,,Personal foul by B. Simmons (drawn by A. Horford),7,2
10,1,9:51.0,,Turnover by A. Horford (out of bounds lost ball),7,2
11,1,9:32.0,D. Šarić misses 2-pt hook shot from 5 ft,,7,2
12,1,9:29.0,Offensive rebound by A. Johnson,,7,2
13,1,9:28.0,A. Johnson makes 2-pt hook shot from 2 ft,,9,2
14,1,9:18.0,,K. Irving makes 3-pt jump shot from 28 ft,9,5
15,1,9:00.0,B. Simmons misses 2-pt jump shot from 10 ft,,9,5
16,1,8:57.0,,Defensive rebound by A. Baynes,9,5
17,1,8:54.0,,A. Horford makes 3-pt jump shot from 27 ft (assist by J. Brown),9,8
18,1,8:50.0,Philadelphia full timeout,,9,8
19,1,8:35.0,B. Simmons misses 2-pt hook shot from 2 ft,,9,8
20,1,8:31.0,Offensive rebound by D. Šarić,,9,8
21,1,8:28.0,R. Covington misses 3-pt jump shot from 25 ft,,9,8
22,1,8:28.0,,Defensive rebound by Team,9,8
23,1,8:28.0,R. Holmes enters the game for A. Johnson,,9,8
24,1,8:12.0,,K. Irving misses 2-pt hook shot from 5 ft,9,8
25,1,8:12.0,,Offensive rebound by Team,9,8
26,1,8:10.0,Loose ball foul by R. Holmes (drawn by A. Baynes),,9,8
27,1,7:55.0,,J. Tatum misses 2-pt jump shot from 11 ft,9,8
28,1,7:52.0,Defensive rebound by R. Covington,,9,8
29,1,7:47.0,Turnover by R. Covington (bad pass),,9,8
30,1,7:28.0,,J. Brown misses 3-pt jump shot from 22 ft,9,8
31,1,7:24.0,Defensive rebound by J. Redick,,9,8
32,1,7:09.0,D. Šarić makes 2-pt layup from 2 ft (assist by J. Redick),,11,8
33,1,6:56.0,,A. Horford makes 2-pt hook shot from 8 ft (assist by K. Irving),11,10
34,1,6:33.0,R. Holmes misses 2-pt layup from 2 ft,,11,10
35,1,6:30.0,,Defensive rebound by A. Baynes,11,10
36,1,6:27.0,,Turnover by J. Brown (lost ball; steal by J. Redick),11,10
37,1,6:21.0,R. Covington misses 3-pt jump shot from 26 ft,,11,10
38,1,6:18.0,Offensive rebound by B. Simmons,,11,10
39,1,6:16.0,J. Redick misses 3-pt jump shot from 24 ft,,11,10
40,1,6:16.0,,Defensive rebound by A. Horford,11,10
41,1,6:04.0,,J. Brown makes 2-pt dunk from 1 ft (assist by A. Horford),11,12
42,1,5:45.0,R. Holmes misses 2-pt jump shot from 8 ft,,11,12
43,1,5:45.0,Offensive rebound by Team,,11,12
44,1,5:45.0,,Loose ball foul by J. Brown (drawn by R. Covington),11,12
45,1,5:45.0,,M. Morris enters the game for J. Tatum,11,12
46,1,5:45.0,,M. Smart enters the game for A. Baynes,11,12
47,1,5:45.0,J. Bayless enters the game for R. Covington,,11,12
48,1,5:45.0,T. Luwawu-Cabarrot enters the game for J. Redick,,11,12
49,1,5:40.0,B. Simmons misses 2-pt hook shot from 7 ft,,11,12
50,1,5:36.0,,Defensive rebound by M. Morris,11,12
51,1,5:34.0,,Turnover by J. Brown (bad pass; steal by B. Simmons),11,12
52,1,5:14.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 26 ft (assist by B. Simmons),,14,12
53,1,5:01.0,,K. Irving makes 2-pt jump shot from 16 ft,14,14
54,1,5:01.0,,Shooting foul by J. Bayless (drawn by K. Irving),14,14
55,1,5:01.0,,K. Irving makes free throw 1 of 1,14,15
56,1,4:51.0,,Offensive charge foul by R. Holmes,14,15
57,1,4:51.0,Turnover by R. Holmes (offensive foul),,14,15
58,1,4:51.0,Technical foul by R. Holmes,,14,15
59,1,4:51.0,A. Johnson enters the game for R. Holmes,,14,15
60,1,4:51.0,,K. Irving makes technical free throw,14,16
61,1,4:36.0,,A. Horford makes 2-pt jump shot from 21 ft (assist by M. Smart),14,18
62,1,4:23.0,Shooting foul by J. Brown (drawn by A. Johnson),,14,18
63,1,4:23.0,A. Johnson makes free throw 1 of 2,,15,18
64,1,4:23.0,R. Covington enters the game for D. Šarić,,15,18
65,1,4:23.0,J. Redick enters the game for B. Simmons,,15,18
66,1,4:23.0,A. Johnson misses free throw 2 of 2,,15,18
67,1,4:21.0,,Defensive rebound by M. Morris,15,18
68,1,4:06.0,,J. Brown misses 2-pt layup from 3 ft,15,18
69,1,4:05.0,,Offensive rebound by J. Brown,15,18
70,1,4:04.0,,J. Brown misses 2-pt layup from 2 ft (block by J. Redick),15,18
71,1,4:04.0,,Offensive rebound by Team,15,18
72,1,3:59.0,,M. Smart makes 3-pt jump shot from 27 ft (assist by A. Horford),15,21
73,1,3:38.0,A. Johnson misses 2-pt hook shot from 6 ft,,15,21
