,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PORTLAND_ACTION,NEW ORLEANS_SCORE,PORTLAND_SCORE
117,2,10:28.0,,P. Connaughton makes 3-pt jump shot from 27 ft (assist by Z. Collins),24,25
118,2,10:11.0,A. Davis misses 2-pt jump shot from 7 ft,,24,25
119,2,10:09.0,,Defensive rebound by Team,24,25
120,2,9:52.0,,Z. Collins makes 2-pt jump shot from 10 ft,24,27
121,2,9:33.0,I. Clark makes 3-pt jump shot from 25 ft (assist by R. Rondo),,27,27
122,2,9:10.0,,Shooting foul by S. Hill (drawn by Z. Collins),27,27
123,2,9:10.0,,Z. Collins makes free throw 1 of 2,27,28
124,2,9:10.0,,Z. Collins misses free throw 2 of 2,27,28
125,2,9:08.0,Defensive rebound by R. Rondo,,27,28
126,2,8:53.0,S. Hill misses 3-pt jump shot from 23 ft,,27,28
127,2,8:51.0,,Defensive rebound by E. Davis,27,28
128,2,8:41.0,,S. Napier misses 3-pt jump shot from 25 ft,27,28
129,2,8:37.0,Defensive rebound by D. Miller,,27,28
130,2,8:20.0,Turnover by I. Clark (bad pass; steal by Z. Collins),,27,28
131,2,8:16.0,,P. Connaughton misses 3-pt jump shot from 26 ft,27,28
132,2,8:10.0,Defensive rebound by D. Miller,,27,28
133,2,8:05.0,A. Davis makes 2-pt layup from 3 ft (assist by R. Rondo),,29,28
134,2,7:46.0,,S. Napier misses 2-pt jump shot from 10 ft,29,28
135,2,7:45.0,,Offensive rebound by Team,29,28
136,2,7:45.0,E. Moore enters the game for D. Miller,,29,28
137,2,7:41.0,,Z. Collins misses 2-pt hook shot from 3 ft,29,28
138,2,7:37.0,,Offensive rebound by E. Davis,29,28
139,2,7:37.0,,E. Davis makes 2-pt dunk at rim,29,30
140,2,7:22.0,I. Clark misses 2-pt jump shot from 14 ft,,29,30
141,2,7:19.0,,Defensive rebound by E. Davis,29,30
142,2,7:04.0,,S. Napier makes 2-pt layup from 1 ft (assist by Z. Collins),29,32
143,2,6:45.0,R. Rondo misses 3-pt jump shot from 24 ft,,29,32
144,2,6:44.0,,Defensive rebound by Z. Collins,29,32
145,2,6:29.0,Loose ball foul by S. Hill (drawn by S. Napier),,29,32
146,2,6:29.0,,Portland full timeout,29,32
147,2,6:29.0,N. Mirotić enters the game for I. Clark,,29,32
148,2,6:29.0,J. Holiday enters the game for S. Hill,,29,32
149,2,6:20.0,,E. Davis misses 2-pt layup from 2 ft (block by A. Davis),29,32
150,2,6:19.0,Defensive rebound by Team,,29,32
151,2,6:09.0,Shooting foul by E. Davis (drawn by A. Davis),,29,32
152,2,6:09.0,A. Davis makes free throw 1 of 2,,30,32
153,2,6:09.0,,J. Nurkić enters the game for P. Connaughton,30,32
154,2,6:09.0,,A. Aminu enters the game for E. Davis,30,32
155,2,6:09.0,,D. Lillard enters the game for Z. Collins,30,32
156,2,6:09.0,A. Davis misses free throw 2 of 2,,30,32
157,2,6:07.0,,Defensive rebound by S. Napier,30,32
158,2,5:53.0,,S. Napier misses 3-pt jump shot from 26 ft,30,32
159,2,5:50.0,Defensive rebound by N. Mirotić,,30,32
160,2,5:44.0,J. Holiday makes 2-pt layup from 1 ft (assist by R. Rondo),,32,32
161,2,5:44.0,Shooting foul by J. Nurkić (drawn by J. Holiday),,32,32
162,2,5:44.0,,E. Turner enters the game for C. McCollum,32,32
163,2,5:44.0,J. Holiday misses free throw 1 of 1,,32,32
164,2,5:44.0,,Defensive rebound by J. Nurkić,32,32
165,2,5:31.0,,D. Lillard misses 3-pt jump shot from 25 ft,32,32
166,2,5:26.0,Defensive rebound by R. Rondo,,32,32
167,2,5:10.0,A. Davis makes 2-pt layup from 2 ft (assist by E. Moore),,34,32
168,2,4:56.0,,Turnover by E. Turner (bad pass; steal by N. Mirotić),34,32
169,2,4:43.0,E. Moore misses 3-pt jump shot from 25 ft,,34,32
170,2,4:40.0,,Defensive rebound by D. Lillard,34,32
171,2,4:30.0,,E. Turner misses 3-pt jump shot from 23 ft,34,32
172,2,4:29.0,Defensive rebound by N. Mirotić,,34,32
173,2,4:21.0,N. Mirotić makes 3-pt jump shot from 24 ft (assist by R. Rondo),,37,32
174,2,4:02.0,,Personal foul by N. Mirotić (drawn by J. Nurkić),37,32
175,2,4:02.0,C. Diallo enters the game for A. Davis,,37,32
176,2,3:59.0,,Personal foul by E. Moore (drawn by S. Napier),37,32
177,2,3:51.0,,D. Lillard misses 2-pt layup from 2 ft,37,32
178,2,3:49.0,Defensive rebound by N. Mirotić,,37,32
179,2,3:41.0,C. Diallo makes 2-pt jump shot from 8 ft (assist by N. Mirotić),,39,32
180,2,3:23.0,,D. Lillard misses 2-pt jump shot from 17 ft (block by J. Holiday),39,32
181,2,3:20.0,Defensive rebound by J. Holiday,,39,32
182,2,3:05.0,J. Holiday makes 2-pt jump shot from 13 ft,,41,32
183,2,2:52.0,,Turnover by E. Turner (lost ball; steal by E. Moore),41,32
184,2,2:41.0,C. Diallo misses 2-pt layup from 2 ft (block by E. Turner),,41,32
185,2,2:39.0,,Defensive rebound by A. Aminu,41,32
186,2,2:34.0,,S. Napier misses 3-pt jump shot from 24 ft,41,32
187,2,2:31.0,,Offensive rebound by E. Turner,41,32
188,2,2:20.0,,Turnover by S. Napier (bad pass),41,32
189,2,2:20.0,New Orleans full timeout,,41,32
190,2,2:20.0,,C. McCollum enters the game for S. Napier,41,32
191,2,2:20.0,A. Davis enters the game for C. Diallo,,41,32
192,2,2:00.0,J. Holiday misses 3-pt jump shot from 29 ft,,41,32
193,2,1:56.0,Offensive rebound by E. Moore,,41,32
194,2,1:54.0,A. Davis makes 2-pt dunk from 2 ft (assist by E. Moore),,43,32
195,2,1:28.0,,A. Aminu makes 2-pt jump shot from 22 ft,43,34
196,2,1:07.0,A. Davis makes 2-pt hook shot from 8 ft (assist by R. Rondo),,45,34
197,2,0:52.0,,Shooting foul by R. Rondo (drawn by J. Nurkić),45,34
198,2,0:52.0,,J. Nurkić makes free throw 1 of 2,45,35
199,2,0:52.0,I. Clark enters the game for R. Rondo,,45,35
200,2,0:52.0,,J. Nurkić makes free throw 2 of 2,45,36
201,2,0:42.0,Turnover by A. Davis (out of bounds lost ball),,45,36
202,2,0:36.0,,D. Lillard misses 2-pt jump shot from 9 ft,45,36
203,2,0:34.0,Defensive rebound by Team,,45,36
204,2,0:29.0,J. Holiday misses 2-pt jump shot from 8 ft,,45,36
205,2,0:26.0,,Defensive rebound by D. Lillard,45,36
206,2,0:02.0,,C. McCollum misses 3-pt jump shot from 24 ft,45,36
207,2,0:02.0,Defensive rebound by N. Mirotić,,45,36
208,3,11:43.0,,J. Nurkić makes 2-pt layup from 1 ft,45,38
209,3,11:22.0,A. Davis misses 2-pt jump shot from 13 ft,,45,38
210,3,11:21.0,,Defensive rebound by A. Aminu,45,38
211,3,11:13.0,,A. Aminu misses 3-pt jump shot from 25 ft,45,38
212,3,11:08.0,Defensive rebound by E. Moore,,45,38
213,3,11:03.0,N. Mirotić makes 3-pt jump shot from 24 ft (assist by R. Rondo),,48,38
214,3,10:35.0,,A. Aminu makes 2-pt layup from 1 ft,48,40
215,3,10:17.0,A. Davis makes 2-pt jump shot from 11 ft (assist by R. Rondo),,50,40
216,3,9:54.0,,E. Turner misses 2-pt jump shot from 17 ft,50,40
217,3,9:51.0,Defensive rebound by N. Mirotić,,50,40
218,3,9:39.0,Turnover by J. Holiday (bad pass; steal by C. McCollum),,50,40
219,3,9:34.0,,D. Lillard makes 2-pt layup at rim,50,42
220,3,9:24.0,A. Davis makes 2-pt jump shot from 22 ft (assist by J. Holiday),,52,42
221,3,9:08.0,,E. Turner misses 2-pt jump shot from 4 ft (block by A. Davis),52,42
222,3,9:06.0,Defensive rebound by R. Rondo,,52,42
223,3,9:03.0,N. Mirotić makes 3-pt jump shot from 24 ft (assist by R. Rondo),,55,42
224,3,9:02.0,,Portland full timeout,55,42
225,3,8:47.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),55,45
226,3,8:28.0,R. Rondo misses 2-pt jump shot from 12 ft,,55,45
227,3,8:25.0,,Defensive rebound by J. Nurkić,55,45
228,3,8:15.0,,E. Turner misses 3-pt jump shot from 23 ft,55,45
229,3,8:13.0,Defensive rebound by J. Holiday,,55,45
230,3,8:10.0,Personal foul by D. Lillard (drawn by J. Holiday),,55,45
231,3,7:54.0,E. Moore makes 2-pt jump shot from 16 ft,,57,45
232,3,7:36.0,,A. Aminu makes 3-pt jump shot from 23 ft (assist by D. Lillard),57,48
233,3,7:28.0,Personal foul by A. Aminu (drawn by J. Holiday),,57,48
234,3,7:16.0,A. Davis makes 2-pt layup from 1 ft (assist by R. Rondo),,59,48
235,3,7:00.0,,A. Aminu misses 3-pt jump shot from 22 ft,59,48
236,3,6:57.0,Defensive rebound by R. Rondo,,59,48
237,3,6:54.0,R. Rondo makes 2-pt dunk at rim,,61,48
238,3,6:34.0,,Turnover by E. Turner (bad pass; steal by A. Davis),61,48
239,3,6:32.0,Shooting foul by E. Turner (drawn by A. Davis),,61,48
240,3,6:32.0,A. Davis misses free throw 1 of 2,,61,48
241,3,6:32.0,Offensive rebound by Team,,61,48
242,3,6:32.0,,Z. Collins enters the game for J. Nurkić,61,48
243,3,6:32.0,A. Davis makes free throw 2 of 2,,62,48
244,3,6:17.0,,Turnover by A. Aminu (bad pass; steal by A. Davis),62,48
245,3,6:13.0,Turnover by E. Moore (bad pass; steal by C. McCollum),,62,48
246,3,6:08.0,,C. McCollum makes 2-pt layup at rim,62,50
247,3,6:00.0,N. Mirotić misses 2-pt jump shot from 21 ft,,62,50
248,3,6:00.0,,Defensive rebound by E. Turner,62,50
249,3,5:54.0,,C. McCollum misses 3-pt jump shot from 24 ft,62,50
250,3,5:53.0,Defensive rebound by A. Davis,,62,50
251,3,5:49.0,E. Moore makes 2-pt layup at rim (assist by R. Rondo),,64,50
252,3,5:31.0,,Personal foul by E. Moore (drawn by C. McCollum),64,50
253,3,5:31.0,I. Clark enters the game for R. Rondo,,64,50
254,3,5:31.0,D. Miller enters the game for E. Moore,,64,50
255,3,5:24.0,,Z. Collins misses 3-pt jump shot from 25 ft,64,50
256,3,5:24.0,Defensive rebound by J. Holiday,,64,50
257,3,5:14.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by A. Davis),,67,50
258,3,4:55.0,,D. Lillard misses 2-pt jump shot from 20 ft,67,50
259,3,4:53.0,Defensive rebound by A. Davis,,67,50
