,QUARTER,TIME_REMAINING,MIAMI_ACTION,DALLAS_ACTION,MIAMI_SCORE,DALLAS_SCORE
0,1,11:41.0,,Turnover by D. Smith (bad pass; steal by T. Johnson),0,0
1,1,11:23.0,H. Whiteside misses 2-pt jump shot from 5 ft,,0,0
2,1,11:20.0,,Defensive rebound by D. Nowitzki,0,0
3,1,11:09.0,,H. Barnes makes 2-pt dunk from 1 ft (assist by W. Matthews),0,2
4,1,10:42.0,H. Whiteside misses 2-pt jump shot from 4 ft,,0,2
5,1,10:40.0,,Defensive rebound by D. Nowitzki,0,2
6,1,10:21.0,,D. Smith misses 2-pt jump shot from 15 ft,0,2
7,1,10:19.0,Defensive rebound by T. Johnson,,0,2
8,1,10:12.0,Personal foul by D. Smith (drawn by T. Johnson),,0,2
9,1,10:06.0,G. Dragić makes 2-pt jump shot from 15 ft (assist by J. Richardson),,2,2
10,1,9:53.0,,W. Matthews makes 2-pt jump shot from 19 ft,2,4
11,1,9:34.0,H. Whiteside makes 2-pt hook shot from 3 ft (assist by T. Johnson),,4,4
12,1,9:19.0,,M. Kleber makes 2-pt dunk at rim (assist by D. Smith),4,6
13,1,9:03.0,G. Dragić misses 2-pt jump shot from 10 ft,,4,6
14,1,9:00.0,,Defensive rebound by D. Nowitzki,4,6
15,1,8:47.0,,Turnover by D. Smith (bad pass; steal by T. Johnson),4,6
16,1,8:45.0,Personal block foul by M. Kleber (drawn by T. Johnson),,4,6
17,1,8:36.0,J. Richardson misses 3-pt jump shot from 22 ft,,4,6
18,1,8:34.0,Offensive rebound by H. Whiteside,,4,6
19,1,8:34.0,H. Whiteside misses 2-pt layup from 1 ft (block by D. Nowitzki),,4,6
20,1,8:32.0,Offensive rebound by H. Whiteside,,4,6
21,1,8:27.0,H. Whiteside makes 2-pt layup from 1 ft,,6,6
22,1,8:11.0,,H. Barnes makes 2-pt jump shot from 10 ft,6,8
23,1,7:42.0,T. Johnson misses 3-pt jump shot from 25 ft,,6,8
24,1,7:42.0,Offensive rebound by H. Whiteside,,6,8
25,1,7:39.0,H. Whiteside makes 2-pt hook shot from 5 ft,,8,8
26,1,7:22.0,,D. Nowitzki misses 3-pt jump shot from 22 ft,8,8
27,1,7:22.0,Defensive rebound by J. Richardson,,8,8
28,1,7:13.0,J. Johnson makes 2-pt layup at rim,,10,8
29,1,7:13.0,,Dallas full timeout,10,8
30,1,7:13.0,,S. Mejri enters the game for D. Nowitzki,10,8
31,1,6:53.0,,D. Smith misses 2-pt layup at rim (block by G. Dragić),10,8
32,1,6:53.0,,Offensive rebound by Team,10,8
33,1,6:51.0,,M. Kleber misses 2-pt jump shot from 14 ft (block by J. Johnson),10,8
34,1,6:51.0,,Offensive rebound by Team,10,8
35,1,6:47.0,,D. Smith misses 3-pt jump shot from 24 ft,10,8
36,1,6:44.0,Defensive rebound by H. Whiteside,,10,8
37,1,6:30.0,H. Whiteside makes 2-pt layup from 1 ft,,12,8
38,1,6:30.0,Shooting foul by W. Matthews (drawn by H. Whiteside),,12,8
39,1,6:30.0,,Y. Ferrell enters the game for M. Kleber,12,8
40,1,6:30.0,H. Whiteside misses free throw 1 of 1,,12,8
41,1,6:27.0,,Defensive rebound by W. Matthews,12,8
42,1,6:17.0,,H. Barnes makes 2-pt jump shot from 22 ft (assist by D. Smith),12,10
43,1,5:59.0,H. Whiteside misses 2-pt jump shot from 7 ft,,12,10
44,1,5:57.0,,Defensive rebound by S. Mejri,12,10
45,1,5:46.0,,H. Barnes misses 3-pt jump shot from 26 ft,12,10
46,1,5:44.0,Defensive rebound by G. Dragić,,12,10
47,1,5:35.0,H. Whiteside misses 2-pt hook shot from 3 ft,,12,10
48,1,5:33.0,Offensive rebound by H. Whiteside,,12,10
49,1,5:20.0,Turnover by T. Johnson (bad pass; steal by S. Mejri),,12,10
50,1,5:13.0,,H. Barnes misses 3-pt jump shot from 25 ft,12,10
51,1,5:10.0,Defensive rebound by H. Whiteside,,12,10
52,1,5:03.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Johnson),,15,10
53,1,4:44.0,,Offensive foul by S. Mejri (drawn by J. Richardson),15,10
54,1,4:44.0,,Turnover by S. Mejri (offensive foul),15,10
55,1,4:44.0,W. Ellington enters the game for J. Richardson,,15,10
56,1,4:44.0,K. Olynyk enters the game for H. Whiteside,,15,10
57,1,4:33.0,G. Dragić makes 2-pt jump shot from 5 ft,,17,10
58,1,4:13.0,,H. Barnes makes 2-pt jump shot from 6 ft,17,12
59,1,4:02.0,G. Dragić misses 2-pt jump shot from 6 ft (block by S. Mejri),,17,12
60,1,4:00.0,Offensive rebound by G. Dragić,,17,12
61,1,3:55.0,K. Olynyk misses 3-pt jump shot from 26 ft,,17,12
62,1,3:53.0,,Defensive rebound by W. Matthews,17,12
63,1,3:52.0,,Shooting foul by T. Johnson (drawn by Y. Ferrell),17,12
64,1,3:52.0,,Y. Ferrell makes free throw 1 of 2,17,13
65,1,3:52.0,,Y. Ferrell makes free throw 2 of 2,17,14
66,1,3:49.0,Miami full timeout,,17,14
67,1,3:40.0,W. Ellington misses 3-pt jump shot from 24 ft,,17,14
68,1,3:37.0,,Defensive rebound by S. Mejri,17,14
69,1,3:23.0,,S. Mejri makes 2-pt dunk from 1 ft (assist by W. Matthews),17,16
70,1,3:08.0,K. Olynyk misses 2-pt layup from 1 ft,,17,16
71,1,3:05.0,,Defensive rebound by S. Mejri,17,16
72,1,3:03.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Smith),17,19
73,1,2:42.0,K. Olynyk makes 3-pt jump shot from 24 ft (assist by T. Johnson),,20,19
74,1,2:21.0,,H. Barnes misses 2-pt jump shot from 12 ft,20,19
75,1,2:20.0,,Offensive rebound by Team,20,19
76,1,2:20.0,,D. Harris enters the game for D. Smith,20,19
77,1,2:20.0,B. Adebayo enters the game for G. Dragić,,20,19
78,1,2:20.0,J. Winslow enters the game for T. Johnson,,20,19
79,1,2:20.0,J. Richardson enters the game for J. Johnson,,20,19
80,1,2:08.0,,W. Matthews makes 2-pt jump shot from 3 ft,20,21
81,1,1:47.0,K. Olynyk misses 2-pt jump shot from 7 ft,,20,21
82,1,1:43.0,,Defensive rebound by W. Matthews,20,21
83,1,1:30.0,,D. Harris misses 2-pt jump shot from 16 ft,20,21
84,1,1:30.0,Defensive rebound by J. Winslow,,20,21
85,1,1:21.0,Turnover by J. Winslow (traveling),,20,21
86,1,1:21.0,,D. Powell enters the game for W. Matthews,20,21
87,1,1:21.0,,K. Collinsworth enters the game for H. Barnes,20,21
88,1,1:21.0,,D. Nowitzki enters the game for S. Mejri,20,21
89,1,1:02.0,,Turnover by Y. Ferrell (out of bounds lost ball),20,21
90,1,0:54.0,Personal foul by D. Harris (drawn by J. Richardson),,20,21
91,1,0:44.0,Turnover by B. Adebayo (lost ball; steal by D. Powell),,20,21
92,1,0:39.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),20,24
93,1,0:19.0,J. Winslow makes 2-pt jump shot from 13 ft (assist by B. Adebayo),,22,24
94,1,0:02.0,,D. Harris makes 2-pt jump shot from 10 ft,22,26
95,1,0:00.0,W. Ellington misses 3-pt jump shot from 25 ft,,22,26
96,1,0:00.0,Offensive rebound by Team,,22,26
97,2,11:49.0,Shooting foul by K. Collinsworth (drawn by J. Winslow),,22,26
98,2,11:49.0,J. Winslow makes free throw 1 of 2,,23,26
99,2,11:49.0,J. Winslow makes free throw 2 of 2,,24,26
100,2,11:30.0,,Personal foul by B. Adebayo (drawn by D. Harris),24,26
101,2,11:24.0,,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by D. Harris),24,28
102,2,11:09.0,K. Olynyk misses 2-pt jump shot from 13 ft,,24,28
103,2,11:04.0,,Defensive rebound by D. Powell,24,28
104,2,10:57.0,,D. Harris misses 2-pt layup from 1 ft (block by J. Richardson),24,28
105,2,10:55.0,Defensive rebound by B. Adebayo,,24,28
106,2,10:49.0,K. Olynyk makes 3-pt jump shot from 24 ft (assist by J. Winslow),,27,28
