,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CLEVELAND_ACTION,ORLANDO_SCORE,CLEVELAND_SCORE
0,1,11:35.0,J. Simmons misses 2-pt layup at rim,,0,0
1,1,11:30.0,,Defensive rebound by K. Love,0,0
2,1,11:29.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by L. James),0,3
3,1,11:22.0,Personal foul by J. Smith (drawn by E. Fournier),,0,3
4,1,11:14.0,E. Fournier makes 2-pt layup from 2 ft (assist by B. Biyombo),,2,3
5,1,10:58.0,,I. Thomas makes 3-pt jump shot from 22 ft (assist by L. James),2,6
6,1,10:44.0,A. Gordon misses 2-pt layup from 1 ft,,2,6
7,1,10:44.0,,Defensive rebound by L. James,2,6
8,1,10:37.0,,K. Love misses 3-pt jump shot from 24 ft,2,6
9,1,10:37.0,Defensive rebound by B. Biyombo,,2,6
10,1,10:27.0,E. Payton makes 2-pt layup from 1 ft,,4,6
11,1,10:12.0,,L. James misses 2-pt jump shot from 19 ft,4,6
12,1,10:12.0,Defensive rebound by B. Biyombo,,4,6
13,1,9:58.0,A. Gordon misses 3-pt jump shot from 22 ft,,4,6
14,1,9:55.0,,Defensive rebound by J. Crowder,4,6
15,1,9:50.0,,Turnover by I. Thomas (bad pass; steal by E. Payton),4,6
16,1,9:45.0,E. Fournier misses 2-pt jump shot from 20 ft,,4,6
17,1,9:36.0,,Defensive rebound by K. Love,4,6
18,1,9:31.0,,I. Thomas makes 2-pt layup from 2 ft,4,8
19,1,9:24.0,Turnover by E. Payton (bad pass; steal by J. Crowder),,4,8
20,1,9:15.0,,I. Thomas makes 3-pt jump shot from 25 ft,4,11
21,1,9:03.0,Personal foul by J. Smith (drawn by E. Fournier),,4,11
22,1,8:51.0,E. Payton misses 2-pt jump shot from 18 ft,,4,11
23,1,8:48.0,,Defensive rebound by K. Love,4,11
24,1,8:45.0,,J. Crowder makes 2-pt layup from 2 ft (assist by L. James),4,13
25,1,8:45.0,Orlando full timeout,,4,13
26,1,8:32.0,E. Fournier misses 2-pt layup from 1 ft,,4,13
27,1,8:29.0,,Defensive rebound by K. Love,4,13
28,1,8:19.0,,L. James makes 2-pt layup at rim (assist by K. Love),4,15
