,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,INDIANA_ACTION,CLEVELAND_SCORE,INDIANA_SCORE
0,1,11:42.0,,Turnover by B. Bogdanović (lost ball; steal by J. Smith),0,0
1,1,11:35.0,J. Crowder misses 3-pt jump shot from 29 ft,,0,0
2,1,11:32.0,,Defensive rebound by T. Young,0,0
3,1,11:27.0,,V. Oladipo misses 2-pt jump shot from 17 ft,0,0
4,1,11:25.0,Defensive rebound by K. Love,,0,0
5,1,11:13.0,Turnover by L. James (bad pass; steal by T. Young),,0,0
6,1,11:10.0,,Turnover by D. Collison (out of bounds lost ball),0,0
7,1,10:59.0,K. Love misses 3-pt jump shot from 26 ft,,0,0
8,1,10:57.0,,Defensive rebound by D. Collison,0,0
9,1,10:50.0,,D. Collison makes 3-pt jump shot from 26 ft,0,3
10,1,10:35.0,Turnover by J. Calderón (bad pass; steal by V. Oladipo),,0,3
11,1,10:29.0,,D. Collison makes 3-pt jump shot from 27 ft (assist by V. Oladipo),0,6
12,1,10:10.0,K. Love makes 2-pt layup at rim (assist by J. Calderón),,2,6
13,1,10:02.0,,V. Oladipo makes 2-pt dunk from 1 ft,2,8
14,1,9:56.0,Cleveland full timeout,,2,8
15,1,9:45.0,K. Love misses 3-pt jump shot from 24 ft,,2,8
16,1,9:42.0,,Defensive rebound by D. Collison,2,8
17,1,9:34.0,,Personal foul by J. Crowder (drawn by M. Turner),2,8
18,1,9:30.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,2,8
19,1,9:26.0,Defensive rebound by K. Love,,2,8
20,1,9:18.0,J. Crowder misses 2-pt layup at rim,,2,8
21,1,9:16.0,,Defensive rebound by V. Oladipo,2,8
22,1,9:13.0,,Turnover by V. Oladipo (bad pass),2,8
23,1,9:08.0,Personal foul by T. Young (drawn by K. Love),,2,8
24,1,8:58.0,Turnover by L. James (bad pass; steal by T. Young),,2,8
25,1,8:56.0,,Shooting foul by J. Calderón (drawn by B. Bogdanović),2,8
26,1,8:56.0,,B. Bogdanović makes free throw 1 of 2,2,9
27,1,8:56.0,,B. Bogdanović makes free throw 2 of 2,2,10
28,1,8:47.0,Personal foul by B. Bogdanović (drawn by L. James),,2,10
29,1,8:43.0,J. Smith misses 2-pt jump shot from 21 ft,,2,10
30,1,8:40.0,,Defensive rebound by V. Oladipo,2,10
31,1,8:35.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by V. Oladipo),2,13
32,1,8:14.0,K. Love makes 2-pt hook shot from 5 ft (assist by L. James),,4,13
33,1,7:54.0,,D. Collison misses 3-pt jump shot from 23 ft,4,13
34,1,7:51.0,Defensive rebound by K. Love,,4,13
35,1,7:32.0,Shooting foul by V. Oladipo (drawn by J. Crowder),,4,13
36,1,7:32.0,J. Crowder makes free throw 1 of 3,,5,13
37,1,7:32.0,J. Crowder makes free throw 2 of 3,,6,13
