,QUARTER,TIME_REMAINING,UTAH_ACTION,SAN ANTONIO_ACTION,UTAH_SCORE,SAN ANTONIO_SCORE
0,1,11:38.0,R. Gobert misses 2-pt jump shot from 3 ft,,0,0
1,1,11:36.0,,Defensive rebound by L. Aldridge,0,0
2,1,11:19.0,,L. Aldridge misses 2-pt jump shot from 14 ft,0,0
3,1,11:15.0,Defensive rebound by D. Favors,,0,0
4,1,11:08.0,R. Rubio misses 2-pt jump shot from 13 ft,,0,0
5,1,11:05.0,,Defensive rebound by P. Mills,0,0
6,1,10:52.0,,K. Anderson misses 2-pt layup from 1 ft (block by D. Favors),0,0
7,1,10:50.0,Defensive rebound by R. Gobert,,0,0
8,1,10:44.0,D. Mitchell misses 3-pt jump shot from 24 ft,,0,0
9,1,10:42.0,Offensive rebound by R. Gobert,,0,0
10,1,10:41.0,D. Mitchell misses 2-pt dunk at rim,,0,0
11,1,10:38.0,,Defensive rebound by Team,0,0
12,1,10:31.0,,L. Aldridge makes 2-pt jump shot from 20 ft,0,2
13,1,10:09.0,D. Favors misses 3-pt jump shot from 23 ft,,0,2
14,1,10:06.0,,Defensive rebound by P. Mills,0,2
15,1,9:54.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by P. Mills),0,4
16,1,9:37.0,Turnover by J. Ingles (lost ball; steal by D. Murray),,0,4
17,1,9:33.0,,D. Murray misses 2-pt layup from 3 ft (block by R. Rubio),0,4
18,1,9:33.0,Defensive rebound by Team,,0,4
19,1,9:19.0,D. Mitchell misses 2-pt jump shot from 18 ft,,0,4
20,1,9:16.0,,Defensive rebound by D. Green,0,4
21,1,9:08.0,Violation by R. Rubio (kicked ball),,0,4
22,1,9:03.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by L. Aldridge),0,7
23,1,9:02.0,Utah full timeout,,0,7
24,1,8:41.0,D. Mitchell makes 2-pt jump shot from 8 ft,,2,7
25,1,8:25.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by K. Anderson),2,9
26,1,8:10.0,R. Rubio makes 2-pt layup at rim,,4,9
27,1,7:57.0,,Turnover by P. Mills (lost ball; steal by J. Ingles),4,9
28,1,7:33.0,D. Mitchell makes 2-pt layup at rim (assist by R. Rubio),,6,9
29,1,7:21.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. Murray),6,11
30,1,7:08.0,R. Rubio misses 2-pt layup from 2 ft (block by L. Aldridge),,6,11
31,1,7:07.0,,Defensive rebound by K. Anderson,6,11
32,1,7:07.0,,Personal foul by J. Ingles (drawn by P. Mills),6,11
33,1,6:50.0,,Shooting foul by D. Mitchell (drawn by L. Aldridge),6,11
34,1,6:50.0,,L. Aldridge misses free throw 1 of 2,6,11
35,1,6:50.0,,Offensive rebound by Team,6,11
36,1,6:50.0,,L. Aldridge makes free throw 2 of 2,6,12
37,1,6:37.0,J. Ingles makes 2-pt jump shot from 10 ft (assist by R. Rubio),,8,12
38,1,6:22.0,,L. Aldridge makes 2-pt hook shot from 6 ft (assist by D. Murray),8,14
39,1,6:10.0,J. Ingles misses 3-pt jump shot from 24 ft,,8,14
40,1,6:07.0,,Defensive rebound by L. Aldridge,8,14
41,1,6:04.0,,D. Green makes 3-pt jump shot from 27 ft (assist by K. Anderson),8,17
42,1,6:02.0,Utah full timeout,,8,17
43,1,6:02.0,J. Crowder enters the game for D. Favors,,8,17
44,1,5:39.0,Turnover by D. Mitchell (lost ball; steal by K. Anderson),,8,17
45,1,5:34.0,,Turnover by K. Anderson (bad pass; steal by J. Ingles),8,17
46,1,5:22.0,J. Crowder misses 3-pt jump shot from 26 ft,,8,17
47,1,5:18.0,,Defensive rebound by K. Anderson,8,17
