,QUARTER,TIME_REMAINING,ATLANTA_ACTION,WASHINGTON_ACTION,ATLANTA_SCORE,WASHINGTON_SCORE
0,1,11:38.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by O. Porter),0,3
1,1,11:18.0,I. Taylor misses 2-pt jump shot from 7 ft,,0,3
2,1,11:15.0,,Defensive rebound by O. Porter,0,3
3,1,11:07.0,,M. Morris misses 2-pt jump shot from 19 ft,0,3
4,1,11:05.0,Defensive rebound by D. Dedmon,,0,3
5,1,11:01.0,Turnover by I. Taylor (turnover),,0,3
6,1,10:44.0,,O. Porter misses 2-pt layup from 6 ft,0,3
7,1,10:44.0,Defensive rebound by Team,,0,3
8,1,10:23.0,D. Dedmon makes 2-pt jump shot from 11 ft (assist by T. Prince),,2,3
9,1,10:06.0,,Shooting foul by J. Collins (drawn by M. Morris),2,3
10,1,10:06.0,,M. Morris misses free throw 1 of 2,2,3
11,1,10:06.0,,Offensive rebound by Team,2,3
12,1,10:06.0,,M. Morris makes free throw 2 of 2,2,4
13,1,9:48.0,D. Dedmon makes 2-pt jump shot from 15 ft,,4,4
14,1,9:29.0,,M. Gortat misses 2-pt layup from 2 ft (block by J. Collins),4,4
15,1,9:29.0,Defensive rebound by T. Prince,,4,4
16,1,9:23.0,J. Collins makes 2-pt dunk from 2 ft (assist by T. Prince),,6,4
17,1,9:07.0,,B. Beal makes 2-pt jump shot from 13 ft (assist by M. Morris),6,6
18,1,8:59.0,D. Bembry misses 2-pt layup from 1 ft,,6,6
19,1,8:59.0,,Defensive rebound by M. Gortat,6,6
20,1,8:46.0,,T. Satoranský makes 2-pt jump shot from 15 ft,6,8
21,1,8:28.0,D. Dedmon misses 3-pt jump shot from 25 ft,,6,8
22,1,8:28.0,,Defensive rebound by M. Morris,6,8
23,1,8:12.0,,M. Gortat misses 2-pt jump shot from 13 ft,6,8
24,1,8:08.0,Defensive rebound by J. Collins,,6,8
25,1,7:56.0,T. Prince misses 3-pt jump shot from 26 ft,,6,8
26,1,7:53.0,,Defensive rebound by M. Gortat,6,8
27,1,7:49.0,,Turnover by T. Satoranský (lost ball; steal by I. Taylor),6,8
28,1,7:39.0,,Violation by M. Morris (kicked ball),6,8
29,1,7:39.0,T. Dorsey enters the game for D. Bembry,,6,8
30,1,7:32.0,T. Prince misses 2-pt jump shot from 9 ft (block by M. Gortat),,6,8
31,1,7:29.0,,Defensive rebound by M. Gortat,6,8
32,1,7:22.0,,M. Morris misses 3-pt jump shot from 26 ft,6,8
33,1,7:19.0,,Offensive rebound by M. Gortat,6,8
34,1,7:15.0,,M. Morris misses 2-pt layup from 2 ft,6,8
35,1,7:13.0,,Offensive rebound by O. Porter,6,8
36,1,7:12.0,,O. Porter makes 2-pt layup from 7 ft,6,10
37,1,7:12.0,Atlanta full timeout,,6,10
