,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,WASHINGTON_ACTION,PHILADELPHIA_SCORE,WASHINGTON_SCORE
0,1,11:44.0,,B. Beal misses 2-pt jump shot from 12 ft,0,0
1,1,11:39.0,Defensive rebound by B. Simmons,,0,0
2,1,11:38.0,Turnover by J. Redick (step out of bounds),,0,0
3,1,11:30.0,,O. Porter makes 2-pt jump shot from 16 ft (assist by J. Wall),0,2
4,1,11:17.0,Shooting foul by J. Smith (drawn by J. Embiid),,0,2
5,1,11:17.0,J. Embiid makes free throw 1 of 2,,1,2
6,1,11:17.0,J. Embiid makes free throw 2 of 2,,2,2
7,1,11:08.0,,O. Porter makes 2-pt jump shot from 16 ft (assist by J. Wall),2,4
8,1,10:51.0,R. Covington misses 3-pt jump shot from 26 ft,,2,4
9,1,10:47.0,,Defensive rebound by M. Gortat,2,4
10,1,10:38.0,,J. Wall misses 2-pt jump shot from 14 ft (block by R. Covington),2,4
11,1,10:33.0,Defensive rebound by J. Embiid,,2,4
12,1,10:31.0,R. Covington makes 3-pt jump shot from 24 ft (assist by J. Embiid),,5,4
13,1,10:12.0,,O. Porter misses 2-pt jump shot from 17 ft,5,4
14,1,10:08.0,,Offensive rebound by B. Beal,5,4
15,1,10:07.0,,B. Beal misses 2-pt jump shot from 15 ft,5,4
16,1,10:07.0,,Offensive rebound by O. Porter,5,4
17,1,10:05.0,,Personal foul by R. Covington (drawn by O. Porter),5,4
18,1,9:53.0,,O. Porter makes 2-pt jump shot from 11 ft,5,6
19,1,9:44.0,B. Simmons misses 2-pt layup from 3 ft (block by O. Porter),,5,6
20,1,9:44.0,,Defensive rebound by M. Gortat,5,6
21,1,9:36.0,,O. Porter makes 2-pt layup from 1 ft (assist by J. Wall),5,8
22,1,9:23.0,J. Bayless misses 3-pt jump shot from 25 ft,,5,8
23,1,9:21.0,,Defensive rebound by M. Gortat,5,8
24,1,9:17.0,,J. Wall misses 3-pt jump shot from 24 ft,5,8
25,1,9:13.0,Defensive rebound by J. Embiid,,5,8
26,1,9:09.0,Personal foul by O. Porter (drawn by B. Simmons),,5,8
27,1,8:56.0,J. Embiid makes 2-pt jump shot from 14 ft,,7,8
28,1,8:43.0,,B. Beal makes 2-pt dunk at rim (assist by J. Wall),7,10
29,1,8:28.0,B. Simmons makes 2-pt layup from 1 ft (assist by J. Bayless),,9,10
30,1,8:15.0,,J. Smith misses 3-pt jump shot from 25 ft (block by B. Simmons),9,10
31,1,8:09.0,,Offensive rebound by J. Smith,9,10
32,1,8:07.0,,J. Wall misses 2-pt jump shot from 17 ft,9,10
33,1,8:04.0,Defensive rebound by J. Embiid,,9,10
34,1,7:59.0,J. Bayless misses 3-pt jump shot from 25 ft,,9,10
35,1,7:57.0,,Defensive rebound by M. Gortat,9,10
36,1,7:46.0,,J. Wall makes 2-pt layup at rim,9,12
37,1,7:27.0,J. Bayless makes 3-pt jump shot from 23 ft (assist by B. Simmons),,12,12
38,1,7:11.0,,M. Gortat makes 2-pt jump shot from 11 ft (assist by B. Beal),12,14
39,1,6:59.0,R. Covington misses 3-pt jump shot from 28 ft,,12,14
40,1,6:55.0,,Defensive rebound by J. Wall,12,14
41,1,6:46.0,,M. Gortat misses 2-pt hook shot from 9 ft,12,14
42,1,6:44.0,,Offensive rebound by M. Gortat,12,14
43,1,6:43.0,,Washington full timeout,12,14
44,1,6:43.0,A. Johnson enters the game for J. Bayless,,12,14
45,1,6:43.0,M. Fultz enters the game for J. Embiid,,12,14
