,QUARTER,TIME_REMAINING,INDIANA_ACTION,CLEVELAND_ACTION,INDIANA_SCORE,CLEVELAND_SCORE
0,1,11:37.0,,J. Smith misses 3-pt jump shot from 22 ft,0,0
1,1,11:34.0,,Offensive rebound by K. Love,0,0
2,1,11:31.0,,K. Love misses 3-pt jump shot from 25 ft,0,0
3,1,11:27.0,Defensive rebound by V. Oladipo,,0,0
4,1,11:21.0,T. Young misses 3-pt jump shot from 25 ft,,0,0
5,1,11:18.0,,Defensive rebound by T. Thompson,0,0
6,1,11:05.0,,K. Love makes 2-pt layup at rim (assist by I. Thomas),0,2
7,1,10:45.0,B. Bogdanović makes 2-pt jump shot from 14 ft,,2,2
8,1,10:34.0,,I. Thomas misses 2-pt jump shot from 14 ft,2,2
9,1,10:32.0,Defensive rebound by D. Sabonis,,2,2
10,1,10:30.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,2
11,1,10:30.0,Offensive rebound by V. Oladipo,,2,2
12,1,10:17.0,B. Bogdanović misses 2-pt layup at rim,,2,2
13,1,10:15.0,,Defensive rebound by T. Thompson,2,2
14,1,10:10.0,,L. James makes 2-pt dunk from 1 ft,2,4
15,1,10:02.0,V. Oladipo makes 2-pt jump shot at rim (assist by B. Bogdanović),,4,4
16,1,9:52.0,,T. Thompson misses 2-pt layup from 2 ft,4,4
17,1,9:52.0,,Offensive rebound by T. Thompson,4,4
18,1,9:42.0,,T. Thompson makes 2-pt layup at rim,4,6
19,1,9:40.0,V. Oladipo misses 2-pt jump shot from 11 ft,,4,6
20,1,9:30.0,Offensive rebound by T. Young,,4,6
21,1,9:30.0,T. Young makes 2-pt dunk at rim,,6,6
22,1,9:12.0,,J. Smith misses 2-pt jump shot from 6 ft,6,6
23,1,9:12.0,,Offensive rebound by T. Thompson,6,6
24,1,9:08.0,,T. Thompson makes 2-pt layup from 1 ft,6,8
25,1,8:51.0,Turnover by T. Young (bad pass; steal by L. James),,6,8
26,1,8:45.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by L. James),6,11
27,1,8:25.0,D. Sabonis misses 2-pt jump shot from 18 ft,,6,11
28,1,8:22.0,,Defensive rebound by K. Love,6,11
29,1,8:14.0,,I. Thomas makes 2-pt layup at rim,6,13
30,1,7:57.0,D. Sabonis misses 2-pt jump shot from 20 ft,,6,13
31,1,7:54.0,,Defensive rebound by K. Love,6,13
32,1,7:46.0,,K. Love misses 3-pt jump shot from 25 ft,6,13
33,1,7:44.0,Defensive rebound by D. Sabonis,,6,13
34,1,7:34.0,B. Bogdanović misses 2-pt jump shot from 19 ft,,6,13
35,1,7:30.0,,Defensive rebound by K. Love,6,13
36,1,7:25.0,,Personal foul by B. Bogdanović (drawn by L. James),6,13
37,1,7:22.0,,Turnover by K. Love (bad pass),6,13
38,1,7:15.0,Personal block foul by K. Love (drawn by D. Collison),,6,13
39,1,7:08.0,Shooting foul by J. Smith (drawn by V. Oladipo),,6,13
40,1,7:08.0,V. Oladipo makes free throw 1 of 2,,7,13
41,1,7:08.0,V. Oladipo makes free throw 2 of 2,,8,13
42,1,6:55.0,,Turnover by L. James (bad pass; steal by T. Young),8,13
43,1,6:49.0,D. Sabonis makes 2-pt layup from 1 ft (assist by V. Oladipo),,10,13
44,1,6:49.0,,Cleveland full timeout,10,13
45,1,6:33.0,,K. Love makes 3-pt jump shot from 28 ft (assist by I. Thomas),10,16
46,1,6:15.0,T. Young makes 2-pt jump shot from 8 ft (assist by D. Collison),,12,16
47,1,6:07.0,,Personal foul by B. Bogdanović (drawn by K. Love),12,16
48,1,6:07.0,L. Stephenson enters the game for B. Bogdanović,,12,16
49,1,6:03.0,,J. Smith misses 3-pt jump shot from 25 ft,12,16
50,1,6:00.0,Defensive rebound by D. Sabonis,,12,16
51,1,5:53.0,D. Collison makes 2-pt layup from 1 ft,,14,16
52,1,5:33.0,,T. Thompson makes 2-pt layup from 1 ft (assist by I. Thomas),14,18
53,1,5:25.0,D. Collison makes 3-pt jump shot from 26 ft,,17,18
54,1,5:13.0,,I. Thomas misses 3-pt jump shot from 26 ft,17,18
55,1,5:10.0,,Offensive rebound by K. Love,17,18
