,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHOENIX_ACTION,CLEVELAND_SCORE,PHOENIX_SCORE
0,1,11:42.0,Turnover by L. Nance (bad pass; steal by D. Booker),,0,0
1,1,11:29.0,,D. Bender misses 2-pt jump shot from 17 ft,0,0
2,1,11:26.0,Defensive rebound by L. James,,0,0
3,1,11:22.0,Personal foul by T. Warren (drawn by L. James),,0,0
4,1,11:07.0,J. Green makes 3-pt jump shot from 22 ft (assist by L. James),,3,0
5,1,10:50.0,,J. Jackson misses 2-pt jump shot from 6 ft,3,0
6,1,10:47.0,Defensive rebound by K. Korver,,3,0
7,1,10:39.0,K. Korver makes 2-pt layup at rim (assist by L. James),,5,0
8,1,10:14.0,,Shooting foul by J. Green (drawn by D. Booker),5,0
9,1,10:14.0,,D. Booker makes free throw 1 of 2,5,1
10,1,10:14.0,,D. Booker makes free throw 2 of 2,5,2
11,1,9:55.0,G. Hill makes 3-pt jump shot from 24 ft,,8,2
12,1,9:39.0,,D. Bender misses 3-pt jump shot from 25 ft,8,2
13,1,9:35.0,Defensive rebound by L. Nance,,8,2
14,1,9:22.0,J. Green makes 2-pt jump shot from 5 ft,,10,2
15,1,9:13.0,,E. Payton misses 2-pt layup from 4 ft,10,2
16,1,9:11.0,Defensive rebound by L. James,,10,2
17,1,9:08.0,Shooting foul by D. Booker (drawn by K. Korver),,10,2
18,1,9:08.0,K. Korver makes free throw 1 of 3,,11,2
19,1,9:08.0,K. Korver makes free throw 2 of 3,,12,2
20,1,9:08.0,K. Korver makes free throw 3 of 3,,13,2
21,1,8:54.0,,E. Payton misses 3-pt jump shot from 24 ft,13,2
22,1,8:52.0,Defensive rebound by K. Korver,,13,2
23,1,8:45.0,L. James misses 2-pt layup from 1 ft,,13,2
24,1,8:43.0,,Defensive rebound by D. Booker,13,2
25,1,8:40.0,,T. Warren makes 2-pt layup at rim (assist by D. Booker),13,4
26,1,8:34.0,J. Green misses 2-pt layup at rim,,13,4
27,1,8:32.0,,Defensive rebound by E. Payton,13,4
28,1,8:26.0,,D. Bender makes 2-pt layup at rim (assist by E. Payton),13,6
29,1,8:26.0,Cleveland full timeout,,13,6
30,1,8:13.0,Def 3 sec tech foul by D. Bender,,13,6
31,1,8:13.0,K. Korver makes technical free throw,,14,6
32,1,8:11.0,Turnover by L. James (bad pass),,14,6
