,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MINNESOTA_ACTION,LA CLIPPERS_SCORE,MINNESOTA_SCORE
0,1,11:42.0,,K. Towns misses 2-pt jump shot from 16 ft,0,0
1,1,11:40.0,Defensive rebound by T. Harris,,0,0
2,1,11:24.0,S. Thornwell makes 2-pt hook shot from 4 ft,,2,0
3,1,11:08.0,,A. Wiggins misses 2-pt jump shot from 18 ft,2,0
4,1,11:08.0,Defensive rebound by T. Harris,,2,0
5,1,11:02.0,S. Thornwell misses 2-pt layup from 1 ft,,2,0
6,1,10:59.0,,Defensive rebound by T. Gibson,2,0
7,1,10:56.0,,Turnover by T. Gibson (bad pass; steal by S. Thornwell),2,0
8,1,10:52.0,T. Harris makes 2-pt layup at rim,,4,0
9,1,10:41.0,,Shooting foul by T. Harris (drawn by J. Teague),4,0
10,1,10:41.0,,J. Teague makes free throw 1 of 2,4,1
11,1,10:41.0,,J. Teague makes free throw 2 of 2,4,2
12,1,10:25.0,T. Harris misses 3-pt jump shot from 25 ft,,4,2
13,1,10:22.0,,Defensive rebound by N. Bjelica,4,2
14,1,10:12.0,,T. Gibson makes 2-pt layup from 2 ft,4,4
15,1,10:01.0,M. Teodosić makes 3-pt jump shot from 24 ft (assist by A. Rivers),,7,4
16,1,9:46.0,,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),7,6
17,1,9:28.0,A. Rivers misses 2-pt layup from 1 ft,,7,6
18,1,9:25.0,,Defensive rebound by T. Gibson,7,6
19,1,9:19.0,,A. Wiggins makes 3-pt jump shot from 23 ft (assist by J. Teague),7,9
20,1,9:04.0,A. Rivers makes 3-pt jump shot from 25 ft (assist by D. Jordan),,10,9
21,1,8:52.0,,A. Wiggins makes 2-pt hook shot from 5 ft (assist by J. Teague),10,11
22,1,8:35.0,Shooting foul by J. Teague (drawn by M. Teodosić),,10,11
23,1,8:35.0,M. Teodosić makes free throw 1 of 2,,11,11
