,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PORTLAND_ACTION,BROOKLYN_SCORE,PORTLAND_SCORE
0,1,11:43.0,,M. Harkless makes 2-pt jump shot from 2 ft (assist by J. Nurkić),0,2
1,1,11:21.0,T. Mozgov makes 2-pt layup at rim (assist by D. Russell),,2,2
2,1,11:01.0,,C. McCollum misses 2-pt jump shot from 22 ft,2,2
3,1,10:59.0,,Offensive rebound by J. Nurkić,2,2
4,1,10:57.0,,J. Nurkić misses 2-pt layup from 2 ft (block by D. Carroll),2,2
5,1,10:52.0,Defensive rebound by D. Russell,,2,2
6,1,10:47.0,R. Hollis-Jefferson misses 2-pt jump shot from 19 ft,,2,2
7,1,10:47.0,Offensive rebound by T. Mozgov,,2,2
8,1,10:46.0,T. Mozgov misses 2-pt layup at rim,,2,2
9,1,10:46.0,,Defensive rebound by Team,2,2
10,1,10:35.0,,D. Lillard makes 2-pt jump shot from 18 ft (assist by C. McCollum),2,4
11,1,10:24.0,Shooting foul by M. Harkless (drawn by D. Carroll),,2,4
12,1,10:24.0,D. Carroll makes free throw 1 of 3,,3,4
13,1,10:24.0,D. Carroll makes free throw 2 of 3,,4,4
14,1,10:24.0,D. Carroll makes free throw 3 of 3,,5,4
15,1,10:09.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),5,6
16,1,9:55.0,D. Carroll makes 3-pt jump shot from 24 ft (assist by R. Hollis-Jefferson),,8,6
17,1,9:39.0,,J. Nurkić makes 2-pt jump shot from 14 ft (assist by C. McCollum),8,8
18,1,9:30.0,Turnover by D. Russell (palming),,8,8
19,1,9:19.0,,D. Lillard misses 3-pt jump shot from 25 ft,8,8
20,1,9:18.0,Defensive rebound by T. Mozgov,,8,8
21,1,9:10.0,A. Crabbe misses 2-pt jump shot from 15 ft (block by C. McCollum),,8,8
22,1,9:07.0,,Defensive rebound by N. Vonleh,8,8
23,1,8:57.0,,C. McCollum misses 2-pt layup from 1 ft (block by R. Hollis-Jefferson),8,8
24,1,8:51.0,,Offensive rebound by N. Vonleh,8,8
25,1,8:51.0,,N. Vonleh makes 2-pt layup at rim,8,10
26,1,8:47.0,A. Crabbe misses 3-pt jump shot from 24 ft,,8,10
27,1,8:45.0,,Defensive rebound by J. Nurkić,8,10
28,1,8:37.0,,J. Nurkić misses 2-pt jump shot from 20 ft,8,10
29,1,8:35.0,Defensive rebound by R. Hollis-Jefferson,,8,10
30,1,8:26.0,D. Russell misses 3-pt jump shot from 24 ft,,8,10
31,1,8:25.0,,Defensive rebound by Team,8,10
32,1,8:17.0,,Shooting foul by R. Hollis-Jefferson (drawn by D. Lillard),8,10
33,1,8:17.0,,D. Lillard makes free throw 1 of 2,8,11
34,1,8:17.0,,D. Lillard makes free throw 2 of 2,8,12
35,1,8:08.0,A. Crabbe makes 3-pt jump shot from 24 ft (assist by R. Hollis-Jefferson),,11,12
36,1,7:55.0,,J. Nurkić makes 2-pt jump shot from 3 ft (assist by D. Lillard),11,14
37,1,7:40.0,D. Carroll makes 3-pt jump shot from 25 ft (assist by D. Russell),,14,14
38,1,7:21.0,,N. Vonleh misses 2-pt jump shot from 22 ft,14,14
39,1,7:18.0,Defensive rebound by A. Crabbe,,14,14
40,1,7:13.0,D. Russell misses 3-pt jump shot from 25 ft,,14,14
41,1,7:11.0,,Defensive rebound by J. Nurkić,14,14
42,1,6:51.0,,Turnover by M. Harkless (bad pass; steal by A. Crabbe),14,14
43,1,6:46.0,A. Crabbe makes 2-pt jump shot from 22 ft (assist by D. Russell),,16,14
44,1,6:46.0,,Portland full timeout,16,14
45,1,6:36.0,,M. Harkless makes 2-pt layup from 1 ft (assist by D. Lillard),16,16
46,1,6:18.0,D. Russell misses 2-pt jump shot from 20 ft,,16,16
47,1,6:14.0,,Defensive rebound by N. Vonleh,16,16
48,1,5:57.0,,J. Nurkić makes 2-pt jump shot from 21 ft,16,18
49,1,5:44.0,Offensive foul by T. Mozgov (drawn by D. Lillard),,16,18
50,1,5:44.0,Turnover by T. Mozgov (offensive foul),,16,18
51,1,5:44.0,,E. Turner enters the game for M. Harkless,16,18
52,1,5:44.0,,P. Connaughton enters the game for C. McCollum,16,18
53,1,5:44.0,Q. Acy enters the game for T. Mozgov,,16,18
54,1,5:44.0,S. Dinwiddie enters the game for D. Russell,,16,18
55,1,5:30.0,,Def 3 sec tech foul by A. Crabbe,16,18
56,1,5:30.0,,D. Lillard misses technical free throw,16,18
57,1,5:30.0,,Offensive rebound by Team,16,18
58,1,5:25.0,,Shooting foul by Q. Acy (drawn by J. Nurkić),16,18
59,1,5:25.0,,J. Nurkić misses free throw 1 of 2,16,18
60,1,5:25.0,,Offensive rebound by Team,16,18
61,1,5:25.0,,J. Nurkić makes free throw 2 of 2,16,19
62,1,5:18.0,A. Crabbe makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,19,19
63,1,5:04.0,,E. Turner makes 2-pt jump shot from 10 ft,19,21
64,1,4:56.0,D. Carroll misses 2-pt jump shot from 11 ft,,19,21
65,1,4:54.0,,Defensive rebound by D. Lillard,19,21
66,1,4:51.0,,P. Connaughton misses 3-pt jump shot from 24 ft,19,21
67,1,4:48.0,Defensive rebound by S. Dinwiddie,,19,21
68,1,4:28.0,Personal foul by E. Turner (drawn by D. Carroll),,19,21
69,1,4:28.0,,C. Swanigan enters the game for N. Vonleh,19,21
70,1,4:28.0,J. Harris enters the game for R. Hollis-Jefferson,,19,21
71,1,4:13.0,S. Dinwiddie misses 2-pt layup at rim,,19,21
72,1,4:11.0,,Defensive rebound by C. Swanigan,19,21
73,1,3:53.0,,C. Swanigan misses 2-pt jump shot from 8 ft,19,21
74,1,3:52.0,Defensive rebound by D. Carroll,,19,21
75,1,3:36.0,A. Crabbe misses 3-pt jump shot from 26 ft,,19,21
76,1,3:32.0,,Defensive rebound by C. Swanigan,19,21
77,1,3:25.0,,D. Lillard misses 2-pt layup at rim,19,21
78,1,3:23.0,Defensive rebound by A. Crabbe,,19,21
