,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,NEW ORLEANS_ACTION,LA CLIPPERS_SCORE,NEW ORLEANS_SCORE
0,1,11:46.0,B. Griffin misses 2-pt jump shot from 14 ft,,0,0
1,1,11:39.0,,Defensive rebound by A. Davis,0,0
2,1,11:27.0,,A. Davis makes 2-pt jump shot from 13 ft (assist by J. Holiday),0,2
3,1,11:07.0,A. Rivers misses 2-pt layup from 4 ft,,0,2
4,1,11:03.0,,Defensive rebound by D. Cousins,0,2
5,1,10:55.0,,Personal foul by A. Rivers (drawn by D. Cousins),0,2
6,1,10:49.0,,J. Holiday misses 2-pt jump shot from 11 ft,0,2
7,1,10:44.0,Defensive rebound by D. Jordan,,0,2
8,1,10:27.0,B. Griffin misses 3-pt jump shot from 27 ft,,0,2
9,1,10:22.0,,Defensive rebound by J. Holiday,0,2
10,1,10:22.0,,Turnover by J. Holiday (bad pass),0,2
11,1,10:13.0,S. Thornwell makes 3-pt jump shot from 26 ft (assist by B. Griffin),,3,2
12,1,9:59.0,,Turnover by J. Holiday (lost ball; steal by S. Thornwell),3,2
13,1,9:47.0,B. Griffin misses 2-pt jump shot from 12 ft,,3,2
14,1,9:39.0,Offensive rebound by B. Griffin,,3,2
15,1,9:38.0,B. Griffin makes 2-pt layup from 1 ft,,5,2
16,1,9:31.0,,E. Moore makes 2-pt jump shot from 12 ft (assist by J. Holiday),5,4
17,1,9:22.0,W. Johnson misses 3-pt jump shot from 23 ft,,5,4
18,1,9:16.0,,Defensive rebound by J. Holiday,5,4
19,1,9:15.0,,E. Moore misses 3-pt jump shot from 23 ft,5,4
20,1,9:07.0,Defensive rebound by B. Griffin,,5,4
21,1,9:03.0,A. Rivers misses 3-pt jump shot from 27 ft,,5,4
22,1,8:55.0,,Defensive rebound by D. Cousins,5,4
23,1,8:46.0,,E. Moore makes 2-pt layup from 3 ft (assist by A. Davis),5,6
24,1,8:37.0,A. Rivers misses 3-pt jump shot from 27 ft,,5,6
25,1,8:31.0,,Defensive rebound by A. Davis,5,6
26,1,8:26.0,,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),5,8
27,1,8:04.0,B. Griffin misses 2-pt layup from 3 ft,,5,8
28,1,8:00.0,,Defensive rebound by D. Cunningham,5,8
29,1,7:57.0,,J. Holiday misses 3-pt jump shot from 27 ft,5,8
30,1,7:51.0,Defensive rebound by D. Jordan,,5,8
31,1,7:48.0,S. Thornwell misses 2-pt jump shot from 21 ft,,5,8
32,1,7:48.0,Offensive rebound by B. Griffin,,5,8
33,1,7:48.0,Shooting foul by D. Cunningham (drawn by B. Griffin),,5,8
34,1,7:48.0,B. Griffin makes free throw 1 of 2,,6,8
35,1,7:48.0,B. Griffin makes free throw 2 of 2,,7,8
36,1,7:39.0,,A. Davis makes 2-pt jump shot from 17 ft (assist by J. Holiday),7,10
37,1,7:26.0,Turnover by B. Griffin (bad pass),,7,10
38,1,7:05.0,,A. Davis misses 2-pt jump shot from 18 ft,7,10
39,1,6:59.0,Defensive rebound by D. Jordan,,7,10
40,1,6:44.0,,New Orleans full timeout,7,10
41,1,6:41.0,A. Rivers makes 3-pt jump shot from 27 ft (assist by W. Johnson),,10,10
42,1,6:16.0,,D. Cousins makes 2-pt layup from 3 ft,10,12
43,1,5:53.0,B. Griffin makes 3-pt jump shot from 27 ft (assist by S. Thornwell),,13,12
44,1,5:38.0,,D. Cousins makes 3-pt jump shot from 28 ft (assist by A. Davis),13,15
45,1,5:38.0,,Shooting foul by D. Jordan (drawn by D. Cousins),13,15
46,1,5:38.0,L. Williams enters the game for W. Johnson,,13,15
