,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PHILADELPHIA_ACTION,LA CLIPPERS_SCORE,PHILADELPHIA_SCORE
0,1,11:45.0,,R. Covington misses 2-pt jump shot from 17 ft,0,0
1,1,11:41.0,Defensive rebound by D. Jordan,,0,0
2,1,11:41.0,Personal foul by J. Embiid (drawn by D. Jordan),,0,0
3,1,11:28.0,D. Jordan makes 2-pt hook shot from 6 ft (assist by D. Gallinari),,2,0
4,1,11:18.0,,J. Embiid misses 3-pt jump shot from 25 ft,2,0
5,1,11:15.0,Defensive rebound by D. Gallinari,,2,0
6,1,11:08.0,A. Rivers makes 2-pt jump shot from 13 ft,,4,0
7,1,10:55.0,,B. Simmons makes 2-pt dunk at rim (assist by J. Embiid),4,2
8,1,10:28.0,T. Harris misses 2-pt jump shot from 6 ft,,4,2
9,1,10:25.0,,Defensive rebound by J. Embiid,4,2
10,1,10:17.0,,B. Simmons misses 2-pt hook shot from 10 ft,4,2
11,1,10:14.0,Defensive rebound by T. Harris,,4,2
12,1,10:06.0,T. Harris misses 3-pt jump shot from 25 ft,,4,2
13,1,10:03.0,,Defensive rebound by J. Redick,4,2
14,1,9:55.0,,J. Embiid makes 3-pt jump shot from 24 ft (assist by J. Redick),4,5
15,1,9:26.0,A. Bradley misses 2-pt jump shot from 18 ft,,4,5
16,1,9:23.0,,Defensive rebound by R. Covington,4,5
17,1,9:12.0,,D. Šarić misses 2-pt layup from 3 ft,4,5
18,1,9:10.0,Defensive rebound by D. Jordan,,4,5
19,1,9:00.0,A. Rivers makes 3-pt jump shot from 25 ft (assist by A. Bradley),,7,5
20,1,8:46.0,,Personal foul by D. Jordan (drawn by J. Embiid),7,5
21,1,8:33.0,,J. Redick makes 3-pt jump shot from 23 ft (assist by B. Simmons),7,8
22,1,8:08.0,A. Bradley misses 2-pt jump shot from 12 ft,,7,8
23,1,8:05.0,,Defensive rebound by R. Covington,7,8
24,1,7:56.0,,J. Embiid makes 2-pt jump shot from 10 ft,7,10
25,1,7:34.0,D. Jordan makes 2-pt hook shot from 5 ft (assist by A. Rivers),,9,10
26,1,7:18.0,,Turnover by D. Šarić (lost ball; steal by A. Bradley),9,10
27,1,7:12.0,,Violation by D. Šarić (kicked ball),9,10
