,QUARTER,TIME_REMAINING,NEW YORK_ACTION,ORLANDO_ACTION,NEW YORK_SCORE,ORLANDO_SCORE
0,1,11:39.0,C. Lee makes 2-pt layup from 2 ft,,2,0
1,1,11:25.0,,J. Simmons makes 2-pt layup from 1 ft (assist by A. Gordon),2,2
2,1,11:11.0,Turnover by E. Mudiay (bad pass; steal by N. Vučević),,2,2
3,1,11:06.0,,N. Vučević makes 2-pt layup at rim (assist by J. Simmons),2,4
4,1,10:54.0,E. Mudiay misses 2-pt jump shot from 18 ft,,2,4
5,1,10:51.0,Offensive rebound by E. Freedom,,2,4
6,1,10:50.0,E. Freedom makes 2-pt layup from 1 ft,,4,4
7,1,10:31.0,,N. Vučević makes 2-pt dunk at rim (assist by E. Fournier),4,6
8,1,10:17.0,Shooting foul by J. Simmons (drawn by M. Beasley),,4,6
9,1,10:17.0,M. Beasley makes free throw 1 of 2,,5,6
10,1,10:17.0,M. Beasley makes free throw 2 of 2,,6,6
11,1,10:06.0,,A. Gordon misses 2-pt layup from 1 ft,6,6
12,1,10:03.0,Defensive rebound by M. Beasley,,6,6
13,1,10:00.0,C. Lee makes 3-pt jump shot from 23 ft (assist by T. Hardaway),,9,6
14,1,9:48.0,,Shooting foul by E. Mudiay (drawn by D. Augustin),9,6
15,1,9:48.0,,D. Augustin makes free throw 1 of 2,9,7
16,1,9:48.0,,D. Augustin makes free throw 2 of 2,9,8
17,1,9:39.0,E. Freedom makes 2-pt layup from 2 ft (assist by E. Mudiay),,11,8
18,1,9:23.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by A. Gordon),11,11
19,1,9:10.0,M. Beasley misses 2-pt layup from 3 ft (block by A. Gordon),,11,11
20,1,9:10.0,,Defensive rebound by N. Vučević,11,11
21,1,9:10.0,,Personal foul by M. Beasley (drawn by N. Vučević),11,11
22,1,8:55.0,,E. Fournier makes 2-pt layup from 2 ft,11,13
23,1,8:41.0,M. Beasley misses 2-pt jump shot from 10 ft,,11,13
24,1,8:39.0,,Defensive rebound by N. Vučević,11,13
25,1,8:34.0,,Shooting foul by T. Hardaway (drawn by J. Simmons),11,13
26,1,8:34.0,,J. Simmons misses free throw 1 of 2,11,13
27,1,8:34.0,,Offensive rebound by Team,11,13
28,1,8:34.0,,J. Simmons makes free throw 2 of 2,11,14
29,1,8:14.0,C. Lee misses 3-pt jump shot from 25 ft,,11,14
30,1,8:12.0,Offensive rebound by Team,,11,14
31,1,8:10.0,E. Mudiay makes 2-pt jump shot from 18 ft (assist by T. Hardaway),,13,14
32,1,7:55.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by D. Augustin),13,17
33,1,7:40.0,T. Hardaway makes 2-pt jump shot from 13 ft (assist by E. Mudiay),,15,17
34,1,7:24.0,,Turnover by A. Gordon (bad pass),15,17
35,1,7:16.0,C. Lee makes 3-pt jump shot from 25 ft (assist by T. Hardaway),,18,17
36,1,7:09.0,,Orlando full timeout,18,17
37,1,7:03.0,,N. Vučević makes 2-pt layup from 2 ft (assist by J. Simmons),18,19
38,1,6:46.0,E. Mudiay misses 3-pt jump shot from 25 ft,,18,19
39,1,6:41.0,,Defensive rebound by N. Vučević,18,19
40,1,6:30.0,,Turnover by D. Augustin (bad pass; steal by E. Mudiay),18,19
41,1,6:21.0,E. Freedom makes 2-pt layup from 2 ft (assist by M. Beasley),,20,19
42,1,6:15.0,,Shooting foul by C. Lee (drawn by J. Simmons),20,19
43,1,6:15.0,,J. Simmons misses free throw 1 of 2,20,19
44,1,6:15.0,,Offensive rebound by Team,20,19
45,1,6:15.0,,J. Simmons makes free throw 2 of 2,20,20
46,1,6:04.0,E. Mudiay misses 2-pt layup from 3 ft,,20,20
47,1,6:00.0,,Defensive rebound by E. Fournier,20,20
48,1,5:59.0,,Turnover by A. Gordon (step out of bounds),20,20
49,1,5:59.0,L. Thomas enters the game for M. Beasley,,20,20
50,1,5:48.0,L. Thomas misses 3-pt jump shot from 25 ft,,20,20
51,1,5:45.0,,Defensive rebound by J. Simmons,20,20
52,1,5:38.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by J. Simmons),20,23
53,1,5:25.0,C. Lee makes 2-pt jump shot from 14 ft (assist by E. Freedom),,22,23
54,1,5:14.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),22,26
55,1,4:53.0,T. Hardaway misses 3-pt jump shot from 25 ft,,22,26
56,1,4:50.0,,Defensive rebound by J. Simmons,22,26
57,1,4:44.0,,Shooting foul by E. Freedom (drawn by N. Vučević),22,26
58,1,4:44.0,,N. Vučević misses free throw 1 of 2,22,26
59,1,4:44.0,,Offensive rebound by Team,22,26
