,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA CLIPPERS_ACTION,GOLDEN STATE_SCORE,LA CLIPPERS_SCORE
0,1,11:40.0,A. Iguodala misses 2-pt layup from 1 ft,,0,0
1,1,11:40.0,Offensive rebound by Team,,0,0
2,1,11:32.0,Z. Pachulia misses 2-pt layup from 2 ft,,0,0
3,1,11:29.0,,Defensive rebound by D. Jordan,0,0
4,1,11:16.0,,D. Jordan misses 2-pt layup from 1 ft,0,0
5,1,11:15.0,Defensive rebound by Z. Pachulia,,0,0
6,1,10:59.0,Z. Pachulia misses 2-pt layup at rim (block by B. Griffin),,0,0
7,1,10:59.0,,Defensive rebound by Team,0,0
8,1,10:39.0,,C. Williams makes 2-pt jump shot from 19 ft (assist by J. Evans),0,2
9,1,10:27.0,K. Thompson makes 2-pt jump shot from 15 ft (assist by D. Green),,2,2
10,1,10:05.0,,C. Williams makes 2-pt jump shot from 17 ft (assist by B. Griffin),2,4
11,1,9:53.0,K. Thompson misses 2-pt jump shot from 9 ft,,2,4
12,1,9:51.0,,Defensive rebound by D. Jordan,2,4
13,1,9:47.0,,J. Evans misses 2-pt layup from 2 ft (block by K. Thompson),2,4
14,1,9:47.0,,Offensive rebound by Team,2,4
15,1,9:43.0,,S. Dekker misses 2-pt jump shot from 9 ft,2,4
16,1,9:40.0,Defensive rebound by Z. Pachulia,,2,4
17,1,9:24.0,K. Thompson misses 3-pt jump shot from 26 ft,,2,4
18,1,9:20.0,,Defensive rebound by B. Griffin,2,4
19,1,9:10.0,,C. Williams misses 3-pt jump shot from 24 ft,2,4
20,1,9:04.0,,Offensive rebound by D. Jordan,2,4
21,1,9:04.0,,D. Jordan makes 2-pt dunk at rim,2,6
22,1,8:48.0,Personal foul by S. Dekker (drawn by D. Green),,2,6
23,1,8:41.0,Z. Pachulia misses 2-pt layup from 2 ft (block by D. Jordan),,2,6
24,1,8:40.0,,Defensive rebound by Team,2,6
25,1,8:13.0,,S. Dekker misses 2-pt hook shot from 4 ft,2,6
26,1,8:11.0,Defensive rebound by Z. Pachulia,,2,6
27,1,8:06.0,Shooting foul by B. Griffin (drawn by S. Curry),,2,6
28,1,8:06.0,S. Curry makes free throw 1 of 2,,3,6
29,1,8:06.0,S. Curry makes free throw 2 of 2,,4,6
30,1,7:52.0,,Turnover by B. Griffin (bad pass; steal by D. Green),4,6
31,1,7:48.0,D. Green makes 2-pt dunk at rim (assist by A. Iguodala),,6,6
32,1,7:37.0,,B. Griffin misses 3-pt jump shot from 25 ft,6,6
33,1,7:35.0,Defensive rebound by Team,,6,6
34,1,7:23.0,S. Curry misses 3-pt jump shot from 22 ft,,6,6
35,1,7:20.0,,Defensive rebound by J. Evans,6,6
36,1,7:09.0,,B. Griffin makes 2-pt jump shot from 15 ft (assist by D. Jordan),6,8
37,1,6:59.0,K. Thompson misses 2-pt jump shot from 14 ft (block by C. Williams),,6,8
38,1,6:57.0,Offensive rebound by K. Thompson,,6,8
39,1,6:55.0,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),,9,8
40,1,6:31.0,,S. Dekker misses 2-pt layup from 1 ft (block by A. Iguodala),9,8
41,1,6:28.0,Defensive rebound by A. Iguodala,,9,8
42,1,6:26.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by A. Iguodala),,11,8
43,1,6:26.0,,LA Clippers full timeout,11,8
44,1,6:26.0,,L. Williams enters the game for S. Dekker,11,8
45,1,6:13.0,,Shooting foul by Z. Pachulia (drawn by B. Griffin),11,8
46,1,6:13.0,,B. Griffin makes free throw 1 of 2,11,9
47,1,6:13.0,,B. Griffin misses free throw 2 of 2,11,9
48,1,6:09.0,Defensive rebound by D. Green,,11,9
49,1,6:01.0,Turnover by K. Thompson (bad pass),,11,9
50,1,5:44.0,,L. Williams misses 2-pt jump shot from 15 ft,11,9
51,1,5:42.0,Defensive rebound by S. Curry,,11,9
52,1,5:38.0,S. Curry makes 3-pt jump shot from 25 ft,,14,9
53,1,5:27.0,,Personal foul by A. Iguodala (drawn by L. Williams),14,9
54,1,5:27.0,J. McGee enters the game for Z. Pachulia,,14,9
55,1,5:22.0,,J. Evans makes 2-pt layup from 2 ft,14,11
56,1,5:22.0,Violation by J. McGee (def goaltending),,14,11
57,1,5:08.0,Shooting foul by J. Evans (drawn by S. Curry),,14,11
58,1,5:08.0,S. Curry makes free throw 1 of 3,,15,11
59,1,5:08.0,S. Curry makes free throw 2 of 3,,16,11
60,1,5:08.0,,T. Wallace enters the game for J. Evans,16,11
61,1,5:08.0,S. Curry makes free throw 3 of 3,,17,11
62,1,4:57.0,,L. Williams makes 3-pt jump shot from 25 ft,17,14
63,1,4:43.0,D. Green makes 3-pt jump shot from 25 ft (assist by S. Curry),,20,14
64,1,4:26.0,,L. Williams makes 2-pt layup from 1 ft,20,16
65,1,4:16.0,S. Curry makes 3-pt jump shot from 26 ft,,23,16
66,1,3:59.0,,D. Jordan misses 2-pt dunk from 1 ft,23,16
67,1,3:57.0,Defensive rebound by J. McGee,,23,16
68,1,3:46.0,K. Thompson misses 2-pt jump shot from 22 ft,,23,16
69,1,3:44.0,,Defensive rebound by L. Williams,23,16
70,1,3:41.0,,C. Williams misses 3-pt jump shot from 25 ft,23,16
71,1,3:38.0,Defensive rebound by K. Thompson,,23,16
72,1,3:35.0,S. Curry misses 3-pt jump shot from 26 ft,,23,16
73,1,3:32.0,Offensive rebound by D. Green,,23,16
74,1,3:29.0,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),,26,16
75,1,3:17.0,,L. Williams makes 2-pt layup from 1 ft,26,18
76,1,3:15.0,Golden State full timeout,,26,18
