,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,BOSTON_ACTION,CHARLOTTE_SCORE,BOSTON_SCORE
0,1,11:38.0,,K. Irving misses 2-pt jump shot from 5 ft,0,0
1,1,11:35.0,Defensive rebound by D. Howard,,0,0
2,1,11:24.0,J. Lamb makes 2-pt jump shot from 9 ft,,2,0
3,1,11:06.0,,J. Brown misses 2-pt jump shot from 18 ft,2,0
4,1,11:03.0,Defensive rebound by D. Howard,,2,0
5,1,10:54.0,M. Kidd-Gilchrist makes 2-pt jump shot from 19 ft (assist by K. Walker),,4,0
6,1,10:23.0,,M. Morris misses 2-pt jump shot from 21 ft,4,0
7,1,10:21.0,Defensive rebound by D. Howard,,4,0
8,1,10:15.0,D. Howard misses 2-pt layup from 4 ft (block by A. Baynes),,4,0
9,1,10:15.0,Offensive rebound by Team,,4,0
10,1,10:10.0,Shooting foul by A. Baynes (drawn by K. Walker),,4,0
11,1,10:10.0,,Boston full timeout,4,0
12,1,10:10.0,,M. Smart enters the game for K. Irving,4,0
13,1,10:10.0,K. Walker makes free throw 1 of 2,,5,0
14,1,10:10.0,K. Walker makes free throw 2 of 2,,6,0
15,1,9:52.0,,J. Tatum misses 3-pt jump shot from 25 ft,6,0
16,1,9:49.0,Defensive rebound by D. Howard,,6,0
17,1,9:43.0,Shooting foul by J. Tatum (drawn by D. Howard),,6,0
18,1,9:43.0,D. Howard misses free throw 1 of 2,,6,0
19,1,9:43.0,Offensive rebound by Team,,6,0
20,1,9:43.0,D. Howard makes free throw 2 of 2,,7,0
21,1,9:34.0,,J. Tatum misses 3-pt jump shot from 25 ft,7,0
22,1,9:30.0,Defensive rebound by M. Kidd-Gilchrist,,7,0
23,1,9:20.0,D. Howard makes 2-pt dunk from 1 ft,,9,0
24,1,8:58.0,Violation by D. Howard (def goaltending),,9,0
25,1,8:54.0,,J. Brown makes 2-pt hook shot from 9 ft,9,2
26,1,8:37.0,J. Lamb misses 2-pt jump shot from 16 ft,,9,2
27,1,8:37.0,,Defensive rebound by J. Brown,9,2
28,1,8:26.0,,A. Baynes misses 2-pt hook shot from 8 ft,9,2
29,1,8:24.0,Defensive rebound by J. Lamb,,9,2
30,1,8:20.0,K. Walker misses 3-pt jump shot from 28 ft,,9,2
31,1,8:17.0,,Defensive rebound by J. Brown,9,2
32,1,8:07.0,,J. Brown misses 3-pt jump shot from 23 ft,9,2
33,1,8:04.0,Defensive rebound by M. Williams,,9,2
34,1,7:47.0,Turnover by D. Howard (step out of bounds),,9,2
35,1,7:29.0,,M. Smart misses 2-pt jump shot from 6 ft,9,2
36,1,7:26.0,Defensive rebound by D. Howard,,9,2
37,1,7:13.0,D. Howard misses 2-pt hook shot from 7 ft,,9,2
38,1,7:10.0,,Defensive rebound by A. Baynes,9,2
39,1,7:03.0,,Personal foul by J. Lamb (drawn by M. Morris),9,2
40,1,7:03.0,F. Kaminsky enters the game for M. Williams,,9,2
41,1,6:49.0,,M. Smart misses 3-pt jump shot from 25 ft,9,2
42,1,6:45.0,Defensive rebound by D. Howard,,9,2
43,1,6:32.0,M. Kidd-Gilchrist makes 2-pt jump shot from 20 ft (assist by K. Walker),,11,2
44,1,6:20.0,,Shooting foul by K. Walker (drawn by M. Smart),11,2
45,1,6:20.0,,M. Smart makes free throw 1 of 2,11,3
46,1,6:20.0,,M. Smart misses free throw 2 of 2,11,3
47,1,6:18.0,Defensive rebound by F. Kaminsky,,11,3
48,1,6:02.0,M. Kidd-Gilchrist misses 2-pt jump shot from 20 ft,,11,3
49,1,5:59.0,,Defensive rebound by M. Morris,11,3
50,1,5:47.0,,M. Smart misses 3-pt jump shot from 25 ft,11,3
51,1,5:43.0,Defensive rebound by M. Kidd-Gilchrist,,11,3
52,1,5:25.0,D. Howard misses 2-pt jump shot from 10 ft,,11,3
53,1,5:22.0,,Defensive rebound by J. Brown,11,3
54,1,5:13.0,,M. Morris makes 2-pt jump shot from 12 ft (assist by A. Baynes),11,5
55,1,5:06.0,Charlotte full timeout,,11,5
56,1,5:06.0,,T. Rozier enters the game for J. Tatum,11,5
57,1,5:06.0,,S. Ojeleye enters the game for M. Morris,11,5
58,1,5:06.0,,D. Theis enters the game for A. Baynes,11,5
59,1,5:06.0,C. Zeller enters the game for D. Howard,,11,5
60,1,4:56.0,Def 3 sec tech foul by J. Brown,,11,5
61,1,4:56.0,K. Walker makes technical free throw,,12,5
62,1,4:48.0,J. Lamb misses 2-pt jump shot from 7 ft (block by J. Brown),,12,5
63,1,4:47.0,Offensive rebound by Team,,12,5
64,1,4:43.0,F. Kaminsky misses 3-pt jump shot from 27 ft,,12,5
65,1,4:41.0,,Defensive rebound by J. Brown,12,5
66,1,4:27.0,,Turnover by M. Smart (bad pass; steal by K. Walker),12,5
67,1,4:25.0,Turnover by K. Walker (traveling),,12,5
68,1,4:09.0,,D. Theis makes 2-pt dunk from 1 ft (assist by M. Smart),12,7
69,1,3:57.0,F. Kaminsky makes 3-pt jump shot from 27 ft (assist by K. Walker),,15,7
70,1,3:41.0,,Offensive foul by J. Brown (drawn by C. Zeller),15,7
