,QUARTER,TIME_REMAINING,BOSTON_ACTION,MIAMI_ACTION,BOSTON_SCORE,MIAMI_SCORE
0,1,11:34.0,,H. Whiteside misses 2-pt layup from 1 ft,0,0
1,1,11:31.0,Defensive rebound by A. Horford,,0,0
2,1,11:29.0,K. Irving makes 2-pt layup from 1 ft,,2,0
3,1,11:11.0,,G. Dragić misses 2-pt jump shot from 10 ft,2,0
4,1,11:07.0,Defensive rebound by A. Horford,,2,0
5,1,10:55.0,J. Brown misses 2-pt jump shot from 17 ft,,2,0
6,1,10:53.0,,Defensive rebound by J. Winslow,2,0
7,1,10:48.0,,J. Richardson misses 3-pt jump shot from 23 ft,2,0
8,1,10:45.0,Defensive rebound by J. Tatum,,2,0
9,1,10:42.0,K. Irving makes 2-pt layup from 1 ft (assist by J. Tatum),,4,0
10,1,10:16.0,,Turnover by J. Richardson (turnover),4,0
11,1,10:04.0,J. Tatum misses 2-pt jump shot from 16 ft,,4,0
12,1,10:00.0,Offensive rebound by A. Horford,,4,0
13,1,9:59.0,Turnover by A. Baynes (traveling),,4,0
14,1,9:45.0,,D. Waiters makes 2-pt layup from 1 ft,4,2
15,1,9:27.0,A. Horford misses 2-pt hook shot from 6 ft,,4,2
16,1,9:19.0,,Defensive rebound by H. Whiteside,4,2
17,1,9:17.0,,G. Dragić makes 2-pt jump shot from 8 ft,4,4
18,1,9:01.0,J. Tatum misses 2-pt layup from 1 ft (block by H. Whiteside),,4,4
19,1,9:01.0,,Defensive rebound by D. Waiters,4,4
20,1,8:59.0,,Shooting foul by J. Brown (drawn by G. Dragić),4,4
21,1,8:59.0,,G. Dragić makes free throw 1 of 2,4,5
22,1,8:59.0,,G. Dragić makes free throw 2 of 2,4,6
23,1,8:40.0,A. Horford misses 2-pt hook shot from 6 ft,,4,6
24,1,8:36.0,Offensive rebound by A. Horford,,4,6
25,1,8:32.0,J. Brown misses 2-pt layup from 1 ft,,4,6
26,1,8:29.0,,Defensive rebound by H. Whiteside,4,6
27,1,8:23.0,,D. Waiters makes 3-pt jump shot from 23 ft (assist by G. Dragić),4,9
28,1,8:12.0,K. Irving misses 3-pt jump shot from 26 ft,,4,9
29,1,8:12.0,Offensive rebound by Team,,4,9
30,1,8:08.0,A. Baynes misses 2-pt jump shot from 14 ft,,4,9
31,1,8:05.0,,Defensive rebound by J. Winslow,4,9
32,1,7:56.0,,G. Dragić makes 2-pt jump shot from 14 ft,4,11
33,1,7:37.0,J. Brown makes 2-pt layup from 1 ft (assist by J. Tatum),,6,11
34,1,7:14.0,,Turnover by J. Winslow (bad pass; steal by K. Irving),6,11
35,1,7:10.0,,T. Johnson enters the game for G. Dragić,6,11
36,1,6:59.0,J. Tatum misses 2-pt hook shot from 5 ft,,6,11
37,1,6:56.0,,Defensive rebound by J. Richardson,6,11
38,1,6:45.0,,J. Richardson misses 3-pt jump shot from 26 ft,6,11
39,1,6:41.0,Defensive rebound by A. Horford,,6,11
40,1,6:34.0,A. Baynes makes 2-pt jump shot from 17 ft (assist by K. Irving),,8,11
